train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;oleodiesel;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;11887.691132774326;0.03813150171640598;54.54545454545455;2.0210202675118105;234175.27217415068;0.8606650520452402;256813.1591412276;250220.07133249548;245272.83543371464;243359.44877198758;249256.74214877855;253689.07814843726;250738.538009853;256401.3347174572;249647.16385057833;246683.4912949831;242317.01452455355;242525.29140807208;[19892.47985877242, -11599.418332495494, 15928.474566285353, -428.99377198758884, -7391.339148778556, 23284.03285156272, 2537.214990147011, -9099.859717457206, 3084.1751494216733, 8329.121705016907, 7848.346475446451, 9227.289591927925];-0.03597209079178298;0.9554541764078104;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SC;oleodiesel;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;9075.739701751605;0.03301741563460241;72.72727272727273;0.24467120066961845;107309.52458759314;inf;255092.73129174075;247558.37292086502;245787.24747011348;245014.3193221206;247265.27671820403;253455.46843364983;247739.80178359686;252126.27004109405;251376.42650381452;241220.13268077653;240550.64387855172;239328.41452654894;[4876.805708259257, -2932.8699208650214, 10198.637529886531, -15308.269322120614, 10048.494281795982, 9845.51156635015, 1930.4162164031295, -2808.324041094049, 9442.622496185475, 5714.851319223468, -10325.567878551723, -13406.297526548937];0.5169352550710464;0.98537884119057;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;SC;oleodiesel;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;30210.30674006516;0.11213201103627086;72.72727272727273;11.358441192528112;358234.89712016174;3.596874711655353;222461.8655474873;215310.08446439813;213484.1934642591;208675.57021599865;217037.61299717624;221685.54606381073;215207.99229817183;227432.96744193346;227801.82773488437;216307.3921399983;222569.00943652395;221948.28332009938;[44839.23845251268, 40387.27653560188, 26814.961535740906, 26134.53278400135, 45984.21000282373, 35112.62293618926, 26452.601701828185, 17294.35555806654, 18908.667265115626, 29243.74786000172, 10103.817563476041, 15719.601679900632];-0.3444951212202861;0.9189618081378936;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;SC;oleodiesel;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;14587.547970162754;0.05444813560170449;63.63636363636363;-0.6688267974710038;230039.0953709742;0.3704910788731622;224887.45189842492;219893.86279352885;217395.0627484077;214367.91348424333;218674.46524387875;223325.9050118248;218251.46850217087;224901.51133773266;223254.41262384472;211761.8492414954;213416.35558139178;211011.0979939301;[-12264.964898424922, -34459.51279352885, -15523.779748407716, -13608.981484243326, 1241.318756121269, -1402.7120118247985, 12708.339497829118, 20037.392662267346, 4693.941376155271, 8644.721758504602, 1369.3784186082194, 11150.435006069893];-0.46595160278800046;0.8984913096511089;5;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2019-02;2019-03_2020-02;SC;oleodiesel;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;11071.787793452888;0.040669207136069634;72.72727272727273;3.5155394649031084;130947.04161485413;0.2994011356950474;214359.24257152516;200689.26151278033;211349.03618013617;199070.23710643593;208965.77512745536;218202.85907932595;210271.97584034805;219436.93930818373;220187.47510404233;206482.29290194405;209586.3692040864;201062.44023738077;[6269.4184284748335, 21414.88448721968, 3565.119819863816, 2092.7338935640582, 15027.227872544638, 13006.481920674036, 1238.8751596519432, 18226.46169181628, -2993.854104042315, -5341.991901944042, 8325.471795913589, 10976.471762619243];-0.9191355892321987;0.7816054968426193;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SC;oleodiesel;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;17600.846416193017;0.06065295084089653;54.54545454545455;-0.11324503326169352;346890.27460423345;0.2719311383723924;216503.77380471624;208270.86031225594;207002.2627822982;201827.8831453395;207720.09283796005;212312.14985985451;208054.2031302759;211214.1460887789;207022.14195854793;200461.0397118597;197625.41773634072;195770.39165581448;[-261.4318047162378, 5337.720687744062, -50654.9887822982, 25995.666854660492, 7105.794162039936, 10166.866140145488, -12282.392130275926, -1507.3250887789181, 6506.401041452074, -5057.167711859685, 4906.842263659288, 6945.745344185503];-0.6891033334706238;0.8495518665753965;5;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2017-02;2017-03_2018-02;SC;oleodiesel;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;7761.157623050274;0.027412651768858067;72.72727272727273;1.1539981774822838;91747.35338762226;0.13384409623878352;210470.13768737824;203774.7750394756;204429.8171396732;199731.53218114612;202237.84789131396;209883.00802357786;206015.09183388343;209161.53766568925;205278.85142365962;197374.27155654755;193063.55782049152;192727.8264917554;[18069.177812621754, -13489.976639475586, 2012.7423603268107, -1946.8411811461265, 5677.3543086860445, 8026.0461764221545, 1523.6081661165808, -146.63316568924347, 4740.732976340369, -4419.781156547542, 282.70517950848443, 8088.8345082445885];-0.8645747501084364;0.7994145615840929;5;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2016-02;2016-03_2017-02;SC;oleodiesel;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;7473.096055340475;0.029471387167575896;36.36363636363637;-0.7650196932574094;206019.98536089383;0.12365430929867119;208448.5593797457;202474.00882900666;204472.82022913007;198696.9211291994;202880.56467741914;205532.78117650092;204553.95686918448;210485.73385660883;203485.8239213345;196103.90194595302;193156.21077677142;194529.74996757897;[11703.079620254284, 4039.272170993325, -243.29022913007066, 5902.002870800585, -1130.735677419143, 2805.5818234990875, 1424.769130815519, -16636.77985660883, -4603.524921334494, -8444.254945953027, -3959.8597767714236, -9265.78216757896];-0.5925369170031041;0.8726594762158751;5;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2015-02;2015-03_2016-02;SC;oleodiesel;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;15813.734771411077;0.07190168842776436;63.63636363636363;-6.039124181941005;249495.22861771067;0.3100019342874343;219886.70926525985;213693.4941261741;214820.2716184754;210301.9367299995;212709.8737869058;219380.54843617667;215820.41745498154;222583.89106582163;217195.21851272724;208398.7807361231;206473.06128286055;206512.26998149155;[12480.135634740145, -3051.8671261740965, -17136.334618475405, -5598.618729999493, -15144.944286905811, -6587.845536176668, -18064.43875498153, -24188.29966582163, -25889.397712727252, -16029.297736123088, -17648.518282860547, -9380.190981491556];-0.04822653800539697;0.954357375407969;5;295;-3.452713099849546;-2.871387839457783;-2.5720171933352485;False
1990-01_2014-02;2014-03_2015-02;SC;oleodiesel;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;12535.890750944485;0.048991568041430365;63.63636363636363;0.43934322419931293;197655.7956137131;0.278143291252299;218213.43379095444;213757.42142283634;214074.26347520662;209018.78522692085;211031.69981156997;215054.0929489278;211619.57908486735;216100.95340878004;212939.16330934686;204581.9858180193;200307.4983689219;200532.6151057352;[-2966.3257909544336, 2752.141577163653, 4407.962524793373, -17863.24022692084, 9831.459188430046, 5959.720051072189, 9847.345915132639, 23495.114591219957, -3416.147309346852, -6169.875818019325, 9835.189231078111, -24561.127105735184];0.510924057410281;0.985201369389778;5;283;-3.453670163592738;-2.8718077069772248;-2.5722411158835796;False
