train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;158991.41250722978;0.1558738410454161;45.45454545454545;3.497641170662983;3765933.105308943;1.2721516244862627;772834.4584689424;747255.7486742737;744450.2636090966;733403.7395998591;733134.0182838218;761676.4600577916;800681.6875638325;820707.9817257493;829856.7490597975;899245.9510888564;978006.39448532;999946.0111484615;[131933.52353105752, 117418.81332572631, 259272.5613909033, 157825.8194001409, 124420.95071617828, 117271.56694220845, 37107.04543616751, 6301.575274250703, -30423.753059797455, -31242.063088856405, -217341.08048531995, -316584.4211484615];-1.7215583434658082;0.42004059310292685;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;170610.95449906748;0.18551704592044457;72.72727272727273;16.148570481479922;2028526.9539253637;inf;716642.1645982786;655928.4609984364;618738.7418749421;568337.7290442742;577953.4859723962;598046.2861245234;686885.9609311183;715216.4483376987;711725.4528718218;795132.4032408978;870586.9669233627;988814.8966640347;[72339.68440172146, 119077.25400156353, 214741.17012505792, 175867.58995572582, 201063.71702760377, 258480.35387547663, 148801.74006888166, 167936.2916623013, 162842.41812817822, 240256.80575910222, -20770.214923362713, -102887.88366403466];-1.678069359524944;0.4424457443227285;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;208835.821313444;0.21975287615884534;72.72727272727273;23.251589471872897;2486108.0748932348;2.306195596795173;562766.3452330008;543086.0617827502;534356.9125028261;537042.5565714939;541704.3491848856;564304.6440674342;589569.712968367;591363.8947921798;593276.3560010127;644204.3145741734;679376.3497676165;701023.3570798655;[13276.633766999235, -11974.408782750135, 128564.53849717393, 171706.4224285062, 250627.6268151144, 227650.97593256575, 236263.78203163296, 265131.70220782014, 273232.6649989872, 370267.8604258266, 102480.81323238346, 118346.72992013453];-1.9352924415679547;0.3156448396543142;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;95685.29853523306;0.1418518039978315;54.54545454545455;-9.462454972007759;1889196.0238227185;0.30402862658970353;636635.3630272183;630182.8658647488;631732.8532663621;629509.5107175156;629545.5578310903;631105.6490099586;636472.4559517207;638484.744811795;649755.2014482114;682658.1087785552;706292.5613877987;718080.5199928948;[-92318.06202721829, -193482.7868647488, -148112.49626636208, -92796.8807175156, -22294.73383109027, -38997.643009958556, -3659.574951720657, 34037.986188205075, 5854.535551788518, 77727.37022144487, -58016.94438779878, -143978.11099289486];-1.830395053733056;0.3654791874836593;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;79354.69674777832;0.08166362782997262;63.63636363636363;-1.3864070322970279;1252319.8016130126;0.2888355442521306;622795.5818242414;624438.5238418016;620832.259574067;620172.9481685653;625411.6519938762;629863.1016443983;642314.6011673023;653528.2292594418;669847.3017659355;735461.4326941015;799473.4790863807;813215.0073529254;[36986.22817575862, 49473.82515819848, 37580.963425933034, 1800.2368314347696, 37710.320006123744, 55486.42535560171, 2691.322832697653, 40117.51874055818, -6522.061765935505, -7707.740694101434, -171619.7390863807, -186177.47735292534];-1.8887045812536396;0.33739334698521684;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;169874.28494329116;0.22885944076379497;54.54545454545455;-20.773778617620845;3360371.75229865;0.871264141722728;803567.4693040656;802152.2143776906;792732.3559000195;790874.5684974049;790162.1921350035;786286.826973465;799967.6409031991;809947.5818131051;822613.1547088379;875207.3037596294;914301.3054555138;921142.1366707619;[40673.96069593448, -26205.076377690537, -94112.61990001949, -82687.9624974049, -166672.07513500354, -99511.32197346503, -179718.33790319914, -181995.3968131051, -186897.74270883785, -147235.16875962936, -277380.81245551375, -302654.1676707618];-1.5890888562394905;0.4890722066165688;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SP;gasolinac;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;109334.92052408666;0.11373354916101923;54.54545454545455;4.163557535274041;2157359.924673418;0.9576628037631052;805524.4436808946;800850.1533402487;798059.0655007227;783103.9220634229;767825.6329920974;761190.7782230413;758612.1903951922;784332.2067310514;812665.530998532;881713.1733829145;897652.4256560701;914681.0562109008;[157169.16131910542, 85841.0826597513, 113913.24349927728, 110785.16693657718, 99538.41000790254, 115149.7247769587, 61444.2006048077, 40376.10426894855, -21833.547998531954, -2305.699382914463, -149234.89765607007, -186555.70921090082];-0.7867211396565648;0.822991547576913;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;94439.65788739672;0.07935995194787063;63.63636363636363;8.389199358846662;1490285.5224622244;1.663927341749829;760908.5516603464;758144.8871781192;750327.4766579984;745950.1170027734;757370.1169497314;747872.5887078609;755066.3168269263;768338.1036172966;775271.4627774329;811527.8441751545;835871.9335517186;857904.379183077;[137263.19333965355, 100523.5578218808, 24545.355342001654, 17794.82899722655, -1222.3479497313965, 45032.678292139084, 28447.344173073652, 84557.70938270341, 138354.17822256708, 214211.3628248456, 38161.01444828138, 26221.059816922992];-2.1902218099481625;0.20981349793238563;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;103683.4911633598;0.11744813553479731;54.54545454545455;-11.53171508839375;2046014.7788090324;1.3104651968025258;840103.1732565489;849000.3431222767;832357.656261084;840098.2454934468;836382.6033161004;836783.198259867;849233.5464255479;868195.8432248837;891947.1376344033;923879.187413872;974119.4573359687;945771.8547003277;[-56342.74525654898, -54736.52312227676, -70098.89226108405, -70545.7154934468, -73763.65731610043, -89521.73825986707, -105299.53442554793, -70588.0062248836, -133453.97763440327, -10372.557413871982, -221560.69733596873, -128099.48270032776];-1.8501413536193199;0.35586708451455207;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;SP;gasolinac;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;85719.57732660785;0.07933291170590975;54.54545454545455;3.363974844859548;1690112.840475582;0.7311089914745961;860825.4096085014;848497.8366769637;860168.6237016368;840034.8036219638;842930.1550062872;846499.5335126618;848326.6153086054;857406.7989238589;863319.8669158327;899201.0955607246;901587.115647827;916891.958221757;[42323.29639149865, 108276.81632303633, 82576.48029836325, 12561.085378036136, 36965.913993712864, 66580.49448733823, 65258.64269139466, 107713.57807614107, -17807.03991583269, 72088.10243927536, -14241.378647827078, -200762.08922175702];-1.3227915376856139;0.61868173355247;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
