train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;723.6105351310972;0.04519446454506454;81.81818181818181;0.29526621510330603;5711.472218990688;1.0061580811581863;14231.813176959604;13934.26994822788;14182.158344527345;14333.440834497389;14554.085189466565;14873.249999787444;14262.979236282288;14446.89390843875;14231.272281112786;15289.552844319653;13810.374387484322;13898.50915314275;[536.8861030403968, 228.1575917721202, 889.9159354726562, 1233.4595255026106, 578.8550305334356, 701.6195702125569, -52.895906282288706, -870.259848438749, -944.5494511127854, -823.5184243196527, -523.7711274843223, -444.39321314275];-1.922417603988961;0.32158975519027644;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;DF;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;587.2699162321977;0.030140446710925722;81.81818181818181;-1.2284075045733733;4631.453381556141;inf;14360.777580193113;14161.100042770346;14339.655039672654;14534.540812557274;14743.008656415012;15009.452339737796;14406.649225303438;14566.877935217391;14377.676576773125;15397.91981073789;14019.244817695033;14114.41418511247;[400.57748980688666, -689.7739527703452, -24.41409967265463, 237.43019744272533, -303.4488764150119, 390.8284602622043, 6.627944696561826, -7.165975217390951, 189.9284932268747, 171.81569926210977, -1398.790107695033, -1085.486645112469];-1.6985078374399005;0.4318814474457321;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;DF;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;701.8571521102269;0.042301309428873855;100.0;-0.2768338296665714;12.855920465731888;1.1812058991980825;14205.326692742914;14091.900099487855;14274.709843726523;14483.32476990774;14759.267134492271;14972.25981428606;14490.669630887784;14733.300584278864;14546.573304468646;15669.671965440006;14326.126164002511;14410.80340484628;[1148.3109872570858, 80.77925051214515, 409.8626162734763, 565.0502300922599, 692.3940955077287, 526.674965713939, -295.92325088778307, -284.03971427886427, -759.8178744686466, -811.7806654400065, -1323.5174640025107, -431.01536484628014];-1.737038481070512;0.41213720676632154;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;DF;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;913.6030130335463;0.05653239431663081;72.72727272727273;-1.082436498849099;10812.169449322058;1.0453185189962981;14613.190511678366;14501.25219107462;14704.515826163002;14837.636354649925;15095.662013878193;15269.712457114058;14691.316926930765;14834.214158699597;14635.63091607152;15608.425144834431;14154.157415577749;14293.896634916688;[1398.142818321634, 1386.2405589253794, -1241.2404661630026, 488.06835535007485, 594.252846121808, 88.77848288594214, -753.865836930765, -566.7630686995963, -810.6254860715198, -537.0392748344311, -600.997995577749, -1342.912934916687];-1.5744437938200992;0.4964172321417281;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;DF;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;845.8698177179433;0.05130298302977057;72.72727272727273;-0.3904952477207793;10008.643321698028;1.2190404952716198;14193.052138702153;14337.340985188055;14193.969694156985;14638.89336093228;14656.32502885447;15179.286256930352;14826.353042927709;14999.466461753169;14928.670155107335;16269.841186620955;14689.473457605065;15008.271768695611;[390.55837129784777, 583.4742348119453, 1477.970525843015, 126.59757906772029, 1201.2746111455308, 425.0724430696482, -783.6501429277087, -459.442911753169, -672.5451551073347, -892.6745166209548, -963.4988176050647, -1125.2065486956108];-1.3928151500269574;0.5857157376427145;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;DF;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};12;12;1090.4894930446235;0.05112035391069369;36.36363636363637;0.8430109533921468;30074.371204831383;0.9129809616535703;14657.61571103833;14354.013513645185;14669.79548476943;14614.66237184323;14982.009831237683;15210.297016516279;14713.679334760416;14839.236418123248;14610.115693780353;15565.662694169878;14348.727353668428;14531.132165333009;[224.12522896166956, 1181.8252563548158, -1551.3552647694287, 2901.199948156771, -21.57324123768376, 472.3497234837214, 133.78262523958438, -265.6657681232482, 491.6578562196464, -553.0847941698776, -794.1367736684278, -713.4854253330086];-1.492040869307351;0.5374448685369992;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;DF;glp;ARIMA;{'n_estimators': 150, 'random_state': 42};12;12;805.0580620655314;0.04934255594924785;36.36363636363637;1.6831287994023263;22202.2201796406;0.8897811073013976;14392.62209688978;14126.732445991143;14522.571655279435;14523.08656631882;14837.856343959927;15055.307845926445;14517.684595562298;14766.2791109282;14554.144712235126;15636.76676188673;14181.47013436628;14166.124489090686;[1307.2117431102197, 1288.5640040088565, 608.1874047205656, 517.9551136811806, 830.7704660400723, 373.54289407355463, 1010.0385444377025, -910.5369709282004, -469.83803223512587, -684.2135318867313, -542.4628843662795, -328.5139790906851];-1.3740347385435674;0.5946589643144556;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;DF;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;505.6823250987691;0.03003992878139862;63.63636363636363;0.8965808516050086;7969.482387754585;0.8880274868640847;14334.316531228476;14039.084689363559;14466.222654876425;14445.675047052555;14775.632138543497;14939.152258017339;14382.552506535532;14609.950519241691;14370.167995831282;15456.262569546861;14227.343113068033;14299.664026467284;[115.29397877152405, 403.6580606364405, 267.0200951235747, 806.4553829474444, 417.983801456503, 844.490861982662, 344.0272034644677, -605.7276892416903, 98.68164416871878, 126.63598045313847, -593.7525330680328, -647.471996467284];-1.2556942771916655;0.6491908055753053;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;DF;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};12;12;772.2149706830882;0.04407577584554165;54.54545454545455;-0.5569768680307811;15214.646021219562;1.1347872799068146;14477.760012930696;14227.407285085374;14710.442002228794;14615.733380557414;14989.259442869181;15177.837226274374;14532.571464079596;14812.651050033883;14620.971457450889;15601.898735563746;14606.138475425141;14582.986866608368;[537.5552070693047, 606.0311249146271, 85.6739377712056, 863.0945194425858, 870.0612071308187, 310.9852337256252, -45.76892407959531, -416.39924003388296, -1173.7178374508894, -36.773735563745504, -1356.133045425142, -1224.7513566083671];-1.2530213596209583;0.6503819128834806;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;DF;glp;ARIMA;{'n_estimators': 100, 'random_state': 42};12;12;877.6344978326897;0.047280877277907446;81.81818181818181;1.078701910400075;6927.919975443649;1.002635705551383;14649.080083183004;14376.82637355116;14819.414695939744;14674.067933755441;14934.991507821109;15205.773560374508;14507.399218121951;14669.43571393331;14539.021883531745;15624.49132508787;14427.561407202335;14612.73648450943;[285.40179681699556, 1060.014206448841, 1357.3208140602565, 898.1168462445585, 1361.7838521788908, 69.04346962549243, -99.81769812195125, 141.65486606669037, -352.42768353174506, -213.61451508787104, -1219.269737202334, -1357.6386545094301];-0.3393326094400335;0.9197459719597154;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
