train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;13553.520084492464;0.14251097217259542;45.45454545454545;14.791611391543144;320958.6328717453;1.122805566014799;65374.47796128742;64245.182060299114;66923.6108679304;64708.88866847418;68838.9322981399;67432.50115948143;70661.7096384023;70069.16172868511;72344.13784045533;76529.3453599442;75910.00536938716;78569.83953201909;[10690.135038712579, 5692.960939700883, 6943.194132069591, 7349.72133152582, 2464.7007018601, 15819.396840518573, 12495.428361597704, 20369.77827131489, 17454.004159544682, 22641.236640055795, 15132.91863061284, 9044.05846798091];-0.4510085384052303;0.9012275357456834;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;5146.3106565142525;0.05362861462966446;63.63636363636363;-0.8869472022892877;81153.72892839143;inf;60131.618875636676;59192.155463648916;67362.38054821598;66075.36488718029;73605.51233718173;73508.38618015843;79300.29046624165;79996.60262049007;79153.4612641079;80862.43835191042;74948.42374476607;73598.63045526113;[10215.42812436333, 7507.466536351087, -1268.9335482159804, -906.203887180287, -1042.1133371817268, 426.9838198415673, 233.91253375833912, -811.9346204900648, -5765.297264107896, -1170.536351910414, -9082.831744766067, -5964.631455261129];-0.6034762663064083;0.870194596776217;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;11314.256626647686;0.12672969485920818;45.45454545454545;-8.385861092844275;267853.8784745572;0.8571558399278396;75414.07103887027;69987.68510648799;72642.40159077183;69087.0771874321;71247.8709602861;69069.26880168942;70150.21413019321;70618.00062426658;71380.67143950712;76251.4457549907;76774.55886290914;81414.54941885323;[-1330.8080388702656, 4770.054893512017, 716.3584092281671, 2340.1798125678906, 626.1320397138916, 2448.0081983105774, -559.0031301932177, -2246.073624266588, -16232.09043950712, -11101.968754990696, -23370.67886290914, -23684.79541885323];-0.38465686808132327;0.9126291843426473;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;10070.904617049022;0.12206628663881948;54.54545454545455;-9.43500210749838;198754.2409591231;1.7732503622037115;79849.79920694456;78152.12500685392;77950.61613300527;75319.2444910136;80359.82028909835;80840.70906668821;82537.57593952415;81856.06875839835;83501.61597233129;88816.4236319439;88524.9063285465;90517.30541715426;[-10044.68520694456, -15906.966006853923, -11768.07413300527, -8367.243491013593, -10759.076289098346, -5330.840066688208, -859.6929395241459, 8597.15924160165, -2803.0729723312834, 969.1743680561049, -12385.282328546498, -16541.895417154257];-0.028446433809778213;0.9561154035476506;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;18875.783698331863;0.18983052714277437;36.36363636363637;19.61130718103466;521685.6991915738;1.2969597692404953;75546.0646337214;72185.64314550435;70440.99262125652;67601.56676040532;66193.26283720882;64729.449923771426;62389.84747131547;63425.354567345836;64166.47456150726;67024.49187475516;69076.22093594547;71825.29933053828;[2801.5053662786086, 8822.736854495655, 11127.305378743476, 6836.733239594687, 19448.197162791184, 19553.990076228576, 22259.337528684526, 28958.554432654164, 25237.278438492736, 31882.89712524484, 14997.578064054527, 6801.615669461709];-0.22830071542674787;0.9350630946449945;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;20692.0399614159;0.2391101719525233;18.181818181818183;24.77853703714772;735234.9254674368;3.916038229222452;62504.71303291043;59498.134709409926;56593.18463590475;52219.247472663024;50488.90005496169;50162.400065633374;49100.46690036581;48234.037421708104;48827.203102298656;53062.618823184115;56163.592984207964;59734.277752680915;[6525.573967089564, -1345.099709409922, 1799.4363640952506, 13168.206527336974, 20276.884945038313, 27155.420934366623, 24732.086099634187, 32814.708578291895, 30431.923897701337, 23891.278176815882, 19968.18201579203, 13572.788247319091];-0.10926128428553326;0.9485082250152348;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;10719.250722467279;0.15803115435785436;100.0;16.425514921361444;733.5129365664142;0.7829961817996272;45583.941774339466;44539.035586300284;46064.6750315046;45412.427131630764;48118.691742194416;49778.822255176114;51161.72649987157;51809.30901728961;52395.64969323065;55068.96226557419;54283.17459811484;53973.14882341781;[5831.77322566053, 3775.3344136997184, 6157.1699684954, 6477.094868369233, 6708.263257805585, 9893.226744823885, 10590.872500128433, 12612.977982710385, 14136.06930676935, 19158.745734425807, 14482.084401885164, 7743.030176582186];-0.4117892025704254;0.9081117161756986;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;13628.560592618558;0.20718937139298108;63.63636363636363;-18.665965903120842;215820.13346528859;0.443425416076854;49240.333721861425;45853.23241228814;48221.22197125729;48285.93770857139;54457.507378429524;55653.3960438255;59188.908836901865;61490.14690768375;65797.23779480426;71772.99147737332;70306.29937675185;71827.18496681405;[803.3562781385772, 3496.369587711859, -767.6199712572925, -216.76170857139368, -4760.723378429524, -3476.0300438255, -8671.525836901863, -8980.391907683756, -16673.171794804257, -18225.563477373318, -24046.16937675185, -28920.08996681405];-0.20346814079741754;0.9381069597224242;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;19721.53858653543;0.28889046480585223;36.36363636363637;30.15301201472973;545908.9640325828;1.3201235983446833;46266.198377675566;44658.61474547792;44700.7463312057;40345.06468851912;39521.49084468975;37865.47978934163;37951.34563220758;37022.31738506166;36684.875557599014;39386.41958914775;40874.05196072359;43776.95224683238;[7501.601622324437, 11757.725254522076, 9112.013668794301, 16037.926311480878, 20520.14415531025, 21665.667210658365, 25463.82336779242, 32787.563614938335, 26311.098442400988, 27157.608410852255, 8241.279039276407, 4568.440753167619];-0.18745727418174338;0.9400002562916968;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;MT;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;5990.914394501613;0.10132012442854599;54.54545454545455;9.678870968027477;118180.37977809316;0.173685087628584;39320.7200385882;38218.44106451729;37376.70396599144;36710.46792377559;37859.84741626745;38801.11850002633;39100.90813094452;39441.36355708082;39937.47553238064;42887.27658849368;43788.825111270526;44567.44405518136;[-1584.9990385882047, 551.0529354827086, 2517.431034008565, -1536.8089237755921, 1850.8665837325534, 5453.459499973673, 7548.913869055483, 9989.144442919183, 5882.74746761936, 12327.173411506315, 6216.245888729478, 2008.698944818636];-0.32170846282957366;0.9223729952188607;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
