train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;15505.578427455264;0.04176579294399715;90.9090909090909;3.3806727734106805;61317.97017771542;0.71709358124894;284743.1260640959;267411.6110057307;280194.66831588326;289439.0027989572;310337.2123711587;309560.00121050567;304207.20791208127;313077.1784931653;285210.95151581353;252610.7261713834;241056.85578183568;260189.5257480868;[29143.87393590412, -13465.569005730707, 11051.204684116761, 8631.431201042782, 19381.997628841316, 28900.012789494358, 6476.785087918746, 3132.8015068346867, -2451.711515813542, 3290.8948286166124, 6458.49221816432, 18345.820251913217];-0.2544163146441696;0.9317168211739894;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;13916.965811733497;0.04522505493946736;100.0;-1.3648954155425335;272.53626481795953;inf;280291.4537259348;260339.77280819736;270764.119608324;285950.31634113094;308236.93992057757;302851.32488922216;301345.6148067972;312878.0256226078;282053.9137254394;249537.8898846711;240297.5050753586;257324.18687030842;[14859.814274065197, -10707.17880819735, 5871.930391675967, -7687.779341130925, 1896.8910794224357, 6496.01111077785, -953.4898067971808, -7701.075622607779, -21819.772725439398, -16249.862884671107, -27010.65207535861, 17871.655129691586];0.0028126671043772738;0.9587640744780581;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;31320.53608569568;0.10240343004962099;81.81818181818181;7.517215743540795;247974.89290068176;3.1679093493299004;247497.39573213583;230718.5722281548;234108.90385785958;247748.79357819536;266465.39175882813;268023.65948543313;269370.79003354895;285772.5598857895;266564.0667125925;242498.2944028976;232638.25731762798;243313.92551162545;[31799.723267864174, 16950.75777184518, 20784.416142140428, 29573.107421804656, 54678.408241171855, 44722.148514566885, 25356.372966451047, 39346.63011421048, -19237.356712592504, -17572.10240289758, -13334.196317627997, 33601.23848837454];-0.2514180837592592;0.9321087141536694;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;20302.350877830137;0.07163930936216194;100.0;5.455706912025278;629.7937633931945;0.6766325845501167;229526.15891943898;224310.8606474768;227870.65233641406;239323.20189750564;257915.91369124455;256118.7510953194;252924.71003366326;267181.3241445381;241906.19320056413;213077.8068869653;205954.3043160012;216766.10115996154;[4938.947080561018, -24515.43064747681, -2836.19033641406, 10379.128102494346, 29457.30630875542, 21080.218904680572, 19005.919966336747, 34781.800855461915, 20318.398799435876, 19807.376113034697, 11368.615683998825, 19685.870840038464];-0.5936643618777944;0.8724072045269781;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;13107.364019946428;0.05015696995621862;81.81818181818181;-0.37212320055848236;103478.7978003629;0.25164354151357743;237923.6963366377;220969.7388026815;224505.55320146412;238253.58803513512;250583.3129585406;251238.95741360844;248808.93286776092;256712.77670261142;231776.46075907798;208870.82763087816;200923.0356610724;212875.8839178404;[-18619.0893366377, -7340.575802681502, 5524.370798535878, -5943.995035135129, 19233.087041459425, 8552.226586391567, -4541.964867760922, 14277.297297388606, 2593.1752409220207, -26262.84163087816, -9591.53766107242, 11800.4120821596];-0.5258257365751501;0.8868774889007345;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;19007.97138128283;0.0712788268165477;81.81818181818181;-0.4188146212904058;150236.19977936786;0.319885299891352;214029.61836310118;209087.6869503306;219101.03518333036;230665.39555619415;246360.563717062;250882.49716906826;249894.7140590885;261632.57032126712;239041.79784553437;212130.6964104861;200248.2086189284;207130.3593060283;[28306.320636898832, 1423.5790496694099, -35557.40018333035, 16532.11844380584, 9925.396282937989, 13690.759830931725, -7963.399059088493, -1851.7623212671315, -30503.032845534355, -22279.265410486085, 2374.4793810716073, 14473.690693971701];-0.5144173626538303;0.8891722052700912;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;12631.396235503396;0.049196447316448684;100.0;0.5582713349929146;269.0826750221152;0.19881537705605748;216797.1472914337;213700.5615174942;221552.85205430415;227262.45075119566;239993.12092799842;243819.02173788613;240738.07458792086;245988.99309437603;224300.4026102863;199849.95653189806;188851.8861205874;197563.00782073152;[8016.0814085663005, -26504.9498174942, 1583.4136456958367, 13010.754248804325, 13216.200172001583, 11758.842362113879, 6464.360912079137, 11473.696605623962, 754.53618971369, -19827.71473189807, -8963.929120587418, 3954.4381792684726];-0.5712661055193888;0.8773434312729249;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;33963.90284375154;0.14820875322406143;81.81818181818181;-14.55703979220924;269577.23148010374;0.5213564670451574;235523.9555320783;234726.71422244736;247603.2545679701;259458.22104372154;276139.413211198;273617.03182477993;270211.87937721866;274019.1440039902;253491.09968187506;221039.1236492205;204005.97742029314;211434.57107343324;[-9337.981532078324, -25714.994222447363, -35549.62356797012, -30648.973043721548, -36626.34721119801, -25459.99482477992, -34329.289377218665, -42881.26000399023, -57919.59968187506, -41009.923649220495, -27620.144920293154, -9197.649673433247];-0.2949930549048037;0.9262104780259076;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;48192.34467048976;0.18933612952179424;63.63636363636363;-16.90964140640577;762786.660056444;0.9268474663543176;258890.64844753355;265785.7004838832;267115.6368634235;269373.60022193176;285639.2741782362;292620.74009109807;295196.4552208628;305606.3735239242;279836.0749422371;259038.0103415458;247914.61843965508;249633.39024602846;[973.1079524664674, -11443.9674838832, -22762.4068634235, -4367.3892219317495, -13683.126378236222, -45655.24729109806, -60368.810620862816, -54790.70282392422, -65993.5832422371, -68703.7328415458, -87294.35743965508, -39839.77524602847];2.505888377474211;0.9990517247069688;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;15746.640269041549;0.044904542459785174;54.54545454545455;2.2107144122107734;310238.66744848376;0.6687129114320733;258840.03175102492;258520.0683070016;263900.37203710707;268549.9295135239;278115.89994837873;273289.2070564524;269789.6539174286;278026.76969718;257449.30089729052;231653.29653382036;226639.99240486044;236926.6346865499;[2313.971248975082, 5258.400692998373, 11341.61096289294, -25261.125513523875, 1493.1340516212513, 23074.380943547585, 23101.967082571413, 29881.730302819982, -930.4088972905301, -6908.516533820366, 11834.225695139554, -5079.46468654988];3.312053755726547;1.0;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
