train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;28010.820620256454;0.07403009981031279;72.72727272727273;5.318527490540806;331690.8188965265;0.846651573977816;323198.0284049546;266859.03354886494;282498.3640902306;332045.8500449938;351748.52502251696;331588.4691492335;335520.0974916164;325767.8621757425;285829.67358141387;265521.18561019865;305759.2011241064;353657.82180862717;[-3478.93940495461, -35740.03454886493, 26532.535909769416, 27805.30395500618, 26515.087977483054, 47196.715850766515, 18842.502508383594, 13635.765824257513, 2597.7594185861526, 28944.09438980138, 46924.43487589358, 11434.332191372814];-0.7319676328157823;0.8382945513478453;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;16108.91458391053;0.045745103758226664;90.9090909090909;1.078776370299101;63731.67456723861;inf;319028.50648627355;258830.1413493239;267868.61062406754;322662.6997612736;338890.84874734364;325231.20663568843;324055.25965859066;306569.39912151475;255362.1012622424;255526.74375772415;312525.46363592806;348278.6958698189;[-17267.006486273545, -15264.526349323918, 9504.389375932456, 8043.071238726436, 9619.208252656332, 6491.876364311553, 3620.4443414093694, 20567.006878485263, 11748.590737757593, 6300.927242275851, -30778.90163592808, 27054.223130181083];-0.7174106267445296;0.8421881044992314;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;36169.29627787692;0.08768692846849173;81.81818181818181;8.695481103375604;286133.3807029466;1.11106728242963;268481.04253097804;213012.15428949075;236850.0815764819;305087.82562171447;321774.79027518816;283135.505559233;288980.6347321614;293681.53092714195;249189.36572191594;220312.90240683284;259215.2729610364;307181.36266192136;[69736.23346902197, 34722.49471050926, 8804.44942351809, -3845.736621714488, 25883.49572481186, 42430.34544076701, 5226.366267838574, 24939.325072858075, -7128.365721915936, 1855.617593167146, 71766.8310389636, 34831.08733807865];-0.7846868358690166;0.8235788624898079;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;20748.09444781603;0.06173619672046238;81.81818181818181;3.48284198067255;163904.01632504043;0.39511866628500225;248032.81466203125;199900.98316760405;220050.73905408062;276319.28226642846;283184.16774915525;264485.7783256607;279546.5517456931;278981.71457740956;221705.60092781993;209885.5279827475;265640.5855945561;297933.5586183194;[-3704.3306620312505, -8363.066167604062, 16198.780945919367, 18624.72573357151, 45951.51025084476, 18616.968674339296, -8074.322745693091, 18242.112422590435, 12003.398072180076, 997.6180172525055, -27419.675594556116, 26829.827381680603];-0.8403351834462862;0.8069859300047704;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;21693.487598454238;0.07308828238533846;90.9090909090909;1.23858705569868;86082.80727390926;0.304444631331388;248600.8252040263;193860.69234341194;203325.39006737494;254691.92435610227;274445.79420778545;268233.1455205095;265824.1282571433;255990.57725706414;223568.8914512207;222360.12348703807;257216.7483520474;277281.27841400576;[-27516.189204026305, -1513.710343411949, 11034.793932625063, 6720.85964389774, 15982.080792214547, 10032.366479490476, -12633.151257143298, 33768.339742935874, -1247.1834512206842, -43978.06048703808, 17759.190647952608, 28529.520585994236];-0.8848080765685662;0.7929341597572365;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;21048.953281805305;0.07124013406270731;81.81818181818181;3.4735930427485178;166367.40620017768;0.252626374070988;230830.8999631696;192814.58255580335;206712.66315819195;247482.4065280474;254476.3815532091;239614.93686804315;249148.4743326365;254810.97625169787;219824.29721205888;202534.86145952894;231304.94394106304;256171.10049972014;[21622.245036830398, 4705.323444196634, -40234.65115819196, 14815.894471952575, 19828.666446790914, 33459.809131956834, 664.898667363479, 7246.6907483021205, -5124.715212058887, -4114.523459528951, 35035.74505893697, 12341.591500279843];-0.9660575277977522;0.7654419139319115;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;18177.303931125494;0.06395315261395344;81.81818181818181;2.5648056036007465;143613.0333211347;0.18053256495000425;234843.79253417256;200875.49181921053;211777.59676647076;239324.06414896707;241756.38156772646;240279.64646957838;246604.0397374557;225607.68503672426;184583.04911817;180802.11340391033;217224.25014474586;244709.18298715146;[3993.487765827449, -31669.638819210522, -8366.47346647075, 1848.0149510329356, 15203.433832273528, 4380.066930421628, -9318.555237455701, 27855.16626327575, 36782.86488183, 2618.5335960896628, 9122.95785525415, 17790.62001284855];-1.1629685971542696;0.6893194840382111;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;18217.204785006747;0.06732551038226692;81.81818181818181;-4.716576933466459;143954.90468838267;0.14376332935674657;251600.45265109962;205166.01677321462;198492.45880676105;230579.05261085785;247711.05139856943;235121.69815500357;238981.52397466323;244369.16981544023;221689.65968514426;193779.0814208119;207071.40948319202;245817.16533704888;[-4936.856651099632, -11968.036773214611, -7166.327806761052, 5344.510389142146, -9564.686398569436, -564.9121550035779, -7296.72497466323, -19530.189815440215, -46105.86168514425, -31084.59142081192, 10779.935016807984, -435.8131370488845];-0.7937430059399369;0.8209531063780107;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;22849.6360189588;0.08277973589610971;63.63636363636363;-1.2552980015234998;360608.8005341038;0.23076926218093374;217465.1692769701;211023.7180891229;219365.31658797726;237944.7238297258;244282.36587026066;249748.636599738;261812.29305395356;254366.839352551;216150.25021160705;201608.13536976467;208236.32665039963;215944.69559061062;[41110.23942302991, -12835.527089122916, -36095.07958797726, -7642.684829725797, 13047.163129739347, -17229.048299738002, -24415.318053953553, -3561.6122525510145, -4246.258011607046, -7992.791769764677, -14929.952650399617, 40847.54740938937];-0.9583909032539197;0.7681362752724241;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;MT;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;15651.51268818075;0.06068893545832427;72.72727272727273;-3.014200980060261;185247.58217702352;0.15282673378202347;241566.92364179078;208997.82684893577;206643.28447124056;235826.0339203855;250714.5371565619;239588.0535354859;248996.38762344015;262269.3899357043;227663.68842281002;194682.76218982722;206906.4628483256;239188.5307037077;[11896.489358209219, -15033.625848935772, 8581.66352875944, -19043.920920385484, 965.6828434380877, 5980.7804645141005, -4729.819623440155, -3337.7369357043062, -18063.333422810014, -20753.490189827222, 7974.816051674396, -35284.31570370769];-0.4180479861955406;0.9070415189702854;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
