train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;24051.09826262183;0.0534425534750142;54.54545454545455;2.8407647350832193;473940.8548550476;0.8353307016160753;350269.8036492274;354419.7015723081;326289.35344685026;291356.8459279613;286242.49858618615;307566.32687621407;315092.30210524955;346950.77807819983;352634.7573034499;318531.63737568253;286421.51635109494;292062.4950932839;[45273.5143507726, -4823.43657230807, -5760.464446850237, 7035.925072038721, 6545.9654138138285, 51638.29212378594, -23441.99010524957, 5860.42392180016, -16877.877303449903, 25942.255624317448, 22992.240648905048, -2465.61409328389];-2.0037166614903485;0.28494585419200485;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;22830.582023215207;0.05469146852948547;63.63636363636363;-2.5881412853083106;360029.9739481865;inf;381796.58324129396;384051.7839224826;316151.31151282095;292017.27977063606;307453.6715039137;320175.2040286773;324074.7279640436;366726.020414607;355650.7804271005;306480.0921580654;276450.0869239472;298331.1075087068;[-29277.77724129398, -57638.41492248257, -2189.541512820928, -14977.263770636055, -24620.707503913727, 5057.597971322713, -1660.7499640436145, -7175.788414606999, 18719.35857289954, 20794.53484193457, 10307.177076052816, -16470.110508706828];-1.7221139516079151;0.41975622444071675;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;40673.89915010208;0.09636904012488505;81.81818181818181;10.185362926060773;321921.9490968074;1.6766181755191283;334339.4279543974;311281.2637856044;296415.5485038397;278622.39150213683;271876.28544686496;292147.0108102139;291311.8755652058;328441.69986973476;314342.7728220684;289134.24339483917;269182.2342401135;272089.79688707314;[43513.93804560258, 91425.60221439559, 14339.039496160287, 3694.014497863187, 47549.61455313506, 41982.95318978606, 14060.589434794209, 45808.10913026525, 44715.133177931595, 16934.67860516085, 15035.68375988648, 23433.310112926876];-2.3800045963318874;0.14745967195599308;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;19868.651224881025;0.05514104671853471;90.9090909090909;-3.746492834793706;78687.14680219404;0.6391465534328771;344801.10526249284;337527.9786885809;295126.93475189054;285366.3685420324;287916.30619489576;307281.7998824549;307182.8832343676;329717.78048896836;323628.6825325123;290335.3450881125;277121.5985474809;288686.83863645815;[11970.066737507179, -40912.614688580914, -6731.751751890522, -12317.08454203239, -14172.521194895788, -1590.430882454908, -25562.178234367573, 16509.398511031643, -9216.6545325123, -6847.772088112542, -6082.482547480904, -37746.49263645816];-1.9894902280867544;0.2912001954147684;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;13412.310100437473;0.036083308730491474;81.81818181818181;2.798022004647819;105804.4021411752;0.6268548906593101;348083.9581043877;319594.30894432403;268253.63230914494;286214.04887457925;287236.8424588695;296259.69082781876;293243.127056237;321309.852030649;321304.5120381155;279460.4322779069;261601.79591147925;286674.80607646285;[7028.05889561231, 23855.80605567596, 16718.77769085503, -6387.52387457923, 820.5905411305139, 22528.197172181215, 2755.7109437629697, 12263.963969350967, 10083.656961884466, 3355.91472209309, 18886.581088520732, -9166.931076462846];-2.0751264174475943;0.25463328323987644;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;20908.01284281329;0.05213258970334423;72.72727272727273;0.6841174960616259;247384.46191926507;0.4842187224686728;336274.14110366086;320298.1610269029;288768.79331788875;284849.88426633563;279898.20417188655;291265.94074256887;293871.5492469461;319971.49391466804;318860.3253840602;278778.6236680234;261480.7830370941;273086.05692294217;[12351.901896339143, 28967.275973097072, -56834.70531788876, 18591.53473366436, 6699.510828113474, 17316.865257431113, -13339.173246946128, 9673.002085331944, 5536.243615939806, -412.97266802337253, -5425.790037094121, 1311.8860770578613];-2.0381079259750634;0.27011799771998135;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;26168.57767437397;0.04832438153707221;72.72727272727273;0.31534442911923366;309584.32794246153;0.5094179324637126;304382.4203233029;319139.02363190835;306249.3765537833;286938.896021969;271545.5603818118;292006.72117953387;298798.1431812302;316732.775825894;321603.7269461859;290505.2860152541;266485.85177930596;266144.81258228363;[81166.34517669707, -911.5874319083523, -19796.340053783322, -5393.849421968975, 15596.014118188177, -2118.7926795338863, -14751.015781230177, -7601.354325893975, 1088.5811538140988, -24699.809915254067, -3609.9167793059605, -7768.08258228362];-1.4622928013908618;0.5520753156518625;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;17467.801717925366;0.04821654758624882;63.63636363636363;0.011321584809354438;275412.00468185905;0.48117951621780597;345431.1868802441;328817.70445261284;291568.88414251065;263677.3621061463;265075.51474587986;295242.6549512576;311893.79696123686;323017.8545025998;306556.76220100326;272051.713160442;247380.6824318099;275565.72539697;[-13345.45388024411, -4880.302452612843, 18962.250857489358, 37007.40689385368, 1126.6702541201375, 5690.907048742403, -15871.542961236846, -22927.25050259981, 10241.604798996763, 3744.9558395579807, 7833.71596819011, -27183.685896969982];-1.2974556602743523;0.6303355467756111;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;21751.795480922767;0.05003762568595898;81.81818181818181;-1.2739771380565301;171722.66546881286;0.5119431252994207;320704.7377778138;336496.7241815644;302529.9313490602;278725.8147889607;268022.00275495497;296133.3652150287;304851.78360604274;330545.7724593726;318346.1923842817;298078.92161185667;275588.59949631017;259274.9979749618;[55127.878822186205, -262.5701815644279, -22041.67834906018, -2683.4007889606874, -1442.8960549549665, 639.160484971304, 569.3899939572439, -15005.250359372585, -23687.660784281732, -16957.252611856675, -30686.411496310175, 11279.06602503822];-0.20539951533729123;0.9378749417166811;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;RS;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";12;12;21144.357874865214;0.05936955263708473;72.72727272727273;-0.18104069135380862;250247.24450495382;0.6451784969875025;320573.2601157229;339100.1900427043;292962.1170882549;275010.6335806571;278844.0988498082;289687.86447364517;303811.9450325321;334114.2069917142;323580.2559810302;280809.0971894204;261642.3294122732;277902.5996671271;[16502.75588427711, 4555.128957295732, 12408.855911745108, -14519.485580657085, 5041.612150191795, 18982.72252635483, -11008.39103253209, 8316.683008285821, -13360.643981030153, -5646.791189420444, 28177.797287726833, -55916.24366712713];0.24209411563478403;0.9745261279645216;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
