train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2122.4606213670377;0.055978132271249904;90.9090909090909;-3.095945144447025;8406.689087825049;0.6720503911807083;35706.84129382921;35164.76506939756;37417.23614367972;36846.30564116251;36814.31479980807;38253.83109954266;36509.19430403989;36467.846874329814;34636.62823041011;36849.96913267722;34784.52793890224;34391.59875942144;[-1716.8412938292095, -2350.2650693975593, -1056.2361436797219, -1412.705641162509, -3233.214799808069, -2514.0310995426553, -3036.494304039894, -1191.496874329816, 363.9717695898871, 2741.8308673227803, 2104.384061097757, -1727.0987594214384];-0.42905656338494697;0.9051331672695093;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2065.1032232402795;0.04811029083902352;81.81818181818181;4.250528772122933;16301.871147357102;inf;29982.91126455492;28227.6864754285;29410.57257243141;30158.193722664946;30527.355280440177;31619.014606542285;31811.569622642026;32747.425604298835;31244.60752930886;34641.871391339824;32244.007602461625;31911.648410224137;[-1406.9112645549212, 68.56852457149944, 1165.5044275685905, -159.6937226649461, 159.4647195598227, 2971.985393457715, 4074.930377357974, 1746.0743957011655, 1328.8924706911384, 3208.628608660176, 2514.9923975383754, 953.6315897758614];-0.760930911469931;0.8303298767335003;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2487.4758918253433;0.06772460133608231;72.72727272727273;1.054945255758786;29449.43718411432;0.8246164449215608;28172.55249426756;25967.124074296356;23586.02578499505;26520.274980184862;29357.73848313558;30965.131646385893;32656.14929426778;34535.55041588034;31503.227828815034;36006.009268834234;33412.38546898;28540.232265300674;[-295.55249426755836, 766.9309257036439, 4339.47421500495, 3489.725019815138, 3050.8435168644173, 1472.368353614107, -803.1492942677796, -1745.0504158803378, -1700.2278288150337, -956.5092688342338, -4755.792468979998, 988.267734699326];-0.8525549116021578;0.8031951882954322;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3994.9367247380133;0.12483781234691899;72.72727272727273;-3.8221539291025515;47395.38086125961;1.125540895062669;31458.238668722315;31397.840206250334;30273.757641177028;30200.445726708727;31321.538029874828;30806.022515959892;29955.391183662483;30973.584434091445;29920.368260160663;31887.333106626487;31089.908611206487;29701.26231221272;[-4867.738668722315, -7172.340206250334, -5687.257641177028, -3061.605726708727, -2702.700029874828, -2212.522515959892, 1342.1078163375169, 4443.965565908558, 2761.1307398393365, 5209.059893373509, 733.091388793513, -2369.1903122127187];-0.6246108211170732;0.8653234610050549;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2558.6036529189373;0.0708448136347445;81.81818181818181;7.0022771749062755;20222.826936903075;0.9173975910465032;29210.532706706825;28848.351319382884;28546.654153497024;27935.850968916337;28579.196521865066;29145.276033865357;28609.552692540256;30561.822496451576;28942.065198526027;31916.14911751347;31454.300554231962;29179.318171331484;[2199.567293293174, 3019.2486806171146, 3537.4458465029747, 1435.6490310836634, 3175.403478134933, 4266.723966134643, 2732.663307459745, 3175.977503548427, 1620.9348014739735, 766.3508824865312, -296.30055423196245, 940.1818286685157];-0.6311147134209355;0.8637952585309865;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2874.100986948123;0.08700252324243006;90.9090909090909;-7.710233682988592;11422.45754791579;0.7658521661250544;33326.58886572749;32889.256861638605;33012.1006875406;32611.79254040624;32814.63919763465;33475.43134793884;32767.12415312061;33951.21667017387;32710.865308496606;34345.44340131878;33798.92808202768;32138.01326421372;[1447.1901342725105, -1203.4278616386036, -2713.195687540603, -2868.1795404062395, -2661.636197634649, -739.5313479388351, -4499.51315312061, -4695.550670173867, -3883.560308496606, -2579.37940131878, -2083.4280820276836, -1998.5132642137214];-0.3751711248660132;0.9141625025285461;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1325.081562496534;0.03089526060320953;63.63636363636363;-1.686567088539446;20882.83701793821;0.3252045800544988;34162.57389694365;33618.170199063854;33583.24397577394;33287.89565302324;33296.3420381291;33959.5468308937;33769.43683430986;33768.397751611956;33510.10010184956;34836.951009286204;33741.40304382279;32883.67004983873;[1427.4261030563503, -326.4581990638544, 175.35602422605734, 997.104346976761, -501.8420381290998, -130.44683089369937, -1831.3368343098628, -625.8627516119523, -1681.8771018495572, -193.00600928620406, -793.0890438227943, -3223.6150498387287];0.47805460647773174;0.9841905978569587;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1161.072047082478;0.026590949312480336;90.9090909090909;1.5437865010380731;4584.009368669964;0.5377010442406744;33672.86300341105;33378.456904335006;32631.58944483789;32905.18952377507;32518.45709879877;32832.776407383215;33335.0158699414;32991.18400112697;32480.13707860186;34236.29212541401;32509.138220495966;31413.402510027016;[371.236996588952, -1060.0569043350042, -445.3154448378882, -671.6895237750723, -189.80809879877052, 395.29359261678474, 1594.9841300585977, 772.4159988730316, 247.6629213981396, 2773.707874585991, 1582.3617795040336, 821.2814899729856];0.24875179861172497;0.9748671398620058;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4211.297255261562;0.12647085223819235;72.72727272727273;-12.483609411819229;49965.16985566568;1.7583206782313443;37009.54303002763;36910.577583298546;36008.09693869893;36077.84374187227;36384.28579004612;36477.526471610174;36587.0724379636;36736.0217221063;35703.80247508142;37608.243391161726;36499.36272131389;34357.16254018642;[-4596.5430300276275, -3994.8775832985484, -5461.89693869893, -4266.643741872267, -3806.185790046118, -5380.526471610174, -4047.772437963602, -3497.628722106303, -4894.630475081423, -1106.2433911617263, -4965.262721313891, -2409.662540186422];1.5385358207017708;0.9976609449098724;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SE;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2217.0678909716726;0.055258906799647095;72.72727272727273;-0.11336541319137074;26236.02645482667;0.9240936975126821;34454.54164760497;34286.38464549042;33585.53617875382;33540.75213046311;33847.66772655421;33791.67500536848;33713.83658507574;33926.26383972014;33395.79402004989;34304.27591295357;33470.269081845945;32101.520790895807;[-2586.0416476049722, -525.6946454904173, -785.8221787538205, -2385.246130463107, -1396.1677265542094, -628.5750053684824, 936.2194149242569, 2713.1361602798643, -1127.894020049891, 4603.024087046433, 2853.430918154052, -2128.3207908958066];2.2487017633194806;0.9989202433516461;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
