train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;322.79857255051974;0.030705651395691026;72.72727272727273;2.3984395717393734;3816.72403689354;0.9661792456328364;7555.54755945652;7301.306388487944;7513.800894134945;7323.920049211275;7454.009250552258;7612.430452893576;7113.338196562488;7413.7831044413915;7485.035146234786;7647.32822869218;7081.503325684662;7237.933776945319;[689.4542525434808, -76.79008448794411, 87.00345386505433, 656.2484287887246, 25.53603944774204, 206.39744610642356, 363.13281743751213, -72.06027844139135, -138.53514623478623, -52.46772169218002, 306.59450031533834, 186.1622370546811];-0.9568639450331192;0.7686704266383819;9;387;-3.447360865754795;-2.8690374364690445;-2.5707639493486636;False
1990-01_2022-02;2022-03_2023-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;408.7664537215175;0.048293716391234344;63.63636363636363;-2.0914809742167595;6445.710888817973;inf;7842.242221948636;7628.391944888208;7698.06747934948;7647.723086987766;7848.130272597642;7672.461443927742;7569.675518204484;7627.692784480568;7636.942777779834;8097.372890154966;7306.121715428541;7459.669587177094;[483.23241605136354, -523.2397708882081, -37.20153734947962, -63.19772498776547, -734.9237505976416, 271.37007807225837, -261.548706204484, -268.48626248056735, 460.3688162201661, -441.8765131549653, -253.52388942854122, -516.423210177094];-0.8048092018014736;0.8177053175020401;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;424.9865032353278;0.04978867775302729;54.54545454545455;-4.353016182707293;8374.894755743662;1.0910899333307824;8259.373970072204;8056.399236996085;8111.612597594295;7953.051872723414;8323.828127012752;8013.444291485595;7882.78549539272;8040.573978485356;7942.554264963758;8350.185059097996;7691.089918015126;7707.111633359825;[225.59523292779704, -231.0695269960852, -407.85172759429497, 13.29595327658626, -382.4531270127518, -240.7015374855955, -277.65143739272025, -806.2678194853561, -527.4020909637584, -336.9404940979957, -636.2420920151262, -410.73663335982474];-0.5400402766316326;0.8839632536268085;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;False
1990-01_2020-02;2020-03_2021-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;446.113826849901;0.04586951541870619;81.81818181818181;4.464838238368069;3521.4573970163015;0.6545165307172434;7764.5014397172745;7534.511067011726;7721.074562309299;7413.5798427274085;7839.997039161487;7654.363615924657;7332.04999373469;7740.441375853549;7458.434781218303;7931.771142733396;7261.377667765514;7289.874033741718;[805.9442122827259, 401.0885709882741, 220.70623469070142, 745.9364612725913, 620.7330328385133, 136.04580407534286, 328.51703526530946, 331.5622471464503, -113.43478121830321, 522.3611032666031, 255.4103752344854, -4.694685741718786];-0.6577439585723579;0.8573933825997946;9;351;-3.44911857009962;-2.8698097654570507;-2.5711757061225153;False
1990-01_2019-02;2019-03_2020-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;275.1367520857253;0.027460309802445033;81.81818181818181;-2.032910350735725;2169.6279051717784;0.4405940242706585;8039.26431015306;7672.413044405714;7918.8442155358525;7611.512297820618;8077.60128085068;7778.9719689188405;7546.627413174552;7774.479689834475;7653.324955931891;7971.006151025486;7418.145015358045;7431.541655037252;[-585.3585131530599, -2.028986405714022, -51.68660653585266, -550.1264278206181, -79.87664285068058, -33.31073691884012, -118.60205117455189, 222.00038216552548, -279.9191589318907, 70.26739997451386, -155.7084213580456, -286.47100303725165];-0.5491390398640541;0.8820654539700492;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;False
1990-01_2018-02;2018-03_2019-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;613.3961208940315;0.06851030342828235;72.72727272727273;-4.41100858437599;7262.869018845044;1.3386884380812383;8268.926165653686;7887.205853791787;8329.582392838558;7847.194887626887;8093.214792050619;8271.351355160186;7627.035781064186;8025.867705214053;7974.298979669444;8221.291406111399;7650.2899299646415;7732.374406955097;[-228.5873976536859, -326.01382479178756, -1299.7943498385584, 1109.4011263731136, -595.7854440506189, -301.150268160186, -442.2984620641864, -333.81516921405273, -316.30622566944385, -387.8910441113985, -475.8315969646419, -454.5845519550967];-0.43160112285596636;0.9046873186299628;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;False
1990-01_2017-02;2017-03_2018-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;351.6285228769179;0.03846756682159084;63.63636363636363;-0.22523114451423634;5543.176100558013;0.7916335023950174;8059.424799393605;7771.922267089336;8003.933613109665;7744.2250125850505;7936.222924093339;7964.152514515562;7588.9793971581175;7775.071394149597;7863.152210098678;8087.665406392286;7381.73880456179;7589.36584590203;[677.9424996063944, -465.6414700893356, 21.030154890334416, 409.09361841494956, -325.867852093339, 240.61973048443815, 13.488450841882695, -135.08236214959652, -342.29918309867753, -218.55366639228578, 337.0021374382104, -422.44736790203024];-0.5853699739523577;0.8742536642461449;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;False
1990-01_2016-02;2016-03_2017-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;203.90502235400695;0.023988159007559507;63.63636363636363;0.9708987248783458;3213.167155358556;0.6251162804608711;7895.033630950414;7523.310815743612;7725.365875254322;7570.790714315046;7706.479734833879;7626.184053908459;7476.607036381833;7454.1761297548865;7543.354705760533;7883.84445629998;7092.1556700679275;7275.451649918031;[-85.19123995041355, -212.81987374361142, 95.28629874567741, 254.5607346849538, -153.2750248338789, 286.08406209154145, 339.0723116181671, -59.93881075488662, 90.71594623946748, 266.1917757000201, 217.81353293207212, -148.5476639180306];-0.6914533665850217;0.8489509056122502;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;253.04841610098504;0.026913736247489526;63.63636363636363;-1.9387631669961662;3987.8520183526775;0.44010553960250043;7854.932055367481;7617.2640303709595;7721.141689266043;7522.855846575048;7811.56125999517;7607.107462954137;7439.77015567182;7590.289436423293;7492.114420265002;7970.385440631442;7147.796703387177;7251.727675332735;[-47.209229367480475, 15.351911629040842, -349.5348052660429, -124.20186057504816, 112.07279800482956, -164.73789795413722, 115.31136632818016, -333.81298742329363, -417.46405826500177, -53.39449863144182, -533.2188043871774, 49.605657667264495];-0.5269461430107915;0.8866500119206427;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;RO;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;246.74265697860324;0.027626463491800608;100.0;-1.7657546784677052;2.9516860771785662;0.49588917091547136;7771.103938807562;7582.366010652468;7713.658586821113;7442.806403077446;7764.9711828368045;7555.45864499333;7332.854806332622;7607.578906667661;7390.314863066794;7829.555330042758;7146.1542723481025;7130.868944831069;[-117.94451880756242, -532.6214456524676, -297.70931182111326, -405.7266930774458, 24.090411163195313, -231.24849999333037, -83.36748733262175, 134.0261653323396, -244.50689206679363, 104.63851095724203, 157.17181465189788, -73.05191583106898];-0.5128982062684619;0.8894748262512389;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
