train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;40123.89750465896;0.050257819341413025;54.54545454545455;4.042439846910736;790608.5977669134;0.7255967198033794;542935.954597477;509776.30683555617;501609.8761010038;517052.0351864375;538459.4694165409;549716.645058069;532736.5216683146;534065.8178696153;511250.8528736391;495512.38571683946;494003.20499226626;516855.54153294757;[95304.94840252306, -25221.702835556178, 48492.67389899626, -2488.5721864374937, 3798.5935834590346, 67319.112941931, 36434.9583316854, -12118.904869615275, -1657.8448736391147, 14488.53628316056, 30756.143007733743, 7934.300467052381];-0.7216168103923027;0.8410705641503371;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;58414.9953503133;0.10841011518181391;63.63636363636363;-10.611881600469584;922541.514812575;inf;580122.5676540728;545478.2480762494;531763.5989214777;553475.7109872127;588264.1339581968;596322.360215039;577269.2730562898;571305.0462025771;538607.8294527412;510344.6731570411;520090.57494048204;557013.3819624274;[-32202.960654072813, -68359.09507624939, -20593.70392147766, -84874.49998721271, -49793.358958196826, -45092.95121503901, -68721.69105628977, -49724.820202577044, -41785.809452741174, -14697.375157041068, -66522.37194048206, -97543.2629624274];-0.04845425056155123;0.9543367566219029;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;30990.94691608178;0.04084123346630094;72.72727272727273;1.4377729385912066;366534.1953958683;0.8317957463155333;537419.8348360986;500722.39274644386;489654.3804443967;528504.9852108945;557150.1134417814;550620.8712356762;541619.9351631367;534193.4479995732;495750.4226158525;468304.6558425167;482257.92535915866;520272.7060642091;[80302.81316390145, 17897.34625355614, 1234.1495556033333, -48777.96621089452, -9346.64544178138, 33437.31776432379, 1129.5788368632784, 6095.85500042676, 14880.914384147502, 22323.180157483323, -15284.129359158687, -13355.732064209122];-0.3847748735903562;0.9126099606673925;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;31132.301288764545;0.05535606799777785;81.81818181818181;-2.7604994165398593;245849.9805810495;0.8390970741185131;527859.2206958112;477147.6575330221;470725.4113499666;513278.93085037894;535998.8704051825;544551.5529817167;507143.5814972533;509113.4950728665;476618.27549691603;446595.1770224242;469178.1821752877;506570.63217423164;[-14042.684695811186, -56622.459533022135, -5174.121349966619, -45764.229850378935, -21787.86640518246, -24296.977981716685, 32389.521502746677, 45086.90092713345, 1334.866503083962, -13094.148022424197, -34750.577175287704, -24049.96517423162];-0.3261599648681106;0.9217167124663901;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;30959.05411471214;0.05777397368127015;72.72727272727273;-4.118734311846927;366384.18992652005;0.6971533263650918;521640.91655039793;473195.12472239695;456773.20089153753;482927.4032560157;549269.0526827305;534946.4851269864;515217.90512966947;502323.94416823395;475846.4682643994;446054.5543326903;464798.63512109534;480706.99060631165;[-55946.90955039795, -21017.71472239698, -1449.878891537548, -12455.761256015685, -29190.38468273048, -9694.457126986352, -40307.888129669474, 17186.766831766057, -24620.084264399367, -54108.80733269034, -27144.68612109532, 25210.906393688347];-0.3136935744470669;0.9235423967530384;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;38313.705547316174;0.06534977189753043;81.81818181818181;-1.250163644516934;302726.89108210127;0.5997063883355586;486614.1415365224;431674.0377096731;457278.32172392774;460587.91559736984;484781.84080396884;528735.0149963282;483564.5341630886;494545.28140704974;450848.30979641987;406821.55044462957;432511.47276428726;477146.5569305413;[11137.252463477547, 30269.503290326917, -109267.74972392776, 30163.75040263019, 22025.75819603115, -11284.648996328178, -10011.861163088586, -35858.931407049764, 7739.399203580106, 24251.03755537042, 4317.146235712746, -32565.006930541305];-0.3695112562112365;0.9150662017531948;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;26177.248978731648;0.04473332282544459;72.72727272727273;2.0365624345592;309646.16526459093;0.3572504598706608;461577.05017824704;422942.7061495583;435866.1716500046;433429.096615107;441727.6933336558;473452.427203255;458796.75224180473;454447.5290296436;422902.2906207513;400999.32145010476;405475.5209417329;431374.380614235;[29165.432921752974, -41404.82684955833, -2409.1175500045647, 14408.36198489304, 61440.17556634417, 20133.324696744967, 21757.28245819529, -123.87092964362819, 8704.365579248755, -6033.912250104768, -16666.11594173289, 20025.46738576499];-0.5410939824454827;0.8837447738961377;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;25596.24142503325;0.0487664302471237;72.72727272727273;-4.219145505942701;302818.28736695444;0.2703042478436074;474425.99088979897;435972.51462402777;432820.0205012735;445212.7175943468;452341.2223024338;485023.897337883;477395.7843082827;471388.6381075587;428914.85308181547;414893.046559291;411738.3061276748;424922.75835297594;[592.2541102010291, -3532.7206240277737, -24565.909501273534, -2820.799594346783, 3669.6626975662075, -36832.502337882994, -15040.027308282733, -48772.95810755872, -29621.19708181545, -37621.570559290994, -30127.967427674797, 7883.106947024062];-0.14113954366602582;0.945183560195702;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;32678.420654662816;0.0676362936857634;90.9090909090909;-6.511434964208849;129595.25157842705;0.39699305414429453;488793.27818150603;462508.76723961835;444766.9367564072;451830.0699733388;480100.53758101654;492735.33626567945;482255.8812374123;493720.4853392301;438087.0504793909;422816.4204143552;423102.600747357;423718.38008753007;[-12130.824281506008, -48084.31223961833, -32516.037756407226, -10254.08297333878, -60710.227781016554, -22427.217465679452, -31578.594437412277, -24681.3909392301, -40280.66137939092, -37237.66271435516, -19499.072747357015, 2893.7239124699263];0.0732133044647656;0.9641839336621734;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;44289.70973942242;0.09071273541324354;81.81818181818181;-7.8802866788530945;350431.43782854156;0.5077604166389498;495532.80793875747;478168.6428868427;458665.830694519;454742.09329315426;485434.7855404242;491941.1846054368;472910.51901889895;485183.7787335938;446646.939157423;422623.3274684951;425831.3762946193;444316.3374498647;[-57020.70193875744, -66923.10988684272, -18831.486694519, -53206.84729315428, -20177.426540424174, -18384.96060543682, -24761.604018898972, 18858.715266406187, -34008.65115742298, -39355.4324684951, -1918.2439946192899, -90555.19044986472];0.6662606380011128;0.9891399229806944;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
