train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.1};12;12;761.757518541714;0.4444671907930349;54.54545454545455;50.38458126280167;15148.568770678325;0.9962927271508523;628.2632043758726;628.2632045514645;628.2632045389357;628.2632046061863;628.2643540710234;628.263222499636;628.2632046774565;628.2632047696031;628.2632046064099;628.2632046142219;628.2632087780147;628.2632050950003;[332.95279562412736, 205.3587954485355, 141.09879546106424, 100.26679539381371, 246.97964592897665, 625.5527775003641, 732.8047953225434, 798.3637952303968, 795.21079539359, 1281.0217953857782, 1264.5327912219855, 1131.8917949049996];-2.9350806780966185;0.041418038199652805;7;389;-3.447272819026727;-2.868998737588248;-2.5707433189709294;True
1990-01_2022-02;2022-03_2023-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001, 'epsilon': 0.1};12;12;420.81721259774565;0.6894255195166248;36.36363636363637;-48.98492645599576;11740.391089556611;inf;806.3487946331442;859.3293027396695;917.8690072858461;974.5903205858972;1018.4758042867745;1049.5324848454366;1070.2729337345777;1078.8831071457912;1076.7738427562613;1065.773483700874;1042.4601921651229;1010.4671732900276;[187.3492053668558, 131.22369726033048, -147.90100728584616, -173.9693205858972, -521.1568042867746, -602.0834848454365, -655.7349337345777, -560.4171071457912, -359.5858427562613, -396.0504837008741, -471.2711921651229, -366.28817329002766];-2.9609965782784973;0.03870087868602147;7;377;-3.4478152097574224;-2.8692371153451903;-2.5708704003405356;True
1990-01_2021-02;2021-03_2022-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001, 'epsilon': 0.1};12;12;225.59185755757997;0.21908029556176603;63.63636363636363;-0.5696588592198985;3577.0008271790607;0.6708823299360119;1102.988142482245;1054.936416751746;987.189486344807;927.9813765437992;879.9845180168968;849.3812687866415;837.6368188282153;861.7112175970387;901.4052266068535;952.6528810527839;1007.8450862713602;1060.660881678049;[331.79185751775503, 232.20158324825388, 216.88851365519292, 125.92362345620074, 72.32548198310315, 61.57673121335847, 52.53118117178474, -56.59821759703868, -87.10422660685344, -240.5358810527839, -341.83308627136023, -431.87888167804897];-3.04094462627545;0.03124360200993412;7;365;-3.4483935212959844;-2.8694912343676497;-2.571005879151811;True
1990-01_2020-02;2020-03_2021-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 5, 'epsilon': 0.5};12;12;390.8966124059981;0.39633777404215204;45.45454545454545;-27.81430177539982;9308.98454045014;0.6854001226234168;1305.9656442159585;1305.9655611896883;1305.9656444513114;1305.9656439157309;1305.9656443184217;1305.9656444544667;1305.9656443618867;1305.9655625729247;1305.9656414973717;1305.9656443657693;1305.9656528039877;1305.965691426088;[-396.11664421595844, -610.8145611896883, -660.8686444513114, -607.9486439157308, -513.5836443184218, -422.80164445446667, -117.3746443618868, 34.37143742707531, -82.6976414973717, 77.24535563423069, -157.19165280398784, 47.409308573912085];-3.008283851509103;0.0341280013303241;7;353;-3.4490114443793214;-2.8697627072503757;-2.5711506161673716;True
1990-01_2019-02;2019-03_2020-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 5, 'epsilon': 0.3};12;12;260.4106297973094;0.1414482235116256;45.45454545454545;10.835343512971304;6169.896728972039;0.3007798345259168;1206.1932963463757;1206.1934931029793;1206.193491876295;1206.1934926821184;1206.1933578487938;1206.1933765085405;1206.193498898461;1206.1933480880366;1206.1949799119168;1206.1977206312934;1206.1951741976397;1206.1997437866085;[-63.4932963463757, 300.51350689702076, 505.357508123705, 12.154507317881553, -71.82335784879388, -217.27837650854053, 171.24550110153905, 327.7976519119634, 292.3010200880833, 428.69127936870655, 74.35682580236016, -0.8927437866084347];-2.924500006930115;0.042572259425074616;7;341;-3.449673193310592;-2.8700533746644323;-2.5713055939491403;True
1990-01_2018-02;2018-03_2019-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.1};12;12;596.6386632409589;0.3447727188416623;9.090909090909092;29.980565138945696;23589.200998142307;0.831859720762769;1158.1413567179532;1033.453060679971;893.6214573485047;777.3960717670116;634.4235171146283;576.5424060040616;634.495889107364;698.6573158020008;760.7401097694911;878.2198450470596;1029.5404400744803;1197.792450218063;[-3.38335671795312, -98.180060679971, 99.2445426514953, 565.3409282329885, 722.0764828853717, 1152.6025939959384, 1014.1361108926361, 821.3576841979993, 415.87089023050896, 215.11815495294036, -125.04044007448033, -380.49245021806314];-2.904138351680155;0.04486887553917667;7;329;-3.4503836022181056;-2.8703653471616826;-2.571471939191249;True
1990-01_2017-02;2017-03_2018-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.3};12;12;327.4463914730095;0.32585459910255243;72.72727272727273;-6.207380179372054;3917.0082141002326;0.6083765727827953;1087.4295382721143;1087.4295382047512;1087.4295384425086;1087.4295382741616;1087.4295382772646;1087.429538274032;1087.4295382773516;1087.4295379583791;1087.4295382564708;1087.4295382798357;1087.4295394111953;1087.4299747772575;[-237.9295382721143, -450.4295382047512, -330.9295384425086, -498.4295382741616, -319.92953827726456, -174.42953827403198, 70.57046172264836, -102.30153795837907, 219.1424617435291, 546.7214617201644, 401.3414605888047, 113.93402522274255];-2.7974066531700292;0.058645165141652925;7;317;-3.451148243362826;-2.8707010565250752;-2.571650950153748;False
1990-01_2016-02;2016-03_2017-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 5, 'epsilon': 0.5};12;12;1245.386161792089;1.1679647596105645;36.36363636363637;-111.54722702507031;34979.08598540971;2.8242614018459964;2341.1129500395878;2341.1139572851507;2341.113956227265;2341.1139573886517;2341.113957387329;2341.113957439473;2341.1139555937893;2341.1028013312384;2341.113957059692;2341.1139737469903;2341.1140829672195;2341.1223533771736;[-1084.6129500395878, -1120.1139572851507, -1209.6139562272651, -1351.1139573886517, -1314.6139573873288, -1195.313957439473, -1298.0639555937894, -1185.1028013312384, -1211.513957059692, -896.6139737469903, -1346.1140829672195, -1600.6233533771735];-2.920485468718179;0.043017150986460105;7;305;-3.451973573620699;-2.8710633193086648;-2.5718441306100512;True
1990-01_2015-02;2015-03_2016-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.005, 'epsilon': 0.3};12;12;1008.766130296251;0.3731223954124274;36.36363636363637;35.979228240538085;27970.172149407343;0.5461489577139393;1582.2237655921858;1515.3394098609706;1466.362628148844;1400.1868935598877;1383.809825322418;1398.7743489254751;1423.6909688294513;1476.3765354943616;1515.041221775089;1568.786625501529;1617.12194334139;1682.9263369380865;[1067.2112344078141, 718.6605901390294, 712.8373718511559, 861.3131064401123, 1072.790174677582, 1003.2256510745249, 998.4090311705486, 1941.1234645056384, 1171.358778224911, 902.0133744984712, 114.27805665861001, -430.1263369380865];-2.868431981653546;0.04914400607664498;7;293;-3.452867117291862;-2.8714554160827745;-2.5720532321867466;True
1990-01_2014-02;2014-03_2015-02;RO;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 5, 'epsilon': 0.5};12;12;279.68057762725533;0.1490680049137717;63.63636363636363;-6.590506023054539;4424.227132341416;0.2543873081820101;1695.9707373851927;1695.9707343587052;1695.970737393591;1695.9707373850051;1695.9707373853605;1695.9707373848441;1695.9707373864715;1695.9707372809034;1695.970737017456;1695.9707373849424;1695.970737635999;1695.971242121642;[-304.9707373851927, -98.0307343587051, -232.71773739359105, -404.7597373850051, -113.67073738536055, -306.37073738484423, -206.6707373864715, -250.57073728090336, -117.97073701745603, 154.3292626150576, 16.62926236400085, 606.428757878358];-2.7618009720149566;0.06394078898541719;7;281;-3.4538376962008495;-2.8718811911083093;-2.5722803076202174;False
