train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.3};12;12;737.8869667657178;0.03763213705850277;72.72727272727273;0.008709424059166773;8726.498311616797;0.9331821677997836;16225.386948160565;16115.185349228836;16324.694906827128;16381.78770927269;16641.59968176279;17169.061695987795;17187.054880169326;17313.180117730677;16800.09056435615;17431.220970879418;16199.318733093813;15815.287580920627;[365.6290518394344, -303.7853492288359, 1193.996093172871, 836.4262907273096, -787.6026817627899, 1298.5733040122032, -147.79188016932676, 68.0738822693238, -672.6775643561487, -271.24497087941927, -554.043733093813, -1008.1665809206279];0.7312593485692858;0.9904414966526642;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 1, 'epsilon': 0.3};12;12;804.25747973847;0.039859214358463575;72.72727272727273;1.054582488509005;9512.18013354301;inf;16053.464679754168;15957.621115668757;16063.700914959434;16119.339346586708;16323.956242039694;16737.067871644253;16722.66533961626;16814.609716163588;16333.479567207178;16958.580635825343;15873.683174909023;15549.364189191605;[-448.50567975416743, -677.6731156687565, 227.79908504056584, -523.3863465867089, 114.64375796030436, 1397.690128355749, 1573.0916603837431, 982.8432838364133, 419.70343279282315, 326.1503641746567, -315.3831749090241, -993.2101891916045];0.7479409200805076;0.9907476232782615;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.001, 'epsilon': 0.1};12;12;2077.1423169367763;0.11272062295208977;63.63636363636363;8.233166505862682;32809.66842824525;2.1183679463165985;12279.301374595812;12563.23586051135;12621.992176617678;12792.833555205369;13793.847004402804;14995.159760461249;15676.25541965037;16137.2136880621;16025.421981059446;16544.490244803987;15917.599124807657;15267.862565130585;[2574.308625404188, 1603.472139488651, 3053.264823382322, 3352.571444794632, 3324.1169955971964, 1961.1272395387514, 786.6685803496293, 942.3843119379017, -19.52198105944626, 879.4017551960133, -2081.7031248076564, -709.9065651305846];0.6385016719416597;0.988527166627102;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001, 'epsilon': 0.3};12;12;2181.7798086381304;0.133534174751945;81.81818181818181;-0.6514281907929855;17304.26743796086;0.8596206659752227;14474.577050380982;14440.514194801084;14556.216724387206;14503.72819954384;14634.884011875225;15028.534475726472;15045.863343017674;15059.268825710817;14648.44707775006;15200.575183201448;14229.69068453743;13945.678799676652;[-1754.3430503809814, -2948.3541948010843, -4537.372724387207, -1581.7061995438398, -2.2280118752241833, 1199.0045242735287, 1422.2656569823266, 2905.2361742891844, 926.4909222499409, 2939.6528167985507, 786.3943154625686, -492.631799676652];0.5970466919603146;0.9875426085430884;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.3};12;12;985.3646802758622;0.055550205077135255;72.72727272727273;5.684164470422469;11660.960357219006;0.38842376925018196;13361.768461825286;13327.3459999961;13433.992402825843;13410.15209283809;13509.063411250469;13888.346674154955;13928.240681863608;13913.633520415115;13538.241359617456;14085.806125228657;13128.142596930218;12862.046499577491;[231.03553817471402, 294.041000003901, 648.8205971741572, -43.148092838089724, 1006.6315887495311, 1529.2533258450458, 432.5153181363912, 1458.8664795848854, 1297.2586403825444, 1735.2178747713424, 520.1194030697825, 676.0075004225091];0.05191857901635087;0.9626208306132953;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.5};12;12;505.2349476189335;0.02944567518120847;72.72727272727273;0.7647215087585605;5973.330107930284;0.12515820542139142;12993.606462182968;12976.21415761875;13082.861757354105;13068.982404932704;13177.784450005804;13504.091313017947;13571.807205837267;13558.979363278377;13173.232641478276;13712.412326784133;12792.091333652868;12529.241655151687;[203.84053781703187, -203.71115761874898, -150.02475735410553, -426.3044049327036, -691.5774500058033, 901.1846869820529, 214.69779416273195, 1084.8866367216233, 151.40235852172373, 369.5686732158665, 76.23166634713198, -311.5346551516868];-0.02512042709525001;0.9564046810997757;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.2};12;12;456.8334366529315;0.0317399878233521;72.72727272727273;1.5359380713883894;5401.599304766762;0.11789038398322478;12554.818993316492;12548.308499885545;12637.447259376955;12642.513549663592;12750.297686575032;13077.08936662976;13148.933436985099;13138.414514262797;12757.335465549982;13320.793667376722;12410.367793366948;12140.16807791583;[71.6810066835078, -471.608499885544, 661.5527406230449, 411.48645033640787, 169.20231342496845, 615.9106333702402, 241.61056301490135, 242.21948573720329, 541.3745344500167, 719.4593326232789, -371.1777933669473, -443.0950779158302];-0.19837199868714392;0.9387153928338582;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;451.8542514331168;0.02865268432294987;72.72727272727273;-0.05599420600774879;5342.088979080914;0.09234505845154115;12082.422344394963;12185.278416527543;12336.85992298824;12421.540603549056;12669.252388009822;13068.575246890017;13180.164114653702;13227.665802060917;12847.301115212927;13319.499071820712;12528.878063019909;12206.05760307665;[573.6776556050372, 120.7215834724575, 190.24007701176015, 106.25939645094331, -179.85238800982188, 368.4147531099825, 378.6358853462971, -182.8658020609182, 168.09888478707217, 157.00092817928817, -709.378063019909, -1076.0576030766497];0.8961019280527248;0.9930392439974457;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.3};12;12;997.96396394309;0.06934357327592248;54.54545454545455;-6.432651131139214;19673.65183387093;0.22073715900073415;13301.687279168349;13312.024449410068;13376.752111224143;13347.072339836242;13476.648701715982;13763.050049204732;13804.252076808829;13799.92524150381;13501.191300363995;13941.203063002176;13164.806958812367;12931.777732829094;[-858.7872791683494, -773.524449410068, -978.0521112241422, -347.6723398362428, -506.42770171598204, -560.9500492047318, -455.3520768088292, -424.42524150380996, -1421.8913003639955, 150.6969369978233, -1976.0069588123679, -1621.777732829094];2.9859040548603075;1.0;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;AP;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.2};12;12;1164.993574432831;0.07024969892588209;72.72727272727273;6.328170746427218;13794.186163381546;0.27174402028923966;12006.733377809447;11981.903419613865;12025.102359531214;12040.863673570211;12137.228624915979;12390.22915813849;12480.18905159038;12433.03160282655;12163.456916232779;12576.47649130549;11823.069617241887;11615.273627258912;[-707.4333778094478, 312.3965803861338, 928.5976404687863, -88.96367357021154, 782.9713750840219, 1663.3708418615097, 1796.8109484096203, 2134.9683971734503, 489.94308376722074, 1661.1235086945107, 805.330382758113, 62.126372741087835];2.8715810410634717;1.0;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
