train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;5396.747290592558;0.08223404798221136;54.54545454545455;6.36055169708847;106414.70283662973;1.0387076627657668;47872.60640323098;47835.70543036632;48790.041362362055;48830.05213280773;50629.28570490044;52075.47150194422;54454.03077879567;54871.68850433635;55322.867950103595;55473.657221640125;56213.64500077429;55709.39805933152;[5810.8935967690195, 2800.294569633683, 9427.042637637947, 8098.44786719227, 5206.164295099559, 6233.188498055781, 818.4692212043301, 2211.811495663649, 893.3880498964063, 6343.189778359876, 1115.8549992257103, -6295.898059331521];-0.2890960118603696;0.9270345287259673;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 1, 'epsilon': 0.2};12;12;6041.967849291015;0.09330482933439116;54.54545454545455;5.37064971739192;119166.34616556346;inf;49970.73104213727;49980.31508987813;49866.3960731105;50166.846929373045;49925.87296632623;49512.308823751846;50225.935737087384;50092.17522466761;50111.35908877552;50194.95699206445;49973.77367775507;49910.58736903696;[-4614.426042137267, -4212.804089878133, -59.62007311050547, -4608.677929373043, 1103.6270336737725, 7780.506176248156, 7744.855262912613, 5915.121775332387, 3811.667911224482, 13188.233007935552, 4544.899322244935, 3455.4686309630342];-0.6994009185796919;0.8469046524564465;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.1, 'epsilon': 0.5};12;12;6202.85426795302;0.1094389436664719;36.36363636363637;3.07858997941919;171218.8029500059;1.1237891646039067;30791.68231779205;44105.64240492647;46110.787903967626;46006.71969533028;47328.21788667758;46997.00891491953;49361.14313197667;50408.665212175554;55007.931871077715;51936.2689337334;54144.409942099184;51909.99665985801;[13505.172682207954, -1557.8194049264712, 3605.7150960323706, 3771.2803046697227, 6863.148113322422, 4626.296085080474, 3093.3568680233293, 981.8347878244458, -6410.931871077715, 4361.514066266602, -8692.761942099183, -5910.9516598580085];-0.968536933211359;0.7645661048807147;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001, 'epsilon': 0.2};12;12;8162.288338046551;0.15695049166698316;36.36363636363637;-10.314878365003986;225473.78926574235;1.2976660338245687;52544.05889428785;52544.32549752101;52531.261752752616;52521.049623173625;52537.44515951479;52539.617169530946;52533.39888541423;52525.71883790489;52532.223675063986;52549.84302328476;52538.88806423857;52529.67821729129;[-9354.285894287852, -14562.60649752101, -12319.677752752614, -10964.619623173625, -5589.625159514791, -6461.117169530946, -343.8548854142282, 3352.912162095112, 1618.2313249360159, 6402.356976715237, -756.5060642385724, -9968.678217291294];-0.41355330858055805;0.9078111474374966;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.001, 'epsilon': 0.5};12;12;2560.707513430541;0.03827646076885644;45.45454545454545;2.7334741014759207;60524.37548087077;0.5994923765413104;48593.248238584885;49044.67461597796;49747.13692608837;49785.42708044809;50466.72442130083;50714.949853621874;51172.110231996085;51024.97756977608;51117.79271182267;51261.41991475859;51504.72744950483;51428.04383399752;[587.2517614151147, 2543.9953840220405, -281.136926088373, -1172.5230804480889, 2756.3085786991724, 3920.0501463781256, 56.68976800391829, 2996.022430223922, 2627.7072881773274, 5278.730085241412, -405.57744950483175, -1881.0438339975226];-0.7732756553525514;0.8268463908617599;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.1};12;12;5342.703029211197;0.09437810736615264;72.72727272727273;-9.127689620870665;63313.77093171761;0.8893025233126419;55118.57801138634;54766.991886007774;55118.014399753134;55289.61707140654;55400.17881227385;55641.90835126612;55653.456528136565;55297.786507528755;55199.584540755335;55751.68139151851;55140.73300851679;54816.48591444002;[-657.5100113863373, -4691.308886007777, -2325.731399753131, -8070.003071406536, -5971.678812273851, -1839.6513512661186, -9185.502528136567, -4563.857507528759, -5768.972540755334, -723.3033915185151, -4538.643008516796, -7134.985914440018];-0.6958243459430615;0.8478281636156474;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.2};12;12;3105.4062838694636;0.045034984098157586;63.63636363636363;-1.3203787372994107;48958.73461056746;0.47309315631267707;55386.068799768174;55134.69454518827;55076.343137173346;55007.481092327085;54907.42985357983;55037.469053884066;55277.157640008;54996.1851291661;55015.16657708388;55520.51820098216;55296.87652032685;55191.09407233127;[1792.9312002318256, -2019.1945451882711, 1442.8388628266548, 1195.4239076729136, -918.5448535798278, 1665.1369461159338, -1768.4916400080037, 224.96087083390012, -1896.7905770838843, 3495.8567990178417, -3447.299520326851, -8391.825072331267];0.28519526247189614;0.9766549647488826;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;2740.8015688866462;0.03506209150376899;63.63636363636363;2.5823823828235835;43198.59630292272;0.6588620602588173;51581.429888407096;51709.150697351346;52193.561612168916;52415.71277976611;53163.65928189346;53384.15899984914;53867.6345026918;53848.09328214549;53973.76967297631;54062.36915032144;54189.033216487485;54010.60348061568;[3688.109111592901, 329.1033026486548, 714.9253878310847, -625.2127797661087, 802.0727181065449, 3018.798000150862, 3777.365497308201, 725.6867178545072, -460.8196729763149, 6705.030849678558, 585.9667835125147, -2338.103480615682];0.4181047317854521;0.9821595124249253;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 5, 'epsilon': 0.5};12;12;3641.46041740679;0.06484568075720312;81.81818181818181;-5.356328115232857;28771.824819158897;0.8250425726409452;56385.863636170216;56385.863636182745;56385.863632690074;56385.86363618095;56385.863636178874;56385.85694983478;56385.86363618339;56385.863636182126;56385.86363611504;56385.86363618402;56385.863636135946;56385.86363610146;[-3710.799636170217, -2934.4866361827444, -3989.7246326900713, -3017.4856361809507, -1639.413636178877, -3179.246949834778, -2940.88763618339, -1373.963636182125, -5069.0136361150435, 3421.136363815982, -4168.763636135947, -5797.317636101456];1.3489008763199137;0.9968691798826856;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;RN;gasolinac;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 5, 'epsilon': 0.5};12;12;4664.8981868995415;0.06364047221691267;63.63636363636363;3.918925893128712;73582.65031328698;0.9348923405384464;52332.286793989195;52332.2867937443;52332.286793979605;52332.28679397047;52332.28679398325;52332.28676933961;52332.286794033396;52332.28679403242;52332.286793961925;52332.28679403312;52332.28679392793;52332.28679394419;[-958.3177939891975, 854.9452062557029, 3011.502206020392, -2228.304793970463, 594.7632060167525, 2260.213230660389, 3442.663205966601, 7048.975205967581, 396.21320603807544, 10497.080205966879, 6172.265206072072, -5477.835793944192];2.4639187183946922;0.9990372835385996;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
