train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.005, 'epsilon': 0.1};12;12;9174.125686685642;0.08853813985290758;54.54545454545455;6.408120362390417;180922.2320540366;1.280349041398842;87582.02539505361;87624.8794153631;88090.81088184574;89011.50886695004;90510.05292739221;91324.6385720532;92558.26402683897;92741.95386908966;92852.81870913546;92170.48268333993;91886.71205807306;91513.45028371319;[5610.774604946389, -10864.855415363098, 6430.389118154257, 4638.291133049963, 8700.147072607782, 14558.988427946795, 7628.235973161034, 11096.846130910344, 8770.681290864537, 12793.977316660079, 8679.287941926945, -3557.8132837131852];-1.1306217481897112;0.702707138357456;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.1};12;12;5348.102178407684;0.04876843005023126;54.54545454545455;1.4245010053694396;105377.36008999168;inf;86480.72631320286;85522.33625620257;85152.5817614508;85710.74955240851;87693.535840278;90015.8586283346;93053.57518580288;94846.14768236579;95618.45543254618;94444.68634499797;92442.69789532652;89277.14584836968;[1821.3836867971404, -1651.614256202578, 4317.570238549204, 2790.5884475914936, 3509.564159722009, 11745.781371665405, 4920.424814197118, 3281.652317634216, -2592.3554325461737, 2129.35965500203, -5493.041895326518, -9168.645848369677];-1.0469368096441027;0.7357627764981131;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.3};12;12;10463.455667236203;0.09980171035491751;63.63636363636363;10.10143596333633;165210.4525086883;2.553153169466704;66911.42823472177;69111.0295457421;72317.62484286436;76435.55784319142;83105.21042603184;86125.10558508613;89564.83672533352;88997.37623989771;87937.38663356824;83794.00938048062;83221.0904649091;82298.89575305002;[18296.356765278237, 6047.019454257897, 9347.226157135636, 11374.886156808585, 14082.672573968157, 11874.194414913873, 5778.262274666486, 10243.123760102288, 5847.54136643176, 14584.190619519373, 546.0095350909105, 952.1162469499832];-1.2047043902774268;0.671568734990567;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 1, 'epsilon': 0.1};12;12;13405.922867820214;0.15525520245040128;72.72727272727273;-3.1302836113461208;159219.4856993225;1.0679579697928625;82344.829751158;80945.67571155074;83927.17882569156;85027.14990617943;85884.93974087722;85657.61528322467;83553.42027925017;86268.20147997169;86620.17360485178;86706.79222989608;86585.83736198294;86147.9630743692;[-12152.819751158007, -28520.687711550738, -22782.878825691558, -9896.269906179426, 1242.8372591227817, 4021.2847167753207, 10339.467720749832, 14416.833520028318, 4628.267395148228, 11344.449770103922, 4893.740638017058, -8483.966074369193];-0.9439081991667905;0.7731692797973209;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.5};12;12;5314.744826161771;0.04831669791192258;63.63636363636363;3.2069231978224906;83797.4824133933;0.7905928826329542;69012.88239514946;77158.49563760117;79254.2141639221;83084.86224379379;90339.48580276691;93034.7356785074;90973.0042217347;87107.69304813044;88845.9437379649;83348.59368425029;81493.34120443907;81536.89412640681;[5311.689604850544, 1668.1383623988368, 3806.303836077903, -3499.6092437937914, 432.67019723309204, 268.26432149260654, -4464.104221734713, 10285.556951869556, 3363.769262035101, 8650.75631574972, 8274.358795560926, -794.0941264068097];-0.9106182132125904;0.7844555787276132;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.5};12;12;5834.162454839231;0.05823045390527487;81.81818181818181;1.5010748354261194;46079.68132147581;0.818268947398781;81770.8135661154;81096.97105772124;80784.88145145243;80923.68019407995;81994.86500324926;83462.74664760202;85284.95956999941;86746.4136064422;87524.31510036819;87248.23140056123;86372.74079948264;84666.72999023173;[36.289433884609025, -5251.938057721243, -7843.649451452424, 5871.019805920048, 5740.734996750747, 10070.553352397983, 2568.798430000592, 9258.13439355779, 2970.4628996318206, 880.1455994387652, -2394.369799482636, -6546.629990231726];-0.8619885072807606;0.8002323667894529;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.005, 'epsilon': 0.3};12;12;5423.669227720209;0.04492722140665908;63.63636363636363;-1.1335890297238687;85506.86221035488;0.4910148705424334;83229.77908741617;83128.98523810696;83230.34505610999;83641.48891971534;84585.33470210902;85311.80568815523;86207.42608444951;86574.02241106298;86715.96141959804;86348.85913576074;86144.81022498831;85772.86220729514;[-1967.421557416179, -12037.020378106972, 720.2864738900098, -295.3504697153403, -501.13213210902177, 6211.549881844767, 1118.9635255504836, 3843.9331189370278, 944.2600904019637, 2656.3783742392698, -273.96522498830745, -11863.481207295146];-0.7179608915862999;0.8420422498523604;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 1, 'epsilon': 0.5};12;12;5091.43205899096;0.04183564651972551;72.72727272727273;-2.068650394460577;60219.675004118195;0.5772517714622786;85660.62522612799;84881.30884689606;86556.8132280537;87259.83976177842;87695.36645039923;87527.6187104291;86485.09371458941;87892.65680063012;88222.75239936924;88274.80309171286;88208.43457741271;87897.62630110068;[-824.168226127993, -4214.329846896057, -2590.1202280536963, -349.91876177841914, -909.4334503992286, 5352.067289570899, 3166.906285410587, -895.0888006301248, -714.3953993692412, 1228.6339082871418, -6098.312967412712, -14362.787811100687];-0.39028970971915344;0.911707467468895;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.5};12;12;9736.033662415603;0.09877633426123399;45.45454545454545;-7.933898328730489;230372.91549570364;2.4078307185484586;78214.55619760303;85646.83997942507;88825.40263178291;94380.89835030236;102861.33981612741;107537.56469068977;105395.48169133544;100333.38530037788;101241.62774612219;95501.29367962248;92249.41595124973;91901.03746579886;[10099.099912396967, -3484.3109794250777, -2511.4766317829053, -5367.7083503023605, -8723.601356127416, -16997.187240689775, -11742.118651335448, -4020.4309403778752, -14040.503356122194, -5188.727009622482, -10589.401951249733, -11532.185465798859];0.8628173981511114;0.9925853821555441;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;CE;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.0001, 'epsilon': 0.3};12;12;10062.776490496493;0.0929854066722326;45.45454545454545;2.612109382756344;238078.81900300775;1.489443676519784;93818.3409672011;93821.6134295105;93825.02655984779;93824.14672569628;93822.44321209803;93819.68988730943;93816.0648089286;93813.64838535724;93809.06744900253;93807.5729947805;93806.55622633068;93808.05315373925;[-10372.71396720111, -6066.029429510498, -2985.3525598477863, -6729.698725696275, 4831.861787901958, 9965.454112690568, 14390.750191071405, 18963.777614642764, 8374.925550997476, 8746.588005219499, 3925.147763669316, -12849.042153739254];1.1732051543564967;0.9957954257164194;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
