train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 1, 'epsilon': 0.1};12;12;4748.056955202997;0.31457357318696655;54.54545454545455;31.709499705238937;94106.0801084256;1.1138159402806442;10098.65025574064;10025.946266428416;9947.987262041495;9879.987770991987;9862.128730145141;9849.477969508467;9959.4057455306;10090.534061986644;10164.591939376838;10226.856628683141;10243.623800261077;10246.080981013769;[5473.05474425936, 3680.0897335715836, 4765.833737958505, 3251.568229008013, 3446.8522698548586, 5047.080030491534, 4894.1082544694, 4942.4229380133565, 5349.736060623161, 6364.526371316861, 3983.3981997389237, 4797.635018986231];-0.9524025253510493;0.7702263624696768;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.3};12;12;2802.0087923429055;0.24473823786106105;27.272727272727273;-1.6753231433396916;88545.04205516263;inf;7835.779917321868;9476.523121428472;10397.295861309089;10662.042193933179;11170.60756634359;11333.929459405184;12147.256025567527;11465.950479472005;11286.105231552194;11123.369380328193;10721.352116541771;10813.298389946749;[4578.755082678132, 4144.998878571529, 3002.5181386909117, 1467.815806066821, -1362.9165663435888, -3244.5104594051845, -4397.256025567527, -2087.3754794720044, -1564.128231552193, -1261.0583803281934, -2077.6481165417717, 684.5826100532504];-0.9789435805497261;0.760866471658348;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;2418.3832821847204;0.1783431916807642;54.54545454545455;16.711175229311774;47789.84587789914;1.039396879641317;8015.396100190316;7974.461899846226;8129.542484056101;8490.325593637735;9013.487406025024;9492.542199066414;9848.080667167207;10023.594268532372;9870.904736414042;9661.688015007125;9431.923308107554;9522.418183123773;[4499.767899809684, 4596.184100153775, 2377.832515943899, 814.5764063622646, 2672.410593974975, 1853.1008009335856, 1245.8943328327932, 2237.8967314676283, 1465.5102635859585, 1512.301984992875, -832.6023081075546, -477.7981831237721];-1.2485154380557155;0.6523854343764315;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.1, 'epsilon': 0.3};12;12;2147.937502370051;0.18933094656882876;72.72727272727273;-6.581044117576923;25544.26292879689;0.6732367743265474;4808.622050656228;8222.929106789876;9300.962137884193;9623.350959687545;10391.398420589487;10483.315387121727;11656.866821269938;10818.815807889152;10335.832956467693;10202.914143998447;9384.640034125321;9544.371746302955;[5681.325949343773, -1517.9291067898757, -2041.0631378841927, -499.4169596875454, -2397.3984205894867, -1393.372387121728, -1033.9268212699371, -901.0018078891517, -1826.947956467693, 754.6008560015525, -1684.6760341253212, -227.12874630295482];-0.8611304300554162;0.8005031756072032;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.1, 'epsilon': 0.3};12;12;3337.9303583522633;0.2819007709048662;72.72727272727273;29.26174508305803;39829.8583076334;1.2108499808049495;2534.6195046793273;5666.319050311432;6730.442334916847;7014.34860307608;7653.242272131658;7307.435605242422;8729.306943039004;8168.341189381402;7644.015416710192;7532.513739224392;6596.037664545549;6846.5453797897035;[4492.780495320672, 2364.7499496885684, 74.45166508315288, 4281.53339692392, 3710.141727868342, 540.5183947575779, 776.6250569609965, 2504.2598106185987, 4567.760583289808, 1999.264260775608, 2775.9293354544516, 6007.337620210296];-1.4576384588207676;0.5543533228732156;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.1};12;12;4609.027646804197;0.5591178756747924;54.54545454545455;49.004482045470745;91843.5792739521;0.9639120496181394;3049.017506719493;2595.6965661635313;2212.4184834015655;2090.2077041193024;2341.6153974441368;2768.467770845404;3287.633125263828;3970.9448256123537;4622.220791467686;5220.75923173731;5670.2716184067385;5929.675584195652;[3541.363493280507, 4080.332433836469, 4733.351516598435, 4299.792295880698, 3034.3846025558632, 5761.532229154596, 6225.192874736171, 7113.766174387645, 6740.642208532314, 368.0227682626901, -2145.2716184067385, -1702.675584195652];-1.6844304276192794;0.43915171398702635;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 1, 'epsilon': 0.1};12;12;1841.8382170846312;0.3087546677806493;36.36363636363637;31.388558978961633;51007.255473451194;0.2162571449379035;2687.1479451918403;2615.0944757175434;2456.938990822942;2328.2952806356857;2404.8263163122465;2601.3288741603565;2755.1152654105513;2831.0027095040164;2842.074038455141;2855.5086283464825;2844.881951067894;2847.714406579446;[-473.14794519184034, 998.9055242824566, -446.93899082294183, -268.7952806356857, -79.82631631224649, 424.67112583964354, 2464.220734589449, 2325.2612904959838, 1684.3439615448588, 1261.7863716535176, 3644.3920489321063, 3136.570593420554];-2.112067410748373;0.23969000263093077;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.1, 'epsilon': 0.1};12;12;3371.417069133713;1.2485533371557538;63.63636363636363;-102.57174440319443;54928.43212939396;0.423063135642076;3039.750696894838;5755.6710809531205;6650.233905432235;6518.469548414157;6588.0470105645045;6392.794195831885;6625.9143791263705;6602.476065514179;6252.644639121512;6336.246592646798;6025.944447980938;5939.370353552276;[712.9423031051624, -3014.8730809531207, -4453.233905432235, -4489.469548414157, -3388.0470105645045, -1862.597195831885, -2631.0523791263704, -3697.117065514179, -4343.647639121512, -2284.2465926467976, -3694.944447980938, -3679.1503535522766];-1.781178150885526;0.38984544140360844;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.2};12;12;2304.4709598917475;0.33613389446065994;81.81818181818181;29.434083179946178;18481.06626056997;0.5072742949521059;4010.075379622704;3999.8744462360864;4038.276543668791;4119.576030610404;4342.513243757301;4603.855985349387;4797.6446673860055;4868.030767529262;4770.665192925164;4596.75950679112;4444.030533540265;4499.605255016557;[3257.924620377296, 2776.6155537639133, 2720.1234563312087, 2588.423969389596, 2490.486756242699, 2351.144014650613, 2204.6153326139947, 3025.9692324707376, 1607.3418070748357, 1005.9904932088803, -1248.0305335402654, -635.6052550165568];-1.5773384538377917;0.4949663432225374;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AM;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.1, 'epsilon': 0.2};12;12;762.295500582673;0.10690794783215744;45.45454545454545;10.46542523198683;18042.375482884516;0.08421422197743779;3035.327007341326;3708.501405717871;3882.05778009312;4006.408368412828;4125.171566737182;4102.10680931937;4249.40629047837;4055.7439856987558;4007.223366032821;4041.7190515169095;4049.341115145297;3966.876291107825;[690.672992658674, 62.70159428212901, 306.57121990687983, -337.40836841282817, 55.12343326281825, 179.44319068063032, 58.593709521630444, 322.25601430124425, 401.8606339671787, 1372.2809484830905, 430.65888485470305, 1977.803708892175];-1.6859072537091713;0.43838771926987324;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
