train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001, 'epsilon': 0.2};12;12;5953.4746488117235;0.399092647213176;90.9090909090909;54.99562185945535;24466.132560816026;0.9431883569508013;3371.4924522878077;3370.1234699991373;3369.3129142492676;3368.900068316913;3369.3183475950336;3369.9428668448304;3370.7932046180067;3371.5796207802573;3372.5345785371956;3373.246772091722;3374.0944857535665;3374.910405900911;[549.3755477121922, 169.57653000086248, 125.68708575073242, 199.6539316830872, 614.1396524049665, 2323.4141331551696, 3547.606795381993, 4447.020379219743, 4694.465421462804, 8836.346227908278, 11547.005514246433, 12383.489594099088];-2.1638170354637496;0.2196388019826105;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.2};12;12;745.7660172680953;0.13486037138782425;54.54545454545455;1.5569362517544416;14724.666049362198;inf;3662.0704952517326;3662.068294642584;3662.066320059955;3662.051836892719;3662.0669819390164;3662.0702099760874;3662.070484112296;3662.070526193399;3662.070545116928;3662.0705328237127;3662.070531634058;3662.070529796594;[1423.4295047482674, 1743.3267053574164, 333.8906799400447, -44.082836892719115, 60.33901806098356, -519.5702099760874, -447.61448411229594, -195.09752619339906, -615.1475451169281, -154.0705328237127, -749.0705316340582, -141.31852979659425];-1.9177439694981817;0.3237603780737427;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 1, 'epsilon': 0.2};12;12;2055.7988207417957;0.2635541875537826;54.54545454545455;26.67212936442392;40702.8454314742;1.4270971060641984;3126.6552274908877;3012.876489831844;2920.8088070424424;2692.298901315415;2689.5216162193074;2919.4764210408925;3106.546174300199;3210.161921115502;3293.1473248735833;3353.5379723678657;3448.3648472995283;3343.4910047574704;[4195.890772509112, 1721.5235101681556, 459.62819295755753, 4050.7130986845846, 3322.4763837806922, 1322.5235789591075, 138.4538256998012, -133.16192111550208, -154.33332487358348, -426.5379723678657, -491.36484729952826, -504.99100475747036];-2.2476026069701023;0.1894240476816797;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 3, 'epsilon': 0.5};12;12;1684.2954529273693;0.5471794265841089;63.63636363636363;-42.17381333990505;26928.460915195632;1.1399102440583824;4778.729712622012;4778.710272764961;4778.651001805768;4778.481256472556;4778.647110968313;4778.719331805934;4778.729279297649;4778.730370075699;4778.730527162455;4778.730529825276;4778.730538562926;4778.730541199616;[-1923.4297126220117, -2408.157272764961, -2982.8510018057677, -2526.920256472556, -1838.8471109683132, -1532.6193318059345, -786.4292792976485, -1003.9303700756991, -1317.4905271624548, -179.4305298252757, -309.4305385629259, -200.83054119961616];-1.9920918100449128;0.2900512937056764;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.1};12;12;1403.34421053487;0.2413598116796768;45.45454545454545;8.868810429439863;33297.77776422653;0.870683368949332;2698.139128622898;2582.2387738169314;2990.720011409957;3667.050110499235;4952.3269686322365;5702.3733723543155;6135.12670881001;5673.06788607173;5327.156566975958;4714.350089200947;4747.693500977567;5363.640032802439;[2589.3678713771014, 2178.361226183069, 2088.3619885900434, 808.3498895007647, -311.1559686322362, -700.3943723543152, -1393.18270881001, -332.18388607172983, -482.49056697595825, 1400.9499107990532, 777.8794990224333, -1314.7250328024393];-2.4527018898463;0.12741053013578812;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 1, 'epsilon': 0.2};12;12;2932.3540828763867;0.4687620645132309;63.63636363636363;49.336553737423735;46775.19244850745;1.0883312937025618;2542.936834181589;2459.8163617083546;2329.019075694844;2191.358562306517;2247.035156728873;2395.638729877574;2524.5444057574823;2594.047924225913;2640.1796356231607;2672.37740012546;2672.0274771117847;2621.616291349566;[-392.6288341815889, -406.6113617083547, 1026.554924305156, 2334.9064376934834, 2147.3738432711266, 2039.1672701224256, 3827.2995942425177, 4924.622075774087, 3153.9903643768394, 4124.13259987454, 4088.016522888215, 2240.9297086504343];-1.7486390968367647;0.40624225993739344;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001, 'epsilon': 0.1};12;12;812.3043248870846;0.2302692758672327;63.63636363636363;1.4154662794146389;12875.096293549232;0.7222017727216412;2896.537525850405;2884.023579765408;2878.2133918546083;2876.667718891878;2881.049853747203;2887.53803762476;2896.4720542081136;2905.668969236851;2915.2128386625664;2924.3586661730164;2932.5744113265578;2938.149814051278;[2037.917474149595, -1049.5235797654082, -667.7133918546083, -817.1677188918779, -648.0498537472031, 353.97796237524017, 647.0189457918864, 546.315030763149, 88.97216133743359, 200.0053338269836, 236.60658867344227, -428.4678140512783];-0.9203313820309471;0.7812032913840964;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.005, 'epsilon': 0.1};12;12;1945.4543460899572;0.6651131182956355;36.36363636363637;-56.25315983156566;54186.30572748072;1.8335566777731271;3485.5639906561623;4874.204744912152;5121.983138326906;5048.763730561446;5142.873290463978;5095.656062028138;5132.991320437684;5104.518521344686;5053.890000985288;5015.236269522403;5223.377887280141;5003.844984730576;[-590.6729906561623, -1900.3107449121521, -2246.1911383269057, -2140.763730561446, -1773.3732904639783, -1513.678062028138, -1676.4913204376844, -1657.1185213446856, -1214.6680009852876, -502.460269522403, -2682.939887280141, -3451.1449847305757];-2.3458754737865197;0.1575986142405414;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001, 'epsilon': 0.3};12;12;1882.9142375268896;0.30445493451831024;45.45454545454545;31.262898980130664;44727.736190665826;1.1229615848837293;3492.8956509928958;3394.138243856967;3335.4010468068977;3304.670842164702;3329.0983825353965;3370.846337759714;3433.6185007458535;3498.9510890894253;3578.4167981940154;3636.680101691861;3701.8699932541294;3764.076143065393;[1700.1043490071042, 1454.715756143033, 928.5459531931024, 1170.9131578352976, 2835.9316174646033, 2446.0856622402857, 2382.3814992541465, 3384.0489109105747, 1240.5832018059846, 1518.8908983081387, 374.13000674587056, -406.427143065393];-2.2309969147758215;0.1951882850180231;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 1, 'epsilon': 0.3};12;12;869.8624460885926;0.13069157569642428;63.63636363636363;13.023768485541511;13748.06572584006;0.62214558275522;3275.4654386095767;3244.323303049608;3182.801161879279;3068.2225485020344;3082.6668478803203;3178.3467396128985;3242.21772731884;3274.5694815524594;3308.3749203125494;3320.0557095815648;3342.0798744715553;3308.0549150359034;[210.53456139042328, 389.67669695039194, 64.19883812072112, 60.77745149796556, 184.18415211967977, -311.34673961289855, -230.21772731883993, 209.43051844754063, 198.62507968745058, 1611.9442904184352, 1447.4201255284447, 1978.7310849640967];-2.22774543766455;0.19632998999761642;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 1, 'epsilon': 0.3};12;12;292.2131762446281;0.06497173445555252;63.63636363636363;-0.733012764178585;4610.408297715225;0.33637784500363144;3570.6111216794343;3520.547697979235;3448.6256779201835;3302.1485712813437;3324.1116989406537;3451.3090842187385;3546.5450394280033;3587.0097384276555;3613.3641939018144;3623.9692835394794;3644.1165876323807;3610.062934857884;[1.5888783205655272, -391.5476979792352, -228.72567792018344, -221.64857128134372, 261.24030105934617, -40.30908421873846, -475.5450394280033, -68.00973842765552, 45.13580609818564, 620.7077164605203, 273.68341236761944, -83.95944585788402];-2.0243192753086494;0.27601278187100453;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
1990-01_2012-02;2012-03_2013-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 1, 'epsilon': 0.1};12;12;339.6131640225129;0.07361424017921259;72.72727272727273;-2.0593795024714034;4022.335193405446;0.4486475578697535;4051.780059173686;3910.943437365465;3693.785551164539;3471.341400435196;3557.8050279265854;3884.337434424522;4073.789834480066;4127.102460113338;4165.2093993966;4196.1536412017595;4195.158465821006;4138.957065395622;[354.33194082631417, -125.94343736546489, -162.2845511645387, 50.44259956480391, 593.6949720734146, 225.16256557547786, -598.9898344800658, -70.90246011333784, -200.63126439659982, -146.12807420175932, -460.58346582100603, -415.9570653956216];-2.139155963942149;0.22906394063453722;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 1, 'epsilon': 0.1};12;12;2098.904789657544;0.4866530153411544;63.63636363636363;-45.556562601864755;33499.13799281453;1.800486254089789;6414.491287646577;6198.6515951563815;5998.6194083764;5919.3075561250525;6117.471872101282;6346.599421297591;6512.136078902488;6598.302095884081;6677.703667199151;6696.385398809399;6642.6993031384145;6599.919558103616;[-1362.5082876465767, -3182.5227461563813, -2213.3814083764005, -1642.3222201250528, -1235.1624011012827, -761.4654212975911, -2477.7850789024883, -2153.982095884081, -2112.703667199151, -1948.2313988093983, -2570.6993031384145, -2351.9195581036156];-1.677085004333768;0.4429559559786716;16;236;-3.4583663275730476;-2.8738660999177132;-2.5733390785693766;False
1990-01_2010-02;2010-03_2011-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 3, 'epsilon': 0.5};12;12;4966.118425311966;0.7237680726949302;63.63636363636363;-68.39157312378453;79763.86744212618;1.4384372205172955;11942.123988408059;11942.00376714591;11941.90861174826;11942.00223040628;11942.126218301415;11942.153082880863;11942.159422156656;11942.160499749814;11942.160696500801;11942.160804061064;11942.160803535653;11942.160800152402;[-6367.071522408059, -5248.841973145911, -4875.90861174826, -4660.13023040628, -3779.108218301415, -3313.0530828808623, -3296.2614221566564, -4060.1604997498143, -5525.962368500801, -4535.103476061065, -6188.982777535653, -6352.290329152402];-1.7710730115214544;0.39491473328801374;15;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;False
1990-01_2009-02;2009-03_2010-02;ES;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.1, 'epsilon': 0.2};12;12;4409.215162486595;0.39683294169916494;63.63636363636363;7.835065527540761;70191.0337538777;0.4098275506706663;8209.482915397144;8921.152435221082;9809.326390264887;10817.355154694118;12686.1079744229;13742.96050241965;14111.525597136779;14676.798687287557;13757.003651750012;12911.239210975145;12285.439485979616;12222.386905944944;[6175.6670846028555, 6176.927564778918, 4411.2736097351135, 4407.198115305882, 3744.892025577101, 1658.5234975803505, 2455.014402863222, -71.64468728755674, -3233.2556517500125, -962.0892109751458, -4564.989485979616, -7943.064905944944];-1.669106063810964;0.44709610658442195;15;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;False
