train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.2};12;12;10944.98871364908;0.3176110919345685;63.63636363636363;40.22517762105496;173849.13904239476;0.8794510587837978;11769.712759826252;11769.731447146802;11769.736070052135;11769.736079635692;11769.736080596529;11769.736082395366;11769.736079277252;11769.736079515744;11769.736104053656;11769.736109204234;11769.736104840154;11769.736100387549;[420.04924017374833, 65.9855528531989, -483.3770700521345, -580.9640796356907, 698.9079194034712, 5263.865917604633, 9686.640920722748, 12532.689920484256, 13037.851895946344, 18671.962890795767, 18450.697895159847, 17280.31389961245];-2.4092553366724863;0.1391411801493187;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 5, 'epsilon': 0.2};12;12;2262.516305183984;0.17726647795031805;27.272727272727273;-10.788101367698873;71430.0354500439;inf;13458.407448509222;13458.407454566934;13458.407455541894;13458.40745554133;13458.407455537337;13458.407455540211;13458.407455587816;13458.40745554041;13458.40745567685;13458.407455545102;13458.407455595558;13458.407455554625;[2643.1585514907783, 1643.193545433067, -1164.2464555418937, -461.98145554133043, -1793.018455537338, -3350.9394555402105, -2284.8564555878165, -2016.29345554041, -1576.6684556768505, -506.00245554510184, -3729.5584555955575, -3129.096455554625];-2.601253722033235;0.09273842534851945;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.5};12;12;5524.419754570497;0.3523360002012639;72.72727272727273;4.8971114995148595;66087.28815701857;3.024536164200815;12217.816724700604;8075.066743400282;7627.79497501801;8150.623197307073;10137.015207821318;11913.813132797563;14382.072550139423;15734.54306379431;16612.81648692047;17076.15020942403;16852.170313706443;17483.8960308767;[8182.4762752993975, 9067.659256599716, 7819.10602498199, 4618.389802692928, 2434.3167921786826, 965.9378672024377, -1133.9525501394219, -2317.73106379431, -4845.462486920471, -3921.131209424031, -6421.331313706443, -6401.822030876698];-1.775399778634242;0.3927415886242287;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.5};12;12;5732.22849352037;0.28925527524190997;54.54545454545455;33.72646754280801;113547.65031993743;0.8879098340244147;8617.825562831944;8149.240027624047;7990.628008360436;7977.297534629437;8308.771847562648;8457.903649576747;8835.170073685666;9188.784665353687;9501.085473153466;10071.448590350776;10251.981774738319;10216.763230383232;[658.6304371680562, -309.937027624047, 318.2959916395648, 1140.1964653705636, 2400.0521524373526, 3788.9603504232527, 7290.933926314334, 9053.864334646314, 6312.659526846535, 8979.528409649223, 6430.050225261681, 8677.344769616768];-2.605026678130802;0.09196279945622016;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.001, 'epsilon': 0.1};12;12;3065.6678972351842;0.3127453149095593;36.36363636363637;-21.663172388662133;84899.3422218801;0.8855724745337465;4363.962325788315;8634.783898697295;9224.688339591032;10187.081361593553;11349.743082786948;11954.932026511658;12348.17338029053;12780.163990180776;13257.97269283293;13045.59273940592;13241.931977618979;11556.597185276105;[4187.801674211684, 591.2871013027052, -305.8213395910316, -2250.1153615935527, -2930.415082786949, -4078.6230265116583, -3948.5413802905296, -3318.937990180775, -4072.8236928329297, -1564.6067394059191, -3909.691977618979, -1893.5631852761053];-2.506666623036582;0.11386067820904311;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.3};12;12;4469.924338032591;0.29366876491803506;45.45454545454545;32.881492063914564;106149.92463836455;1.2700724727530308;7576.642882389395;7576.645161256697;7576.6459620851865;7576.645930403486;7576.645822176445;7576.642165304187;7576.629229225392;7576.634467467233;7576.634282195659;7576.646011021364;7576.646094594698;7576.646060466669;[228.38911761060535, -80.76416125669675, 1309.0880379148139, 3801.4420695965136, 4809.515177823555, 5309.184834695812, 6112.616770774607, 7853.1565325327665, 5486.936717804341, 5739.119988978636, 3046.6519054053024, 926.4089395333312];-2.4851203490520604;0.1191368074814329;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001, 'epsilon': 0.2};12;12;1901.8144645084312;0.23030369861299282;63.63636363636363;-14.51022979162921;30139.095328294276;0.3851606964641842;8891.316917269889;8932.029876631977;8977.576325078975;9018.083286955536;9054.752844733013;9069.52103319238;9100.583876949744;9142.689106898284;9151.006798582308;9198.136736386286;9195.786445116471;9147.821649163068;[-1948.3669172698892, -2387.063876631977, -2569.526325078975, -3192.863286955536, -2537.872844733013, -1608.5960331923807, -214.7848769497432, -705.7121068982833, 409.86920141769224, 2257.1852636137137, 196.8725548835282, -1495.8446491630684];-2.80493766400706;0.057571912095101756;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 5, 'epsilon': 0.5};12;12;8808.459709008755;1.018857842854807;72.72727272727273;-97.85679576330323;107921.08704500142;2.7148494668058976;17667.247144252327;17667.247144423658;17667.247144435492;17667.247144348505;17667.24714443375;17667.247144438203;17667.24714443852;17667.247144439112;17667.247144438832;17667.247144443947;17667.24714443921;17667.247144438843;[-8194.233144252328, -8128.947144423659, -7983.718144435492, -8839.997144348505, -8085.397144433749, -8050.597144438203, -8257.34714443852, -8369.547144439111, -8335.097144438832, -8300.647144443947, -10766.34714443921, -11543.367144438842];-2.8085212255883887;0.05706684317616391;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.1};12;12;6537.9804634837055;0.3184346935518532;72.72727272727273;24.171843519516088;78115.12876581357;0.9557251923703078;14432.224225128075;11228.106250741774;9656.610740743525;9343.206874869706;11587.829797303653;13117.928202520241;14797.233325609099;16038.364836985817;16474.788287074593;16636.125157159717;16651.460066905922;16236.275229741736;[5289.125774871924, 10026.800749258226, 8942.224259256474, 8600.543125130294, 7504.170202696347, 6966.02179747976, 6663.431674390902, 6614.535163014185, -629.3382870745918, 960.7748428402847, -2476.0625669059227, -5482.380229741735];-2.1010708158365974;0.24408423913671862;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MS;etanolhidratado;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 5, 'epsilon': 0.5};12;12;4292.472757720209;0.18463660523242112;54.54545454545455;18.760906148700855;84832.96393200802;0.8028691700049562;11209.649462684662;11209.645308292706;11209.649432562444;11209.649432742634;11209.649432865912;11209.649432865937;11209.649432866066;11209.6494328397;11209.649420843669;11209.649431510688;11209.64943284358;11209.649432975755;[1186.4715373153376, 663.1336917072949, -965.6494325624444, -1336.3994327426335, -199.94943286591115, -163.71943286593705, 939.0365671339332, 3259.2005671603, 3905.100579156331, 8750.95056848931, 7162.800567156421, 7863.354567024246];-2.265439676969956;0.18335667589164217;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
