train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001, 'epsilon': 0.2};12;12;288.1211225484165;0.027765281742209626;81.81818181818181;0.6054954022670015;2272.0481534239802;0.8719223396527324;7544.1684539823345;7496.806312887109;7508.470248435645;7503.732162056592;7515.822508161113;7539.138734877148;7520.154288423161;7517.128404962521;7553.5258526288835;7578.226389663723;7545.5177536635665;7547.401080959708;[700.8333580176659, -272.29000888710925, 92.3340995643548, 476.43631594340786, -36.277218161112614, 279.68916412285216, -43.68327442316149, -175.40557896252085, -207.0258526288835, 16.634117336277086, -157.41992766356634, -123.30506695970871];-1.4512528529954791;0.5574734560807753;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001, 'epsilon': 0.2};12;12;473.96903272827785;0.055519800875876914;36.36363636363637;-2.753314425000818;13073.30881910096;inf;7714.712720610778;7689.373894350153;7695.408949940001;7683.0779088446625;7742.7577233757165;7721.353324794535;7725.364285136718;7723.066011041252;7715.360064180225;7774.559344147192;7720.619957318503;7725.474052505309;[610.7619173892217, -584.2217203501532, -34.54300794000028, -98.55254684466217, -629.5512013757161, 222.47819720546522, -417.2374731367172, -363.85948904125144, 381.9515298197748, -119.06296714719156, -668.0221313185029, -782.227675505309];-1.3429419253560826;0.6093046751015062;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.2};12;12;465.5820132218372;0.04876696225769669;54.54545454545455;-3.462035420652571;9174.560753699556;1.0605348689458347;7959.126180066433;7959.126180066432;7959.126180066398;7959.126180065998;7959.126180066433;7959.126180066183;7959.1261800664115;7959.126180066399;7959.126180066153;7959.126180066433;7959.126180066074;7959.126180064822;[525.8430229335672, -133.79647006643245, -255.3653100663978, 7.221645934002481, -17.751180066433335, -186.38342606618335, -353.99212206641187, -724.820021066399, -543.9740060661534, 54.11838493356663, -904.2783540660739, -662.7511800648217];-1.05301286638585;0.7334417341933516;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.001, 'epsilon': 0.1};12;12;529.4913393742808;0.05463421689766775;81.81818181818181;4.144875039822952;4181.619664343545;0.7789337082562573;7604.628434360655;7576.799949670518;7586.39306105803;7585.653482761901;7600.326016987981;7608.841283145691;7589.842936347181;7615.526699726818;7609.896977979165;7634.744149786144;7619.426866570707;7614.476558357698;[965.8172176393455, 358.7996883294818, 355.3877359419703, 573.8628212380991, 860.404055012019, 181.56813685430916, 70.7240926528184, 456.47692327318146, -264.89697797916506, 819.3880962138555, -102.63882357070725, -329.29721035769853];-1.247417068910985;0.6528729720005791;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.005, 'epsilon': 0.2};12;12;366.9091096208466;0.04211184222511833;45.45454545454545;-1.9823651988825919;8673.665475796857;0.6788238537694496;7756.150426074701;7709.933733958639;7708.796230728596;7753.310345239075;7728.916496540953;7757.412065652439;7729.546145105978;7738.986601837694;7743.61025222329;7752.259515610859;7741.326776415723;7727.465630924792;[-302.24462907470024, -39.549675958639455, 158.36137827140374, -691.924475239075, 268.80814145904696, -11.750833652438814, -301.5207831059779, 257.49347016230604, -370.2044552232901, 289.0140353891411, -478.89018241572285, -582.3949789247918];-1.1643963306037521;0.688721017654056;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.001, 'epsilon': 0.2};12;12;522.0557530312374;0.05326718806370728;63.63636363636363;-2.0201104894140416;8233.126409594146;1.0435309768568737;7821.139064636122;7767.694025878059;7796.723880220622;7799.343273772373;7793.61950241985;7830.29565456428;7818.01781589689;7811.234032537566;7813.079681227471;7846.860992080056;7826.060815239818;7807.903947004514;[219.19970336387723, -206.5019968780589, -766.9358372206225, 1157.2527402276273, -296.19015441984993, 139.9054324357203, -633.2804968968903, -119.18149653756609, -155.08692722747128, -13.460630080056035, -651.6024822398185, -530.1140920045136];-1.005810920463067;0.7511390054089124;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 5, 'epsilon': 0.1};12;12;426.86492011032595;0.04035100411441165;27.272727272727273;1.3571927679722766;13451.487843246716;0.8469835974958662;7690.451275010508;7690.451275010519;7690.451275008873;7690.451275009897;7690.451275010525;7690.451275010415;7690.451275010524;7690.451274967043;7690.451275010406;7690.451275010528;7690.451275001997;7690.45127500656;[1046.9160239894918, -384.1704780105183, 334.51249299112624, 462.86735599010353, -80.09620301052473, 514.3209699895851, -87.98342701052388, -50.462242967042584, -169.59824801040577, 178.66046498947253, 28.289666998003668, -523.53279700656];-0.8975118202456093;0.7887907065582811;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.0001, 'epsilon': 0.3};12;12;338.62996771714273;0.037978274660870386;36.36363636363637;2.3226401905493175;9337.683853211507;0.9989556236402575;7458.533403553004;7445.578286060132;7455.579267376546;7423.3107879496565;7479.228015659184;7456.481682855884;7462.816393105651;7467.241272711021;7456.735867194495;7498.498895580842;7458.881680000241;7470.8261085281;[351.30898744699607, -135.08734406013173, 365.0729066234535, 402.04066105034326, 73.97669434081581, 455.786433144116, 352.86295489434906, -73.0039537110215, 177.33478480550548, 651.5373364191582, -148.91247700024178, -343.92212252809986];-1.334608093470394;0.6131941546038293;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1, 'epsilon': 0.3};12;12;358.10650468947426;0.03797182832785459;45.45454545454545;0.280892066678316;8464.857585831456;0.6354080214564373;7446.847253567199;7385.374633129675;7432.790258789855;7354.753648886467;7425.118388592909;7430.479189380907;7358.35184943642;7450.186762113679;7396.884746885162;7478.914955322651;7453.810040557119;7431.37746547987;[360.87557243280116, 247.24130887032516, -61.18337478985541, 43.90033711353317, 498.5156694070911, 11.890375619092993, 196.7296725635806, -193.71031311367915, -322.2343848851615, 438.07598667734965, -839.2321415571187, -130.0441324798703];-1.0731621736582095;0.725655017218259;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RO;glp;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001, 'epsilon': 0.2};12;12;303.8142796466149;0.034252460352967265;90.9090909090909;0.5141280929667593;1200.5994962341572;0.6333898755273188;7354.018109352236;7353.736042951845;7353.861925786393;7353.615442278781;7353.816803276006;7354.027648625201;7353.508597072967;7353.799112370708;7353.759175332898;7353.818342168887;7353.777554378833;7353.664242072673;[299.14131064776393, -303.9914779518449, 62.08734921360701, -316.5357322787813, 435.2447907239939, -29.817503625201425, -104.0212780729671, 387.8059596292924, -207.95120433289776, 580.375498831113, -50.451467378832604, -295.8472130726732];-0.9602344281816987;0.7674902847351159;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
