train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.2};12;12;3821.588846459872;0.0613923429165403;81.81818181818181;3.841790523200586;30189.284482027146;1.0831447031451211;51073.465030065614;51041.8732991333;51470.747258027885;52490.92670196741;54336.47941521152;54658.172063433776;53668.00955401285;54480.18502784993;53960.0284721404;54323.94664402532;51010.59276651108;47780.695507802644;[1951.7349699343831, -4165.773299133303, 2520.652741972117, 3700.273298032589, 4814.720584788476, 6719.227936566225, 2754.5214459871495, 4097.405972150067, 5566.131527859601, 858.9533559746778, -590.8927665110823, -3044.895507802641];0.1422337616414863;0.9688290710648836;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.2};12;12;5058.980815413295;0.08435430539105752;54.54545454545455;6.959606824342476;99759.30852622885;inf;46476.39016746399;46638.584428625254;46944.12955801091;48028.1086437308;49842.092348025544;50080.838212237184;49132.3637749267;49944.01348440419;49518.384399492934;49958.25607941724;46810.94223409545;43548.44252416545;[5502.40983253601, 558.7155713747488, 4392.07044198909, 3099.8433562692007, 5189.807651974457, 7429.2617877628145, 8096.336225073297, 7187.2365155958105, 4673.215600507065, 2370.0439205827643, -4483.242234095451, -860.7425241654564];-0.2960859042803784;0.926056858834097;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.1, 'epsilon': 0.5};12;12;4803.0687354870415;0.07371179129158759;63.63636363636363;4.937786165438572;75783.18461746631;0.847688738064383;36740.980430719566;37938.97798655577;42648.01222203408;44690.46334514307;48518.56778116951;50257.22684928072;49584.92856235621;49090.81217627748;47629.09931496494;48586.224351526005;46181.13148132236;41400.3853695369;[10940.21956928043, 9524.332013444226, 2677.0877779659204, 2967.8466548569268, 3616.5322188304854, 2250.373150719279, -1508.628562356207, 1182.1168237225138, 953.3656850350599, -0.8243515260037384, -5202.101481322359, 818.4146304630995];-0.30121404043551553;0.9253322116717776;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.2};12;12;4787.077837695873;0.09287229910033158;72.72727272727273;-3.665885811499783;56726.30424608543;0.5524175539153252;45248.04644032743;45537.257373581066;45731.4997015369;46696.84764916645;48297.41553839262;48588.25209806246;47710.432172977606;48408.879339516454;48070.727138902475;48560.03887479471;45613.01529991486;42391.83776878011;[-7441.483440327429, -10077.757373581066, -5107.509701536903, -2311.326649166447, 2126.9544616073836, 181.7979019375416, 3054.927827022395, 5200.78066048355, 131.8428610975243, 2175.293125205295, -1561.7752999148652, -6204.957768780114];-0.047387368141817425;0.9544332846759331;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001, 'epsilon': 0.3};12;12;2925.7601078876473;0.047498994468214206;72.72727272727273;3.3621063355647802;34612.31761887908;0.3822106046773297;42867.192140443956;43059.13197654927;43263.62741799808;44331.031117570375;45673.7953011979;46068.11117320703;45259.328675992394;45888.19697553353;45570.87391619195;46144.756086967536;43267.18659009261;40097.977405682104;[-1150.8191404439567, 1334.1380234507233, 589.392582001914, -448.04111757037754, 5656.744698802104, 3691.158826792969, 1774.621324007603, 5531.383024466471, 3698.1860838080465, 570.3259130324659, -403.466590092612, -2352.637405682108];-0.1276161729484073;0.9466174350072096;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.1};12;12;2511.771128544247;0.047535474038748145;63.63636363636363;-1.4888831223208612;39602.58772781024;0.23456975786539735;42559.832697928716;42696.36507070412;43196.45182805487;43935.03870505002;45337.949570632445;45679.17839188059;44942.53876742627;45548.95331426486;45199.684524805736;45854.729321337494;43076.19758915203;39911.94674654525;[-410.3696979287124, 724.2439292958734, -5997.343828054873, 1998.6612949499759, 337.8504293675578, 1748.5786081194092, -833.6947674262701, 592.0226857351445, 2440.953475194263, -1768.5333213374906, -3531.2575891520246, -3046.1887465452455];-0.14741358786645636;0.9445063564848212;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.3};12;12;3091.6046349794306;0.06306731097428288;72.72727272727273;4.109522113559556;36595.28442413859;0.316541315418213;37400.355634565865;38048.28485910021;39470.3485659878;40947.80136532894;43256.751532148744;44045.14704108745;43606.83726104352;44022.39309926549;43553.98814285593;43997.693093779875;41197.161566332434;37652.61798201951;[5332.093195434136, 4000.1884808997856, 4360.348264012202, 3808.4053346710643, 2136.9933678512534, 2489.467858912547, 451.58769895647856, 911.821730734504, 2995.3342671440696, 243.39231622012448, -1929.683566332431, -3491.7659820195113];-0.40260871646509366;0.9096623031119284;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.2};12;12;5655.240337222345;0.12497876938048474;81.81818181818181;-10.898890666954006;44830.50170321094;0.4865299242374482;38814.60855784622;41320.31799218242;44289.95045952897;46861.36301304732;51290.295676447146;50634.903246140304;48997.60216750019;48064.45266580109;46585.27334459915;46952.789285210354;44489.69915018167;41618.45632446598;[2837.6014421537766, 354.1220078175829, -2163.1004595289705, -4448.8630130473175, -8745.695676447147, -5678.713246140302, -7011.49216750019, -7125.64266580109, -3395.773344599147, -3206.8792852103506, -6977.318190181664, -8483.103554465983];-0.11745224019295307;0.9476722389222942;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 3, 'epsilon': 0.1};12;12;6185.8820789179035;0.12162950190030612;90.9090909090909;-11.373504775303743;24676.86694999457;0.8496936957664776;49366.73543823347;49455.28212675244;49884.82562857514;50554.05979816967;51986.81206812562;52366.39941511391;51765.326921700325;52250.4088402717;51912.314814965415;52701.484232435;50209.45699843241;47189.985558021544;[-5108.934588233467, -1968.7221267524437, -2302.0256285751384, -2346.259798169667, -194.22650812561915, -5171.65714511391, -5112.274221700325, -3582.960460271701, -6865.279194965413, -7035.202772435005, -12099.456998432412, -10469.985558021544];2.610747712272887;0.9990770657599616;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PI;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 5, 'epsilon': 0.1};12;12;4262.210309489767;0.07547375365927404;72.72727272727273;5.320817023089716;50474.49051135632;1.1296223833821954;45514.54075372024;45392.890310069146;45824.08270614314;46683.84715835203;47914.72174054092;48281.18988230657;47696.125043794906;48171.24612009448;47895.9072472199;48735.80665524641;46328.91335536138;43501.24983192177;[-1880.3907537202394, 3143.859689930854, 3761.367293856856, -451.24715835203097, 3971.378259459081, 4777.3801176934285, 6980.124956205094, 7109.40387990552, 3682.922752780105, 4036.6733447535953, 1070.426274638623, -4621.74983192177];2.3604523905478567;0.9989904660800129;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
