train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001, 'epsilon': 0.3};12;12;73706.60629915385;0.05459272027368572;72.72727272727273;5.066671125531833;872176.5678115322;0.9015244661695732;1067912.800601792;1057824.9577566274;1099593.3917311342;1109632.9209917726;1144961.3386994514;1183236.2059322153;1140043.1524210814;1168233.612689219;1097223.9303038635;1021610.60633565;953875.2626952075;952070.1897079278;[97024.47939820797, -38840.58675662731, 119984.3252688658, 33289.3620082275, 60019.912300548516, 128940.31706778472, 89672.24257891858, 29012.78231078107, 74711.37569613662, 50926.85966435005, 12512.239304792485, 36365.73029207229];-1.0524853675044457;0.7336437368168159;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 1, 'epsilon': 0.3};12;12;48598.79382110285;0.03819125996999396;81.81818181818181;1.761224197502625;383420.2666560681;inf;1039869.4783055213;1030828.6823662898;1070406.5617217398;1082548.8227595293;1117841.5602972216;1155113.716074998;1113605.9142768472;1141171.976532842;1071708.716343158;996481.8905801014;929923.8580966624;927491.7329594132;[54124.860694478615, 23145.496633710223, 90098.70227826014, 27289.03324047057, 45731.40970277833, 65868.13692500186, 8098.131723152939, 24999.730467157904, 6089.090656842105, 9103.07741989859, -82002.14709666243, -45272.46795941319];-1.0954761997026907;0.7168725685734052;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.5};12;12;69331.3653361733;0.057009023110458905;72.72727272727273;3.687060398221408;820476.5753028543;1.704032882981357;946367.3677324706;936555.4278913194;991606.5776132491;1028269.5506330673;1094742.4412824037;1148272.886966914;1109735.3908026253;1138551.5231753134;1059135.5832989344;960196.8251242855;884060.8516911535;868875.513067454;[120051.79126752936, 115679.97610868071, 95995.69538675097, 50693.63936693268, 61092.64471759624, 42634.21103308606, 8632.129197374685, -38134.5951753133, -69807.16729893442, 26628.195875714417, -18994.408691153512, 71281.92893254606];-1.179188724152636;0.6824835238544511;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 10, 'gamma': 0.1, 'epsilon': 0.3};12;12;51974.706632712725;0.04302439552541316;72.72727272727273;-2.4879360728050566;614760.843012517;0.5526673172920605;933377.1261817549;976036.2073888282;1049917.1571157037;1072339.4973774548;1135603.973106117;1162745.4422866905;1115698.1685620765;1135418.4504847478;1067783.1965956127;970801.3222339844;902590.1241701678;893134.4252790551;[48743.20581824519, -100416.56738882815, -94150.20111570368, -43016.51737745479, 6954.317893882981, -59354.41828669049, 10966.213437923463, 35893.142515252344, -51824.834595612716, -35151.78823398438, -1638.4211701678578, -18394.07927905512];-0.9569015040959812;0.7686572978554229;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.005, 'epsilon': 0.3};12;12;58830.08203664464;0.04504999578535312;72.72727272727273;0.9350180570917555;695898.3099883995;0.8964769082002051;1011952.764508862;1003065.9182710509;1038598.9120363416;1056308.7488349266;1084208.2778208118;1124484.18315576;1083355.1775490874;1109374.457168631;1046087.8950653499;971480.747049235;903512.8966123424;898889.4567710914;[-63989.089508862, 26123.44172894908, 83212.49596365844, -9669.250834926614, 62836.62917918805, 68304.66584424, -256.2735490873456, 100606.81983136898, -21333.760065349867, -100654.67804923502, -14642.143612342421, -14150.541771091404];-0.9093042820942926;0.7848929434905083;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.2};12;12;59801.21690842711;0.04331890324657344;63.63636363636363;0.9071308673554512;942747.3755139267;0.6184240961283957;945498.3761687505;936322.368654672;1009123.4936440722;1045734.4270991719;1108581.135853008;1146730.1283324289;1087173.825499265;1097134.5759285644;1031210.229021469;942071.7744283015;881267.8731326498;857958.6566993376;[75149.06983124954, 104646.37934532796, -118696.54664407216, 97224.85490082798, -6861.654853007989, 7662.4496675711125, -29166.490499265026, -21018.57292856439, -13425.272021468962, -12703.29242830153, -4053.909132649773, 31908.161300662323];-0.8292523913411347;0.8103780427203554;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.005, 'epsilon': 0.1};12;12;47608.91417678976;0.04270908752396801;81.81818181818181;1.7141972462799984;375703.7874189364;0.6631974284065327;957081.3255002025;950578.3288457904;995932.3128565373;1007041.9214731203;1048780.8365073614;1093015.9377111783;1057402.4618164538;1084757.4722133852;1025956.7087267597;946602.4299663787;877411.537750399;866977.2686554012;[71553.85649979755, -27319.430345790344, 65528.9961434626, 69478.43352687964, 42781.59249263862, 47512.19428882166, 56581.322183546145, 10735.853786614724, -28033.798226759653, -36996.67946637876, -49356.58875039895, -14717.267655401141];-1.295647728245012;0.6311611234989918;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;69795.45666106016;0.05749690353422893;63.63636363636363;-3.5411918909515583;1100732.02306635;0.615039657535692;976223.7698516753;970312.984328292;1021376.9228962532;1037055.1031037098;1084391.5950268835;1125994.1093616209;1092130.1675900095;1124063.0821695386;1065552.7107367907;986593.1195644479;917679.0742161633;903772.8283465588;[23998.621148324688, 79238.32967170805, -9824.88189625321, -14381.115103709744, -5927.75602688361, -5713.292361620814, -1431.1045900094323, -84613.80716953857, -92107.14073679072, -98573.13156444789, -147593.09311616328, -63917.48244655889];-1.0715045599118034;0.7263007809089321;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;70076.97501219643;0.052801826365664606;81.81818181818181;-3.7074223507609103;553315.742147819;0.9334808214435087;1005818.8816887754;1005224.2290697624;1055662.669615882;1068691.8978322307;1122114.258256283;1162940.0465696463;1130277.7983908972;1164830.3315148742;1106355.3015184263;1026691.4023908223;961149.4207852342;939546.127985013;[-4951.565688775387, 26081.624930237653, 3069.1073841180187, 26179.476167769404, -22010.718256282853, -19369.758569646394, -36467.25039089727, 8818.399485125672, -128628.51851842622, -68288.62119082233, -171115.57478523417, -69089.6539850129];-1.0105277863194038;0.7494051922035277;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;SP;oleodiesel;ARIMA;{'kernel': 'rbf', 'C': 1, 'gamma': 0.1, 'epsilon': 0.3};12;12;67628.4099909831;0.05912748315462046;81.81818181818181;-3.641585973103984;534167.5984799825;1.2073522147891134;1036429.2749232968;1031500.3758696247;1092556.7753389133;1109331.7512714262;1186579.2448997837;1239953.1691920364;1177555.0834130205;1199418.176242841;1128008.452592547;1033028.6292720181;981155.5898156977;955632.9978323231;[-38580.78492329677, 25119.57113037526, 57968.56666108663, -47326.97027142625, -49956.75589978369, -57598.828192036366, -25500.21041302057, 42139.68775715912, -113718.70759254706, -75992.02227201813, -44193.5431156978, -135145.98683232302];0.6980738301864957;0.9897993511047338;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
