train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;gasolinac;ARIMA;{'p': 7, 'd': 1, 'q': 20};12;12;32311.421792737972;0.06006316967654516;81.81818181818181;4.298820820183385;255227.3057420482;0.4702436297048446;374915.7051445506;361810.60455257335;372990.169931152;350396.29200131126;407444.01211337734;397611.6669356684;372495.7199680146;357071.439073233;359536.0909357082;414732.8237852061;372921.3661789415;359512.3943726653;[32004.567855449393, 25484.07944742666, 72726.034068848, 56569.01399868872, 6799.814886622655, 6505.139064331597, 3841.5790319854277, 20339.86792676698, 13116.646064291825, 5851.561214793881, -516.9241789415246, -40520.3533726653];-3.5734358879357973;0.006289662329574169;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2022-02;2022-03_2023-02;MG;gasolinac;ARIMA;{'p': 21, 'd': 1, 'q': 24};12;12;69804.55164880755;0.15342917129793718;63.63636363636363;15.562935153423657;1103776.6423910623;inf;322228.0536955073;289275.4903026975;310100.77826090343;301041.77379053284;296681.84559564997;337719.6612457993;293777.0963921513;293420.1226712607;320201.55920720025;361688.8033803806;325415.5101512856;297712.22285704664;[-13476.334695507307, 17357.369697302463, 27692.445739096554, -1062.3357905328157, 84166.00740435004, 59600.86575420073, 94930.59060784866, 104509.53232873935, 63725.71179279976, 94984.47861961939, 57071.00184871437, 101542.40014295338];-3.6174025456353305;0.005436912627387208;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2021-02;2021-03_2022-02;MG;gasolinac;ARIMA;{'p': 8, 'd': 0, 'q': 20};12;12;59612.16746945566;0.1628704849638937;81.81818181818181;15.456127870607888;473529.5333782939;0.9529262069785298;281874.86181800324;237054.0947586264;253078.46125376422;270540.3534732051;282533.4507334273;270985.6962483394;245749.74910545032;256176.68972816772;282177.90543057636;309841.2006078835;261466.79965956367;239598.5021267538;[-21201.55981800324, -7918.443758626381, 39079.201746235776, 33179.48552679486, 51252.38926657272, 56031.26475166064, 90911.95289454967, 86869.4332718323, 39805.77256942366, 92587.8913921165, 50672.02234043632, 72116.5258732462];-3.22912704630804;0.018359397040192356;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;MG;gasolinac;ARIMA;{'p': 22, 'd': 0, 'q': 19};12;12;30228.277735018826;0.09646563381782482;81.81818181818181;-1.2420678163949226;239249.38772206954;0.24909286077583442;281447.26415580284;280444.17137274845;268321.2148616259;275148.1524549355;280840.52134238917;275024.0164644002;258315.98580083987;273446.7030919534;263742.35575611715;287628.76930803916;269040.15302114567;264865.2859765363;[-37781.33515580284, -67278.14837274846, -27538.279861625924, -8869.319454935496, -3533.2843423891463, -11124.793464400223, 22613.720199160132, 21125.256908046606, 21031.648243882868, 45590.24769196083, 19266.803978854325, -13721.241976536287];-3.486648904778076;0.008336672364401419;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2019-02;2019-03_2020-02;MG;gasolinac;ARIMA;{'p': 3, 'd': 0, 'q': 24};12;12;26816.016197108347;0.08303144471692875;54.54545454545455;-8.094551636912664;528769.2060740999;0.2378430373797039;305103.6505475773;286818.36423311057;283127.8447828192;315157.32970257394;302731.156276319;291965.4807247839;294892.6899144908;295333.58279714076;296731.6181518374;314303.11787865066;301321.41082203045;293513.5450725414;[-32411.846547577297, -2598.0352331105387, -5264.860782819218, -57383.83770257395, -12712.805276318977, -14782.59172478388, -34073.82591449079, -17648.735797140747, -29596.27215183736, -7700.19887865067, -28744.45682203042, -25242.096072541375];-3.7755812403125293;0.0031672680375345185;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2018-02;2018-03_2019-02;MG;gasolinac;ARIMA;{'p': 8, 'd': 1, 'q': 7};12;12;68214.44484922213;0.22564991325183262;54.54545454545455;-21.573903313750527;1349293.3106302477;0.660841267584006;363216.984500445;341283.86608113965;345088.7003968133;338018.73168339767;357575.94931641786;363458.98632844473;351309.7689711728;345974.16013638244;344540.34130971454;390364.7729601376;341541.69931915635;333291.75029417325;[-13102.172500445042, -14714.145081139635, -79592.04139681329, -19690.03468339768, -69555.84731641784, -76053.66432844475, -94441.23297117281, -71152.39113638247, -81150.79530971457, -82485.2979601376, -67877.22931915638, -78276.32529417326];-3.632105464788806;0.005176085465953583;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;MG;gasolinac;ARIMA;{'p': 8, 'd': 1, 'q': 23};12;12;32158.28692874348;0.07764316769446555;72.72727272727273;-3.0594361950211706;380853.3678376813;0.42329760645134146;401514.7734264267;388214.40310134675;387238.42546973645;367087.52882520604;373368.00310016196;390897.0414964962;384295.9979987208;374328.98665139434;360734.50621829147;392135.08754919766;379247.513622376;366830.73022358044;[17182.09257357329, 322.87989865324926, 16366.39053026354, 34113.23117479397, 26180.72289983806, -17771.045496496197, -33413.17999872076, -29749.559651394316, -30965.187218291452, -5552.119549197669, -42170.86662237602, -70087.06822358043];-3.2241508123700524;0.018628610205503587;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;MG;gasolinac;ARIMA;{'p': 6, 'd': 0, 'q': 23};12;12;24605.601738499023;0.05351252331046815;63.63636363636363;4.572892691693528;388008.7425660616;0.6903349743799531;371335.14913245826;353432.888889366;351530.2859032107;361743.7372657606;361447.69907539693;349805.11763146456;362587.83255978115;351042.8432697557;370198.83670148853;405574.11730261054;363551.86635174416;357933.59540099266;[31649.54286754172, 23552.633110633993, -1352.9759032106958, -18104.214265760616, -2170.320075396914, 17697.036368535424, 8046.291440218862, 27800.398730244313, 23490.358298511477, 46136.00269738946, 35615.37064825586, 16581.066599007347];-2.8284210498304776;0.05432730492625017;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MG;gasolinac;ARIMA;{'p': 20, 'd': 1, 'q': 15};12;12;59101.0190986457;0.16161601350018956;72.72727272727273;-15.826506170052419;702087.6843546836;1.2381237689074924;406329.1060540297;418686.9090356297;402221.6202298227;391058.7703213392;426678.87494035455;411109.6297919859;396971.9681586057;413482.04128799174;395128.59204354265;457927.4286216525;403582.4738752185;378465.76415463747;[-36082.2110540297, -53533.40103562974, -62972.58822982269, -46287.87132133922, -71569.19894035457, -88383.1197919859, -74943.94215860567, -69860.12228799175, -63877.494043542654, -37499.28262165247, -50062.96287521848, -14687.160154637473];-2.836889497595887;0.053194506788560476;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;MG;gasolinac;ARIMA;{'p': 8, 'd': 1, 'q': 24};12;12;25134.769861923465;0.04976551865294004;81.81818181818181;2.065248081300596;198427.0164109169;0.38848010565745816;419689.0133695905;426360.9077436058;404759.06615900365;386368.08694472816;424765.06250980275;404543.86606194504;396001.6079384548;415480.97484742705;388224.5177676368;424227.1747414305;405321.29720783414;382280.24786611635;[-28032.325369590486, -3348.3577436057967, 13025.836840996344, 9376.224055271829, -7919.851509802742, 12715.013938054966, 27698.709061545203, 33172.44515257294, 2331.225232363213, 49607.0262585695, 28358.49279216584, -34116.71286611637];-2.557530747709029;0.10209625877205325;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
