train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;gasolinac;ARIMA;{'p': 13, 'd': 0, 'q': 16};12;12;2327.3352145549015;0.039942359087074795;72.72727272727273;3.331347765640105;27525.24358562904;0.7695482478905961;36960.031476014665;37432.76623718967;37420.3803786884;37000.46493903289;40247.57452958254;40916.451526065626;40927.225239004976;40182.339446864855;39099.39445643311;41849.84065230344;36345.835920418314;35231.04491913082;[2235.6115239853316, -1089.316237189676, 6040.369621311598, 1324.9850609671048, 311.8754704174571, 1582.5984739343767, -332.08323900497635, 73.86055313514225, 444.9355435668913, 2376.759347696556, 3438.215079581685, -430.99491913081874];-3.157592546192374;0.022574399435863087;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;RO;gasolinac;ARIMA;{'p': 23, 'd': 1, 'q': 10};12;12;2844.4727625104524;0.06492864106340655;63.63636363636363;6.325428479568412;44869.8249158819;inf;36527.033345072705;33676.192727949565;33986.01740623643;34432.23435619711;37079.22140682742;37811.74266934252;38302.73070914547;39248.41858191066;38043.55286734085;40464.813727272216;34830.725017683035;33486.36434680946;[-646.4833450727019, 2446.6572720504337, 3554.432593763566, 868.3676438028924, 2378.5795931725806, 4129.259330657478, 3844.66929085453, 1992.881418089346, 2938.947132659152, 3165.5862727277854, 836.0919823169679, 4059.7166531905386];-3.0500118943682235;0.030480584369449164;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;RO;gasolinac;ARIMA;{'p': 21, 'd': 1, 'q': 19};12;12;1659.015799294144;0.03769507223742826;63.63636363636363;1.8562863757012031;26150.39687351458;0.5571500012922306;35551.629164541;34184.263539284;33523.368686522255;34000.249741267806;40862.36184768912;39606.31867549304;37179.746781425776;37975.00810502595;36941.5761768132;39434.61510650433;32351.418509464755;32636.11209798127;[-2384.9791645410005, -4.113539284000581, 2402.574313477744, 3288.9502587321913, -979.0118476891221, 522.6313245069541, 1047.0532185742268, 1137.291894974056, -834.0261768131968, 2030.234893495668, 1404.431490535244, 582.287902018732];-2.983463204300211;0.036467854962913;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;RO;gasolinac;ARIMA;{'p': 8, 'd': 1, 'q': 24};12;12;4206.534708978647;0.103693578054236;72.72727272727273;-3.493567470975398;49866.90864660754;0.934378042536707;36649.91812513203;36627.58532820099;35808.99888857784;36262.593290181845;38688.50410491391;38656.197957974866;37672.451991502654;37389.70324673865;36609.207529046646;37150.398138407676;34277.8769073115;33428.68110872768;[-4475.172125132034, -7477.115328200991, -4871.998888577837, -4016.2432901818465, -2081.8041049139138, -2633.0979579748673, 1060.1980084973475, 4270.101753261348, 1219.2924709533545, 7491.151861592327, -467.4269073115065, -2844.43110872768];-2.8885704004008335;0.04669333949084395;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;RO;gasolinac;ARIMA;{'p': 24, 'd': 0, 'q': 11};12;12;1870.4345567314933;0.041004624179334544;63.63636363636363;4.124319869780313;29485.56242202609;0.7410835527006753;35335.245211328685;34181.24204717839;35116.99526254672;34721.501765830646;36617.046191211746;37905.76266011874;36642.71692102624;35701.05056070337;35276.22887564067;37381.56175602728;33463.74191453252;32866.085115188034;[289.9547886713117, 2215.857952821607, 1123.854737453279, -118.80176583064895, 2510.8538087882553, 756.8873398812648, 300.4830789737607, 2115.0494392966284, 1610.9711243593265, 3740.1882439727196, 2451.5080854674816, 1294.5748848119692];-2.823420664386443;0.05500538745676103;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;RO;gasolinac;ARIMA;{'p': 17, 'd': 1, 'q': 23};12;12;1117.8468131501202;0.02568772922180766;72.72727272727273;0.2866540986234403;13213.879172189647;0.28894382158184656;34429.875330751966;33622.95798285773;35577.89749806535;34461.17479957062;36167.28198803381;38297.757694311425;37390.260755141324;36376.83410559997;36346.31404692578;38199.50739086101;34096.34670248962;33293.741852552324;[1761.0046692480319, 1426.9610171422682, -1453.7354980653545, -124.97479957062023, -633.681988033808, -477.25769431142544, -1425.1167551413237, 1260.7168944000296, -96.58304692577804, 1741.6766091389945, -94.14670248962648, -653.708852552325];-2.870516393657594;0.048885533965034624;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;RO;gasolinac;ARIMA;{'p': 23, 'd': 1, 'q': 19};12;12;2138.4748829874648;0.04828944461262613;81.81818181818181;3.8457925678356895;16881.21896864402;0.6247205109108922;33794.00516820515;33298.55555386265;33277.089563138965;34072.26389178714;36180.07420519044;37317.39694718094;36886.227512957696;36265.72335744591;35046.90347961608;36752.43437145722;33637.2403985282;33531.10806092744;[2400.694831794848, 1911.844446137351, 4466.110436861032, 2456.86610821286, 1382.0257948095605, 750.5930528190584, 1017.0724870423073, 303.6966425540886, 972.6215203839238, 3386.841628542781, -440.67739852819795, -1806.9700609274441];-2.924252695190898;0.04259955533918653;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;RO;gasolinac;ARIMA;{'p': 18, 'd': 1, 'q': 6};12;12;2023.9368822874908;0.04202984087026163;81.81818181818181;3.4312496065540024;15971.53595382302;0.5065152930018935;33419.82635607334;32868.00814216392;33978.07129022281;34551.81106680458;35515.0203257978;36393.89203559269;36805.731832946156;36191.02086642598;34732.836465537825;35501.07370856727;33221.232346019555;32916.716053002405;[2561.773643926659, 1673.9918578360812, 1475.5237097771897, 416.63893319541967, 1191.949674202202, 1673.007964407312, 836.7681670538441, 692.34013357402, 740.789534462172, 5444.326291432728, -920.1323460195563, -1002.4160530024055];-2.8201476747136933;0.05545295000632315;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;RO;gasolinac;ARIMA;{'p': 16, 'd': 1, 'q': 20};12;12;1537.6487450242803;0.036963612672099466;72.72727272727273;1.6155010908560572;18183.814166400913;0.3026691734320054;33197.364016367275;32382.22159098449;31919.49897075091;33407.35551333037;35233.37839110326;36181.609549044704;36344.55270036384;36863.724264404875;34319.95432963803;35848.254406652464;33313.8409290264;30947.14511913939;[-381.46401636727387, 1436.8884090155116, 1349.0010292490915, 1386.84448666963, 1451.8316088967404, -824.1145490447016, 21.347299636159732, -33.54126440487744, -1375.0543296380274, 3051.5455933475387, -1702.8409290264026, 2351.196880860607];-2.8978870025554255;0.04559426264740219;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;True
1990-01_2014-02;2014-03_2015-02;RO;gasolinac;ARIMA;{'p': 11, 'd': 1, 'q': 4};12;12;3794.000849266457;0.09321415272591649;54.54545454545455;8.10544436560705;74829.99699717612;0.6962177138941842;31178.102200958634;30406.059356414742;30100.761486934054;30755.488803442295;31694.01611983878;31851.737206305577;32670.867581272625;32427.839459132836;32026.16526128793;32327.953271744875;31538.389297592716;30811.33846373977;[-1427.2022009586326, 2164.1406435852587, 3064.918513065946, 1496.6521965577049, 3628.633880161222, 3438.9607936944194, 5020.032418727376, 5975.957540867163, 576.1347387120695, 6660.046728255125, 4530.210702407283, -1806.104463739768];-2.736611794666362;0.06791425814943947;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
