train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;gasolinac;ARIMA;{'p': 1, 'd': 1, 'q': 21};12;12;12720.18377328158;0.08047189613148921;72.72727272727273;8.102597642618461;150662.40264835436;1.2807162217882284;117093.59804976454;109935.12550690587;113885.82646296275;112931.35411188671;120789.68976116285;123813.52411457103;126789.83225294421;122956.44520414491;117019.55024925176;119830.43096062056;111221.49039053023;109148.14876004576;[5231.00195023547, 5971.526493094134, 20977.72853703724, 14817.54588811328, 6555.165238837144, 7234.175885428966, -1302.0222529442108, 8047.554795855089, 11532.311750748238, 19839.16903937944, 22942.559609469754, 2068.781239954231];-3.5920987138734226;0.005913892500482863;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;CE;gasolinac;ARIMA;{'p': 21, 'd': 1, 'q': 4};12;12;14610.497809435576;0.10875509019655184;81.81818181818181;11.048399860870534;115716.7374601141;inf;102813.77774944807;95071.53271249682;98659.99700020961;99174.63794847211;106193.2290468423;107545.44497385167;116658.37585893193;118250.87287564961;120433.111759261;122005.49770641529;109120.06331337866;103571.24242896737;[6397.557250551938, 13616.66228750319, 15782.66199979039, 6836.852051527894, 12711.114953157696, 22796.394026148337, 13811.92414106807, 14990.321124350376, 3152.1222407390014, 21824.017293584722, 18039.867686621335, 11447.057571032637];-3.4093394667438712;0.010644580394980148;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2021-02;2021-03_2022-02;CE;gasolinac;ARIMA;{'p': 24, 'd': 0, 'q': 12};12;12;9177.86781298567;0.06606460379179292;72.72727272727273;3.064157274307414;108648.78443874493;0.5887372100957585;107890.70200683769;96239.24835778117;104639.75399461959;101852.9466630787;107097.13231922468;115395.24292732963;115409.21773841808;123335.44741743042;104040.00229827681;116375.99418673947;103355.38490961894;92849.60672072542;[-13395.528006837689, -7782.331357781164, -1357.1479946195905, 8285.1233369213, 15401.738680775321, 1067.7450726703682, 3715.1972615819104, -412.90641743042215, 6883.332701723193, 12316.045813260527, 232.41509038106597, 15775.393279274576];-3.090026396424241;0.027300138391172256;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;CE;gasolinac;ARIMA;{'p': 24, 'd': 1, 'q': 22};12;12;19395.97755688872;0.1652385690251529;72.72727272727273;-9.065042041232596;230445.3226144352;0.8982505395496022;117407.07548698437;116771.35444901281;113619.56670734966;111937.36053457168;113943.76085938023;117286.42465229321;114096.57333077579;118782.13753677894;113294.48881341347;119422.7907596353;115513.84396761573;104564.20011152369;[-25850.74848698436, -39540.739449012806, -37121.69670734966, -18823.94753457168, -4940.178859380234, -8583.674652293208, 2594.053669224202, 6838.590463221059, 7181.811186586536, 14570.608240364701, 839.2480323842756, -11584.000111523696];-3.3324901631137167;0.013487174659344703;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2019-02;2019-03_2020-02;CE;gasolinac;ARIMA;{'p': 19, 'd': 1, 'q': 22};12;12;4533.327758183392;0.03036624813857944;81.81818181818181;1.2842101560685886;35750.54768873937;0.49307322847294016;114779.56607688706;110661.96383030181;112266.26894886147;108891.88654520964;112879.97872657346;117483.65057255416;114862.08911155959;117675.80350303842;115286.34337475139;120476.4921717264;117692.52634718586;107630.74409361194;[-8352.266076887056, 2046.9961696981918, 2176.0310511385323, -1368.886545209636, 7505.121273426543, -608.2505725541705, -895.4891115595819, 4667.7114969615795, 4793.456625248611, 7797.211828273605, -1188.6023471858643, 1257.1649063880614];-3.1592578151845268;0.022467473304019228;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2018-02;2018-03_2019-02;CE;gasolinac;ARIMA;{'p': 13, 'd': 1, 'q': 21};12;12;3947.548410769606;0.026466367892764936;100.0;-1.6407969093893644;45.23998432553484;0.2505717735379141;112939.87331482623;109292.18710717844;113018.97081330931;110084.8706000033;113662.37509138099;114888.79118080137;113798.95326106773;116762.69904070921;111782.07048773255;122230.53206222087;115145.28484515002;105402.29832156717;[2464.533685173781, -1033.5301071784343, -3326.2068133093126, -6667.870600003298, -6165.843091380986, 368.66881919863226, -8871.620261067728, 1079.8429592907924, -1970.6994877325487, 497.5649377791269, 229.8021548499819, 1456.749678432825];-3.3887710426801916;0.011347674316706495;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;CE;gasolinac;ARIMA;{'p': 22, 'd': 1, 'q': 21};12;12;5244.808078036053;0.0396006231480664;81.81818181818181;2.54193412379578;41382.40235301005;0.42951745833229005;114988.12892089103;108915.503361714;110414.11093037436;111438.52157212583;110012.7201968604;113897.55197793662;113738.53119722841;111158.47230990075;111095.65446980252;117684.50048453818;110995.15452457331;108407.35787028595;[1862.920079108968, 449.6966382859973, 7308.459069625649, 5199.378427874166, 4266.198803139589, 4959.623022063388, -2229.8671972284064, 7084.955690099247, 1895.7975301974802, 8694.363515461824, 3188.9884754266823, -7658.554870285952];-3.0154829563599845;0.033473568000074824;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;CE;gasolinac;ARIMA;{'p': 11, 'd': 0, 'q': 2};12;12;7089.34057185186;0.05150411144892739;72.72727272727273;4.548901751114125;83879.8373974907;0.6577047624532666;110618.48064456096;108135.76117477956;109458.18543046682;109246.10744460441;110129.5494296904;106228.4373176153;111722.53845014494;107564.62351019713;108718.06260790155;110867.46473851861;108131.65849759945;109008.18378887438;[2803.7393554390437, 2250.5528252204385, 2639.95556953318, 1289.1985553955892, 4328.950570309593, 11626.219682384704, 7952.234549855057, 8922.56848980287, 4977.2413920984545, 13967.685261481383, 6468.2755024005455, -4804.252788874379];-2.609681544306716;0.09101275309856138;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;CE;gasolinac;ARIMA;{'p': 17, 'd': 1, 'q': 24};12;12;6122.858751591942;0.04670426218846064;54.54545454545455;-0.7493406546526116;120637.27291083129;0.4113311907136379;113221.19616217933;109249.2245702136;101820.57445081341;104700.03796831118;106339.40414969968;109859.95787840085;109148.86814855816;114533.62023046959;115193.06077741095;125329.97692430415;120401.44047092501;107274.17216718676;[-5261.426162179327, 2295.5744297864003, 5028.799549186588, 6044.86803168882, 6679.688850300314, -1992.682878400854, 2675.631851441838, 820.2717695304163, -11983.544777410949, -5305.197924304157, -11064.940470925008, 2118.2568328132475];-2.745008875222512;0.06656830642732608;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;CE;gasolinac;ARIMA;{'p': 11, 'd': 0, 'q': 23};12;12;9440.047914087134;0.068608211316998;100.0;6.998714833469581;280.44708589178657;0.911247980773323;103377.35373929904;103941.42899370728;99377.82161117884;97853.94453397697;105823.10752619487;104212.01304810325;107207.06554821054;112326.39651658158;109670.17942204756;112808.49547066653;108256.30771694175;97727.3686491221;[-747.9837392990448, 6047.438006292723, 10582.632388821163, 7070.62946602302, 7102.0104738051305, 8339.311951896743, 9641.81845178947, 11676.73848341842, 1903.8205779524433, 16385.00452933347, 15722.802283058249, 1290.0313508778927];-2.5293129432767962;0.10850407878136731;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
1990-01_2013-02;2013-03_2014-02;CE;gasolinac;ARIMA;{'p': 5, 'd': 0, 'q': 17};12;12;11976.044364579586;0.08999958601511532;54.54545454545455;7.964598651704881;236185.7315950572;0.5251743512016338;99200.64494130599;97664.31325890332;97346.13387558758;98625.42472766696;98715.24386580198;95364.53154427874;97270.43580070428;97343.866848472;90799.77619572077;94853.44148561952;90144.76189355965;85011.71722120667;[-4473.445941305996, 1160.1147410966805, 1727.8421244124183, -3790.8177276669594, 4146.15813419802, 10236.46845572126, 4058.253199295723, 11408.113151528, 15014.224804279234, 20448.08951438048, 21992.238106440345, 16929.09077879334];-2.7701720325857755;0.06266241635107397;12;264;-3.455365238788105;-2.8725510317187024;-2.5726375763314966;False
