train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;gasolinac;ARIMA;{'p': 23, 'd': 1, 'q': 14};12;12;4391.760326887597;0.05456993545501334;72.72727272727273;4.263666152031547;51968.63775580475;0.40080037278783265;68269.99204456626;64964.2467764946;65123.58858280147;61815.658429312025;65530.79377847781;64950.33626974021;62013.33342073084;61138.03741345633;61852.40223199259;68014.66499567876;58735.22730549556;58155.18048992782;[3282.907955433737, 3349.5032235054023, 10301.175417198523, 5273.411570687982, 1955.1592215221826, 3684.1627302597844, 2390.6075792691554, 4186.483586543669, 342.4477680074051, 2854.7850043212384, 1256.2666945044402, -5004.831489927819];-4.552898444818171;0.0001576077950552997;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;MS;gasolinac;ARIMA;{'p': 24, 'd': 1, 'q': 6};12;12;10280.921979293125;0.1262802699990019;90.9090909090909;13.295586335723819;41033.30237609946;inf;57786.378478698934;52161.00355163956;54455.55181562173;54277.02307776921;58070.81717675297;58433.31194083392;60113.4478763262;60233.50250560899;59005.323318812996;63533.863317961;54488.973871186885;53777.33830891482;[-92.42947869893396, 4795.646448360443, 4634.998184378273, 647.6739222307879, 6960.363823247026, 12039.773059166087, 10727.782123673795, 11277.397494391007, 9379.701681186998, 19294.496682039004, 12362.975128813108, 13217.08969108518];-4.360446565775301;0.00034851056981474287;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;MS;gasolinac;ARIMA;{'p': 11, 'd': 0, 'q': 24};12;12;4627.128132119286;0.06122038001362074;63.63636363636363;4.149856664097004;72981.99833662741;0.4072461021206701;54281.36715589379;55027.215805027095;49792.89271265366;49475.15991607024;53744.808572475806;56212.47503249484;53336.05522508648;55270.39445611314;59355.747800818346;60925.02010056577;55066.1638868305;55194.035355109445;[-540.7171558937916, -6689.242805027097, 2861.557287346339, 2184.185083929762, 4406.441427524194, 2332.59696750516, 6776.075774913523, 5109.855543886857, 486.55019918165635, 10021.379899434221, 435.8861131695012, 1089.9146448905522];-4.478563139115298;0.00021494212474780603;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;MS;gasolinac;ARIMA;{'p': 21, 'd': 1, 'q': 1};12;12;8249.752616035068;0.13345795906112926;63.63636363636363;-11.298045740553842;130378.76158162524;0.7444995867675286;65387.3923118813;64218.72755600005;62545.20423357549;59654.204294379626;63963.18708553364;63947.92268921365;61959.831386195445;61880.21975774033;61305.47665792817;65826.78292906252;61708.81635193467;61029.82333081179;[-10164.3423118813, -14424.62755600005, -9238.620233575486, -5163.454294379626, -6857.187085533638, -9632.67268921365, -2797.245386195442, 2450.4802422596695, -1918.9766579281713, 1981.9450709374796, -7403.966351934672, -13312.99333081179];-4.435691531581112;0.00025651211311537354;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;MS;gasolinac;ARIMA;{'p': 13, 'd': 1, 'q': 15};12;12;6268.1167802563195;0.07879216395202551;72.72727272727273;8.082096005163427;74237.71840636551;1.0357330544968055;63504.32784332231;60807.19984063893;58658.338812945425;57437.135958168685;59721.21233073084;59448.7010773292;58119.8595469437;57557.86355192423;55791.97663683208;63249.746571535936;57223.53546176682;57089.75280796242;[41.59715667769342, 4346.064159361071, 3770.341187054575, -78.33595816868183, 3204.33766926916, 5790.048922670801, 5644.640453056301, 10917.986448075775, 10604.997363167924, 9339.053428464067, 6058.677538233183, 2666.747192037583];-4.034402595890925;0.0012407045254592543;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;MS;gasolinac;ARIMA;{'p': 14, 'd': 0, 'q': 15};12;12;3686.2225053365305;0.05150467682295601;72.72727272727273;-1.908213348743652;43615.03267671882;0.35230759265084494;62302.26991857299;59751.2076037721;59008.5083914535;59544.52397671118;60321.99900890476;61744.69616197863;62132.02013402998;61317.822987102365;60876.82562561465;66592.49134442215;60620.02677983372;59153.35044668421;[4549.963081427006, 3394.2083962278994, -2024.1703914534955, -6669.413976711177, -4430.709008904756, -2536.5661619786333, -6690.412134029983, -950.7119871023679, -1644.9556256146461, 2772.89265557786, 184.93422016628028, 312.79655331578397];-4.220745128233091;0.0006076014520633558;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;MS;gasolinac;ARIMA;{'p': 14, 'd': 1, 'q': 22};12;12;3261.1811571830635;0.046255524995271004;63.63636363636363;3.105703873527945;51416.333254695885;0.3602659583913935;63071.06634369456;61157.012980417385;60224.83186118574;60225.082292852;61101.04480511701;62914.05404480652;61479.29498290942;60947.81491573407;59581.24145249481;64925.11552026051;60009.617554637465;58983.128168028794;[4959.752656305442, 1904.8670195826126, 4510.991138814257, 4056.7677071479993, 4790.781194882991, -216.2940448065201, 2786.0840170905794, 1641.4900842659335, 1672.8045475051913, 3107.486479739491, -2279.8295546374648, -3388.5201680287937];-4.092600824214268;0.0009961618266204034;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;MS;gasolinac;ARIMA;{'p': 1, 'd': 1, 'q': 19};12;12;8898.183338223309;0.1254688959449163;45.45454545454545;12.792218951225268;210651.47527008588;1.4030015677061944;59477.912639130125;54437.75770108416;54106.0450617036;54455.993118449835;52943.264341498536;51950.87414007028;56033.83390264578;53033.368138228594;54794.343423657614;54820.900297994696;52494.655690832915;56235.47348903652;[3816.537360869872, 7938.04229891584, 4529.643938296402, 3303.856881550164, 8054.585658501463, 10860.675859929725, 7756.916097354217, 11071.221861771402, 8281.396576342384, 17383.349702005304, 9657.203309167082, 3394.7165109634807];-3.3287221465600636;0.013642404644960587;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;True
1990-01_2015-02;2015-03_2016-02;MS;gasolinac;ARIMA;{'p': 8, 'd': 1, 'q': 24};12;12;4807.673413077468;0.0739649414169342;45.45454545454545;-6.074850975965529;113707.56166992444;0.39272877678092916;57166.2034473018;56887.07935127955;56812.325720982575;53919.03383452882;59598.875740489835;64053.72617743508;61954.95473858826;61278.09368483557;59601.88361796383;64151.53878036468;58318.232570181935;54804.33459962403;[-3634.839447301798, -2705.57935127955, -4340.075720982575, -1058.6838345288197, -4017.175740489838, -10728.614177435076, -7585.884738588262, -2783.5436848355675, -4889.75461796383, 1467.145219635313, -2818.2325701819354, 2517.1654003759686];-3.537923336169415;0.007064913690314451;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;MS;gasolinac;ARIMA;{'p': 18, 'd': 0, 'q': 21};12;12;6428.730635609962;0.09444112136209655;81.81818181818181;7.82212942564252;50876.76903784987;0.8377154372763939;56366.69620501384;53597.65109936571;53470.198858681964;51446.67554555398;55667.669933414916;58314.55998056386;55430.943321473365;57121.613684124226;53978.81830491377;58915.060705727745;54407.40856689633;53540.236864067934;[727.1037949861638, 7581.648900634296, 5771.353141318039, 3656.2744544460147, 3214.9300665850824, 3421.818019436134, 8617.206678526636, 10843.186315875777, 2722.831695086228, 8983.139294272252, 7002.341433103669, -6343.267864067937];-3.31439357211437;0.014247213680132842;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
1990-01_2013-02;2013-03_2014-02;MS;gasolinac;ARIMA;{'p': 11, 'd': 0, 'q': 11};12;12;5084.486082224409;0.07570192263581375;81.81818181818181;7.586793382532744;40197.211389509364;0.45603272915714604;54909.834672637524;51879.69460253857;52826.387506999316;50268.30131241047;52833.21793499726;53192.923657367326;52050.365488995034;51671.298642184316;49432.89896886948;56107.32765668933;50989.65216009256;49127.021539110065;[-545.5646726375271, 3172.50039746143, 2443.400493000685, 2171.566687589533, 3040.024065002741, 4565.4263426326725, 3079.161511004968, 8279.231357815683, 9024.291031130524, 8329.764343310664, 3992.35983990744, 3781.8204608899323];-3.475503025588895;0.008638972847564404;12;264;-3.455365238788105;-2.8725510317187024;-2.5726375763314966;True
1990-01_2012-02;2012-03_2013-02;MS;gasolinac;ARIMA;{'p': 17, 'd': 1, 'q': 23};12;12;8819.089089737436;0.1494075254466891;100.0;15.20678700945019;570.5541106965333;0.690871619813538;49310.90930765114;46045.243178964876;46325.077272307746;42186.62927643745;45660.224893674094;48104.54275073983;44907.82442784883;47211.52079799958;43576.81065561664;48193.970845211814;45925.79762853539;42672.110872759506;[3827.338692348858, 5364.356821035122, 5116.722727692257, 8666.38072356255, 7546.345106325905, 7173.577249260175, 9523.371572151176, 11320.751202000414, 11468.67934438336, 14864.229154788183, 9522.99537146461, 4263.7111272404945];-3.779084956658847;0.0031287002127741988;12;252;-3.4565688966099373;-2.8730786194395455;-2.5729189953388762;True
