train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;etanolhidratado;ARIMA;{'p': 23, 'd': 0, 'q': 11};12;12;114.8436708600102;0.2992090636445401;54.54545454545455;31.912671774343426;2281.167004509652;0.973816046369125;239.5968069396473;219.63925766815203;241.48886826596734;230.33281892786832;232.57190800495886;170.83744858815356;157.79718315293047;186.84239216315663;172.5285541876642;198.0933193875069;197.5980586658772;171.49750720959895;[10.003193060352686, 72.36074233184797, 54.51113173403266, 71.66718107213168, 31.428091995041143, 77.16255141184644, 86.20281684706953, 107.15760783684337, 75.47144581233579, 116.90668061249309, 157.12394133412278, 273.71249279040103];-4.517607181006996;0.00018272597914441478;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2022-02;2022-03_2023-02;RR;etanolhidratado;ARIMA;{'p': 2, 'd': 0, 'q': 7};12;12;56.67228514178715;0.20744344908333676;36.36363636363637;6.479355719426611;1572.4316676688238;inf;204.3887893864648;171.96142273265974;174.93294850663582;198.93605544970464;155.1221073595865;204.13139001733572;187.44323131761186;198.46110869393925;192.16520093869232;196.6247194259707;194.34321013640388;196.23079033553637;[18.542210613535218, 37.97357726734026, 99.06705149336418, 56.99094455029535, 130.8778926404135, -39.216390017335726, -33.44323131761186, -29.62910869393926, -15.22220093869231, -23.676719425970703, 2.5667898635961137, -47.23079033553637];-4.419670006485418;0.0002739227534790127;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2021-02;2021-03_2022-02;RR;etanolhidratado;ARIMA;{'p': 19, 'd': 1, 'q': 7};12;12;72.547197472821;0.2991003218369559;45.45454545454545;9.2788859560492;1729.9434712671296;1.8694006468642301;149.5187787984742;166.73929085536741;172.5605205382526;181.66411689763757;176.04229575332118;172.65920006585304;208.14485454080327;206.41126088755388;180.36492964253384;222.80334458833477;180.04877104483805;193.4435286339422;[141.8812212015258, 110.0607091446326, 98.23947946174741, 78.33588310236243, 28.55770424667881, 25.340799934146958, -49.144854540803266, -15.41126088755388, -21.364929642533838, -60.85534458833476, -34.11777104483804, -75.44352863394221];-4.142496664497551;0.0008231979998890163;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;True
1990-01_2020-02;2020-03_2021-02;RR;etanolhidratado;ARIMA;{'p': 10, 'd': 0, 'q': 7};12;12;63.29899197027184;0.5675257076488361;27.272727272727273;-3.356584590180798;2026.8291643323682;0.5234883219170731;101.55965947596991;160.26106272716993;173.30772961110452;147.7633826047216;128.8195692360704;119.03871036662372;141.2661989143072;157.40061141154192;158.14775916770512;149.10768428804647;147.02807506538375;133.25914034343887;[-2.159659475969903, -100.06106272716993, -131.1077296111045, -44.963382604721616, -22.619569236070404, 0.9612896333762819, 35.133801085692795, 19.799388588458072, -16.347759167705107, 94.29231571195353, 29.57192493461625, 81.74085965656113];-3.8202604308683292;0.002706695111824528;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2019-02;2019-03_2020-02;RR;etanolhidratado;ARIMA;{'p': 24, 'd': 1, 'q': 9};12;12;39.23667087293577;0.22948888428222766;45.45454545454545;14.048802980282657;936.0452910053842;0.6570531980055623;127.5589218032737;148.2136956773437;145.37943327034696;164.85053554036892;135.60049246502285;97.71347632250742;138.4325201759725;120.91292282643249;158.54184669283103;113.38942882497012;106.66541670442354;91.40997759777379;[-37.558921803273705, 34.38630432265629, 72.22056672965303, -17.650535540368935, 7.199507534977158, 34.886523677492576, -6.232520175972525, 44.6870771735675, -19.141846692831024, 52.21057117502987, 50.134583295576476, 37.99002240222622];-3.831702987152459;0.0025991074580483642;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2018-02;2018-03_2019-02;RR;etanolhidratado;ARIMA;{'p': 24, 'd': 1, 'q': 24};12;12;57.088394955096604;0.3556612799389057;54.54545454545455;17.328182615460108;1139.428583163964;0.759474086138449;124.98378002369851;104.4538090233161;131.6183878713655;124.55359138810783;141.78480456378676;106.8537026765427;113.79705593760742;131.69288437185875;136.3233949675643;163.7775514665558;135.79907735168223;114.45195651097836;[11.416219976301491, 53.94619097668391, 37.581612128634475, 88.44640861189217, 22.215195436213236, 22.146297323457304, 92.20294406239258, 58.30711562814125, 81.6766050324357, -44.57755146655579, -54.599077351682226, -48.05195651097836];-3.275235360302251;0.016022403280587145;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;True
1990-01_2017-02;2017-03_2018-02;RR;etanolhidratado;ARIMA;{'p': 2, 'd': 0, 'q': 22};12;12;44.429218680626754;0.29189334668861283;45.45454545454545;23.40523966029029;1061.877904760326;0.301036530084758;69.34976670052363;59.84540675734802;40.36222334147536;85.88091338803811;45.47201024653775;63.541909819375576;55.84233859533882;114.68180661667456;112.37528451538448;118.55392287390374;77.79722886659053;43.11132349196839;[-10.349766700523631, 11.154593242651977, 27.837776658524646, 2.1190866119618903, 68.52798975346225, -12.541909819375576, 5.157661404661177, -28.08180661667457, -5.375284515384479, 36.646077126096245, 78.80277113340946, 97.0886765080316];-3.2028312329838355;0.01982138013622541;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;True
1990-01_2016-02;2016-03_2017-02;RR;etanolhidratado;ARIMA;{'p': 19, 'd': 0, 'q': 18};12;12;101.53319987934856;0.9493443594151825;45.45454545454545;-85.32057795933265;2462.2604476560937;1.023963316027561;242.33855801791057;174.31040703586888;182.85177800326505;190.31681958598168;217.17246614043395;184.75934080877033;203.83833503574172;280.7248842476734;225.56389831118955;236.64968542201518;164.6317373677045;155.67551838787108;[-107.73855801791058, -41.91040703586887, -46.05177800326504, -66.31681958598168, -122.97246614043395, -73.55934080877033, -104.63833503574172, -179.5248842476734, -103.36389831118954, -121.24968542201518, -58.23173736770448, -106.47551838787108];-2.131601263439066;0.23199885139727655;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RR;etanolhidratado;ARIMA;{'p': 20, 'd': 1, 'q': 22};12;12;63.55833743330137;0.22860142833027505;45.45454545454545;18.106426381373787;1512.8671828170798;0.9345523457533592;207.7254928348843;212.5584164094421;214.5993056478913;181.16676916312895;193.29876796709272;143.41939658430277;149.68829803693984;203.3124326635805;173.82432048103018;213.69303131416257;162.0933376722861;176.22031233282294;[97.0745071651157, -3.5584164094420885, -13.199305647891293, 64.63323083687106, 44.10123203290729, 73.58060341569723, 87.51170196306015, 110.8875673364195, 68.17567951896982, 25.306968685837433, -20.09333767228611, -41.020312332822954];-2.51913487785497;0.11088774572855592;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;RR;etanolhidratado;ARIMA;{'p': 10, 'd': 1, 'q': 14};12;12;82.5146377982707;0.28799851557870904;63.63636363636363;24.45683414529494;1314.093545988252;0.6325631605234276;109.53730333695894;146.2384339601509;134.97448906308313;140.676103417881;146.25926326521002;119.52890108371943;136.0427260826014;156.42677524917121;137.70679217782887;137.13146599344063;127.54731714747645;124.70526484487547;[-1.5373033369589422, -58.2384339601509, -10.774489063083124, -11.476103417881006, -12.859263265210018, -7.528901083719433, 15.157273917398584, 125.97322475082876, 115.49320782217112, 166.86853400655937, 94.65268285252354, 107.69473515512453];-2.142707720931773;0.22769181198164273;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
