train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;glp;ARIMA;{'p': 1, 'd': 0, 'q': 23};12;12;3221.698697428119;0.03351097631657728;72.72727272727273;2.937234941429786;38093.593624631205;1.1131801887357988;83416.14983550072;79170.01380379927;87829.00298354516;88656.74154938229;89105.52341664057;89708.66428301646;84300.43904219536;82669.43102757276;81047.02106237292;79996.59968773762;74901.65931405149;73148.49104040698;[3437.355594499284, 558.189096200731, 2020.013316454846, 5964.332730617709, 2951.3950633594213, 3695.7451369835326, -813.1944721953623, 3298.105202427236, 3322.7724176270713, -1493.269977737611, 3820.052645948512, 3316.6067895930173];-3.140861156266622;0.023673380113802676;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;PR;glp;ARIMA;{'p': 15, 'd': 1, 'q': 2};12;12;4427.197084371597;0.045390145630855076;63.63636363636363;1.1055377997485385;69798.00441750737;inf;83332.05454814447;80875.09403018035;83547.77336137567;88076.1651944455;95122.04180179379;88929.74092599216;83098.58774321582;82717.30700162674;79210.76316594987;82011.66754635336;73201.21528755892;71494.3917236792;[-1449.4567181444727, -3197.342220180348, 6061.800918624329, 3080.552195554512, -9137.304481793792, 4999.480084007839, 4782.899576784184, 1026.2690883732575, 4668.343714050134, -3780.136746353368, 1907.0383324410795, 2123.1064663207944];-3.0505543460809132;0.030435444072692268;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;PR;glp;ARIMA;{'p': 24, 'd': 1, 'q': 10};12;12;2405.8843876761853;0.025130900587916134;81.81818181818181;1.6964682845047314;18967.805943662854;0.6066634576277816;79928.28945157821;81640.06074009716;80498.03286450183;85922.0820343491;92386.46361233972;87635.35255830422;80746.75859147194;81812.52207832997;77731.44421732593;79922.67940547707;73461.3518774136;71017.39604728235;[2759.5946084217867, -3057.60784009716, 3285.5178554981685, 3046.818325650893, 3900.530957660274, 1190.2344016957795, 2395.4624185280554, 2434.0666916700284, 1536.4090426740731, 127.10682452292531, -1252.8283274136047, 421.0586627176526];-2.9702146554863718;0.03777116140346819;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;True
1990-01_2020-02;2020-03_2021-02;PR;glp;ARIMA;{'p': 7, 'd': 1, 'q': 8};12;12;3022.599294505479;0.030138216825137534;63.63636363636363;1.663899244266561;47633.516071991944;0.5504424067560812;76416.56197717901;79165.81081531208;82195.87177119017;84783.75048371164;89437.07058063376;86947.59823506605;79131.56245507582;83401.063343069;77573.78454847269;76721.28170362455;71831.73635503101;71023.1864249532;[7029.46157282099, 1147.529764687919, -3046.9949611901684, 2965.3799462883617, 3048.8225393662287, 883.8655349339533, 2204.8922549241834, -2589.8296430690098, 127.11400152731221, 3885.236416375439, 1680.6096549689828, -1115.5686749531887];-2.7033157697181767;0.07346625149296522;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;PR;glp;ARIMA;{'p': 24, 'd': 0, 'q': 6};12;12;5713.842539281495;0.05772273270392475;54.54545454545455;3.2573302449879598;112606.06068179508;0.9643243082995661;76404.75467384217;73129.96797991883;74405.99082897481;89886.46144009546;81014.13662145482;87659.26603447675;76343.66457102213;79567.85361182906;77361.75874827884;70921.77428484934;69592.93129348305;67899.15193997197;[-2727.2945338421705, 4848.700500081162, 9332.717501025181, -9289.747670095458, 9896.814468545184, 58.70135552325519, 2596.7049989778607, 2341.5666781709297, -317.87468827884004, 7088.193105150669, 3229.333196516949, 4059.628860028024];-2.8153823551316006;0.05610988053692198;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PR;glp;ARIMA;{'p': 22, 'd': 1, 'q': 24};12;12;4976.5983644132475;0.04972352790939417;63.63636363636363;-1.1545253131543338;78469.03564351947;0.6437863894199243;80213.43525301745;71228.07979583008;82299.40139711995;87235.67589075005;84270.80641871114;88172.71037756697;79465.53028358765;78780.57602649632;78190.40402439557;77124.4034801672;72153.81880784515;70284.14412810688;[-3194.543953017448, 6213.258974169919, -10942.863357119946, 7297.079539249957, -1132.2556987111457, 538.2787524330342, -1106.095503587654, 3346.289913503686, -237.65221439556626, -6983.94877016719, -3274.5887378451444, -1359.135068106887];-2.6895151733855682;0.07587024152093295;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PR;glp;ARIMA;{'p': 11, 'd': 1, 'q': 1};12;12;2400.7159634949576;0.026936684191356322;63.63636363636363;-0.02972735386896958;37829.89885631457;0.45077493745055247;79046.66508136808;73433.66655359596;82294.19218305543;85246.95457960569;85136.2587922631;86257.86490701752;81243.79623249701;79285.99262144098;77564.6236744271;78058.38439586987;69181.14527118929;70014.88397738534;[2692.345948631919, -3452.1158335959626, -312.65957305544, 1983.938230394313, -2698.833072263107, 2865.2777429824782, -2573.2953624970105, -391.5254314409831, 2085.1885055728926, -3383.3084558698756, 2808.7732088107005, 94.84972261465737];-2.611906794664406;0.09056126116494567;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;PR;glp;ARIMA;{'p': 19, 'd': 0, 'q': 12};12;12;3785.6855263258476;0.03653719109812498;63.63636363636363;2.5013219224079912;59669.55683611994;0.6467764601515466;77694.20418775828;73836.65999145797;78193.38824665204;81645.93548120008;87726.938319912;81563.93270904092;77833.40919378916;78566.54228920424;73681.37013261115;75595.40427259472;67900.6891078078;68991.86834618985;[323.10740224171604, -1309.0603514579707, 4785.061033347956, 6776.644228799923, -3199.206439911999, 7542.128880959077, 4079.991166210835, 53.287420795764774, 2899.635297388857, 2185.2786974052724, 1238.204012192189, -1689.6600161898532];-2.5700218783608215;0.09935276346219185;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PR;glp;ARIMA;{'p': 12, 'd': 1, 'q': 6};12;12;3811.2327739652947;0.03941377875148056;63.63636363636363;-0.03773213821643886;60077.01840947795;0.4558453811592735;72936.26232635569;76860.49013342263;81273.49574848333;81104.4164427029;87392.35362535814;82736.24349877132;78108.37386172691;81350.34092751393;72895.42852762587;74281.88299466831;70357.58150816457;67025.27517513937;[9029.293833644304, -4861.571653422638, -4354.151548483322, 2284.7121772971004, -255.2105053581472, -1470.180088771318, 329.22396827308694, -4324.551067513923, 1403.7508223741315, 1540.5445453316934, -2960.5126681645634, 3289.2628648606333];-2.4637022948590754;0.12455753477731252;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PR;glp;ARIMA;{'p': 23, 'd': 1, 'q': 11};12;12;2119.471742850802;0.024851166081207892;90.9090909090909;-0.5275508422457005;8366.161423161646;0.2819513771573225;74695.73803830463;77729.71717313466;83186.67343845082;81206.91039979807;86230.17074707759;85038.94448935403;75498.84915861618;81469.42140451912;74484.68715073339;72337.22457472204;71566.63629473183;67159.35006210834;[-2167.482608304621, -1984.978043134659, -1509.5248884508183, -347.9049697980663, 1864.004972922412, -2488.31223935404, 3677.4606213838124, -1006.4721245191176, -1808.1599807333841, 2906.5344852779526, -2576.2504247318284, 557.4379778916627];-2.3664475974005206;0.1514310713547125;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;PR;glp;ARIMA;{'p': 24, 'd': 1, 'q': 21};12;12;3959.8778225625897;0.0361570187269668;81.81818181818181;3.433170467202326;31238.2349237635;0.4312151771669239;73318.76570841378;71954.59877309474;80115.11238609781;79375.60815621009;80828.19505745887;81254.90832210674;72843.58204280517;75383.80167897392;72756.90216513083;71373.43701973687;69467.45176483855;67038.50116267316;[-603.5410684137751, 6650.385106905262, 971.9490539021936, 797.9937937899085, 7352.453492541128, 4262.812687893253, 3471.0357071948383, 7358.080741026075, 1197.5611048691644, 929.391670263125, 479.5464251614467, -1023.1098626731546];-2.6015013266091773;0.09268737060166504;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;PR;glp;ARIMA;{'p': 21, 'd': 1, 'q': 3};12;12;2760.9814555048497;0.030336788908736742;45.45454545454545;-0.2608336621538164;65248.260271499414;0.2416072888403184;73326.65825024623;72091.89582072564;79221.5522576784;80162.46223828303;81019.38430958116;82013.89563867694;75938.8330719605;73715.94369514132;73228.82514450865;73542.27963306534;65832.90087257659;65952.00297538206;[-688.7741902462294, -1739.6120907256409, 1807.4165423216036, -93.27032828303345, 486.62448041884636, -760.9898386769491, -4542.4719719605055, 3550.029134858676, -1865.585704508645, -4640.821303065342, 4905.673407423412, 1250.6709346179414];-2.869872299294372;0.048965283387693063;14;250;-3.456780859712;-2.8731715065600003;-2.572968544;True
1990-01_2011-02;2011-03_2012-02;PR;glp;ARIMA;{'p': 17, 'd': 1, 'q': 14};12;12;2962.35679368708;0.031782321443548395;54.54545454545455;1.9575200708224743;58347.67209305491;0.2632869877909685;71500.74073686003;70277.86602036479;74271.46601575265;78656.05143478756;81363.81447259289;77034.86412080211;75497.19687581713;75275.44247530997;70726.8334112046;73312.26802476024;63394.36036109963;64338.50279553471;[868.0393731399818, 376.90952963521704, 5736.337624247346, 2218.355405212438, -1831.169542592892, 5675.512819197887, 597.4969641828793, -3074.5729053099785, 2557.5689587953966, -776.7299847602408, 3230.5780489003737, 1904.9247444652938];-2.694942316758258;0.07491756574098464;14;238;-3.458128284586202;-2.873761835239286;-2.5732834559706235;False
1990-01_2010-02;2010-03_2011-02;PR;glp;ARIMA;{'p': 15, 'd': 0, 'q': 24};12;12;3669.142901523688;0.04211424560898395;72.72727272727273;4.167894766526075;43397.92097709463;0.28144192333157153;66433.32695808187;67488.58676377895;71809.5925861648;76016.38688427483;78968.85066809549;73759.92814691199;73094.0667788636;72704.07034765283;66457.03746792291;67913.24426424112;61994.56931082854;60254.022256234784;[6301.267241918133, 2482.6650462210528, 3681.7123538352025, 1656.604055725169, 1029.6915919045132, 4003.9649730880046, -11.833078863608534, 388.0854523471644, 5920.112892077086, 4548.011165758886, 1475.0065591714592, 4922.584783765218];-2.5326918446979025;0.1077212862586659;14;226;-3.4596204846395824;-2.8744153028455948;-2.5736320761218576;False
1990-01_2009-02;2009-03_2010-02;PR;glp;ARIMA;{'p': 24, 'd': 1, 'q': 17};12;12;3143.4898891359203;0.0373840232178988;63.63636363636363;-0.6981104712539421;49548.60379642009;0.1912131920574634;69828.19606712664;67595.30657514979;75663.93348602732;76571.74800925929;76417.0126651976;73256.28400058235;72626.42494251272;73129.45062951648;68474.32142302756;67265.82135512387;64283.04158900926;60612.33632771884;[-3795.1054871266388, -1507.766715149788, -6932.009926027327, 277.8122107407107, 3966.4495948023978, 1832.0134994176478, 2320.821437487277, 1299.5638604835258, -4043.6275830275627, 2469.6753948761325, -2221.773469009262, 470.7915422811566];-2.3462604193804695;0.15748164120988778;14;214;-3.4612821203214907;-2.875142613826617;-2.574020122281422;False
1990-01_2008-02;2008-03_2009-02;PR;glp;ARIMA;{'p': 1, 'd': 1, 'q': 24};12;12;3638.4756249251186;0.04017446130739498;36.36363636363637;2.4673643374769902;100323.88511302677;0.2183641532936441;68992.74030503372;65061.34170610505;74391.09403158685;74145.06032208481;73891.89493300198;75284.47238531288;67916.74130571052;70256.02465596028;67682.84242047567;63617.623209849626;62385.878257397024;59820.080299342124;[-1372.4685650337196, 3183.3557538949462, 161.65596841314982, 2229.5976779151824, 3351.9764469980146, -3488.25960531288, 7058.309414289484, 4202.68898403972, -494.15735047566704, 6930.592480150372, 594.6760926029747, -1526.5730493421215];-1.9558745680796619;0.3062491741577069;15;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;False
1990-01_2007-02;2007-03_2008-02;PR;glp;ARIMA;{'p': 19, 'd': 0, 'q': 7};12;12;2358.9954552719946;0.029705502450052757;72.72727272727273;0.5886054359685003;27889.103210682533;0.1322378467182655;67837.77033181762;65111.41106684213;73715.63955081766;71932.22547350172;72289.09465527926;74349.73065065872;69987.36259341406;68046.81500195594;67275.75998941477;66823.54770292652;61842.742824238376;59126.96990371212;[1074.1113781823806, -706.5113268421264, -807.8182208176586, 1559.473026498279, 2211.866464720748, 167.03304934127664, -3944.869633414055, 1450.0571880440548, 1286.380990585225, -3987.66220292652, 2775.2715357616253, 3767.9757462878842];-1.988680133144136;0.2915584163818318;15;189;-3.4654311561944873;-2.8769570530458792;-2.574988319755886;False
1990-01_2006-02;2006-03_2007-02;PR;glp;ARIMA;{'p': 10, 'd': 1, 'q': 3};12;12;2918.591608391952;0.031133775756423787;81.81818181818181;1.593286969705282;23017.541366476038;0.14062222099199506;65092.32655228107;64552.53352585804;69058.20253957734;70746.95034774221;73319.64449178448;73684.96827331187;68633.75692057294;68232.33984537145;66000.0659943127;67643.61626973217;60796.4892824329;58067.83890260423;[4416.196997718929, -1275.3614258580346, 7440.1742704226635, -281.4920177422173, -2484.903551784475, -600.051603311862, 993.3517794270592, -45.93948537144752, 1533.6821956873027, -1713.7611997321656, 2612.1923275670997, 2452.952717395776];-1.880535151971839;0.34127265864221135;15;177;-3.467845319799907;-2.878011745497439;-2.575551186759871;False
1990-01_2005-02;2005-03_2006-02;PR;glp;ARIMA;{'p': 11, 'd': 1, 'q': 23};12;12;2967.2189316369518;0.029900358125022463;81.81818181818181;2.4487066621068987;23399.443351818034;0.12797307950572684;64085.109465026915;63502.984305465165;68622.23132876374;67570.65581805003;74085.78791144938;69044.31870380766;66599.77110670136;66118.69335392321;62866.597143779785;66661.28768274038;58677.744432612824;57589.25422580964;[-468.7978750269176, -206.2723454651641, -397.32733876373095, 2854.1467219499755, -1248.083201449379, 6223.451226192337, 5867.783243298647, 2019.024036076793, 4107.598506220209, 1017.5510872596205, 409.5182473871755, -463.07668580963946];-2.051016540102803;0.2646614257238;14;166;-3.4703698981001665;-2.8791138497902193;-2.576139407751488;False
1990-01_2004-02;2004-03_2005-02;PR;glp;ARIMA;{'p': 24, 'd': 1, 'q': 13};12;12;3780.830629372967;0.04305097113313716;54.54545454545455;1.6732737924470134;74487.1320631883;0.16473645025542066;62661.179630335864;59080.043127613215;69014.16553357363;63146.873050153124;73435.47601069488;67109.54539454628;69654.07227960709;67470.97568927973;62833.0557210811;66389.31237188526;59126.54519020756;59413.93312653878;[2087.1785496641387, 6653.087782386792, -1102.716443573634, 8571.645129846875, 1290.9348993051244, 3418.7200554537267, -4965.635919607092, -2103.9956892797272, 1247.2715489188995, 668.2639881147479, -678.7825102075585, -1823.6450865387815];-1.5365025639241594;0.5153830194802557;14;154;-3.473542528196209;-2.880497674144038;-2.576878053634677;False
