train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;glp;ARIMA;{'p': 12, 'd': 1, 'q': 13};12;12;2318.1635335882984;0.02902640713298399;81.81818181818181;-1.069135190154214;18280.169702727628;0.7995187867120496;67552.39684766618;64049.488108530524;73337.13627641017;75932.89244695104;75523.51148583698;76346.56749416853;70638.89595096553;68961.9902644781;66343.54832785958;64367.10412037894;57675.5736022472;56669.69928524182;[1717.4799623338185, -326.83230853052373, -3400.9732364101656, -1746.9449869510427, -2443.9843158369767, -737.5602441685332, -3875.26370096553, 1263.2071955218998, -278.23491785957594, -3146.368610378944, 3636.6166177527994, 692.20470475818];-4.516836834520865;0.00018331461955863051;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;RS;glp;ARIMA;{'p': 5, 'd': 0, 'q': 8};12;12;2627.103176703675;0.02805307821255795;72.72727272727273;-0.10088379781051655;31056.853914290732;inf;67562.30401731712;63722.52321855626;71201.55150587513;74324.34897621852;78272.84638632057;75857.77250226408;69931.55206539088;70569.14337325215;65515.91589818576;64558.621412164226;59017.74091132496;55973.71520187006;[-661.8348173171107, 371.6235214437329, 2927.6640741248702, 2263.055013781486, -6882.442396320563, 2332.0046677359205, 679.3863446091273, -1816.8517032521486, 2825.069611814237, -991.3424221642272, -1732.0253313249632, -137.2007118700567];-3.972458377635789;0.0015617958334259985;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;RS;glp;ARIMA;{'p': 24, 'd': 1, 'q': 24};12;12;3473.8401702465894;0.04813013777564986;90.9090909090909;-2.247331684390274;13747.286885885282;1.2232895726543849;68480.39647940572;67914.31558999747;69326.1903262876;73488.65769637446;81501.69896880524;78075.16783856247;73440.37305483517;72855.02582198544;66201.05083020794;66783.55206371927;60624.11033240331;60137.61794260124;[1578.6451905942813, -1493.2503699974623, 3376.956413712396, 4892.329623625541, -138.83121880523686, -2832.7874085624644, -4033.228124835179, -4139.795751985439, -3468.5671302079427, -3406.606413719266, -5158.34765240331, -3613.429532601236];-3.9337127857328364;0.0018002826122893042;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;True
1990-01_2020-02;2020-03_2021-02;RS;glp;ARIMA;{'p': 6, 'd': 1, 'q': 9};12;12;2756.879624183999;0.035177737477277156;81.81818181818181;0.691012228932532;21747.06895411543;0.6393745588669566;64343.985897463564;67946.4115047486;70680.02703823158;74560.87546167067;79265.6107974153;77368.15760419358;68502.28395451151;71819.886020724;64821.37168058266;64915.90937867554;59035.40706375442;57211.808189964024;[4178.814822536435, -3901.2502747485996, -3930.6592882315745, -1312.9551716706774, 2203.6120325847005, -1761.1485441935802, 4316.545755488492, -252.8860207240068, -356.6090005826627, 2142.2935213244637, 1760.7360562455797, 2622.516090035977];-3.9189194842559556;0.001899938956259907;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2019-02;2019-03_2020-02;RS;glp;ARIMA;{'p': 18, 'd': 0, 'q': 24};12;12;4674.858172913096;0.047941792544877765;63.63636363636363;-1.9611708487503203;73707.72828638408;0.9782266732122947;68124.73852625828;66586.33411652222;69659.23102736377;80690.00868160093;76241.15578902086;81358.81505836773;66943.27810091666;70410.56664067395;67827.08337242421;63120.22285817462;60615.083031861956;58078.37511054776;[-3647.6062762582806, 1017.9195034777804, 1517.6548426362278, -13167.077521600935, 4452.425730979143, -4634.90744836774, 2934.7255190833384, 1577.572849326054, -3973.3152524242105, 329.45286182538257, -1935.871071861955, -428.96025054775964];-3.894406132245446;0.0020764027637251814;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2018-02;2018-03_2019-02;RS;glp;ARIMA;{'p': 24, 'd': 0, 'q': 23};12;12;3991.51199373671;0.047817064962062256;63.63636363636363;-0.5501677477029027;62933.413054434444;0.9199215588684418;68975.32794045104;64904.76272279949;74497.85595535404;77795.42097242523;77080.78422687;76711.34642933376;69403.35722291828;68792.33252133166;67646.83753704754;65095.86161065906;60731.162891617874;56518.274435784086;[-1863.7554804510437, 2219.720977200508, -8311.046175354044, 6442.535547574778, -742.0994468700083, 5495.838350666236, -3305.5293229182716, 2425.902988668342, -2476.274127047538, -3685.863420659065, -1890.9038316178776, 1160.1712142159158];-3.7862062820382607;0.003051637996968128;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;RS;glp;ARIMA;{'p': 24, 'd': 0, 'q': 18};12;12;2521.7959548402096;0.029834606793150423;81.81818181818181;-1.4305976612266684;19886.80755494137;0.8960500429533701;68918.62893078761;67797.1074531801;75049.95229564539;80652.88691283845;78944.18752394129;78780.0582737218;73516.51224633683;71454.47963969655;68893.8183255525;68170.21407858867;60045.11876539047;58048.12209504598;[4228.043739212386, -2115.614703180094, 1414.710744354612, -2987.3229928384535, -463.8650639412954, -1493.2577637218055, -4526.152076336832, -1665.2994096965558, -684.5192455524957, -3971.0932985886757, 862.7526146095261, -590.7778950459833];-3.612461542777052;0.005527210474366937;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;True
1990-01_2016-02;2016-03_2017-02;RS;glp;ARIMA;{'p': 22, 'd': 0, 'q': 24};12;12;3753.2238092496227;0.040608260572513245;54.54545454545455;0.9388969516811778;73939.23111820492;0.8650716120203286;69679.32966439637;70505.02408011997;72663.91251565801;77338.4643018084;82125.21711821007;75566.52119294477;73531.1630070671;74429.8479945501;67335.94647436912;67948.38215956972;59693.478360789435;58894.71130226982;[399.0054756036261, -2492.1508901199704, 5553.853784341991, 5759.4867881916, -4460.211688210067, 7065.121927055225, 706.7065629329009, -4234.875164550103, 2047.4393956308777, -696.3549895697215, 696.4292492105669, -2290.916012269816];-3.2358420362793145;0.01800150949371125;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;RS;glp;ARIMA;{'p': 1, 'd': 1, 'q': 24};12;12;3103.657541277536;0.033184408994964436;72.72727272727273;-1.0771695458149049;36697.4383941686;0.5658145456194272;66881.6669907048;69678.62977119845;76471.22834923906;76241.59761134656;82389.65367509087;79815.64973693664;73548.56347018151;75313.99588070253;67607.60665668087;67110.47389808572;63654.053021998385;59563.5660514786;[3958.3656192951894, 185.78145880154625, -5776.962049239053, 2932.529198653443, -262.04135509087064, -5384.934156936637, -1134.5942701815075, -811.3890007025184, 268.7375433191337, 731.2217519142723, -4998.567511998386, 1145.2817785213992];-3.1549531277088114;0.022744777469309866;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;RS;glp;ARIMA;{'p': 15, 'd': 1, 'q': 22};12;12;2255.973757135315;0.027131675073888428;81.81818181818181;-1.086515859371172;17787.904725057102;0.47169280560626187;69324.14791780888;72423.14681426065;77765.97131835786;77108.78083659349;82761.18243676003;81699.50960403233;71358.11681733975;75898.23559190366;68375.94195270064;64913.11642848904;64770.39369999441;60149.080995571974;[-592.5808878088719, -1397.8152942606393, -263.44414835785574, -283.4040265934891, 230.33024323996506, -3171.3266340323316, 4143.993692660253, -1795.3225519036641, -2959.045212700643, 2147.0230615109613, -2289.275949994415, -3083.1117955719747];-2.9532469962409484;0.0394972653590623;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;True
1990-01_2013-02;2013-03_2014-02;RS;glp;ARIMA;{'p': 24, 'd': 1, 'q': 24};12;12;3703.2882085841575;0.038550964573174494;81.81818181818181;3.941365965467277;29217.95604132143;0.6908356307569343;68364.51709423274;67381.3111695461;74076.8450440746;76142.90454771195;78532.97094994783;77559.11775404215;68506.34168127377;70884.03233683351;65393.99833813179;63610.337582775916;62559.90918522526;58377.518559683514;[103.72384576726472, 5332.466380453901, 2624.3354559254076, -10.219767711954773, 5939.135930052173, 5580.427535957846, 4731.064118726223, 5244.4069431664975, 3249.4790018682106, 1433.889247224084, -455.3838252252608, 339.29303031648305];-2.904697821211227;0.04480442575588765;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;True
1990-01_2012-02;2012-03_2013-02;RS;glp;ARIMA;{'p': 23, 'd': 1, 'q': 9};12;12;3677.1123589165745;0.044622661096906956;63.63636363636363;-2.312759203181766;57971.25636427692;0.9904888578616973;68534.54028245261;68736.03273138717;74372.23204366076;78421.08503835295;81133.93415643513;81644.3340751062;74168.2820586949;70434.83624121737;68490.30639649913;68486.27347894452;60755.99005253641;58929.1331009035;[457.94159754739667, -2368.889801387166, 365.88835633924464, -1780.1060283529514, -2805.061276435139, -5160.473565106207, -6734.089488694895, 3269.50433878263, -3270.0933264991327, -5930.644858944521, 4045.0516174635923, 604.0571190964984];-2.691484974593966;0.0755233663498925;16;248;-3.4569962781990573;-2.8732659015936024;-2.573018897632674;False
1990-01_2011-02;2011-03_2012-02;RS;glp;ARIMA;{'p': 21, 'd': 1, 'q': 24};12;12;2980.877045329179;0.03085981504030148;81.81818181818181;2.8371844735547116;23508.39592512699;0.7733762477790834;66437.62863255321;66320.94755046365;69673.44931610991;75058.94998902583;80263.60653390756;75513.295027511;71872.79267975423;70320.3730533463;67157.32579122827;67799.39016862799;59194.9725261227;57232.3075179055;[2540.235817446781, 1837.0075495363562, 5096.399483890098, 3804.457020974165, -570.4597939075611, 6868.882632488996, 1717.866740245765, -1009.1230533462949, 1352.7610987717344, 59.73664137201558, 1382.4024738773005, 1063.9660320944968];-2.939300890843137;0.04096500761924318;14;238;-3.458128284586202;-2.873761835239286;-2.5732834559706235;True
1990-01_2010-02;2010-03_2011-02;RS;glp;ARIMA;{'p': 22, 'd': 1, 'q': 11};12;12;4223.8958220728555;0.053410678089742;72.72727272727273;5.211758911024863;49980.15188453535;1.8975223531659033;61828.054230021175;62837.64167512583;66313.13753860514;72207.75898928958;76997.69339763699;70531.32197869751;69145.45574448761;70472.09152156541;63806.000666357155;64973.029075894236;56873.51815527589;53474.70067891096;[6122.184899978827, 4030.6970948741728, 5023.652421394858, 4103.003690710422, 3379.2804623630072, 7623.4751213024865, 1799.8395455123828, -678.9484015654161, 4434.555493642838, 1641.5796241057615, 1362.325004724109, 4565.398431089045];-2.4978154704720303;0.11600674956225243;14;226;-3.4596204846395824;-2.8744153028455948;-2.5736320761218576;False
1990-01_2009-02;2009-03_2010-02;RS;glp;ARIMA;{'p': 13, 'd': 0, 'q': 22};12;12;3206.222005140171;0.03835730931155381;90.9090909090909;-1.9861696867827638;12674.629721343566;0.6961831517584884;64889.978482369144;65315.77148009156;73375.34281282488;74957.45606185557;75907.31875791017;73807.68119365165;69561.43578816693;71134.25105537642;66855.98760808028;63429.787793730604;59716.06850291776;54956.08605312386;[-2064.509282369145, -2080.410970091558, -7746.102382824873, -1169.1123018555663, 4306.99526208984, -1699.2838836516457, 672.377621833075, -359.47025537642185, -4148.416958080277, 2261.308586269399, -2846.177202917759, -977.9527531238564];-2.3610163981836583;0.15304279622099087;14;214;-3.4612821203214907;-2.875142613826617;-2.574020122281422;False
1990-01_2008-02;2008-03_2009-02;RS;glp;ARIMA;{'p': 24, 'd': 1, 'q': 11};12;12;3746.723686003644;0.0459541830147828;54.54545454545455;-2.0166471425613346;73819.95715652607;1.0894625574844594;67627.33211247937;65777.43352749961;76057.38420069894;75538.32808688299;75970.19097407491;79577.17896475206;68101.2419605857;71494.05569671287;68654.50744030158;63471.0920555949;62242.66418952405;59317.33016409103;[-3890.3067524793732, 1995.5700925003912, -2950.6287706989388, -215.36418688298727, -139.15836407491588, -7397.771034752062, 5389.5007894143055, 823.4951932871336, -1951.2139003015764, 1542.1957344051043, -3622.4015095240466, -6066.897194091027];-1.96276414357907;0.3031344818866911;14;202;-3.4631437906252636;-2.8759570379821047;-2.574454682874228;False
1990-01_2007-02;2007-03_2008-02;RS;glp;ARIMA;{'p': 24, 'd': 1, 'q': 3};12;12;3375.9519366030495;0.03884283360398156;72.72727272727273;3.017500612064665;39925.33313943205;1.2760278299464343;65798.55910771605;64264.0244733387;70902.9496702082;73479.53719841267;69447.06321196689;75504.95568817285;68933.27357102079;67881.50736311781;65085.92350162263;62381.150010257224;58513.990006392036;55625.48739658662;[1219.9906122839457, -1230.5197233387007, 3708.3408997918013, 561.2580315873347, 8425.024278033117, 2733.897691827151, -2614.7112510207953, 2764.2636668821942, 2290.4197683773673, 788.4544997427729, 2134.968343607965, 4041.8296334133775];-1.7185316001952506;0.4215906179412108;14;190;-3.4652439354133255;-2.8768752281673717;-2.574944653739612;False
1990-01_2006-02;2006-03_2007-02;RS;glp;ARIMA;{'p': 20, 'd': 0, 'q': 13};12;12;3133.8153668535842;0.041246894187193454;63.63636363636363;1.6342840838948578;49401.41563849712;1.49528296551862;63690.726829403546;64188.605218446115;67143.40723504167;70698.22739724535;71815.28825064015;72016.56043352408;69783.8116340848;65921.95075791897;63615.79952387442;63998.99118557039;56974.82344434154;54075.782138760085;[3228.4688205964485, -2532.7374684461174, 6978.755804958331, 1787.8649927546503, -3598.156000640156, 3535.024706475917, -1421.5417040848115, 1970.1543120810384, 1960.2475761255773, -2618.735755570393, 2081.116055658458, 1653.9391012399137];-1.6453384768661914;0.45947266658901625;14;178;-3.467631519151906;-2.8779183721695567;-2.575501353364474;False
1990-01_2005-02;2005-03_2006-02;RS;glp;ARIMA;{'p': 7, 'd': 1, 'q': 1};12;12;2157.4038245317115;0.0256534596686529;81.81818181818181;-1.4049525181175169;17009.31716723345;0.6186353753201511;64079.54648841468;64172.5869620096;70010.93424444154;72754.1595844885;75184.9540956875;72828.41422210341;68037.0774741527;68816.95710611607;64590.494905092484;64434.281530325025;59051.900742028105;54925.50315831098;[-542.646128414679, 383.4601379904052, -1547.515764441545, -2330.3353044885007, -3341.5102556874917, -53.32002210340579, 4164.891725847308, -3138.105656116066, 87.38915490751242, -869.4971103250209, -2621.638062028105, -1259.6462783109819];-1.5852138344859252;0.4910167129576809;14;166;-3.4703698981001665;-2.8791138497902193;-2.576139407751488;False
1990-01_2004-02;2004-03_2005-02;RS;glp;ARIMA;{'p': 14, 'd': 0, 'q': 15};12;12;3152.962067963604;0.03823127618953865;72.72727272727273;1.0684833189138427;37287.35553223897;0.9967676850717145;64481.49832294977;60549.20612943963;72714.45252193905;66214.77850572945;76110.08874104032;69477.56443621349;71736.89462808432;67959.41207571086;65703.39311975345;66391.78425882636;58663.973118107504;54368.487030045595;[2168.614407050227, 4444.875690560366, -2194.86707193905, 7013.841494270542, 628.3785289596708, 3388.424653786511, -3837.258268084319, 1295.644284289141, -1690.7076697534576, -451.93516882635595, -2975.9024681075025, 790.2883299544046];-1.3983469350265114;0.5830683615611564;14;154;-3.473542528196209;-2.880497674144038;-2.576878053634677;False
1990-01_2003-02;2003-03_2004-02;RS;glp;ARIMA;{'p': 11, 'd': 1, 'q': 24};12;12;2692.791514490484;0.02911749342445862;81.81818181818181;-1.263830014525819;21234.415693192663;0.5387693938838005;67047.28490920951;61952.12953395039;76900.69734662339;68788.75197704603;78156.97271067066;71208.43734967016;71357.01237135964;68782.72931932425;69056.07033285881;65191.59633973086;57992.91408813551;54269.86228858658;[-3446.9394592095123, -180.3986239503938, -5809.0718966233835, -549.042887046031, -1373.881800670657, 876.6408303298376, 882.0330786403647, 1310.1215906757425, -5360.941242858811, 876.8000202691401, 2525.1968218644906, 131.43226141342166];-1.5849546932191205;0.4911467261665512;14;142;-3.477261624048995;-2.8821181874544233;-2.5777431104939494;False
1990-01_2002-02;2002-03_2003-02;RS;glp;ARIMA;{'p': 19, 'd': 1, 'q': 16};12;12;3598.140330445209;0.046797693475403114;63.63636363636363;-1.594735493111462;56729.66652813157;0.8850779586182658;67602.95399891143;65639.64445084878;75432.50082994002;76895.96577592;79113.18273571253;76069.47529368155;71705.46412178165;72845.46813972418;68643.8176557124;66519.20215470655;60586.75293205197;56826.1899576563;[1825.478731088573, -1983.4117208487733, 3712.671900059984, -7273.443955920011, 2028.4936242874683, -3557.4952936815534, 2695.6867882183433, -4665.731779724185, 2107.0877942876104, -520.1276047065476, -4901.642022051965, -2619.8026876563017];-1.8190056049965986;0.37106759364754816;14;130;-3.4816817173418295;-2.8840418343195267;-2.578770059171598;False
1990-01_2001-02;2001-03_2002-02;RS;glp;ARIMA;{'p': 23, 'd': 1, 'q': 4};12;12;4306.769729663876;0.051132969761793746;63.63636363636363;-4.2137876945399695;67910.19855183446;1.0812505740537357;71083.64502211013;71769.38212371393;76626.86153948343;83537.88791305416;84093.91877548238;82375.998414488;76333.1541250842;75383.38917121524;72690.76137900093;67479.85904398387;63477.84757550479;58251.6216353438;[-1792.8486621101329, -5255.3621237139305, 1843.149370516563, -7273.666093054155, -4501.980595482382, -7871.011144488002, -3793.479575084202, -1035.1400812152424, -4746.5595590009325, 1654.884596016127, -3490.485755504793, 554.9965446561982];-1.561205044739877;0.503046500046474;12;120;-3.486055829282407;-2.8859430324074076;-2.5797850694444446;False
1990-01_2000-02;2000-03_2001-02;RS;glp;ARIMA;{'p': 19, 'd': 1, 'q': 23};12;12;3956.207564547026;0.04591763961648232;63.63636363636363;1.4700724302942847;62373.49767931414;0.6203494899329581;69302.58582212351;71857.4900598605;75142.69326525116;81452.41802285152;79705.55523339025;77756.16642205176;73721.19301322797;73153.8585397731;69292.28458072552;71264.59643472602;62145.783971677694;61362.03261526259;[3026.635997876496, -1036.2591498605034, 3198.548554748835, 85.48015714848589, 7333.404766609761, 4269.988127948251, 1551.4342567720305, 1374.9996402269026, 2975.199059274484, -7276.932794726017, 2309.2760283223033, -4888.665345262591];-1.377695543512969;0.592921222231399;13;107;-3.492995948509562;-2.888954648057252;-2.58139291903223;False
1990-01_1999-02;1999-03_2000-02;RS;glp;ARIMA;{'p': 23, 'd': 1, 'q': 2};12;12;3134.627405226349;0.036518592626290675;72.72727272727273;1.2143721150085682;37068.185049681844;0.5909029248635692;67119.45018186141;70067.41265445165;74220.00610451872;76558.6400531658;82679.68252539702;75440.43217185872;74058.36304524376;75378.61307775664;67747.45327005413;70433.3192986557;65013.35004773504;59777.76865872576;[2339.1352681385906, 2430.609165548347, 245.32844548128196, 6619.056306834202, -2537.1625253970124, 3142.151468141281, -615.3303152437584, -2659.891257756637, 2811.292179945871, 473.06070134430774, -4677.002777735041, 2982.2295212742392];-1.7302190838596674;0.41561378009667316;12;96;-3.5003788874873405;-2.8921519665075235;-2.5830997960069446;False
1990-01_1998-02;1998-03_1999-02;RS;glp;ARIMA;{'p': 23, 'd': 1, 'q': 1};12;12;3972.718003316053;0.044004515761503736;81.81818181818181;4.1735594514519585;31353.087502521168;0.8523011228847319;62475.070015584024;65790.51820858108;69891.89273550293;70389.75328125514;79868.44473957903;70713.90074821931;68542.3821105843;70692.60472297002;65453.164986182426;64916.10339896884;62285.438736891825;57946.4446792915;[5379.078534415974, 3669.0216514189233, 2459.4496544970752, 7280.0021487448685, -1337.0353195790376, 3999.1753417806904, 6047.5508594157, 2418.489477029987, -116.56715618242742, 5256.0922510311575, 297.9703531081759, -120.08649929149396];-1.7329003704039905;0.4142458730636842;11;85;-3.5097356063504983;-2.8961947486260944;-2.5852576124567475;False
1990-01_1997-02;1997-03_1998-02;RS;glp;ARIMA;{'p': 14, 'd': 1, 'q': 20};12;12;2139.8439174339746;0.02737744557943352;72.72727272727273;1.0688701112317058;25296.043321493078;0.502415587217848;64779.56857717198;63367.040264337316;66646.11498356528;68733.68657322162;77141.66232981106;70318.91949057172;68697.14851356983;67497.13369522338;63824.82557321041;63958.14740315485;58720.79002254632;56072.92097061442;[-2879.726187171982, 3040.720605662682, 2808.2038564347313, 2151.2192267783685, -1924.437689811064, -384.01732057171466, -1472.637643569833, 1921.811954776611, 1077.5059467895917, -5.766973154852167, 3712.5759174536797, 487.23844938558614];-1.986509243369206;0.2925194726062639;11;73;-3.5232835753964475;-2.902030597326081;-2.5883710883843123;False
1990-01_1996-02;1996-03_1997-02;RS;glp;ARIMA;{'p': 5, 'd': 1, 'q': 24};12;12;6619.6296630683055;0.06137788484714974;45.45454545454545;5.175330348022878;156525.58547943117;0.8859664604421794;62522.28029610482;60447.62070318407;61592.82449534356;70368.1478615418;63743.66589953186;68559.6771999097;62325.50697452552;61811.83883480742;60769.039070289255;58978.49235427212;55999.58808475478;53149.7676943706;[-836.283916104825, 3333.06588681593, 6518.606664656436, -4631.0047415418085, 19589.09316046814, -422.8855299096904, 4258.116215474482, 5339.581455192572, 1442.705499710748, 3925.993155727876, 581.5858252452163, 1303.7160056293942];-1.4129257263759023;0.5760639156957662;11;61;-3.542412746661615;-2.910236235808284;-2.5927445767266866;False
1990-01_1995-02;1995-03_1996-02;RS;glp;ARIMA;{'p': 16, 'd': 1, 'q': 12};12;12;3930.240743780577;0.04047869747061133;81.81818181818181;3.6083849438124815;31011.828277610788;0.43175617050178045;63301.74142459983;56547.06297848402;60341.30524491562;62786.56715104301;61430.77799003661;67397.7123579201;63913.05725357829;58502.13078215404;59286.38274820285;58642.79883808225;54925.86723013662;50178.36848799981;[-140.75048459982645, 3481.290281515983, -1099.691114915615, 10879.639368956996, 804.3941099633957, 1388.4162620799034, -481.1007335782924, 4749.534077845958, 480.9668917971503, -388.3839780822527, 2550.1708098633826, 4625.647812000192];-1.18886183741367;0.6783686223625209;11;49;-3.5714715250448363;-2.922629480573571;-2.5993358475635153;False
1990-01_1994-02;1994-03_1995-02;RS;glp;ARIMA;{'p': 23, 'd': 0, 'q': 3};12;12;3142.150513004489;0.04148353365431631;72.72727272727273;0.2937734901053073;37163.961570136256;0.28106742461828504;62926.9194999039;56723.73696795684;58976.57066830688;65403.41822606621;66137.46561452937;67069.6215144099;56681.12961684448;58593.76664925962;57281.318110949986;57636.28578610838;52809.954717785025;47247.370317252055;[-3272.4647899039046, 1224.7539720431669, -401.6159583068802, -2059.0287360662114, -4847.300754529373, -1634.855214409894, 7323.078713155519, -1449.6923692596174, 1787.3956590500165, 2123.121823891619, -205.23551778502588, 3496.377872747944];-1.6983216143490591;0.43197743847614345;4;44;-3.5885733964124715;-2.929885661157025;-2.6031845661157025;False
1990-01_1993-02;1993-03_1994-02;RS;glp;ARIMA;{'p': 15, 'd': 1, 'q': 8};12;12;3563.604136668234;0.04535886233116501;45.45454545454545;1.7085137705684788;84239.3833456136;0.2684542980580583;54633.14865921564;56228.36165519447;56076.70492645553;64508.41505870198;67191.44307839249;63106.24455540612;52105.17546208151;62647.381829256;56549.61570800851;53737.3823771206;50829.45387113551;47041.53836195272;[4228.9038807843535, 103.90102480552741, 2394.9236935444715, -814.8317287019818, -3829.4122783924904, 760.7953045938775, 6900.654247918486, -5395.798499256001, 7.264721991487022, 5789.333202879396, 148.15482886448444, 1606.860188047278];-1.8430228652846579;0.359320758614571;2;34;-3.639224104416853;-2.9512301791166293;-2.614446989619377;False
