train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;querosenedeaviacao;ARIMA;{'p': 2, 'd': 0, 'q': 12};12;12;2221.4856534475157;0.3597301741259514;72.72727272727273;-35.75617890036691;26584.779590034912;0.594807248244271;7062.411564799724;6445.819446816871;7020.145542937005;7506.020901720078;8688.190099476096;8254.375614465996;8047.684845697628;8820.590082633185;8548.694304822353;9410.446969202732;7837.326884051547;6175.556584490008;[-1199.9665647997244, -1392.2474468168712, -1637.7945429370056, -2140.8369017200775, -3279.0970994760964, -2334.453614465997, -2817.5628456976274, -2675.021082633185, -2514.798304822353, -3043.9289692027323, -1216.7418840515465, -457.6365844900083];-3.3662604862674024;0.0121642513274942;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;PA;querosenedeaviacao;ARIMA;{'p': 15, 'd': 1, 'q': 8};12;12;1949.815937583188;0.2028247095786571;72.72727272727273;-1.9307580305699061;23199.868256399302;inf;8591.009976746938;6952.461300832034;7235.958336375052;8077.1260934130105;9192.84833970156;9567.363718775652;9688.29343221354;10168.535032224863;10870.19938283308;11437.49505582576;10485.740253138816;8509.96020715368;[495.795023253062, 1397.7136991679654, 2104.473663624949, 1674.9369065869896, 1867.96766029844, 374.257281224347, -90.31143221354068, 21.105967775136378, -1677.7163828330795, -623.5880558257613, -4084.905253138816, -3558.0512071536796];-3.4846328849144235;0.008390637022856178;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;True
1990-01_2021-02;2021-03_2022-02;PA;querosenedeaviacao;ARIMA;{'p': 18, 'd': 1, 'q': 13};12;12;2180.1553240610538;0.23173645922017694;72.72727272727273;24.03369209485281;25967.91165009577;0.7595472130296301;5559.888644906524;3912.4545188880916;4270.532582497702;4713.8650230470585;5605.749415594057;6275.554025998309;6965.253818252282;7522.071756314611;7419.523080201498;8207.924196526912;7681.034525919381;6068.846821893399;[235.8383550934759, 1220.2644811119085, 1254.2524175022982, 2048.926976952942, 2786.383584405943, 1944.3989740016905, 991.8611817477176, 1058.35224368539, 3175.4899197985033, 3410.4458034730887, 2831.180474080619, 2518.339178106601];-3.332777428589261;0.013475404603462422;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;True
1990-01_2020-02;2020-03_2021-02;PA;querosenedeaviacao;ARIMA;{'p': 3, 'd': 0, 'q': 24};12;12;3091.881603284692;0.873327775941057;72.72727272727273;-40.78079313497803;37692.92771026602;0.5463400659763628;6907.1492525102285;6715.361822448032;7174.54864459052;7097.8869694141495;8396.620664984552;7561.931424827034;7597.180197306708;7775.745576792021;7377.052217951323;8218.703278660394;7658.051233426918;6423.64344015555;[-1861.687252510228, -5074.8398224480325, -5163.29664459052, -4415.260969414149, -5282.1196649845515, -2769.7104248270343, -1706.2471973067077, -554.4315767920207, 232.1567820486771, 573.5567213396062, 392.21576657308196, -123.63944015554989];-3.460994074877533;0.009047212003611882;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2019-02;2019-03_2020-02;PA;querosenedeaviacao;ARIMA;{'p': 12, 'd': 1, 'q': 6};12;12;817.8586084682836;0.10111355691346878;72.72727272727273;9.98462851566334;9695.452746238136;0.3149594374140363;6136.280525869204;5392.283916270249;6246.776693058656;6077.862892377137;7281.686391560517;6838.291788378212;6454.877412982068;7224.8823592365125;6714.133980813995;7957.2163946297505;6919.023564301796;5504.36613669357;[607.0914741307961, 1295.8990837297506, 581.9533069413437, 635.3841076228637, 881.1526084394827, 309.50121162178766, 1173.9875870179321, 391.69764076348747, 645.802019186005, 14.521605370249745, 1093.2334356982037, 1104.57686330643];-3.559982461021689;0.0065738092862671375;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2018-02;2018-03_2019-02;PA;querosenedeaviacao;ARIMA;{'p': 2, 'd': 1, 'q': 11};12;12;1133.7072733249643;0.12061248232378541;63.63636363636363;-5.553992558746906;17912.368970128824;0.40500113775305546;7847.006891075397;6440.707168991176;6773.228185717624;6846.347915520035;7412.120304503109;7433.858709342795;7148.521691060722;8063.3261362810945;8532.302166716312;10165.507273588473;8808.412944485804;7926.348176648925;[-1061.0618910753974, 194.72983100882357, 766.3688142823758, 366.56608447996496, 1464.5836954968909, 91.97829065720543, -50.871691060722696, -312.56013628109486, -1756.190166716312, -2326.832273588473, -861.4159444858042, -1429.652176648925];-3.6962968109574676;0.0041655453577046945;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;PA;querosenedeaviacao;ARIMA;{'p': 24, 'd': 1, 'q': 10};12;12;1362.965532688272;0.12123977103531243;72.72727272727273;-5.043329804141314;16168.841263323624;1.2221614549585156;9239.72583636293;8362.179366504428;8557.496473885196;8571.205342565458;9853.966171654867;9668.552359353702;9728.094998569775;10919.56460640384;10506.664692184624;11204.856191292265;11260.988075385912;9036.365736799438;[1103.099163637071, 666.0586334955715, 761.141526114805, 386.44865743454284, -253.01717165486662, -313.405359353701, -506.26899856977616, -1097.3036064038388, -727.8996921846247, 283.70680870773504, -3251.7110753859124, -2663.903736799438];-3.8884619222014254;0.0021214211222580705;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;True
1990-01_2016-02;2016-03_2017-02;PA;querosenedeaviacao;ARIMA;{'p': 14, 'd': 0, 'q': 24};12;12;2784.0222329128187;0.26625562806479114;54.54545454545455;-26.170433933651303;55122.443013579534;1.868437477943072;13126.604207522989;12957.770130037152;12678.854303170121;12385.518587401923;13842.85928960884;12730.28080620793;12945.58569511967;14215.880836773962;13460.833555697545;13875.969310504224;14044.401661921707;11632.642398467626;[-2530.1242075229893, -4070.7281300371524, -3160.7573031701213, -2555.9425874019234, -3312.73728960884, -2162.029806207929, -2744.699695119669, -2956.8518367739616, -2468.3695556975454, -1984.3243105042238, -2491.709661921708, -2312.9663984676263];-4.257581306336297;0.0005256528834689996;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;PA;querosenedeaviacao;ARIMA;{'p': 17, 'd': 0, 'q': 11};12;12;629.4804989665112;0.04033228249581045;72.72727272727273;0.8957259213984218;7445.280294317048;0.12045626966333622;13527.185647179882;13169.47625151098;13027.047418177417;12705.92428240145;13910.407137939954;13503.452377076921;12764.566962300205;14444.645307080164;13644.466838604716;14788.151919467029;14480.238951593885;11903.513092319154;[406.7663528201174, 349.82074848902084, 435.9355818225831, 563.7377175985512, 723.6838620600465, -300.20137707692083, 1041.9080376997954, 344.0166929198367, 157.3081613952836, -1274.4499194670298, -551.5999515938856, -433.9180923191543];-4.1662119918037055;0.0007512574585711062;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;PA;querosenedeaviacao;ARIMA;{'p': 13, 'd': 0, 'q': 8};12;12;548.7560762735839;0.034202143807131345;90.9090909090909;-0.05715998891168058;2168.428522745773;0.10560923870073927;13581.529491561141;12990.770004722977;12928.158048382324;12855.903524888436;13753.048993287983;13704.926413772968;12564.357476655245;14312.257077007172;13821.541522569301;14245.276035220882;14280.615146990862;11676.22723903874;[-415.4674915611413, -255.40500472297754, -328.99504838232315, -794.8085248884363, -64.30099328798315, -615.3674137729686, 414.84852334475545, 147.77392299282837, -314.45152256930123, 1216.681964779118, 287.397853009139, 630.2817609612594];-4.065926835296238;0.001102038819192006;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;True
