train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;etanolhidratado;ARIMA;{'depth': 6, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;8189.586180422822;0.469002243252284;45.45454545454545;56.90050096373659;195103.06005972292;1.0126499641397642;3959.8521011345924;4027.946079393869;4193.375190832465;4571.810024515161;5245.493737330336;5317.8243572476695;5229.919174354718;5485.541224356611;4880.168801988561;4541.830743333964;4873.313800290093;4440.036514032467;[1931.1478988654076, 1445.6049206061316, 1617.8748091675352, 1118.1899754848391, 1293.5062626696636, 3539.705642752331, 5779.610825645283, 6368.48877564339, 8236.047198011438, 12717.069256666036, 15225.796199709908, 15671.613485967535];-1.8395213618949777;0.3610243620669473;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;SC;etanolhidratado;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1447.7543011991384;0.24194625778842027;63.63636363636363;-2.010113712530033;22951.703048568685;inf;3536.7480817118512;3750.860010997811;3465.367467645155;3920.389446409444;3694.2519653016875;4468.215871515339;5519.0350537128015;6757.0931938443355;7581.043436202086;6645.581341590254;5183.070558212172;5300.860869305683;[2733.5059182881487, 1813.6349890021888, 1045.1545323548448, 368.1105535905558, 430.54503469831207, -684.520871515339, -1647.5290537128017, -2550.367193844336, -1566.5374362020857, -797.0813415902539, 110.43744178782799, -434.15786930568265];-1.7747635218512186;0.3930609100186595;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;SC;etanolhidratado;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 200, 'depth': 6};12;12;2512.9461190484126;0.4848077399653114;72.72727272727273;-44.67666899742347;30209.742524106216;2.795910097345198;6903.322716739842;5671.05215050362;5142.118713838721;4403.889484416841;4700.142392927637;6301.2381635790325;6320.67056118078;7260.903836956321;8043.740773869732;8576.104959480108;7897.517603517884;6655.636122385711;[-192.2187167398415, -397.13915050362084, -865.1057138387214, -442.5984844168406, -363.63639292763673, -2118.1091635790326, -1660.12556118078, -3002.486836956321, -4455.610773869732, -4136.789959480108, -3803.4726035178837, -2611.196122385711];-1.9206989026964545;0.32238721631783396;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;SC;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1318.212838077765;0.15287827762233414;27.272727272727273;-5.217952278209359;41605.01615888741;0.560105360373223;5807.979741821736;5642.581763640732;5280.664952571531;5866.324358853358;6434.849330108579;6490.3875768094;7023.980667523599;7222.694696983344;8229.691977457824;8040.645742210369;8082.232022523805;7663.653152391415;[-570.7997418217356, 3179.3082363592675, 79.37004742846875, -642.2173588533578, -1289.5013301085792, -1361.8085768094006, -112.1416675235987, -712.179696983344, -2186.8419774578233, -850.5657422103686, -225.63102252380577, 637.1058476085855];-1.8764380079419898;0.34322528998215274;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;SC;etanolhidratado;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1370.635441852472;0.18199877169597126;45.45454545454545;-9.96342962099605;32485.182032495904;0.580407309759809;7128.147830706956;7059.763062244028;6816.531766773506;6726.753076947294;6716.350518135736;6740.923935966967;7111.155916226524;7379.316745927021;7651.89835000154;8370.734181013098;8854.641295495978;9505.188029244344;[-963.8848307069557, 281.1919377559716, 416.1512332264938, -1308.984076947294, -1227.4145181357362, -1821.9219359669669, -1585.0239162265243, -230.12074592702083, -762.5293500015405, 1591.981818986902, 441.52470450402143, -2991.1420292443436];-1.9351860442793674;0.3156937575889484;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;SC;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;3430.6870210113543;0.2946127463525201;63.63636363636363;29.673902312287243;54461.60647069304;0.7366662468695259;3904.0271264129287;4249.278341627963;4196.975595113071;4401.069986916104;4795.469253480178;5273.9219567179725;5462.247585434447;6106.71501869749;6455.204419533133;8397.184268035808;8385.907602768646;7682.495555176473;[885.3148735870709, 904.8756583720378, 757.024404886929, 5069.580013083895, 3218.194746519822, 3104.639043282027, 6413.170414565553, 6325.95898130251, 3047.0865804668665, 124.14073196419304, 866.8923972313532, -1471.5055551764735];-1.8740746579254974;0.3443537493434672;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;SC;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;887.8714685434298;0.11058203095089275;81.81818181818181;1.932640953380206;7033.559906915614;0.4449205994022285;4972.353410411549;4574.988644700806;4985.542004779226;4928.618427347948;5279.458243445922;5602.06736337276;6174.548948939895;6618.3874112775875;6876.505544813543;6967.608828446271;6707.816746331901;6346.844164819146;[51.64958958845091, -176.37864470080603, -690.0120047792261, -751.9864273479488, -817.6192434459217, 96.04263662723952, 606.6240510601046, 26.110588722412103, 685.9384551864578, 2191.8581715537293, 1091.5992536680988, -933.6321648191451];-1.7797730870272581;0.39054901994772245;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;SC;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;6807.782358619314;1.2138676684346221;54.54545454545455;-116.3652274301646;137595.6643323768;5.716410894648425;10918.290261360902;10848.694274857895;11171.324906845563;11252.592403850798;11644.846201528326;11952.746338455541;12890.896311661909;13398.777741524042;13844.073124028155;13733.937162544507;13400.997023731217;13053.829709976735;[-4720.590261360902, -5040.776274857895, -5057.811906845563, -6134.139403850798, -5458.256201528326, -5387.484338455542, -6456.367311661908, -8081.977741524041, -8841.763124028155, -7205.653162544508, -8346.103023731217, -8925.919709976735];-1.8780751679990897;0.3424444840924239;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;SC;etanolhidratado;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 100, 'depth': 8};12;12;5125.317301603711;0.3974302772272376;54.54545454545455;25.030019840387634;101768.37272166304;0.6441752718153243;10135.86983539145;7777.442419732318;7247.331073067842;5680.078240115265;6296.446708431351;8129.596874041019;8989.228934078577;8756.292935394751;9486.504099478703;10836.172859872468;12151.513563521557;12909.2731085431;[6138.132164608551, 5537.790580267682, 3060.3719269321573, 5650.681759884736, 6843.853291568648, 5216.090125958981, 4978.521065921423, 7360.708064605249, 989.5459005212961, -120.05785987246782, -2891.689563521557, -6574.158108543101];-2.099164031193014;0.24485088160712004;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;SC;etanolhidratado;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1756.326712588523;0.14969624545493854;63.63636363636363;0.4289820460049165;27771.17650643498;0.30055502243151117;7147.162936624833;7099.595171874413;6452.739045136489;7513.349645995126;8478.653909277731;9301.428662969596;9138.771439862483;10283.69150909447;11806.603286378384;13090.373369943718;12325.132992975932;11364.979874739141;[772.6660633751671, 2620.4588281255874, 771.876954863511, -1067.011645995126, -1472.8639092777312, -1782.387662969596, -1064.8934398624833, -1270.5075090944702, -1489.7452863783838, 21.742630056281996, 277.2600070240678, 4174.562125260858];-1.9796383568002125;0.295571707185146;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
1990-01_2013-02;2013-03_2014-02;SC;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;3034.1988221343586;0.17362952600964351;63.63636363636363;17.7186780889715;48007.097616380466;0.43508069326503873;7909.815205126817;7749.21557197155;7708.888337738462;7660.586578065921;7674.598676743618;7659.0691320426595;7708.6631207252285;7717.604220057352;7794.453415257758;7925.613064850636;8088.19093447892;8184.067512377518;[210.5537948731826, -705.75957197155, -552.5883377384616, -681.106578065921, 675.7513232563824, 617.8338679573408, 752.8648792747717, 2254.0897799426475, 7992.568584742243, 4482.396935149364, 4225.342065521079, 923.0520856224812];-1.9841256578717283;0.29357652508977283;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;SC;etanolhidratado;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1055.5445712070566;0.12350619628900346;63.63636363636363;-12.01951259361624;16678.91158882732;0.3086323149375603;8638.343716691401;8352.191040258896;8410.147907193768;8370.369445983813;8463.06021679952;8511.12412143339;8594.791481723232;8827.602891421511;9308.579387620877;9720.452230592738;9973.685886264137;10424.111669009675;[-414.8277166914013, -553.055040258896, -771.6189071937679, -1423.2714459838135, -1299.43421679952, -630.6891214333891, -1500.0914817232324, -478.2728914215113, -1570.5164606208773, -445.7457665927377, -1124.607886264137, -1332.5806690096742];-1.8671588337606817;0.3476647815141216;13;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;False
1990-01_2011-02;2011-03_2012-02;SC;etanolhidratado;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;17028.76155487559;1.8222143079965536;36.36363636363637;-176.5130641857201;482720.16751321993;3.914727616395761;17047.390891490977;17706.157851903605;16301.60054755607;18568.89063458997;19445.972810569212;26035.971069692314;32951.98988263738;33994.79208171672;31151.264140575146;29192.608876645063;26353.13916746131;26562.57541021851;[-5543.961891490977, -11061.991471903606, -7343.272547556071, -8582.94847358997, -10947.285984569213, -16750.590069692313, -24852.021882637382, -25424.609081716717, -22580.856140575146, -19064.371876645062, -17899.68816746131, -18462.05741021851];-2.076081884838605;0.25424030463165626;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
1990-01_2010-02;2010-03_2011-02;SC;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;15569.496539627498;0.6858481948055687;54.54545454545455;-61.07705970183546;311082.3327349182;0.7691103487693197;34902.130163299254;34892.565823808574;35256.4320616739;34890.5359071799;35648.92455977043;37124.96799572657;41331.56115832072;41535.42613545624;42128.015917268;41789.68732589278;40422.76350012745;38909.139491362934;[-15727.157793299255, -12352.998583808574, -11618.123061673898, -9169.893907179903, -6608.53755977043, -7569.012995726567, -9797.507158320721, -15480.987135456242, -21119.875057268, -18040.96746589278, -22579.274060127445, -23915.241661362932];-2.1899579852000763;0.2099102962971922;13;227;-3.4594900381360034;-2.8743581895178485;-2.573601605503697;False
