train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;glp;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1335.6235855125478;0.05082869584982261;45.45454545454545;3.989418486880968;31576.522929089417;1.2449362080080926;19310.968777799262;19932.19244923179;20153.830605694482;20442.22817653584;20489.875370516875;21187.322382766954;21939.28490291984;21053.25242925487;20802.37038420701;20669.553303733686;20639.221958408165;20502.75947689857;[2345.398972200739, -7.029409231789032, 1298.8958443055162, 1682.4837834641621, 2235.1046994831268, 1535.2229072330447, -394.15628291984103, -21.24699925486857, 448.3397557929893, 1041.394156266313, 1189.6602915918338, -1085.6525968985698];-1.1509395608224673;0.6943365359884747;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PB;glp;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1065.1822237568622;0.04522898499351044;63.63636363636363;1.6532336060005073;16793.843753341596;inf;19631.85377139044;19804.610725102964;20091.66388367613;20146.90218294951;20378.04641378199;20535.253525713484;20641.120070065863;20670.695457959413;20598.83671141509;20479.128444103804;20233.780004539996;19916.749719431107;[1511.8364486095597, -737.1270251029637, 385.7618363238689, 563.5018070504884, 1099.2126462180095, 1803.712054286516, 508.7241299341367, -331.98712795941174, -1037.1899714150895, 1479.4766258961972, 301.82687546000307, -1460.6953694311087];-1.518430311702563;0.5243752271778985;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PB;glp;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1662.6337126949795;0.07051825689653149;72.72727272727273;-5.010584448926981;19686.370425119145;1.6996810029846972;20041.22341520749;20025.356101275767;21499.41750522956;21109.136542447908;21566.830842420855;21407.308640052597;22149.583123766923;22191.523270360212;21593.910986402698;21729.004950955663;20939.828360008465;20850.30466617576;[1373.2113647925107, -74.42313127576563, -765.3124352295599, 376.60983755209236, 466.8865475791463, -276.8086400525972, -1780.0487037669227, -2369.461680360211, -2789.892866402697, -1794.9850209556644, -1974.4968400084654, -2563.5492361757606];-0.9388001131289839;0.774926679228735;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PB;glp;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1754.2287156299349;0.07212828891024176;72.72727272727273;4.394760629028702;20772.094751710356;1.956499490839614;19737.46977267627;19657.303528431752;19959.50696007354;19860.52170121089;20231.536753976598;20377.740352959532;20691.953946214595;20935.422979748386;20776.672642186055;20794.80842623353;20698.599196730225;20573.70141124027;[1968.6280573237273, 987.2834315682485, 1536.547389926458, 2697.59604878911, 2948.9632460234025, 2317.0694270404674, 761.6601837854068, 605.2907902516126, -887.9625021860556, 1071.7875837664724, -484.5865167302254, -2292.567351240268];-1.1430046748116265;0.6976211628556446;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PB;glp;ARIMA;{'depth': 6, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1504.4222028324764;0.06084047046103471;45.45454545454545;-0.009634176744179601;35573.829957155955;1.613780692154596;18113.698019033454;19363.920141136234;18265.62874839785;19420.00312544508;19998.899811262592;20391.601243811547;21968.42159871881;21691.307597978965;21075.221965550692;21342.51202148121;20882.539307310435;21283.9566995317;[1269.2675609665457, 329.1450788637667, 2324.806031602151, 88.36825455491999, 2180.236058737406, 1122.0907861884516, -993.068338718811, -197.71701797896458, -1290.2219655506924, -431.99753148120726, -1390.369017310437, -3034.0255395317];-1.0865208939715558;0.7204171749744774;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PB;glp;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1947.4311352037294;0.07648341085537497;54.54545454545455;-3.283556138673865;38396.110853761886;1.1607431509305142;18998.65581432847;19630.455711364157;20240.861489867744;20153.6707160974;20910.745947773383;21739.980886085268;22056.241669087667;21234.87116515152;21294.994949128068;21087.671470307352;21563.92896342534;20504.699674893072;[557.3133856715285, 328.71095863584196, -3221.9502598677427, 4351.236893902598, 11.799342226615408, -341.10045608526707, -1722.5478290876672, -1169.8729751515202, -1595.4297291280673, -1623.4305303073525, -1705.0086734253418, -1799.094604893071];-1.0909772957828785;0.7186566099902327;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PB;glp;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1653.6559017963775;0.06863866376489779;45.45454545454545;1.5761009290658892;39108.26161498416;2.1484038580947873;18908.553847055744;20105.039524877044;19802.454110799954;19978.94896966925;20057.26917880343;20435.705481743218;21455.582276539164;21029.47067078405;20883.95538231211;20284.18206552288;20740.284486185923;20540.815222451798;[2608.876602944256, -1081.0123548770425, 1669.4589292000455, 1208.7491103307475, 1966.756181196568, 2553.0059682567808, 355.5100634608352, -196.94623078404766, -1107.665002312111, 85.79219447711876, -1769.0761561859217, -2382.621382451798];-0.9533005564250269;0.7699137378744152;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PB;glp;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;886.0227093097844;0.03130920301812837;45.45454545454545;0.4465402229775354;20939.610855455023;1.288316287500147;19616.085113808047;19799.94162306226;20037.835812800313;20007.368251888627;20279.850007070796;20353.669646550894;20460.5995441068;20547.20839955035;20460.200883881298;20367.92096452422;20217.44811876287;19936.050436244663;[567.1938761919519, -454.17532306225985, 216.45766719968742, 653.977758111374, 22.664482929205406, 2130.0042634491074, 66.18306589319764, -373.4294095503501, -381.7733438812975, 703.2149054757792, -337.47528876287106, -1726.9906562446631];-1.1808382101887458;0.6817838418680114;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PB;glp;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1127.059457559179;0.0438206978159952;27.272727272727273;-0.4615901647680063;35515.933921982396;1.117723981006267;19860.763140729283;19825.330841098184;20078.600722212464;19994.29595026071;19911.2819477447;20196.339103092585;20435.86058475926;20618.382658256374;20544.494872254287;20503.23630080332;20483.362435908795;20440.85007369938;[398.7495392707169, 130.27060890181383, -598.7655822124652, 511.1714397392934, 2123.911892255299, 1394.0829969074148, 117.07057524074116, -398.5058482563727, -1696.7158822542879, 35.332539196679136, -1696.0001159087951, -1436.6200036993796];-0.8085978595232985;0.8165834558545975;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PB;glp;ARIMA;{'depth': 6, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1293.2141436529303;0.048334772087310095;54.54545454545455;4.162465800825817;25481.570054396987;1.4987115560932018;19038.938728223995;19126.879590336965;19199.443217292446;19155.362054765123;19179.038533152834;19430.83232466559;19518.089911634626;19548.242231820142;19560.980523117818;19527.56269743167;19544.662536007232;19364.260047164797;[66.80765177600551, 278.9247596630339, 728.1364927075556, 88.18866523487668, 2680.7096568471643, 1251.1984753344113, 1883.391968365373, 1386.647258179859, -77.94429311781641, 1927.1528825683308, 801.4389139927662, -929.8687471647972];-0.9115431512562694;0.7841473278729574;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
