train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;oleodiesel;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;19842.751942327606;0.06332452673454032;54.54545454545455;3.366521715260186;391098.23341599095;1.5501307807108142;225583.47510742967;224006.4469405388;221235.9275246624;228352.70832307372;242500.05646544183;251547.93041730867;257140.92086656034;265613.56480913184;258194.52678680222;253514.61808576423;241337.60950462337;221138.8503881785;[9433.292892570345, -8549.398940538784, 40724.478475337586, 19883.727676926268, 25112.51553455816, 34505.40258269131, 10526.125133439637, -588.8778091318673, -9241.694786802225, -8544.482085764233, -19306.339504623378, 6733.013611821487];0.16636269804504566;0.9703106056894748;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;oleodiesel;ARIMA;{'depth': 6, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;14950.591715121423;0.050465606921005414;54.54545454545455;2.7651102251907083;294591.15703635564;inf;223616.01765278395;218995.66061696183;223147.09723221557;226845.0609095282;237600.70081126448;242735.7934932454;243106.57292089213;248826.33351912955;243836.77264033552;239222.7320842522;232953.56642120393;219841.5397842735;[8272.28034721606, 3521.8463830381806, 16524.13276778444, 12092.632090471801, 23094.011188735516, 27948.777506754588, 14078.14207910787, 3906.520480870444, -8341.270640335511, -1436.6320842521964, -23832.58242120393, 3817.640215726482];0.42908990772084954;0.9825508036528211;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;PA;oleodiesel;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;27189.294958031696;0.10542157475676452;54.54545454545455;6.309366347330466;536393.693669866;2.8090582430424367;213883.5608651366;199889.9064633004;199544.66620191728;199738.30765573482;204593.2065526826;218776.98880744903;224871.62479612228;250315.58219471225;253854.98825292173;240926.0645709038;222294.633142772;200666.38471536292;[24432.3721348634, 28953.913536699605, 29973.098798082734, 38312.46534426516, 47439.25244731741, 31363.170192550984, 12538.067203877727, -7525.156194712239, -23712.201252921717, -17887.23557090381, -11473.247142772016, 24653.037284637074];0.1549897495149926;0.969621062033675;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PA;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;25364.527995622906;0.08209012730680866;45.45454545454545;6.756260000382867;599985.1553600876;0.905603720958611;198989.0927442504;190986.76517214804;187272.20561121454;195384.10545231897;196237.1149243149;207044.92845076427;208207.19745044966;219067.50981813672;222326.63961514857;217786.25839714074;208877.87229195534;197492.21176243803;[3595.9932557496068, -2803.2301721480326, 10147.57738878546, 24018.960547681025, 53984.2110756851, 39845.159549235716, 35982.61254955034, 29222.49018186328, -5683.151615148556, 891.3216028592433, -17415.17029195535, 5711.686237561953];0.3604644582033452;0.9799547050366749;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;PA;oleodiesel;ARIMA;{'depth': 6, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;16922.835067198957;0.061977825593318575;81.81818181818181;4.960606087468391;133687.42260047412;0.3647137266705413;177566.86845800627;181712.17943982093;182507.64681010024;186353.5117831856;193382.74949490992;203295.36141312832;204660.77959218452;214669.555199718;208677.88021056057;210283.55141718514;188673.35168878542;173629.6858305143;[29.098541993735125, -1048.7664398209308, 13276.28718989977, 11530.578216814407, 36593.370505090075, 26730.98958687167, 6858.372407815477, 18378.911800282018, 3328.110789439437, -17330.601417185128, 4056.947311214579, 18972.2491694857];-0.24453415450531205;0.9330008687693337;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PA;oleodiesel;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;14129.453437669354;0.06393642080425262;81.81818181818181;5.770258350396962;111632.27780907118;0.2811007806370992;174665.09071428984;173055.74904131956;177397.98588768323;183192.2187682554;190886.756420634;193282.10349161527;191315.19777731292;195581.7152544632;189916.80748596328;187508.56607239868;178055.07020379437;167589.56250561893;[13980.264285710175, 5845.5689586804365, -7535.285887683218, 16004.2262317446, 16377.819579366012, 25007.19150838474, 7697.231222687085, 19293.02774553679, 14534.403514036734, -1357.0510723986663, 11519.117796205624, 13502.65749438107];-0.20326889744778975;0.9381308502243525;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;PA;oleodiesel;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 100, 'depth': 5};12;12;10013.950160928127;0.043291231160611926;72.72727272727273;2.8907346266430145;118447.34607416534;0.14536902088460374;168311.23282100473;166049.6410167602;170522.4414403888;177524.27529310383;185679.19944630863;188418.29144785862;187578.81445034256;193296.8185584628;186310.56375286807;182425.91743132874;172408.19969996382;162831.95026040182;[8726.723978995287, -5688.1931167602015, 20523.543359611213, 10837.193206896161, -5995.805546308635, 17113.684452141373, 11186.304649657453, 3937.458241537184, 8628.743247131933, -2279.454431328748, -676.6126999638218, -2569.968260401831];-0.6275003286055102;0.8646462249091158;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;PA;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;18952.399101539973;0.09576856069603074;63.63636363636363;-9.281565266885375;299210.3375103666;0.25659763999475166;183866.82629384834;181575.89206722166;186997.51548996667;192427.75544100444;200117.09769044633;202210.40744618638;200631.83047626747;204794.85888688033;199743.59337957256;195681.9115910871;187376.27276175862;176156.02285138535;[-9878.731293848337, -5132.804067221674, -3825.5904899666784, -2486.3414410044497, -16658.853690446325, -9930.05044618639, -17953.564476267464, -31346.347886880336, -24306.14937957257, -22506.435591087095, -23040.449661758612, -29263.13315138535];0.4371851135029483;0.982833519079769;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;PA;oleodiesel;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;14683.29440435554;0.06968404547961772;63.63636363636363;0.3992274970408812;231646.07873632567;0.27451602071248027;176908.74919081936;169431.523672433;164286.19344893208;179715.8405973796;192857.72821855423;203121.90565136657;214751.1026453197;214368.52594993234;211774.94623542813;201639.44012651275;188923.72018012794;182070.0418918027;[10096.049009180628, 15070.358327567024, 20862.449551067926, 18004.141402620386, 17517.053081445774, 1475.380248633417, -5166.150045319722, -5470.929949932353, -19954.82313542813, -8286.07242651275, -22767.17518012793, -12161.845891802717];1.026813145526404;0.9945409545111294;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;PA;oleodiesel;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 200, 'depth': 4};12;12;15824.648881154959;0.07214013923809477;72.72727272727273;6.69436926390799;187375.37507421963;0.29534639816028607;167812.2191925263;164507.5880255834;165665.76561826712;169274.8837953987;179185.27942497225;186108.89095673882;194511.86504705396;201184.501652749;197228.7011188102;189384.91182727483;171911.9985796007;163702.04176070742;[-3393.7841925263056, 10537.867974416615, 21044.35838173289, 18962.672204601316, 23436.41357502775, 16263.768043261196, 11939.418952946056, 24773.200347250997, 4994.436881189817, 12942.919172725175, 17251.22752039929, -4462.794760707417];1.6122450017051384;0.9978938509170964;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
