train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;oleodiesel;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;34572.84856802851;0.08701217282340208;36.36363636363637;2.8240932992205856;953972.0845394093;1.3443634870688366;314730.007976406;315830.5660878164;316074.68298531923;319171.13212485646;318932.5366598396;318121.1231253837;318502.00404298055;319172.9316771827;320186.9696803722;322215.80423113576;323310.2497169086;322246.82216075057;[80813.31002359401, 33765.69891218364, 4454.206014680793, -20778.361124856456, -26144.072659839643, 41083.49587461632, -26851.692042980576, 33638.27032281726, 15569.910319627787, 22258.088768864225, -13896.49271690863, -32649.941160750575];-2.0037166614903414;0.284945854192008;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RS;oleodiesel;ARIMA;{'depth': 6, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;33584.23213173755;0.08658563453095673;27.272727272727273;-2.119555900702538;1058890.914781993;inf;324915.8818050995;325794.9449674679;323894.44692015584;327037.0033415264;322235.2446429877;317238.0012984883;324492.32831399405;326116.42566160834;324455.0115145394;327184.0675507351;335784.2213263024;332263.18828285683;[27602.924194900494, 618.4240325320861, -9932.67692015582, -49996.98734152637, -39402.280642987695, 7994.800701511733, -2078.350313994044, 33433.806338391674, 49915.1274854606, 90.5594492648961, -49026.95732630236, -50402.19128285686];-1.722113951608;0.4197562244406732;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RS;oleodiesel;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;56362.162133333;0.11746704397470668;27.272727272727273;11.138659008569332;1777818.3347727691;2.105178974609152;282905.8423459213;286036.06072328356;286842.21816858376;288358.87177797646;289233.7765915236;290491.05352774484;294632.8835345376;291120.8771358125;291999.23559878813;303588.9536156355;307179.61235273356;299123.98130650684;[94947.52365407866, 116670.80527671642, 23912.369831416232, -6042.465777976438, 30192.123408476415, 43638.91047225514, 10739.581465462397, 83128.93186418753, 67058.67040121189, 2479.9683843645034, -22961.694352733553, -3600.8743065068265];-2.3800045963318532;0.14745967195600296;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RS;oleodiesel;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;34524.710851442425;0.10530939889842428;54.54545454545455;-4.496176620566623;681105.4250686918;1.233506716163163;304599.1454139462;304360.32326399663;307837.24585847574;311459.86665607046;308478.52444445185;311964.5351349983;307924.55223885283;306667.1540099481;302756.68940977036;313695.03250397387;311731.81962417;309772.48128547566;[52172.026586053835, -7744.959263996629, -19442.06285847572, -38410.58265607047, -34734.73944445187, -6273.166134998319, -26303.847238852817, 39560.02499005193, 11655.338590229629, -30207.459503973892, -40692.70362417004, -58832.13528547567];-1.9894902280867832;0.2912001954147556;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RS;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;38098.24598150799;0.09341160568422983;18.181818181818183;3.5315213637286376;1351300.8672134578;1.6706909721505485;276845.7302081456;279247.07631158637;283746.0001931244;289557.9850509919;286450.4977403501;284049.69018196134;295061.68551018526;296857.36282571894;305873.7609534928;321724.5238947276;324007.5414745266;298881.20419323695;[78266.28679185442, 64203.038688413624, 1226.4098068755702, -9731.460050991853, 1606.9352596499375, 34738.197818038636, 937.1524898147327, 36716.45317428105, 25514.40804650722, -38908.17689472757, -43519.164474526595, -21373.329193236947];-2.0751264174476725;0.2546332832398441;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RS;oleodiesel;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;36389.630137737295;0.10577317668935116;27.272727272727273;1.116174552906858;1147646.167449087;1.0240613367339386;290484.02446958504;290215.5425035557;291235.35250899085;294268.3574623834;293145.9880173078;292433.0257542619;293902.1368616317;294825.7178394378;295199.92123598803;298190.1242658536;299761.65586881555;298309.72524069017;[58142.01853041496, 59049.89449644426, -59301.26450899086, 9173.061537616595, -6548.273017307802, 16149.780245738104, -13369.760861631716, 34818.77816056216, 29196.647764011985, -19824.473265853594, -43706.66286881556, -23911.78224069014];-2.0381079259750976;0.27011799771996664;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RS;oleodiesel;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;37125.31067314084;0.0853185543204887;63.63636363636363;1.0533989880216017;585944.9409422966;0.8679415074289499;288516.03797425353;287219.3588359178;284898.2728030112;291888.09653765353;287581.16845105344;291756.1344744383;290003.9750945614;290773.7487859274;294762.4646327699;297468.12785863585;305405.2793652265;304046.2038626491;[97032.72752574645, 31008.077364082215, 1554.7636969888117, -10343.04993765353, -439.59395105345175, -1868.2059744383441, -5956.847694561409, 18357.67271407257, 27929.843467230152, -31662.651758635824, -42529.34436522651, -45669.47386264909];-1.4622928013908765;0.5520753156518553;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;RS;oleodiesel;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;28010.28261015258;0.08376142046020153;72.72727272727273;0.8995680529986906;331802.592296154;0.8232876513601397;292040.46836252155;288212.5582460153;283766.10059862863;281989.4733876289;278168.3340257639;283830.05012113514;291821.5709753783;299256.5426061026;299884.59255447774;303981.1780798093;295760.8879290408;296242.48233709345;[40045.26463747845, 35724.84375398472, 26765.034401371377, 18695.29561237106, -11966.149025763909, 17103.51187886484, 4200.683024621743, 834.0613938973984, 16913.774445522286, -28184.5090798093, -40546.48952904082, -47860.44283709343];-1.2974556602743115;0.6303355467756298;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;RS;oleodiesel;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;47407.936039044376;0.12226463805092262;18.181818181818183;-0.9882314163515987;1682097.3572640407;1.231740055792824;278754.0346791546;273873.92904274014;284656.3964239977;306463.19853878877;305248.2696441755;295236.99076685985;293220.33900888055;289226.73703098664;299538.40197782026;315438.07766041474;335297.808783303;302217.41099587013;[97078.58192084543, 62360.22495725984, -4168.143423997681, -30420.78453878878, -38669.16294417548, 1535.5349331401521, 12200.834591119434, 26313.785069013364, -4879.870377820276, -34316.408660414745, -90395.62078330302, -31663.346995870117];-0.20539951533725584;0.9378749417166854;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;RS;oleodiesel;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 200, 'depth': 9};12;12;35952.94239861157;0.10066279411605167;45.45454545454545;0.630930256963139;850737.5438106555;1.1440699208653549;293121.5156996538;292540.2284600678;293092.45522755076;295533.15275180707;295875.06244502723;294458.1128681163;294280.128787528;294636.26642602234;295913.87097530667;298352.84618917847;301258.9391048405;299975.8875902981;[43954.500300346175, 51115.09053993219, 12278.517772449239, -35042.00475180708, -11989.35144502722, 14212.474131883704, -1476.5747875280213, 47794.623573977675, 14305.741024693358, -23190.540189178486, -11438.812404840486, -77989.53159029808];0.24209411563480845;0.9745261279645229;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
