train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;oleodiesel;ARIMA;{'depth': 5, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1270.0347465744778;0.11963435231418836;63.63636363636363;-11.10639575287157;20065.536594910947;0.8518782776961062;7501.749385438805;7644.5040996629305;7780.43760126842;8788.995906999518;9301.46382375255;10389.011822960892;11252.887944105547;11380.232483773521;9710.938649310578;9567.113740392466;8966.18467147991;8910.41857506803;[357.84761456119486, 89.74490033706934, 23.27939873157993, -735.5509069995187, -1409.4768237525504, -953.8158229608925, -2406.8649441055477, -2318.602483773522, -56.58564931057845, -1158.2737403924657, -1161.9586714799107, -1384.8895750680294];-2.102827893942122;0.24337901263857625;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;AP;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1326.5857140632472;0.11477002248850475;72.72727272727273;-1.147961320850585;15733.513382743207;inf;9185.768081139213;9160.095768982286;9174.549687355247;9198.850055287136;9277.457144119797;9315.217957008163;9437.46409536376;9605.016654463963;9647.509617001464;9640.827054011022;9539.644746114478;9357.754195610138;[-158.4070811392121, 212.57123101771322, 623.095312644753, 748.8219447128649, 1178.7508558802037, 2781.4650429918383, -47.24709536376031, -610.332654463964, -634.0936170014647, -1432.7610540110218, -1530.952746114478, -2408.1651956101377];-2.104839570154031;0.24257304436140442;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;AP;oleodiesel;ARIMA;{'depth': 6, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1662.0669350244864;0.16391692834482088;63.63636363636363;0.5509177088137085;26291.318459393016;1.9487926962194904;7922.440333983402;6867.4198027926495;7692.865411464662;7571.4860250624115;8648.227834396672;9625.574087456494;10891.775022193115;11401.223950131438;11728.76565123414;10434.11643139538;10928.69886567637;9617.284483939056;[1558.3516660165978, 2524.31819720735, 1761.845588535337, 1799.9299749375878, 1285.6891656033276, 577.8709125435053, -1537.2870221931153, -1321.1759501314373, -2330.608651234141, -214.6414313953792, -2179.06686567637, -1297.412483939057];-2.0905482708078753;0.24833213470116766;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;AP;oleodiesel;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1372.4829637537373;0.1260819538170387;63.63636363636363;9.295575387978364;21687.918155602245;0.8199488353575318;8103.244785246815;7407.795301894034;7227.002099902886;6975.4201832314275;7668.219527363848;8081.871753826204;9037.029984022663;10051.443054890951;10816.745794777456;10789.144200810175;9343.764388377927;9019.768493799918;[296.1872147531858, 1135.9986981059656, 495.7759000971146, 1646.6738167685717, 2007.1104726361518, 2700.5382461737954, 1079.8540159773365, 1125.9399451090485, 837.7772052225428, 1358.1897991898259, -1090.7973883779268, -881.6754937999185];-2.0774403117182514;0.2536821774055873;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;AP;oleodiesel;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1406.99009437541;0.1251022081594495;63.63636363636363;12.172778333614465;22232.536138782423;1.0840096118983271;7601.685789908221;7604.658151139711;7623.056600211621;7616.86977058544;7667.189611837362;7768.829477583911;7996.002286168401;8133.291627888573;8154.1538290906;8158.190517173824;8061.889966097256;7907.50933598935;[-527.6277899082206, 329.34984886028906, 673.8933997883796, 978.2122294145602, 2268.554388162639, 2604.6965224160886, 1641.4997138315994, 1844.7063721114264, 1549.5101709094006, 984.0074828261759, 747.9290339027439, -25.75633598935019];-2.0170716301140708;0.27913831095719255;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;AP;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1333.57357971794;0.1573050942686669;63.63636363636363;-14.048709126872543;21091.65155855145;0.8530923847766557;8704.530989974677;8764.31906560076;8798.624848788075;8847.604240175122;8939.678085281972;9033.477282462605;9298.61082242899;9381.574542208149;9328.11863663635;9231.45568271726;9017.203064108364;8846.53014489586;[-1568.4579899746768, -1622.399065600759, -1511.5258487880747, -548.5422401751221, -889.2220852819719, 331.06071753739525, -266.127822428989, -406.80754220814924, -1562.4996366363512, -2036.98268271726, -1044.7450641083642, -2200.98714489586];-2.0211272539225114;0.2773870477096262;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;AP;oleodiesel;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;998.6051038052001;0.08839596953311298;45.45454545454545;-5.308900455938604;23626.239769368945;1.5013721366592303;9444.658851602899;9474.095118268016;9475.354864406294;9490.223753255892;9551.656594503296;9629.385844804649;9821.686606833606;9840.274573653565;9772.143827693604;9742.68806839762;9669.847018439197;9574.764110046157;[-92.29521960289821, -1121.7180982680165, 434.3287675937063, 111.89778074410788, 38.998085496703425, 989.4688351953519, -113.96087783360599, -440.5949416535659, -460.2826156936044, -1612.18485639762, -1478.9900184391972, -2076.661110046157];-2.0038529078021257;0.2848862928883329;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;AP;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;8972.755124385962;0.9159021152469249;72.72727272727273;-91.22481297794684;109532.57556024408;11.579228671074805;15423.22324812236;17148.956471479665;18398.625610984545;19531.18116967584;20478.108376516553;21105.732338094018;21064.6966493097;19998.33065309091;17926.32686951453;17469.508255388577;17462.120579457882;17043.43041746933;[-5973.32324812236, -7938.7564714796645, -8500.425610984545, -9783.081169675841, -10694.608376516553, -9879.032338094017, -10722.2966493097, -9969.83065309091, -8083.72686951453, -7372.948255388577, -8257.694850457881, -9231.577834469332];-2.2918819601061178;0.1745995700574735;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AP;oleodiesel;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 100, 'depth': 9};12;12;23668.097233292494;1.536704522441623;45.45454545454545;-126.22330775161852;574799.1665362135;2.7937200958499;33309.46956891873;31468.93428833857;29172.176343494262;31195.388413881872;31679.955966449616;37784.29967780521;39995.30842994786;42476.08832384649;49828.80249967047;47408.0174940086;44943.661987612024;39890.75877051496;[-7311.659698918727, -13224.467288338568, -11150.90134349426, -13617.50541388187, -10244.884026449614, -17349.21030780521, -21491.325999947858, -25557.656313846488, -37560.39111967047, -34159.6030140086, -33650.86198761202, -30869.958770514964];-0.12414647761862188;0.9469797054150015;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AP;oleodiesel;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;4811.03496089456;0.10346040495158026;81.81818181818181;-5.739226457857919;38093.424539490385;0.11951073476852522;37993.998041305655;37795.931392049366;37463.73958940359;37480.05368018168;38046.50077173481;39997.726422134685;43007.10254255986;44109.838629382866;45582.87344973495;45523.14751754944;44270.40775289413;42096.634472811194;[-6053.938041305653, -3312.0713920493654, -3991.210589403585, -4287.1376801816805, -740.9057717348114, -90.46042213468172, -798.2705425598542, 2328.7843706171334, 2760.4555502650473, 2754.1124824505605, -2372.085092894129, -12975.891472811196];1.1333547808700175;0.9954914757138601;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
