train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;oleodiesel;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;14786.33039771215;0.09095573899066799;63.63636363636363;8.100315418651036;233408.11444553453;1.1759702438086765;116382.09966641094;122074.85319602798;119246.71363283483;128518.64582194247;135104.85369670027;136581.69505974627;145555.8320982146;139997.0546098248;136845.35055462044;133246.99287905067;121718.59373237538;118563.4747204237;[17747.625333589065, -7398.6391960279725, 20472.437367165185, 15812.23217805753, 17050.100303299725, 25130.086940253736, 4583.339901785395, 16991.327390175225, 13463.782445379562, 12020.138120949327, 4181.929267624626, -3094.5537204237044];0.4521683657186393;0.9833444504812845;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;MA;oleodiesel;ARIMA;{'depth': 9, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;7195.79236028455;0.0458896997356092;72.72727272727273;1.4960717955611103;85121.78712464089;inf;120158.42622816232;121164.92086556283;122035.22051924368;124770.54420719942;130970.58305128608;134096.83135028457;135608.51011166995;135536.54410986303;134844.01820594852;131670.3884574738;122889.64263743724;119452.82443727003;[5622.89777183767, -9727.228865562836, 488.7844807563233, 2286.969792800577, 8629.986948713922, 14211.871649715438, 10041.431888330058, 3692.1388901369646, -1313.0762059485132, 2471.1535425261827, -5002.232637437235, -8116.5704372700275];0.5128752002888578;0.9852592184121554;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;MA;oleodiesel;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 200, 'depth': 7};12;12;13217.699151449884;0.09298465891773527;45.45454545454545;5.389805652031719;312721.56693212857;3.0362904332889604;100903.86698521377;103318.8662496148;101478.7631390082;109523.17123574964;121201.18989729442;134917.7437934367;138954.24296871727;139261.51124734245;140367.27183464932;133810.3884240614;122152.12975513349;98139.70472347146;[20077.460014786237, 15684.9867503852, 20829.95386099181, 17620.316764250354, 16018.91710270557, 7100.064206563286, -1041.4149687172612, -4208.86024734244, -9371.565834649315, -2469.0074240614194, -10846.22175513349, 12869.602276528545];0.3665310003729095;0.9801992410999856;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;MA;oleodiesel;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;13063.69213976173;0.09614858861172294;100.0;3.4095659631112913;543.8880123235937;1.0955461199089513;109334.2912040629;108963.18170771515;110506.97129488162;112140.35642234085;116180.72687520579;120217.93392065351;122801.78286965129;123828.12844465036;123368.05389473542;122729.8604072908;114726.95909299322;109739.69304767784;[-8424.487204062898, -15499.308707715143, -12715.28429488161, 7649.304577659146, 16294.871124794212, 16118.614079346502, 17520.6991303487, 22525.054555349634, 9972.803105264567, 1731.1155927091895, 2351.082907006785, -8298.378047677834];0.1345838986893865;0.968344503455297;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;MA;oleodiesel;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;6682.499482731217;0.04502902122155867;72.72727272727273;-1.8555797778079455;79047.38687666044;0.33168824674032943;110337.02794592193;109117.4649169663;108395.26059698763;111735.7227442558;120726.72769975934;124531.79827148092;125265.09572416528;128603.94646911218;126349.65714316646;126066.33642499549;109302.09917156638;104527.23527067727;[-8573.468945921937, -16354.030916966309, 3304.702403012372, -61.23274425580166, 7910.0743002406525, 5001.146728519088, -5102.215724165275, 361.02653088781517, -1825.6111431664613, -7917.698424995484, -306.74317156638426, -2031.1332706772664];0.7550723712177079;0.9908752243555358;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;MA;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;10182.689063211887;0.06628349574234776;81.81818181818181;6.817943168677977;80460.66679407423;0.6423958956322431;97699.54232906348;94160.08531997295;101468.27236396306;105184.67078045775;112135.96526256567;118733.03616972614;118593.94854454158;120113.81602827129;120888.72872508806;116086.38273515238;107207.65198457471;98930.34059493987;[16424.952670936516, 13432.528680027055, 34.84963603694632, 13011.428219542257, 16257.142737434318, 12451.536830273864, 962.2484554584225, 12846.929971728721, 5290.6912749119365, 2248.8412648476224, 500.8010154252843, 2476.087405060127];0.23574490008460633;0.9741966455572655;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;MA;oleodiesel;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;8906.806360163826;0.07790670727375926;81.81818181818181;6.441805586593407;70423.9951645263;0.4372268278716318;98514.69175823404;97948.05907567359;97360.36311830055;100759.91467785393;104768.70104477605;108644.74447796121;107486.78780911762;109144.71506450594;107564.84737884426;105785.89438493003;102418.84285529052;95569.16282166966;[10364.874641765957, 2557.598624326405, 10485.042281699454, 9788.62482214607, 5710.494755223946, 8756.068322038787, 6935.114390882372, 9614.907335494048, 11069.635221155739, 10939.00721506997, 7794.299144709483, -8915.078821669653];-0.22177245420520308;0.9358761477056949;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;MA;oleodiesel;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;9611.129308356363;0.08278761614394048;72.72727272727273;-8.218590449692922;113847.54748045848;0.31595854379741717;103824.85596333568;103539.1637064496;103529.17791226179;104955.65458783363;114601.77404071811;111939.66663423256;117529.10801021269;122144.7061225711;121471.69730897727;121602.45261377198;107847.50264377808;103096.62296188367;[-1196.0909633356787, 114.8512935503968, -7451.381912261786, -5848.675587833626, -8983.408040718117, -9347.89563423257, -10959.325010212691, -16068.14112257109, -12076.624308977262, -9105.975613771981, -6328.135443778083, -14217.105001883669];2.0238558682974754;0.9987031588134353;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MA;oleodiesel;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;9556.363853393876;0.06984863629495663;72.72727272727273;3.1404306931294075;113145.14038645287;0.4348760882405084;95563.89871927738;95970.9511955888;96631.27134732678;101426.05031654058;105244.07699463746;117077.70320352647;118572.8642808937;120217.87964570349;121683.46530929685;115899.28958663889;114667.22287084899;97142.54482269069;[7479.467480722626, 10215.153804411195, 12599.374652673214, 14124.27968345942, 16495.748605362533, -1357.8186035264662, 1793.0094191062963, 4202.455354296515, -10163.94690929685, 749.5478133611177, -13351.402870848979, -633.4488226906833];1.661662939968377;0.9980312685845599;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;MA;oleodiesel;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;8637.922422731743;0.06861309556335358;63.63636363636363;5.905390503345385;136269.72062278262;0.3453813485621446;93772.09373876434;94115.79722906445;95131.88099483028;96669.835976075;102307.77135606909;108442.60778491363;105013.29827408401;106730.6954941764;108893.96587982347;106867.07191844197;102131.56315164777;96291.0640365082;[4591.828261235671, 3759.861770935546, 5630.621005169713, 2327.215023925004, 7547.666643930905, 9810.710215086365, 12233.201725915991, 18187.035505823602, 4977.619120176532, 8493.129081558029, 6162.73174835222, -7382.221036508214];1.528676980006434;0.9976270118859972;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
