train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;etanolhidratado;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;8119.9755655974195;0.48613544745026055;81.81818181818181;58.076396655630234;65641.33345276643;1.0335772092441105;4599.725857260099;4493.034007682063;4383.745790629722;4194.522131996744;4331.461176324994;4339.637008976136;4260.182915845022;4373.245511742644;4527.50934253096;4648.40460831942;5403.873583931908;5662.976819700809;[1291.2741427399014, 980.5169923179374, 1427.5042093702777, 1495.477868003256, 2207.538823675006, 4517.892991023865, 6749.347084154979, 7480.784488257356, 8588.70665746904, 12610.495391680583, 14695.236416068092, 14448.673180299193];-2.097959515513217;0.24533588179838167;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2012-02;2012-03_2013-02;SC;etanolhidratado;ARIMA;{'depth': 5, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;2210.3146820102033;0.220317987832738;45.45454545454545;-19.381874423025327;52421.21416894379;0.5565303891606896;7597.937818349129;7324.036995217497;7845.210795278925;7796.319058111056;8504.939005915288;9076.930753299472;11492.550270831463;11470.801805183182;11853.95505413226;11609.311341626662;10257.46996797938;9836.527141851095;[625.5781816508706, 475.09900478250347, -206.68179527892426, -849.2210581110558, -1341.3130059152882, -1196.4957532994713, -4397.850270831464, -3121.4718051831824, -4115.892127132261, -2334.6048776266616, -1408.3919679793798, -744.9961418510939];-2.397365901630805;0.14248124413556912;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;SC;etanolhidratado;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;15292.472014456815;1.7312578678710964;63.63636363636363;-168.3778545433256;252285.34992213713;3.734303974671755;20727.580948934174;20292.1363386215;21036.202484086305;21148.736542846895;22543.526179865836;23814.305291842244;27727.632307727807;27223.871324910124;27234.616356684688;26690.034512167727;24335.974532433018;23849.438537431983;[-9224.151948934174, -13647.969958621503, -12077.874484086306, -11162.794381846894, -14044.839353865837, -14528.924291842244, -19627.664307727806, -18653.688324910123, -18664.20835668469, -16561.79751216773, -15882.523532433019, -15748.920537431983];-1.993430705664513;0.28946091357293946;15;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;False
1990-01_2010-02;2010-03_2011-02;SC;etanolhidratado;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;14251.644578868714;0.6234617545333115;72.72727272727273;-54.8556199303438;172158.73787584074;0.6907671257022887;33784.288234618296;33696.78181224069;33705.78257571572;33550.61741066765;34409.02443950108;35265.58605710244;39157.7305642925;40433.49742177938;39622.381296527295;39898.22797187123;39241.91479669936;38344.38615480317;[-14609.315864618296, -11157.21457224069, -10067.473575715718, -7829.975410667648, -5368.637439501083, -5709.631057102437, -7623.676564292498, -14379.05842177938, -18614.240436527296, -16149.50811187123, -21398.42535669936, -23350.48832480317];-2.327053299260511;0.16339111889849134;15;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;False
1990-01_2009-02;2009-03_2010-02;SC;etanolhidratado;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;12834.295756813224;0.33826805556743356;54.54545454545455;19.44699400741601;254496.23881315478;0.3486288701907606;31417.07999984255;31033.14240180208;30996.27945643943;30746.552593118162;30880.30645163565;30440.86145980833;30262.673694221536;30247.344241679988;30130.513406696475;30538.29929227087;31505.07197497242;32303.227025560165;[8919.680000157452, 11200.767598197923, 8093.253543560571, 9023.280446881836, 17679.39054836435, 15783.01554019167, 21674.105305778467, 13634.996758320012, 1799.730593303524, 6867.741707729128, -8218.16697497242, -17011.877025560163];-2.073788970777365;0.25518393944352014;15;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;False
1990-01_2008-02;2008-03_2009-02;SC;etanolhidratado;ARIMA;{'depth': 6, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;13745.38627893041;0.380180231883855;72.72727272727273;39.10091678210731;164592.5724048412;0.4584080508114386;19753.68247396825;19513.348109998587;19474.63096885849;19350.38081446719;19791.84986103289;19496.52653165411;19758.14124998507;19900.128863916125;20872.3689624331;21257.369347255983;21792.116847659938;21941.82157108757;[7324.412526031752, 9188.656160001414, 8972.962471141509, 8049.97795553281, 10658.75697896711, 10704.734418345888, 13963.79279001493, 15752.853986083875, 14885.353077566902, 22909.700972744016, 18071.03815234006, 15475.85842891243];-2.0680327658204285;0.25756148837841214;15;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;False
1990-01_2007-02;2007-03_2008-02;SC;etanolhidratado;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;6926.754591091628;0.26520475904300295;81.81818181818181;28.312623177961495;55331.58533538483;0.36442826857923905;13867.895596906834;13617.49139032183;13697.110853769076;13700.56252995942;13848.4873405599;14558.729093395637;14956.486130477711;16508.384385118345;17782.7142808263;18286.908584216566;19194.447126239655;18421.510598686193;[4480.787433093166, 2367.1280696781705, 2225.088386230924, 2251.807910040581, 3605.8136794401, 5778.482816604364, 6406.50243952229, 10105.065524881655, 9188.538209173697, 11051.755125783435, 8665.844063760345, 8297.046681313808];-2.0635604890929797;0.2594171995431146;15;189;-3.4654311561944873;-2.8769570530458792;-2.574988319755886;False
1990-01_2006-02;2006-03_2007-02;SC;etanolhidratado;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;2543.968521791369;0.12373113276372437;63.63636363636363;10.366546343061698;40195.36259941786;0.18876485094025322;13232.65041849908;12837.545436991619;12651.101775739982;12775.302084095973;13941.272484349762;14155.810239053191;14655.408257688032;14963.674697810493;16018.70205625411;16608.442618264795;15984.748042781399;16243.965321718462;[-784.1814184990817, -1224.5794369916184, 1582.328224260018, 1131.7019159040283, 1808.8185156502386, 2017.4917609468084, 3371.4557423119695, 2112.8083021895072, 2192.2909437458893, 6041.064381735207, 2602.1624172186002, -719.4755617184619];-1.9489075760796357;0.3094144712910242;15;177;-3.467845319799907;-2.878011745497439;-2.575551186759871;False
1990-01_2005-02;2005-03_2006-02;SC;etanolhidratado;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1601.746638430441;0.09003721262789637;45.45454545454545;8.913039447582962;37896.02735702854;0.13825852110091488;12328.609551431491;12341.743417081963;11665.00886584712;11973.669064196036;13168.275478167356;13006.000262856405;13217.235867799593;13360.220619683474;15285.077309931854;15603.56392557675;15126.942982510673;15108.531613262187;[822.9904485685092, 475.8595829180358, 1859.4121341528808, 1656.6439358039643, 265.0275218326442, 1482.9997371435948, 2485.098132200408, 1092.8673803165257, 1243.971690068145, 1751.2875744232479, 3053.711017489326, -319.7576132621871];-2.3146667089897517;0.16728128912999224;14;166;-3.4703698981001665;-2.8791138497902193;-2.576139407751488;False
1990-01_2004-02;2004-03_2005-02;SC;etanolhidratado;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 200, 'depth': 4};12;12;2586.288455327566;0.16489571122678073;54.54545454545455;11.19209804926581;51092.26390885229;0.2505335649800157;10927.573943210711;11147.200555348712;11048.128381919116;10982.636588636624;12570.310717852815;12338.18386818093;12532.419513146011;12953.80256945156;14166.501544086565;14792.388986892789;14101.301505475256;14618.192739025346;[2993.646056789288, 2851.2674446512883, 3008.1096180808836, 3571.8484113633767, 3674.516282147184, 1072.2751318190712, 3278.1734868539897, 1871.7014305484408, -554.8995440865638, 1386.9320131072109, -907.1905054752551, -3067.925739025346];-2.113292120615496;0.2392034726008816;14;154;-3.473542528196209;-2.880497674144038;-2.576878053634677;False
