train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;glp;ARIMA;{'depth': 5, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;133.09821685595836;0.03495334909845383;45.45454545454545;1.9478329420918106;3146.4701326586423;1.3019580573299399;2635.379805762218;2637.7419924390783;2635.0969970044316;2630.052322883188;2643.157599627035;2647.559770900415;2631.2853694050145;2652.904267562344;2652.6416513422373;2635.659153110384;2663.37528446785;2733.4209292931937;[310.42273023778216, 31.029746560921467, 6.3740169955685815, 69.12883611681218, -18.068831627034797, 154.943852099585, -129.1458764050144, 24.398268437656043, 4.898203657762679, 222.62164388961583, 73.02688953214965, -117.94810329319353];-3.7449457464335665;0.00352357761170164;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2022-02;2022-03_2023-02;AP;glp;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;140.51773741278183;0.04347649071183621;27.272727272727273;-2.444955388530162;4429.175624572989;inf;2703.874360092642;2705.1365972595327;2668.7657512812066;2717.9967535610836;2747.112226493934;2712.040787590564;2694.369365046779;2689.943497106696;2678.3782908522103;2785.796861995455;2798.3315210029314;2819.06138626924;[162.73433590735794, -70.33406125953252, 0.31939371879343526, -100.9442175610834, -145.78251649393405, -8.779917590563855, -80.86936504677897, -42.389149106696095, -138.37285585221025, 134.73031200454488, -183.54347800293135, -307.6845742692399];-3.651400323599096;0.0048510713452522315;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2021-02;2021-03_2022-02;AP;glp;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;189.6592165926251;0.05813084326427403;54.54545454545455;-3.268655850549614;3738.8658599108817;1.4491970507349785;2795.2184163638003;2821.648241294764;2798.3288457607905;2826.52837518293;2810.797819535773;2824.983159816968;2825.955689804799;2812.263106420367;2867.9986357681964;2854.2201054471034;2887.690574516576;2871.575921118629;[200.45730863619974, 19.85538170523614, -36.59696176079069, 69.05314681706977, -7.464486535773176, -118.72410181696796, -159.51184880479923, -272.84281642036694, -222.5312447681963, 101.66938755289675, -315.244922516576, -334.1972981186291];-3.326115370406673;0.01375071771570565;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;True
1990-01_2020-02;2020-03_2021-02;AP;glp;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;240.9707462403447;0.06959187419422265;63.63636363636363;5.988201931867937;3802.6624731413986;1.0927721296895856;2659.715585525953;2658.0169318833287;2659.0533857382397;2658.939575894043;2659.1679063360702;2659.4495306075837;2658.652172254118;2658.551954057104;2657.8215501350196;2658.466244935359;2657.5465895659427;2657.4864825795157;[233.4673854740472, 283.36712611667144, 291.4611072617604, 245.31948210595692, 347.48789066392965, 102.44902039241651, -3.891302254117818, 272.1346399428958, 28.63315986498037, 428.916001064641, -159.07738656594256, -38.17307657951551];-3.472389112618456;0.008725169209132227;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2019-02;2019-03_2020-02;AP;glp;ARIMA;{'depth': 6, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;117.24763965849412;0.032355694036277166;36.36363636363637;2.4384318923439112;3233.334449969501;1.3344986927142484;2567.778349675325;2565.7114178153397;2560.6338980186424;2574.9353203958103;2580.365605884138;2590.7847029318023;2605.646543165982;2583.213895817383;2580.284144549323;2595.023019521521;2590.2254618066795;2658.90012308949;[31.939041324675145, 117.06575618466013, 149.54907298135777, 10.082795604189869, 111.50939411586205, 29.302254068197726, -17.49255716598236, 147.8241471826168, -17.36023154932309, 282.3193714784793, 36.28540819332056, -104.88019508948992];-3.525794404379;0.007348830520752192;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2018-02;2018-03_2019-02;AP;glp;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 200, 'depth': 5};12;12;89.0113562671341;0.02383163159216572;90.9090909090909;2.004046354801412;351.4037007675087;0.8199287049132573;2555.40685269984;2545.7911332217795;2558.042054998226;2550.1268253794037;2547.172625316242;2554.1970625820645;2543.1620487204927;2550.2872497647386;2543.301627134593;2554.575882308423;2543.9868037806104;2540.82324713262;[141.46633530016015, 101.42625777822059, 188.57569900177396, -7.833347379403676, -1.5657413162421108, 21.07829941793534, 20.368748279507145, 35.38847523526147, 7.817937865406748, 150.94404569157723, 26.804863219389517, -58.96092813262021];-3.581311126315599;0.006128536326501633;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;True
1990-01_2017-02;2017-03_2018-02;AP;glp;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;105.2255383779372;0.030491383150703506;72.72727272727273;1.6372174023402055;1244.4037956914208;0.5730619728717323;2542.966081982995;2524.032303509982;2522.5094279628715;2494.54199681564;2484.8406815712133;2529.727476913665;2453.957315588817;2495.723275766577;2492.1827069026185;2555.568284291936;2474.289782347424;2482.7593510988154;[140.16167101700512, -81.20983950998198, 283.2133980371286, 56.48386018436031, -22.699377571213063, 61.37046908633465, 24.24506241118297, 79.38230423342293, 52.22354109738126, -43.88676429193583, 31.15043465257577, -80.2104380988153];-3.5243833521266965;0.007382520138537259;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;True
1990-01_2016-02;2016-03_2017-02;AP;glp;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;128.27432620938606;0.04161885338563858;72.72727272727273;-1.701320336019509;1517.6508056947555;0.6742765711193451;2535.0438280441494;2533.891435112476;2543.8892210249314;2527.541002299237;2541.9670849243935;2568.0558105650575;2547.47669541231;2551.2117083016474;2556.603601122584;2570.8701593447463;2583.4411658286826;2550.3719965837568;[46.94167895585042, 0.309651887524069, 45.172372975068356, -50.28375629923676, -155.79679492439345, 36.2304214349424, -37.730318412310226, -130.89830230164716, -108.8155581225842, 236.18418865525382, -168.9665278286825, -224.4154745837568];-3.3860687459639593;0.011443054701649406;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2015-02;2015-03_2016-02;AP;glp;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;119.2327324307895;0.03687520957832261;63.63636363636363;-0.8049740473327525;1879.9131156371657;0.7593039029568646;2579.183295418948;2544.051546977675;2547.8686818412125;2542.218208933206;2545.7454285551607;2575.440686686483;2541.0906787601566;2599.0528712259907;2579.0626894592424;2599.49915480369;2586.347007019265;2563.609245754103;[78.61199458105193, 128.587946022325, 25.654869158787733, 7.395921066794017, 28.212904444839296, -30.297570686482686, -38.75009876015656, -33.493088225990505, -246.4938484592426, 162.2218591963101, -196.11874601926502, -131.50960775410294];-3.108893716583253;0.025901976464047266;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;True
1990-01_2014-02;2014-03_2015-02;AP;glp;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;125.43506985561018;0.04065806919461895;54.54545454545455;2.381209276853624;2471.8712499096964;0.9732596914854487;2511.502618185087;2489.382036490033;2482.959441667277;2476.681533310026;2464.4717323662276;2479.693839638788;2474.7533447112687;2494.580927653067;2510.833533267161;2523.434777909264;2540.620862971254;2544.8460943075847;[103.56078781491306, 84.28644150996706, 156.5061383327229, 1.8981766899737522, 99.82899263377249, 117.54710236121173, 13.60716228873116, 195.83936234693283, -119.95853326716087, 225.47283109073578, -9.704195971254194, -137.24826830758457];-2.875046237122649;0.04832768305277674;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;True
1990-01_2013-02;2013-03_2014-02;AP;glp;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;158.19546407906316;0.05312241602999526;63.63636363636363;4.725118454021965;2495.4079382836126;0.8604119674449051;2425.5182300072784;2384.575907934975;2384.179616981956;2386.0449450962224;2373.2997243556765;2416.807473192283;2374.5844992553925;2423.2590688715354;2371.821095703591;2405.2352201397275;2399.5457629631737;2331.993086913848;[57.59046599272142, 256.96297506502515, 135.80987601804418, -91.32365109622242, 159.39955064432343, 158.71064280771725, -13.198629255392461, 10.13325712846472, 188.99723529640914, 251.3446908602723, 213.23684603682614, 94.55401408615216];-3.285817715731732;0.015524448283071207;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;True
