train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;glp;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;91.93954519689825;0.027315865873604833;81.81818181818181;-2.4751284437040697;725.138726111389;0.8588580740884836;2524.5082212661478;2498.9957585496113;2530.595549965627;2517.8765747647153;2597.5156658216915;2534.751822411622;2460.0810492201845;2500.4938079940125;2492.059040843752;2608.1286304204446;2484.8949894259135;2464.944348300653;[3.560619733852036, -191.04285954961142, 10.004088034373126, 11.063642235284533, -103.94863682169171, -10.753634411621988, -22.633585220184614, -13.394169994012373, -153.939475843752, -44.90580442044438, -59.36419242591364, -154.43891330065298];-2.4828521263002576;0.11970253018432825;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;RR;glp;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;92.2032619351175;0.03316101626579764;81.81818181818181;0.32716090554685845;727.4974635719421;inf;2425.3981175892272;2378.786563153508;2440.3574077183603;2417.4698912762565;2479.5787473002906;2443.8645280484675;2357.9522853485682;2404.7437795998117;2358.605595003172;2467.0873819685953;2337.4351467702754;2301.9805659890926;[153.9442734107729, -144.25576615350792, 43.6752012816396, -41.88655827625644, -114.56968930029052, 96.57568895153236, 43.799526651431734, 17.475423400188447, 35.006723996827986, 137.85645903140448, -73.20688577027522, -59.83926198909239];-2.439999883349007;0.13076344542570917;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;RR;glp;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;77.86491446382963;0.027875546521231354;45.45454545454545;1.8620802039258488;1840.6799090698855;0.6759586375276257;2272.4294557842577;2296.9435557956467;2373.806603408494;2335.0477009875913;2408.3235495999747;2418.4754756945313;2307.492789519605;2295.856003184952;2265.639347137522;2380.0434668200214;2236.4476729762023;2220.694574403702;[169.7426452157424, 83.46767620435321, -59.281241408494225, 62.740342012408746, 59.84674040002528, -55.56243269453125, 51.9872824803947, -5.678467184951842, 71.52369586247823, 107.07428717997846, -15.594411976202082, 57.426802596297875];-2.464539290248706;0.12434237772629009;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;RR;glp;DeepAR;{'context_length': 36, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;203.41699346193423;0.08068868046528165;72.72727272727273;8.143651193500297;2410.300354714238;1.293445066871024;2218.6925573205317;2062.843493462881;2140.669571634756;2108.3200067122702;2168.755961111808;2151.8667381456276;2088.8292724988005;2124.678722393628;2077.105561430589;2179.350929401171;2008.5869623432686;1987.8585731540445;[13.544761679468138, 211.37933253711935, 129.1655733652442, 215.72709428772987, 351.37266188819194, 121.20391385437233, 165.83014750119946, 228.15642260637196, 127.86545256941099, 219.2813165988291, 234.74999465673136, 226.28635484595566];-2.190888213755838;0.20956911539942663;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;RR;glp;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;79.42554506368042;0.03454275012301295;90.9090909090909;2.594267982189233;313.9809791918984;0.2513082645879285;2075.198567832218;2045.157270945611;2075.927209306102;2068.933452215998;2148.1026817485717;2096.6048828313305;2022.1209958615336;2058.8500216157004;2005.2880570920395;2126.370986296504;2025.8043307655514;1971.3352690747777;[-74.21487183221802, 86.54743905438909, 102.91155869389786, -40.12729321599795, 102.00057925142846, 95.31721816866957, 75.81197513846655, 74.79852938429985, 56.967377907960554, 121.35546270349596, 22.478278234448453, 34.52886092522226];-2.2729943026275605;0.18082580571674506;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;RR;glp;DeepAR;{'context_length': 36, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;111.01552333058272;0.04821844132503487;90.9090909090909;4.876433700505632;439.51801419751496;0.3273039179382305;1985.331707737622;1985.7619201110017;2012.9148619001608;1984.3899894627766;2094.1394486730114;2039.30978979444;1969.5526738589763;2026.075894537873;1945.9610672578383;2066.6082147751413;1928.7780827999486;1893.684894013085;[110.62481426237787, 37.31235488899824, 200.71919609983934, 74.9668945372232, 96.3659863269886, 135.1050652055601, 62.71725414102366, 157.87700446212693, 75.83422274216173, 108.81388622485883, 67.50996020005141, 99.034308986915];-2.1826638370485787;0.2125975399056445;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;RR;glp;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;90.50913921181935;0.03962680601281345;45.45454545454545;3.732035356007754;2140.2129923712046;0.1726882102059235;1940.9771639410255;1843.1304059804086;1933.577162569351;1859.5447004058094;1953.9980427454757;1920.9632333810466;1846.3508356042068;1892.8613004610577;1820.0666859085336;1967.1611013566908;1795.4468550144632;1815.5464139991186;[100.78743305897456, -32.057941980408486, 33.00979443064898, 167.92527559419068, 51.449421254524395, 105.59114061895343, 123.25828639579322, 21.627675538942412, 116.13011209146634, 64.90432064330912, 100.89191298553692, 22.21807900088129];-2.1466420259921386;0.2261776507495586;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;RR;glp;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;70.15436424874875;0.030763264352211727;45.45454545454545;1.8735129297174988;1658.6282470960239;0.10871722123029691;1827.124840540914;1804.7534881433307;1858.4710537705182;1851.4481697872056;1956.8107631715902;1860.9596094780406;1811.7419381982265;1845.9864320093516;1774.432672649518;1884.599710583414;1794.665731049893;1752.8627683523723;[58.75921745908613, -3.503488143330742, 38.4745982294819, 52.23842421279437, -47.37779217159027, 66.13459352195946, 152.19103280177342, -58.45201200935162, 75.90609535048202, 106.213695416586, -31.763557049893052, 11.677086647627675];-2.051862581101163;0.26430591070923526;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;RR;glp;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;54.02908833387686;0.02363382571390218;72.72727272727273;-0.5777362536744443;638.8851545592628;0.07048916512708865;1848.6652509121088;1767.5874221190531;1821.9946594567268;1788.1801677956157;1859.8276596889907;1833.1491638161365;1771.4612928681852;1839.2346700136713;1844.2567058324212;1927.772283069227;1800.1026735253033;1767.3509366447477;[-57.71235191210894, 2.2495348809468396, 44.41476054327313, 57.142296204384365, 25.773789311009295, 29.513879183863537, 25.977113131814804, -49.14952501367134, -97.40706783242126, 3.667933930773188, -111.03020952530323, 0.9371063552523538];-2.044559965926981;0.26738312404471376;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;RR;glp;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;124.69589045437405;0.06529460292166936;81.81818181818181;6.497294698956535;985.7651728076876;0.18372372103606946;1653.191974813583;1646.7580495627;1694.312771400336;1694.932046955046;1727.6453101844618;1694.888307927691;1677.0927299395116;1671.067476645671;1604.0288740012643;1710.4179279342807;1572.9305178779175;1547.419803773162;[106.92759018641686, 92.62419643729982, 99.37925759966402, -9.752698955046071, 159.88367581553825, 104.99575007230919, 157.18444406048843, 158.38179835432902, 78.85518399873581, 172.75236206571935, 135.6165831220826, 125.5892542268382];-2.05840882681455;0.2615639580625813;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
