train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;6210.854724916724;0.0363051289778617;81.81818181818181;2.8474882709038978;48995.7238159977;0.9414594592714388;101822.93218210648;97986.84651945024;100707.02985184606;105440.9429658044;111403.74064003261;112340.26193452757;109995.5657211169;109640.44565585649;100660.47600247107;95900.99426122106;88375.78509658565;92152.94791898149;[18174.06781789352, -360.4465194502409, 6354.770148153941, 1207.7570341956016, -4251.34064003262, -1394.6619345275685, 642.4342788830982, 3989.0543441435148, 6282.123997528935, -32.89426122105215, 3208.9149034143484, 2126.170081018514];-4.168508315294512;0.0007446142251015659;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;TO;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;8000.162802240032;0.06611123667132916;81.81818181818181;6.793244149604528;63214.48865828707;inf;94597.87623981225;93752.27689314558;100075.2618384144;99218.5786684144;105397.4602712101;105365.46536136635;102190.58073034989;103290.15632830687;98604.13543610257;92495.46646462407;84340.51275838751;89548.84619736602;[10125.723760187757, 2699.5231068544235, 5061.038161585602, 7309.521331585609, 8900.995728789901, 11084.93463863364, 9589.11926965011, 10475.143671693135, 4273.064563897424, 493.5335353759292, 3024.6872416124825, 12154.653802633984];-4.09318874595634;0.0009939391229858796;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;TO;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;11442.185354102325;0.09444976816146185;63.63636363636363;9.219228248903876;180637.14350493724;2.015474566786225;93070.32384425448;90734.6206443656;89721.01072669892;90425.24149964337;100752.54540099105;104715.59729513082;103344.9966094767;100685.7682273656;87427.52757625448;84826.4900869767;79975.92713914337;78094.23219969892;[19083.246155745524, 8153.129355634403, 10711.489273301078, 12119.458500356632, 11182.354599008948, 3782.9027048691787, -2333.8966094766947, 7161.33177263441, 12179.372423745517, 6533.9099130232935, 1389.472860856622, 22130.867800301086];-4.053908679358808;0.0011531008984725115;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;True
1990-01_2020-02;2020-03_2021-02;TO;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;16231.721005483758;0.1369234827997663;72.72727272727273;13.115064496449927;192651.48123285055;1.3957820423641303;91527.00655164768;84603.2613736017;86208.96529857296;85661.58191354421;85648.59571272046;84298.48798249825;80461.59645819939;82324.67571880284;79956.64861636031;76984.86380704997;71738.22140052698;78753.22016647525;[72.36344835232012, -6891.161373601688, 217.73470142703445, 8624.058086455785, 21649.15428727954, 19371.332017501758, 23563.553541800604, 29169.694281197153, 19954.421383639696, 14326.256192950023, 10923.548599473026, 8180.4098335247545];-4.000480181468364;0.0014079989681360405;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;True
1990-01_2019-02;2019-03_2020-02;TO;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;11662.968868926668;0.11448990958114474;63.63636363636363;11.590738391886466;184224.13441839782;0.5525315123388301;82406.23308567477;74358.21350543668;75497.33296121049;81389.55325365097;80667.75742639933;77621.47439369817;77942.91640555572;79438.27199912716;78003.61682680572;73030.97443353191;64995.956779603344;69093.41767930573;[297.1369143252232, 7481.618494563314, 11105.087038789512, -762.1632536509715, 10059.622573600675, 17313.455606301824, 12138.243594444284, 18994.908000872834, 11827.983173194283, 4690.7355664680945, 9919.403220396656, 16820.742320694277];-3.8021409230715983;0.0028854863480591133;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;True
1990-01_2018-02;2018-03_2019-02;TO;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;10314.544328388869;0.11402611320667011;54.54545454545455;8.122611195170098;203526.46370192923;0.4094576961094356;75205.6747174436;74574.89273353928;76271.52587486643;74841.76369079236;76346.05131783382;77879.87288813143;78260.54038199606;83442.65875512878;81389.51919881706;75424.8685161936;66592.51239631706;64427.924216440515;[13670.695282556393, 9827.882266460714, -15171.550874866436, 13062.166309207634, 7220.22768216618, 10973.647111868573, 3787.3306180039363, 6972.861244871223, 6490.473801182947, 720.483483806398, 5607.16760368293, 16816.765783559487];-3.725013433849271;0.0037747623016605386;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;True
1990-01_2017-02;2017-03_2018-02;TO;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;11337.41151844786;0.1287861433986783;81.81818181818181;13.282619506075172;89892.22359075189;0.3898477076639283;70177.21839583393;68287.91829410316;67612.60284673136;67434.52298852624;68196.73165556327;69391.06452417438;67778.41198599419;68812.76667843008;69570.39048339803;66642.0335150006;62976.84280628264;64251.613013462134;[16045.656154166063, 3486.6844458968408, 10471.018703268637, 9691.227021473765, 11976.95017443673, 15081.077305825616, 12584.412114005812, 15101.27287156992, 14507.844166601964, 7993.276134999396, 5988.396193717359, 1314.3979865378642];-3.574000262032216;0.0062779890107542095;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;True
1990-01_2016-02;2016-03_2017-02;TO;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;3210.421077524526;0.034022522247794285;54.54545454545455;-0.7861286844680451;63236.74365925642;0.06967686758139886;71300.60355479935;72932.50580091603;72486.72920838269;71587.15042644936;72188.10670210577;72071.44727140064;73708.77837301603;75821.67106974935;72209.30573011603;68085.64301108269;61476.521640666026;61573.85752381603;[6710.8764452006435, -776.9058009160217, -783.3792083826847, 749.1495735506469, -1012.7567021057621, 2024.2527285993565, -5487.428373016024, -5583.971069749357, -2557.505730116027, 674.7669889173121, -1560.902540666022, 1009.3797561839747];-3.73275275429958;0.003675345984945965;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;TO;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;3946.60248148797;0.043399008080421776;63.63636363636363;0.821661082484845;62217.72204638647;0.09784153174560026;72745.2230015757;72032.5074384507;72280.53441039514;72439.5352897007;74949.93542697292;77123.72744650625;76472.3336226868;78774.9954940757;76077.09058560347;71419.48224025626;66528.30776178403;63820.07728199236;[4200.457378424311, 4554.9925615492975, -548.8344103951385, 2195.142710299304, 1532.0745830270753, -2747.093066506248, 134.12450731320132, 5463.542725924301, -1587.3874456034682, 1888.287259743738, -9699.807761784032, 1860.8127180076408];-3.835704302664289;0.002562425905907235;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;TO;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;5561.368774194678;0.05977210439914935;72.72727272727273;6.125315422651157;65821.28164515606;0.16168959763727145;68846.83944897972;68205.48915484929;69359.55733300146;70006.94005669712;72623.35821700207;74966.86447109928;75001.4658353203;77546.30988318262;76404.15272687827;71145.934290429;64058.94889350871;61574.19437655219;[1894.93355102028, 4777.560845150714, 6455.653666998536, 2301.989943302877, 8116.194782997933, 4613.245528900719, 7473.384164679708, 11056.740116817382, 1815.4972731217276, 4553.765709571002, 2869.1472464912877, -482.64437655218353];-4.144986366414366;0.0008153524462050587;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
1990-01_2013-02;2013-03_2014-02;TO;oleodiesel;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;9774.342428874063;0.13082540047086275;72.72727272727273;13.166088089509994;115984.73658675059;0.29461317086411976;60291.2902048137;60301.507180003086;60879.52233108263;62112.553654719;65367.97008633708;67500.95196334795;66978.63705827961;67891.90810977582;65389.71854252203;61826.82347630991;57120.770318487936;56955.14394932127;[9620.4097951863, 11698.976819996911, 9523.52766891737, 6059.444345281008, 7716.329913662921, 10280.448036652044, 7644.412941720395, 13119.991890224177, 13372.681457477964, 8340.363523690095, 6733.6796815120615, 10004.356050678733];-7.418860844565578;6.820175963563462e-11;1;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;True
1990-01_2012-02;2012-03_2013-02;TO;oleodiesel;DeepAR;{'context_length': 36, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;9507.507722015978;0.13944938905715643;90.9090909090909;14.078284559523782;38000.749687946285;0.23370162787579438;53221.071230291906;54235.427482752224;55907.930561045876;56904.45386132365;58501.751641621275;59510.321965598545;58528.73665981572;59754.1156336054;58920.298962871275;56052.41637513318;51268.795822494285;49632.51183469667;[9738.854179708098, 5964.393497247773, 8879.581608954126, 8148.437868676352, 6799.447878378727, 11781.858074401462, 6262.490380184281, 14566.241066394607, 12132.06990712873, 9624.211854866822, 7783.6041775057165, 8497.838165303328];-4.23343020297423;0.0005781110796838507;10;254;-3.456360306409983;-2.8729872043802356;-2.572870232500465;True
1990-01_2011-02;2011-03_2012-02;TO;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;4153.364785795888;0.06616928915228205;63.63636363636363;6.650994301597992;65518.579527133414;0.08447694575510449;51312.2672307877;50362.94207064187;52121.469588079366;53652.849863433534;55777.36377692758;57783.05277365377;58666.00164595436;59806.1586804752;58516.295380329364;55966.817540558535;51570.1957169752;49447.456825933536;[4376.204509212301, 4366.519959358135, 6271.293191920631, 3994.0090265664694, 4413.84109307242, 5846.517836346233, 2916.6432240456343, 3781.641919524802, 1751.3018396706393, 4799.799689441468, 996.6793230248004, 3152.219454066464];-4.167987247218471;0.0007461168119636984;10;242;-3.457664132155201;-2.8735585105960224;-2.5731749894132916;True
1990-01_2010-02;2010-03_2011-02;TO;oleodiesel;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;7456.070317100291;0.12455059450202911;36.36363636363637;12.663013831411154;205860.207964462;0.14618809490229323;49026.4513232447;49446.74395122716;47975.07532170961;49639.064498398206;49636.97571655391;49758.36245167891;50786.22880423154;51600.218598464;51064.96034883681;49589.05818247716;44886.74730760873;43481.98458931926;[7813.2956867553, 3368.5271887728377, 6862.261248290386, 5682.321661601796, 9934.021563446091, 10551.49716832109, 9382.230925768461, 7082.034541535999, 7934.434421163191, 8291.947277522842, 3125.1457923912676, 5065.897580680736];-6.8514257136421355;1.690405593271382e-09;1;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;True
