train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;querosenedeaviacao;DeepAR;{'context_length': 36, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;630.121542643393;0.22315677352568605;54.54545454545455;22.53335814187932;12467.582167441042;1.9458722109559552;2200.073;1901.6313;1998.3423;1963.3102;2084.6643;2061.2937;2042.865;2079.3306;2085.2087;2246.462;2266.856;2063.9382;[378.6050019531249, 867.9306523437499, 552.84071484375, 552.4728193359374, 588.5736933593748, 966.6382988281248, 566.9180097656249, 742.6234335937502, 661.0202597656248, 436.01208593750016, 575.4280429687501, 381.139767578125];-8.260591017767624;5.096029226165085e-13;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
1990-01_2022-02;2022-03_2023-02;ES;querosenedeaviacao;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;833.7412959781276;0.3005565997716855;54.54545454545455;30.43489692234509;16524.448755158544;inf;1861.9602;1639.7736;1489.8398;1232.2103;1157.5647;1136.5637;1295.005;1658.5602;1898.8268;2215.895;2307.6194;2047.6094;[168.83179492187492, 347.5694404296876, 662.2621562499999, 826.0776728515625, 1301.306302734375, 1372.818279296875, 1267.0109951171876, 1003.7788193359374, 670.3492177734374, 248.86098046874986, 389.14261523437517, 466.41362500000014];-8.189345254990737;7.743362951280418e-13;1;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2021-02;2021-03_2022-02;ES;querosenedeaviacao;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;367.3110048862532;0.1666758068384466;54.54545454545455;10.759018791229284;7259.350905918125;0.5622575232289078;1239.3773;1338.12;1398.1377;1385.939;1362.7322;1376.833;1519.6638;1932.2954;2423.1367;2726.1853;2188.943;1605.2802;[58.02768066406247, -408.97399511718754, -60.59169531249995, 292.89903515624997, 626.276822265625, 536.6689921875, 573.7541816406251, 525.8105898437502, -54.54971875000001, 19.16669726562486, 137.00588476562507, 225.6098486328126];-8.075148480937068;1.5124957403460825e-12;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2020-02;2020-03_2021-02;ES;querosenedeaviacao;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;859.2156934971163;1.034394483922358;81.81818181818181;-52.15765162518028;7157.5608198895;0.6468269728767406;1792.4736;1748.0156;1755.0747;1733.2379;1981.5533;2040.6934;2107.4353;2124.4478;2093.1614;2097.8782;2030.2345;1640.8005;[-517.2106328125001, -1393.909625, -1214.34970703125, -1088.2709150390624, -1170.1883447265625, -1062.2923593750002, -992.135302734375, -596.43675390625, -139.6953769531251, 329.2748261718748, 55.23750292968771, -143.82853710937502];-8.19216590946642;7.616231054947542e-13;1;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;True
1990-01_2019-02;2019-03_2020-02;ES;querosenedeaviacao;DeepAR;{'context_length': 12, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;339.33421400304974;0.11757734154624495;63.63636363636363;9.02734474324616;5362.25588653477;0.6541897746641528;2192.322;1760.5219;2003.7812;2002.2137;2059.5066;1848.9803;1685.524;1665.8217;1916.5315;2116.5317;2109.0664;1669.3887;[-157.7220214843751, 510.27214941406237, 137.52874999999995, -210.59474511718759, 841.9924082031248, 340.0656533203123, 269.62695214843757, 286.93034472656245, -62.38849414062497, 15.016261718749774, 153.47559374999992, 161.1153281249999];-7.897576906935001;4.269935918641035e-12;1;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2018-02;2018-03_2019-02;ES;querosenedeaviacao;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;495.36074022032545;0.2104753686891713;36.36363636363637;-19.138658676351305;13700.786596055617;1.4943217608087178;2433.9492;2104.2976;2506.9963;2431.8105;2790.3389;2864.3862;2775.4607;2372.6467;2675.8228;2565.479;2578.5752;2174.8926;[-730.0602187500001, -231.23760742187505, -967.5663378906249, -462.6025468749999, -476.7388671875001, -736.6412304687501, -568.5156933593748, -25.023728515624953, -143.75375390625004, -131.57800390625016, -206.88919531249985, -182.77057812499993];-7.7211226605792325;1.191882346715315e-11;1;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2017-02;2017-03_2018-02;ES;querosenedeaviacao;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;488.06882435380317;0.17936909492820774;72.72727272727273;6.273223402162243;5803.844303835345;0.8199377803062662;2087.1797;2502.0396;2654.027;2312.509;2325.8557;2509.6694;2443.4097;2269.9316;2404.3342;2566.286;2625.099;2333.6106;[885.5353125000001, 150.76544921874984, 248.7819003906252, 248.653966796875, 328.46428710937516, 319.22356640625003, -53.28666796874995, 443.79635937500007, 445.5157714843749, 426.9481113281249, -676.87012109375, -824.2575957031249];-7.647116128413648;1.8301516837947354e-11;1;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;True
1990-01_2016-02;2016-03_2017-02;ES;querosenedeaviacao;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;752.1614757453718;0.2934914192767493;81.81818181818181;-26.78104780167493;6019.635342661244;2.4688341723919742;3329.355;3178.7852;3202.6885;3209.151;3158.0664;3036.7437;2884.8066;2801.5283;2930.2961;2936.4294;3181.103;3332.7422;[-689.24098046875, -1410.71715625, -1117.8774765624999, -891.64187890625, -436.71340624999993, -669.79965234375, -631.0556406249998, -585.6373203124999, -234.2341425781251, -137.04844335937514, -155.3870273437501, -894.8551874999998];-7.610272692483171;2.264833050667546e-11;1;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;True
1990-01_2015-02;2015-03_2016-02;ES;querosenedeaviacao;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;866.2884823993103;0.24462035427911813;72.72727272727273;-22.35305302737025;10325.028865548893;0.7790967213676371;4245.354;4365.74;4507.187;4134.9785;4292.83;3988.66;3912.2424;4228.0366;4069.0042;4103.53;4074.6213;3654.8264;[-1009.28900390625, 88.93476562500018, -1354.5470117187501, -1359.038515625, -973.6100781250002, -1083.9509121093752, -577.3424316406249, -846.12162109375, -343.8461503906251, -259.87278515624985, -522.3973378906248, -816.2944160156248];-7.291224898593146;1.4155296916043684e-10;1;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2014-02;2014-03_2015-02;ES;querosenedeaviacao;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;675.912843665865;0.09569136367527575;72.72727272727273;9.4130447192958;8011.287263103355;0.3110854984166252;3433.2917;3426.5598;3410.3262;3309.042;3411.7815;3439.4805;3468.366;3337.783;3271.2717;3319.202;3258.6943;3164.5266;[29.375251953124916, 20.436185546875095, -49.773171875000116, -244.2669921874999, -46.64849414062519, 134.84853125000018, -20.506966796875076, 88.44704101562502, 510.2812714843749, 1036.905095703125, 1777.8076640625004, 945.5743886718747];-7.2276448416901875;2.0332548525015274e-10;1;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;True
