train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;glp;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;990.4923943312723;0.033627614772146396;72.72727272727273;2.2191560317380086;11711.977716624948;0.7980326278169617;21966.104;20611.879;21858.18;21502.184;22572.379;22558.05;21530.078;20733.594;19486.941;21324.15;19543.293;17992.53;[-309.73576562499875, -686.7158662500005, -405.4532375000017, 622.5283662500005, 152.60116375000143, 164.4945087499982, 15.0504949999995, 298.41168000000107, 1763.7687337499992, 386.7970693749994, 2285.5892812499987, 1424.5775831249994];-4.990226606086062;2.320310988599367e-05;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;PB;glp;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;825.2592284380061;0.03202908066126231;90.9090909090909;2.950452229014119;3260.187312541757;inf;20445.41;19011.305;20121.459;20481.479;21884.768;20897.996;20174.967;19960.393;18866.982;20473.213;19334.355;18269.387;[698.2800637500004, 56.17901250000068, 355.9667356249993, 228.92547437499888, -407.5085181249997, 1440.96948625, 974.8774031249995, 378.3157518750013, 694.6643181250001, 1485.3921793750014, 1201.2514112499994, 186.66763124999852];-5.204274192982689;8.617137567910587e-06;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;True
1990-01_2021-02;2021-03_2022-02;PB;glp;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;934.1556059260852;0.041319015056499674;90.9090909090909;-3.7097776054272558;3694.1602708385885;1.0260378923340827;21544.371;20757.02;21192.59;22222.9;23085.27;22313.158;21365.307;21384.955;19828.441;21255.328;19213.3;17780.723;[-129.9363137500004, -806.0865612499983, -458.48477374999857, -737.1540106249995, -1051.5521412499984, -1182.658203125, -995.772220625, -1562.8934881249988, -1024.4232862499994, -1321.3081950000014, -247.96926125000027, 506.03277375000107];-4.860392092127507;4.1623858345443277e-05;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;PB;glp;DeepAR;{'context_length': 12, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1244.702530821059;0.05217341547560009;90.9090909090909;5.298830628218614;4928.070898344847;1.42730391734303;19916.266;19634.264;19658.762;21529.143;21693.754;21472.81;20746.926;20502.238;19748.047;20026.088;19171.168;17885.648;[1789.8322049999988, 1010.3232881250005, 1837.2926312499985, 1028.9751718750013, 1486.74609375, 1221.9992331249996, 706.6883487500018, 1038.4754887499985, 140.66326499999923, 1840.5081193750011, 1042.8447112499998, 395.4856225000003];-4.562879040885315;0.0001511238794635906;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;True
1990-01_2019-02;2019-03_2020-02;PB;glp;DeepAR;{'context_length': 24, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1608.3313723835145;0.06459809509341595;27.272727272727273;4.593875189599289;50696.32499942848;1.7579941163552755;19335.594;18477.174;17930.945;21889.334;19966.057;21424.76;19673.06;19128.512;19143.852;19050.984;18740.873;17814.396;[47.371830000000045, 1215.8913918750004, 2659.4894674999996, -2380.9626043749995, 2213.0792293749982, 88.93226437499834, 1302.2927131249999, 2365.07886125, 641.1484375, 1859.5301150000014, 751.2972431249982, 435.5346756250001];-4.702372518150073;8.329341129040048e-05;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;True
1990-01_2018-02;2018-03_2019-02;PB;glp;DeepAR;{'context_length': 24, 'num_layers': 3, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1733.780793127324;0.06129425298563507;45.45454545454545;0.08903223634297795;40997.415528032616;0.920459237417086;21061.016;19024.414;21081.822;20988.87;21433.178;22228.168;20479.008;19773.096;19316.734;19609.97;18381.342;17894.785;[-1505.0464250000005, 934.7526074999987, -4062.9110356249985, 3516.0384693749984, -510.6324443750018, -829.2875387499989, -145.3139725000001, 291.90248687499843, 382.8308450000004, -145.72976312500032, 1477.5784931249982, 810.8199137500014];-4.4954591564539985;0.00020038847350573445;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;True
1990-01_2017-02;2017-03_2018-02;PB;glp;DeepAR;{'context_length': 36, 'num_layers': 4, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;927.3276441321527;0.03747085347812288;81.81818181818181;2.1911515192689137;7316.153022161242;1.2040703589237771;20400.342;19810.963;20105.102;20591.54;21435.621;21231.9;20657.785;19932.877;19891.285;20899.06;18978.785;18760.857;[1117.0886531249998, -786.9357206249988, 1366.8114774999995, 596.1590174999983, 588.4042662499996, 1756.8110593749989, 1153.3071837499992, 899.647486875001, -114.99477625000145, -529.086286875001, -7.576826249998703, -602.6635818750001];-4.30723450572469;0.0004315713960978753;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;True
1990-01_2016-02;2016-03_2017-02;PB;glp;DeepAR;{'context_length': 36, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1342.6305769253036;0.05441773842406066;72.72727272727273;5.399556443048736;15887.991463000117;2.280539561891216;19258.281;18951.395;18433.428;18866.2;20493.797;19750.691;19727.86;19364.701;18521.156;19954.344;18614.89;18103.186;[924.9977399999989, 394.3717687499993, 1820.8657456250003, 1795.1467912500011, -191.2823849999986, 2732.9825037500013, 798.9232349999984, 809.0778181249989, 1557.2712900000006, 1116.7921199999982, 1265.0822049999988, 105.87423312499959];-4.442879778641739;0.00024904671036636745;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;True
1990-01_2015-02;2015-03_2016-02;PB;glp;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;628.3218137604839;0.029088502470282298;63.63636363636363;-0.13489831516670153;9901.874944728737;0.7381563111896896;19666.43;20136.105;20349.889;19688.66;21705.107;21019.436;20992.79;20906.775;19261.568;20188.484;19838.771;18348.918;[593.0829924999998, -180.5040187500017, -870.0535318750008, 816.8072337500016, 330.0864181249999, 570.9865531249998, -439.8579024999999, -686.8985806249984, -413.7893693750011, 350.0844649999999, -1051.4091643749998, 655.3121012500014];-4.218316837053315;0.0006134058586732047;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;True
1990-01_2014-02;2014-03_2015-02;PB;glp;DeepAR;{'context_length': 12, 'num_layers': 2, 'batch_size': 32, 'max_epochs': 30, 'num_batches_per_epoch': 20};12;12;1479.0122583460627;0.05970989119464414;63.63636363636363;6.102421543098119;23327.583680382286;1.8312013169791472;18660.834;18875.838;19338.232;18477.477;20036.785;20397.879;18766.03;19058.223;18364.24;18647.363;19321.418;17549.867;[444.9123956250005, 529.9664593749985, 589.3472881250018, 766.0741574999993, 1822.9630337499984, 284.15189375000045, 2635.4525831249994, 1876.6668337500014, 1118.7959956250015, 2807.35229875, 1024.6834812499983, 884.5241124999993];-3.941718196553279;0.0017483978830284083;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;True
