train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;gasolinac;ARIMA;{'n_neighbors': 3};12;12;3448.7511184312193;0.05928105574008333;54.54545454545455;2.587065862978364;67969.37797188394;1.1120063263074653;31626.934788484577;37153.158312359206;36316.77945971266;37667.56033552186;39831.56819408246;42372.64600247128;40686.152837468944;43642.93809942446;39053.00518822322;42003.43065195211;38299.666510821844;38529.0121526901;[7568.708211515419, -809.7083123592092, 7143.970540287337, 657.8896644781344, 727.8818059175392, 126.40399752872327, -91.01083746894437, -3386.7380994244595, 491.3248117767798, 2223.169348047886, 1484.3844891781555, -3728.9621526900955];0.2226314213427804;0.9735027354351661;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;2848.7017584033288;0.06351526144501053;54.54545454545455;4.614023826080238;56148.872520704084;inf;32567.152179049295;33635.32330749437;33908.36731854994;34484.9246921237;36451.64635701609;39184.263908060835;40621.47465044094;41448.653430359525;40240.886305053704;38256.16857966298;39447.58671387103;35642.69345803827;[3313.3978209507077, 2487.5266925056276, 3632.082681450054, 815.6773078762999, 3006.1546429839073, 2756.7380919391653, 1525.9253495590601, -207.35343035952246, 741.6136949462962, 5374.231420337019, -3780.769713871028, 1903.3875419617252];-0.1887550801304819;0.9398487758212937;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RO;gasolinac;ARIMA;{'n_neighbors': 9};12;12;4179.266650276691;0.0995363036588575;54.54545454545455;2.232273394240368;82440.06680758514;1.4576136025612962;32928.1212218613;29521.11150092679;30867.524735078638;31650.20613811011;34486.860143116486;36026.99943517877;38983.05090810319;40476.688012435116;41061.16613968985;39882.38046321563;36651.39744530064;40047.57015308669;[238.52877813870145, 4659.038499073213, 5058.418264921362, 5638.993861889889, 5396.489856883512, 4101.950564821229, -756.2509081031894, -1364.3880124351126, -4953.616139689846, 1582.469536784367, -2895.547445300639, -6829.170153086692];-0.45591357462386606;0.9003363653320512;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RO;gasolinac;ARIMA;{'n_neighbors': 5};12;12;4263.475278972602;0.10815271518564577;45.45454545454545;-6.125408042129917;100900.70756721757;0.9521565245129883;36567.91613941991;34635.61144324081;35799.46361712045;35261.24078623971;36077.374336340676;37619.729338098754;40323.59552049666;39216.9861745714;40015.22327283642;38749.450595741015;36813.65869073616;39311.28152163522;[-4393.170139419912, -5485.1414432408055, -4862.463617120447, -3014.89078623971, 529.3256636593214, -1596.6293380987554, -1590.945520496658, 2442.8188254285997, -2186.723272836418, 5892.099404258988, -3003.2086907361663, -8727.031521635217];0.027441232897075656;0.9607434719795528;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RO;gasolinac;ARIMA;{'n_neighbors': 7};12;12;2499.477082667663;0.055631893313601015;27.272727272727273;2.282199081829985;78775.07718164245;0.9989079749956921;35582.83846415097;33055.694732623;33853.75935780161;33881.81247061777;35069.29938653757;34972.25057423832;38341.629096191464;38143.97336802886;38938.41306820742;37814.08436971517;36394.061301238624;37331.17810241837;[42.36153584902786, 3341.4052673769984, 2387.090642198389, 720.8875293822275, 4058.600613462433, 3690.3994257616796, -1398.4290961914667, -327.8733680288642, -2051.2130682074203, 3307.665630284828, -478.81130123862386, -3170.5181024183694];-0.17816998275435209;0.9410741656045447;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RO;gasolinac;ARIMA;{'n_neighbors': 5};12;12;2632.1052328121177;0.05899290310255043;36.36363636363637;-3.357641371437381;72597.45266184803;0.6441657422286089;36259.34754773327;32160.913514105854;35998.31823238173;34849.89690399454;35831.875299570995;37667.57550430135;40164.08378608797;38968.45468259542;39439.84460193678;37765.18820757153;36808.49932388176;37997.87739038595;[-68.4675477332712, 2889.0054858941476, -1874.1562323817343, -513.6969039945398, -298.27529957099614, 152.9244956986513, -4198.939786087969, -1330.9036825954172, -3190.113601936777, 2175.995792428468, -2806.2993238817653, -5357.844390385948];-0.06030970202311359;0.9532511309089351;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RO;gasolinac;ARIMA;{'n_neighbors': 3};12;12;2158.507002162944;0.04715715249308408;63.63636363636363;-0.3541294586321843;34032.48935639017;0.6065412794949944;31806.762719242717;36637.64117478587;34948.72023099486;37023.532913212955;37153.44958274956;38817.89452168308;41129.717879388976;39457.0698171411;35957.46434340264;38227.776139916146;33757.655177846;33489.10653896264;[4387.93728075728, -1427.2411747858714, 2794.4797690051346, -494.4029132129581, 408.65041725043557, -749.9045216830855, -3226.4178793889732, -2887.6498171411004, 62.06065659736487, 1911.4998600838517, -561.092177845996, -1764.9685389626393];0.30421404983890465;0.9775370005113797;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RO;gasolinac;ARIMA;{'n_neighbors': 7};12;12;2316.7436522779662;0.05432777308876934;72.72727272727273;2.189636104228211;27414.581042911756;0.6403233634649838;33268.536146001126;32006.802942175807;33908.03410851842;33436.41533295471;34775.07987689643;37028.34753109473;38419.28926826877;36877.77369669333;37937.05768434505;35754.373528089105;34498.00096274181;33535.391211801674;[2713.063853998872, 2535.1970578241926, 1545.560891481582, 1532.0346670452855, 1931.8901231035707, 1038.552468905269, -776.789268268767, 5.587303306667309, -2463.4316843450506, 5191.026471910896, -2196.9009627418127, -1621.091211801675];1.0933927462189321;0.9951598360024649;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RO;gasolinac;ARIMA;{'n_neighbors': 1};12;12;3945.721984745936;0.0937779881980554;54.54545454545455;-1.7037541553786273;77823.33074185757;0.764725473248315;29680.854486632154;30885.387171364422;34738.97440221449;33291.29926624297;36657.61699459653;36399.276566113156;37963.07237075785;43136.58378127766;39553.645122136215;32831.12114974344;37547.60744612196;31104.483633118798;[3135.045513367848, 2933.7228286355785, -1470.4744022144878, 1502.9007337570292, 27.59300540346885, -1041.7815661131535, -1597.1723707578494, -6306.400781277662, -6608.7451221362135, 6068.678850256561, -5936.607446121961, 2193.858366881199];1.601883564378548;0.9978632156608509;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RO;gasolinac;ARIMA;{'n_neighbors': 1};12;12;4237.735058194623;0.10901255153900725;54.54545454545455;7.57375372047972;83610.96052032335;0.7987489821658362;26772.929013156805;36703.13802027339;29457.468964902757;31655.555872367215;29064.9374746006;30924.54048453914;31526.49927252639;32883.34297318218;31530.329458136686;33126.66943789103;34200.78230451732;32128.36449235138;[2977.9709868431964, -4132.938020273392, 3708.2110350972434, 596.5851276327849, 6257.712525399402, 4366.157515460858, 6164.4007274736105, 5520.454026817817, 1071.970541863313, 5861.330562108968, 1867.8176954826777, -3123.130492351378];1.2466053288273231;0.9962925821519645;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
