train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;glp;ARIMA;{'n_neighbors': 7};12;12;583.0256206727381;0.051804451478223885;36.36363636363637;3.8866920250716266;16079.983139160538;1.1553346685331871;6354.077163774292;7229.787395189394;6828.330973965543;6958.980152664751;6995.049131001529;7092.407494965313;7136.337178764825;7152.984690882546;7215.83438221563;7045.1844629641;7564.848980563963;7300.2220879177075;[1616.997111225708, -369.2729021893947, 749.6400400344564, 534.0234703352489, 90.45992699847102, 583.3080850346869, -185.11797576482513, 194.92291811745417, -18.25286021562988, 220.4894500358996, 81.95174443603719, -66.95759491770787];-2.6216760251856694;0.08859951512365305;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;TO;glp;ARIMA;{'n_neighbors': 1};12;12;617.9411631813633;0.06366254911855819;63.63636363636363;5.284502394925234;9748.086934768176;inf;6080.952113438682;6523.348624059085;6611.682357336449;6691.0288710642335;6623.925677165062;6733.04729564144;6837.92107465376;6702.883738954255;6959.679564917236;6874.320860145862;7564.823165913286;7060.315510434375;[1550.1022345613173, 355.2582599409152, 566.2143816635507, 312.5780129357663, 73.34968483493867, 679.7045163585608, 80.26914234624019, 70.95321804574542, 671.6628260827638, 724.3168208541383, -395.17823791328647, -155.23761143437514];-2.857919518506362;0.05046477924869161;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;TO;glp;ARIMA;{'n_neighbors': 9};12;12;475.17349013188334;0.04705839536044862;45.45454545454545;2.824446147311036;11233.857120711444;1.2546079782783615;6076.01616242417;6802.0934157934735;6568.9653003367575;6651.0633472383415;6758.362410306142;6759.78586084726;6931.75115017865;6659.444731207757;6797.356108308416;6917.178918051222;7346.486621138597;6949.980641434583;[1361.7356495758304, 136.10223620652687, -61.56131433675728, 311.7536817616583, 339.36041569385816, 317.3264581527401, -276.6297731786499, 136.7020077922425, 162.35584869158447, 428.09463294877787, -462.51923013859687, -32.07303243458318];-4.3137093924113055;0.00042054657305258704;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;TO;glp;ARIMA;{'n_neighbors': 5};12;12;567.3982195551454;0.05846291718535981;27.272727272727273;3.0277840983222273;17884.614793794284;0.9431864404299795;5966.96702327526;6802.636639500823;6416.0308874875855;6552.641287591952;6516.54127812594;6735.947720666039;6720.040485557153;6798.443384716503;6666.442070624226;6756.467927919202;7029.117255466672;6817.347955003146;[1412.4695707247402, 133.40502749917778, 599.6647645124149, 225.838784408048, 900.39169287406, -157.07634366603816, -79.84483355715292, 52.82835428349699, -86.09424462422612, 390.80018808079785, -570.8110964666721, -330.6269410031464];-4.348594879001286;0.0003655834956768076;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;TO;glp;ARIMA;{'n_neighbors': 3};12;12;679.0059041456933;0.07756470164733993;54.54545454545455;1.682172419642325;13388.79487140598;0.9735995921693232;4942.312091708367;7149.450203533332;6078.517322651683;6231.715393990811;6668.443660628946;6966.29004390026;6483.3272486082915;6253.127468429161;7159.1335161183115;6699.289988236071;6828.152127182453;7300.641724941127;[1622.4904442916331, -300.52629053333203, 723.037025348317, 89.66866400918843, 14.665035371053818, -206.0020009002601, -315.0337706082919, 855.0881115708389, -728.6063421183117, 294.53247576392914, 169.72106081754646, -871.4804929411266];-3.118511581363963;0.02521323535745944;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;True
1990-01_2018-02;2018-03_2019-02;TO;glp;ARIMA;{'n_neighbors': 7};12;12;723.5344875713417;0.08352755382718635;36.36363636363637;1.8946994304934388;19965.719542706796;0.7954232577985595;5827.311928300071;6351.2065848533475;6239.322362567675;6204.333699435741;6339.439237446407;6312.816481887946;6623.531095085505;6595.183283679184;6598.210903424325;6687.458848646066;6940.137139252438;6953.959832984772;[1023.7188686999298, 512.9872561466527, -1111.9854055676742, 1599.5195615642588, -122.88307844640713, 699.7523591120544, -681.1941380855042, 194.36019432081594, 3.5427195756747096, -63.8845736460662, -353.97771925243796, -199.86562998477257];-3.1723010310733915;0.0216450382233477;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;True
1990-01_2017-02;2017-03_2018-02;TO;glp;ARIMA;{'n_neighbors': 3};12;12;546.552927188696;0.056115107747531;27.272727272727273;2.4290662484104883;17227.00104848266;0.6633323935857776;5818.794838778578;6323.128786508884;6359.066634395602;6250.7028344151495;6359.2663099872;6350.231279602908;6433.801883953495;6591.948501889775;6546.254038506938;6366.280184761379;6888.705641686179;6689.216350701392;[1565.256652221422, 99.5886044911158, 388.9333656043982, 370.32868258485087, -124.83696198720008, 542.276748397092, 30.204739046504983, -431.4656278897746, -35.493111506937566, 251.47302623862106, -343.9936846861783, -395.89026370139163];-3.1849825428406717;0.020870571517428122;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;True
1990-01_2016-02;2016-03_2017-02;TO;glp;ARIMA;{'n_neighbors': 1};12;12;554.5027341325858;0.0635058842058724;63.63636363636363;0.40369400124923893;8747.401861568385;0.6048509942416372;5588.571867385879;6126.474449070151;6235.255289423922;6333.351054421556;6250.368120401592;6385.443789874421;6515.898279154615;6348.038065164303;6668.130329941395;6561.321381336632;7436.741501597682;6794.57453625154;[1264.8919006141205, 269.4965649298483, 172.2573915760786, 168.8518445784439, -84.43877240159236, 549.3279491255789, -248.6066121546146, -144.40944216430307, -199.49083694139517, 223.90687966336827, -1054.9607045976818, -603.7321452515398];-4.161681944878013;0.0007645263154373744;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2015-02;2015-03_2016-02;TO;glp;ARIMA;{'n_neighbors': 7};12;12;592.7913769499395;0.07250081160150604;45.45454545454545;-0.7186237023259643;14021.38757009397;0.8221086253511307;6099.919680873192;6579.149011555941;6477.1800285064155;6445.246862106707;6568.434776062431;6569.37103029407;6826.441653118028;6800.757720571327;6803.501466843474;6884.3133650672935;7112.407223129428;7124.8557500692605;[1158.928145126808, 398.2296114440587, 23.6170724935846, 429.20422489329303, 484.1141369375682, 78.2720857059303, -318.67716011802804, -459.0059085713265, -586.9018288434745, 13.36054793270614, -1005.9271511294273, -788.0912570692608];-4.479073564159643;0.00021448811232733234;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;TO;glp;ARIMA;{'n_neighbors': 9};12;12;533.2784516637199;0.06890226929997127;54.54545454545455;4.55773780517622;10513.464240684325;0.9675527550128797;5794.195194470062;6398.705021998727;6233.7482721318365;6263.9959450682045;6268.323682169294;6330.149699572615;6482.418449648756;6516.452449797136;6650.066893128258;6612.790432983812;7038.337989102533;6929.757890678902;[995.3935735299374, 694.0866450012736, 399.24266986816383, 234.12724293179508, 562.4208828307055, 143.16370642738548, 310.94386935124385, 548.8518982028636, -273.6103711282576, 795.385292016188, -225.90501810253318, -482.27057167890234];-4.576791559495291;0.00014250852891226968;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
