train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;12312.372284939778;0.0742489216623007;100.0;7.634541265126452;395.8517099787309;0.9610839448447606;115222.25056174534;110733.62824383943;122476.79449175269;125890.45725087619;141688.6070464885;147924.46809634642;141800.5826164501;142699.94906490433;137742.40555446493;136660.6364053997;125045.2943370463;113826.37659732268;[18907.474438254663, 3942.585756160581, 17242.35650824732, 18440.420749123805, 10466.3469535115, 13787.313903653587, 8338.589383549901, 14288.432935095683, 12566.72744553507, 8606.494594600284, 855.2286629536975, 1642.5444026773184];0.8624131623315983;0.9925796702315728;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;MA;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;5104.014219874473;0.02788535491300391;72.72727272727273;2.1873896773541497;60337.49484867471;inf;111956.82315819144;113253.25706360764;117405.77935829954;124478.21608674138;137022.87392090505;145310.73170569408;138468.42939432332;138509.33851746857;133948.98774961836;130357.48384360794;119131.68093014265;112594.59621699703;[13824.500841808549, -1815.5650636076462, 5118.225641700468, 2579.297913258619, 2577.6960790949524, 2997.9712943059276, 7181.512605676689, 719.3444825314218, -418.0457496183517, 3784.0581563920423, -1244.2709301426512, -1258.342216997029];0.8897803748606248;0.9929554975962901;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;MA;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;16128.88724853276;0.11519151687772095;54.54545454545455;4.700778722192298;318261.9047563033;3.8325330965373094;97327.86365183939;106058.655706543;106096.55032350234;102579.84272530285;116023.49912112558;122103.83112193925;133342.0330160523;145672.6903969673;142721.7399401452;134337.70189811845;130002.44698969921;118278.5657188239;[23653.463348160614, 12945.197293457008, 16212.166676497669, 24563.645274697148, 21196.607878874405, 19913.97687806074, 4570.794983947708, -10620.039396967273, -11726.033940145193, -2996.320898118458, -18696.538989699213, -7269.258718823898];0.9382461440243596;0.993569690477931;11;361;-3.4485948978753314;-2.86957971128312;-2.571053050314224;False
1990-01_2020-02;2020-03_2021-02;MA;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;13965.861395932461;0.0953857002409822;72.72727272727273;4.793094513652647;165506.92632973663;1.123814497273901;100316.89810923823;105627.79006281451;100652.65770261468;103400.16973694174;111211.1791365595;112663.8537142893;121279.29955629302;128994.80304129756;125716.32923452437;127841.56677937799;125480.0483469226;111378.45625882992;[592.9058907617728, -12163.917062814508, -2860.970702614679, 16389.491263058255, 21264.4188634405, 23672.694285710706, 19043.182443706974, 17358.379958702426, 7624.527765475621, -3380.5907793779916, -8402.0063469226, -9937.141258829914];0.5901406194351742;0.9873700743975243;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;MA;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;8347.396286430234;0.056950008461028316;81.81818181818181;-2.172844852742112;65924.99797782791;0.41182282023840644;91115.15242493607;114878.45138442372;115598.7385296894;111500.89389149341;121467.10905812516;126039.03584607654;128839.98724837092;130976.14536528432;124974.19731685668;122684.34779672205;115752.51594971817;105508.03521938105;[10648.406575063927, -22115.01738442373, -3898.775529689403, 173.59610850659374, 7169.692941874833, 3493.909153923465, -8677.107248370914, -2011.1723652843211, -450.1513168566744, -4535.709796722047, -6757.159949718174, -3011.933219381055];0.6740512223591473;0.9893055331749103;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;MA;oleodiesel;ARIMA;{'n_neighbors': 3};12;12;10364.719914401443;0.06791137668032182;72.72727272727273;5.624320894540869;122707.10222763826;0.6538309516139916;89965.62853106817;105689.29113864929;108109.27058486536;107199.71224660418;114566.67446203632;120894.90953923261;115931.38788764825;120082.51725088971;119345.23067596985;116301.02640681039;110354.15459146342;99558.57970882299;[24158.866468931825, 1903.322861350709, -6606.148584865354, 10996.386753395826, 13826.433537963676, 10289.663460767391, 3624.8091123517515, 12878.228749110305, 6834.189324030143, 2034.1975931896159, -2645.701591463425, 1847.8482911770116];0.3651911681441143;0.9801454950922383;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;MA;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;8898.797971824471;0.06974277229133735;72.72727272727273;5.411719943197145;105359.35983818494;0.3874476412700897;88467.57170321916;99564.05795726887;99923.56123506575;101581.35261984199;108412.43795842043;109026.12675543866;108295.56600187726;111899.69470840866;110395.60236141237;110993.47153498438;104501.62124329925;96513.7851125539;[20411.994696780836, 941.5997427311231, 7921.844164934257, 8967.186880158013, 2066.7578415795724, 8374.686044561342, 6126.336198122735, 6859.927691591336, 8238.880238587633, 5731.430065015622, 5711.52075670076, -9859.7011125539];0.3108355685802487;0.9778361905081698;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;MA;oleodiesel;ARIMA;{'n_neighbors': 3};12;12;11852.203966341445;0.10600905014168176;36.36363636363637;-8.438029383037096;327138.6490690891;0.40241666308863455;89954.3841205558;107475.64972111303;110037.37144244867;108723.06834776267;116461.65700468548;121071.5014585337;118384.87929000413;122928.66486697942;122045.54615795882;114055.997751814;106330.01615688985;101322.87102248445;[12674.380879444201, -3821.634721113034, -13959.575442448666, -9616.089347762667, -10843.291004685481, -18479.73045853371, -11815.096290004134, -16852.09986697942, -12650.473157958811, -1559.5207518139941, -4810.648956889854, -12443.353062484457];1.6010162300604194;0.9978606213647326;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;MA;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;10528.605766671728;0.08740700974248901;72.72727272727273;3.381648118015895;124736.43244992122;0.5434515543164791;95963.12070741571;97004.2878850746;97392.10999424235;98164.97919167783;106307.98996218272;109416.7582550721;110791.73338387876;120307.15050259694;122538.6300767814;119711.34578955923;113818.34882037896;105443.0237120189;[7080.24549258429, 9181.81711492539, 11838.536005757647, 17385.350808322168, 15431.835637817276, 6303.126344927907, 9574.140316121237, 4113.184497403068, -11019.111676781395, -3062.508389559225, -12502.528820378953, -8933.927712018893];1.8442485602422962;0.9984328549003972;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;MA;oleodiesel;ARIMA;{'n_neighbors': 7};12;12;9481.24821937088;0.07373854928110359;63.63636363636363;6.3262299080976785;149594.83689959615;0.3713665733660057;96630.41881533852;93224.9651898705;92908.93342696682;96117.00373416506;100384.49273093086;102302.17178160422;103861.579146288;107459.8404938025;108358.81636195672;109960.03856042506;102721.05195318455;96998.11300691769;[1733.5031846614875, 4650.6938101294945, 7853.568573033175, 2880.0472658349463, 9470.94526906914, 15951.146218395777, 13384.920853712, 17457.890506197495, 5512.768638043286, 5400.162439574939, 5573.242946815444, -8089.2700069176935];1.4740041281002596;0.9974257143426651;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
1990-01_2013-02;2013-03_2014-02;MA;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;3544.8104572001716;0.030382451370439562;72.72727272727273;0.5135597343424195;41909.211202163264;0.10734990174085919;94170.77127723274;91576.70301166465;90694.40909234894;94093.93914870555;99365.38275744586;102886.927925354;104333.36705398484;110841.84953433427;110108.0482734631;110516.00976122226;105067.20348651061;97985.71264902821;[4454.42072276726, 3296.8989883353497, 4091.661907651054, 430.5708512944402, 2971.3922425541386, 5405.198074646003, -751.9620539848402, 650.9484656657296, -1551.7932734630886, -3319.439761222253, -2938.318486510616, -6484.959649028213];2.182529414545384;0.998867819843249;10;266;-3.455175292841607;-2.8724677563219485;-2.57259315846006;False
1990-01_2012-02;2012-03_2013-02;MA;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;12593.527085544374;0.11028565009060327;63.63636363636363;10.173325533109537;198899.76661304448;0.39476833774205944;74097.78509311519;78360.51749658975;85262.1844707254;87196.95655257186;88209.66674405865;92064.05956938934;91399.53762085838;99659.34735820857;98180.96015340599;106379.91925656197;100019.84188144002;91083.66197245076;[18222.870786884814, 12620.143163410248, 13439.375239274596, 10560.776417428133, 16546.17755594135, 19344.98363061066, 12046.21077914162, 11359.900141791426, 13423.723046594008, -2752.4401565619773, 1557.5681185599824, -2704.4519724507554];1.9596711806865392;0.9986181996131355;10;254;-3.456360306409983;-2.8729872043802356;-2.572870232500465;False
1990-01_2011-02;2011-03_2012-02;MA;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;10630.184853125815;0.11110948928643362;63.63636363636363;9.380020986314513;167895.189421428;0.26818438402298345;77855.53967769477;75568.25696412;74809.64112242797;76535.13188805009;82566.31501629287;86648.66223117734;87552.47495840085;90339.00259213152;88370.76975631887;91796.2542052474;85784.80201972024;78729.76829528637;[-9673.46082769477, 5613.354185880002, 9773.451497572023, 12294.846011949907, 13064.954843707135, 16055.942668822667, 11256.648711599148, 9314.462107868472, 12892.365843681124, 9513.733394752591, 6998.0904002797615, 6048.603464713626];1.0290696754737951;0.9945633920540716;8;244;-3.457437824930831;-2.873459364726563;-2.573122099570008;False
1990-01_2010-02;2010-03_2011-02;MA;oleodiesel;ARIMA;{'n_neighbors': 7};12;12;9534.99033395492;0.10075799714197824;81.81818181818181;10.208264000538033;75485.3805448336;0.18462677096202745;69354.59433577303;66808.5406693954;66585.625214936;69561.6799626585;73339.6177438014;76130.61614519253;79643.15273725595;82405.63322543469;81261.37992842557;83775.22609241385;78122.67210272497;72269.52828853198;[12425.617084226978, 8943.537080604598, 9010.680025064008, 9368.890967341504, 15511.502276198604, 12781.029714807475, 5836.295802744047, 8007.970834565305, 9340.070401574441, 9826.099977586142, 1298.9677672750258, -115.576638531973];0.6376051220526259;0.9885067711206541;8;232;-3.458854867412691;-2.8740800599399323;-2.573453223097503;False
1990-01_2009-02;2009-03_2010-02;MA;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;5332.667680443476;0.05473529013085118;63.63636363636363;-0.8642254376534148;84094.9914768393;0.0716027348804442;57864.98784639451;73321.53503822364;74257.86760400809;74425.26313837433;80697.6087527008;79709.73024330992;78071.86368513214;82222.22927465955;82776.72577213788;83237.48265861507;78139.56654616518;71833.37328140141;[11810.29152360549, -4865.675388223637, -10887.32367400809, -88.44910837433417, 623.2570472991938, 397.95845669007394, 2808.6545548678696, 2476.792155340445, -3437.7182721378776, 1147.812211384924, -4667.63295616518, -3171.226091401404];-0.15664249231211905;0.9434962326358659;5;223;-3.460018927623594;-2.8745897386146817;-2.57372514086348;False
1990-01_2008-02;2008-03_2009-02;MA;oleodiesel;ARIMA;{'n_neighbors': 7};12;12;11930.944140955315;0.12910976268243493;54.54545454545455;13.477989196700491;235499.11630172894;0.1854748311874399;64593.42881476654;60677.68595203039;60936.212797313594;60421.473466782874;64856.118509452346;64851.38405658497;64407.32688661719;69248.06655121586;69578.61870961917;73327.30421636178;66390.66329902422;60651.13071457159;[1012.3762252334636, 7989.791687969606, 14017.1262926864, 12903.755763217123, 16365.08556054766, 17426.450353415028, 19913.325383382813, 15045.097108784146, 6223.7283503808285, 5512.958053638227, 3933.652250975778, 1151.9221854284115];0.6972427472738424;0.9897826829884758;8;208;-3.4621857592784546;-2.875537986778846;-2.574231080806213;False
1990-01_2007-02;2007-03_2008-02;MA;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;7983.687144250124;0.09969515039255046;54.54545454545455;10.054027373440109;157484.70040204184;0.1071958003568853;57159.944798551696;56613.02283066918;53653.55327797684;56419.52595941625;60801.121101677956;62236.316662682635;62297.922086988845;65693.81975302185;64433.59031252741;64208.923892839695;59942.97270326105;55091.56203226402;[9531.126881448297, 4278.290829330821, 10739.234752023163, 7744.233460583753, 2475.2245083220405, 5240.788727317362, -447.14437698884285, 3722.650856978158, 1190.3853274725916, 11992.191457160297, 13168.42534673895, 10683.299507735981];-0.47456402010431376;0.8968853095630691;5;199;-3.4636447617687436;-2.8761761179270766;-2.57457158581854;False
1990-01_2006-02;2006-03_2007-02;MA;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;3941.2243182051848;0.046037755961251044;36.36363636363637;1.5880938361613413;108681.6669527171;0.03987612681984045;46971.21773105265;56259.72610218418;56245.76231094398;57710.35547796576;63392.01180210926;62894.378516349876;61613.46835438417;65497.949879348096;65070.951518587055;65676.2903322954;60045.2642510943;54279.062341330166;[10906.265268947347, -3786.4111021841745, 686.8556890560212, 95.10652203424252, -2987.6708021092563, 2781.566483650131, 2112.4856456158304, -2414.897879348093, 223.07248141294258, -1570.8963322953932, 4753.712428905703, 749.511578669837];-0.7613153154254595;0.830222207410447;5;187;-3.465811691080702;-2.877123351472649;-2.5750770662586864;False
1990-01_2005-02;2005-03_2006-02;MA;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;6412.584652240937;0.0902533374918832;54.54545454545455;8.5381636658684;126467.41316913014;0.07655294961501738;49533.843879218766;46691.7387293527;47243.02024744128;48431.88587036581;55381.4168177991;57004.96633403711;58697.99973114164;63336.83086415147;60228.79799663678;58180.573109460965;55445.74716478438;49505.94643789782;[3034.2291207812304, 10300.894270647303, 9046.94775255872, 9360.822129634187, 6382.617182200898, 9452.998665962885, 4876.393268858359, -2063.076864151466, 1002.1220033632198, 6791.316890539034, 1663.9908352156199, 800.060562102175];-0.9187342176878512;0.7817403841483699;5;175;-3.4682803641749267;-2.8782017240816327;-2.5756525795918366;False
1990-01_2004-02;2004-03_2005-02;MA;oleodiesel;ARIMA;{'n_neighbors': 3};12;12;6312.654174777569;0.09623648905003583;63.63636363636363;9.416591294429951;99663.09897418102;0.07247161711472802;41318.649877823234;45199.48235859082;45969.1691815176;47182.761684501864;52682.34055063097;52632.43786884382;52426.204496456754;56483.64050437715;54947.500493005165;56496.54717725561;49938.17328954043;44990.729427961465;[10125.725122176766, 9458.254641409178, 3472.8068184824006, 7364.247315498134, 5444.3654493690265, 2580.118131156174, 9979.287503543244, -1187.7635043771515, 3384.475506994837, 7961.7638227443895, 2402.578710459573, 1414.9165720385354];-1.1210328439128123;0.7066117878961902;5;163;-3.471118535474365;-2.8794405060097024;-2.576313761526591;False
