train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;30029.91168363583;0.10831785537370081;54.54545454545455;10.2950878469208;592471.2249246102;1.4223130371925614;177267.71319010906;194629.8734640049;192551.84314632305;189520.01356501234;195763.66617479938;210543.7147560611;215076.2696075787;212078.86126358734;226648.68096187987;217644.21584352184;226455.03023316033;215611.92317192274;[63367.607809890935, 12025.047535995109, 40231.13385367696, 31472.116434987664, 35209.94782520062, 32955.088243938924, 14166.589392421301, 15983.41373641265, 11598.90203812014, 31969.008156478143, 4574.2967668396595, -9645.578171922738];-1.5867035131976697;0.4902692672061078;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;34386.04669989145;0.14787284457570005;45.45454545454545;14.951209818080363;814364.9860236994;inf;154789.56103630367;174566.83943819144;167087.91771193725;171332.80443779542;174289.91420106858;194733.4729252877;193308.50985719476;187949.84044613634;179893.2120104672;187683.90221109168;187956.3074714614;190496.6237048113;[49865.205963696324, 22317.951561808557, 44327.14228806275, 30212.677562204568, 35967.73679893144, 33012.5490747123, 14859.906142805237, 39575.52755386365, 43215.1259895328, 41688.72778890832, 23374.0115285386, 2020.916295188712];-1.6363121163230452;0.4641884618565194;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 3};12;12;30730.102020888433;0.13422615390166084;27.272727272727273;13.549922837280315;969537.5473965711;1.3026261936222587;139073.09850103428;154892.0100041725;144694.19705684905;153099.17454915945;161027.75666807452;174167.36356634076;174814.6258996867;175676.94004065468;182630.2487351703;165967.4651447061;185174.83086958225;181268.78675915065;[56396.23649896571, 23586.6439958275, 43245.095943150955, 30804.841450840555, 42131.554331925465, 28711.331433659245, 18059.302100313304, 19046.943959345313, 6772.103264829726, 37734.140855293896, 3679.1451304177463, 2128.9502408493427];-1.5262332931470888;0.5204965052908176;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;30167.32276238982;0.15505004703049272;36.36363636363637;-13.622031972704809;833300.9160879054;0.5329138545352855;174008.3863032992;188257.12944453675;183684.41693285498;186653.97037707194;187735.47936379613;201245.6944502645;200327.6595741809;196875.32770754682;191684.83115840494;196703.99654807904;196879.49409959294;198516.09714616704;[-2493.0803032991826, -66324.41444453676, -47515.21093285497, -33197.07337707194, -9041.55236379613, -23451.288450264517, -20726.426574180892, -5525.729707546823, -18057.234158404928, -916.2555480790325, -7876.188099592924, -40928.662146167044];-1.725365124698436;0.4180932542679164;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;14213.411823787397;0.059230870259863046;27.272727272727273;3.965723167490388;447972.79647806834;0.8671552948936732;170755.356768431;192233.89547263406;180409.99854648497;183419.05155168628;187135.36987757482;190281.73988931646;199537.90317109556;193085.2841938376;205758.8428403249;189792.93243524578;200411.6553941444;192403.1361709084;[16451.552231569018, 1141.5635273659427, 24417.78545351504, 4401.911448313709, 20301.532122425182, 13567.722110683535, -5067.967171095574, 20265.7938061624, -10866.462840324908, 17759.46456475422, 388.03660585559555, -8392.851170908398];-1.673069625162935;0.4450384848629081;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;12147.95158441932;0.050130199627691864;63.63636363636363;0.5640611337939992;191545.11556482076;0.4911842439787612;167473.53415516092;185728.26257511514;175319.26298821977;186162.58425814044;184390.806331729;200969.88851211173;199849.2140874298;195634.84257579787;214284.71001369358;193955.83231760256;201213.0944436029;191212.98379649504;[21593.682844839088, 4287.348424884869, -7962.008988219779, 5256.70074185956, 12955.877668271016, -2602.02751211173, -15086.193087429798, 17347.29342420213, -21757.866013693565, 2861.0926823974296, -718.2144436028902, -3150.270796495053];-1.8183735662192446;0.3713786333234863;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;23493.748199890746;0.10479222183633463;54.54545454545455;-6.823273581075975;463481.36821166356;1.1587033067366659;185789.18204019376;198715.2988477173;197157.95614695814;201586.0526761218;203780.76730713062;223584.67821404082;222314.0287283343;217535.6659176087;210351.5142665682;217298.5269424622;223309.6834288341;219806.65027523998;[30861.107259806246, -11841.257747717289, 9313.89515304187, -8514.201576121792, -9524.354907130619, -15466.479814040824, -21696.44822833428, -13159.228617608722, -20085.173166568216, -17377.403842462198, -31729.300428834104, -51823.233275239996];-1.902078208767637;0.33108408820451085;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;37172.67618856097;0.15535500865264754;72.72727272727273;-15.09035416710828;441490.8559343078;2.4646477642899187;240354.00803388553;222656.62429474416;252612.5568998863;236514.2466392278;259523.91684867797;251942.75136009578;260667.21755975837;268360.33198674634;256134.12577379507;261439.40228994476;246254.7739387381;252245.90098914658;[-16482.069533885544, 836.1117052558402, -26906.941899886297, -15204.036639227794, -30218.42484867797, -25295.09236009576, -36214.51655975837, -50595.13198674633, -47942.84877379506, -42377.32728994475, -37594.341438738105, -66499.23078914659];-0.9705205775661845;0.7638638522480774;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;18593.940156603323;0.05854964782819999;18.181818181818183;-2.2313793054192215;659225.3943433156;0.3875487070149682;224474.33787115646;251188.4428812565;241112.64481865472;260582.15069186786;251155.32270499534;261300.97611197957;270823.827393858;263863.88715742;267050.67161862535;251543.3414961136;260736.3231469851;245372.67535743737;[34753.14732884354, -11149.322881256492, -1095.2308186547307, -5999.506691867864, 7914.419395004661, -3435.229911979579, -13855.703793858003, 5065.728142580017, -22573.322718625335, 3886.773603886395, -38944.460146985075, -21121.53435743737];-0.2620830459272112;0.9307054769187927;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RJ;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;14047.814194309116;0.04689357793652938;45.45454545454545;-1.265965279481637;332079.91821689013;0.28279919823823185;230183.39170947304;251745.2491029237;246394.47279052617;262194.7755098534;257807.6758154248;264764.2151006019;264444.0897917066;267275.8715884922;262919.3926331667;252649.63552680943;261664.82137212972;249715.3141154564;[9616.982290526968, -10739.33410292369, 14573.960209473822, -24959.02650985337, 382.0891845752194, -6332.695100601908, 1045.4502082933905, 15016.726411507814, -14723.43963316668, 9284.709473190567, -4450.577972129715, -27116.099115456396];0.5289265217882685;0.98572627633857;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
