train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;336.4691208221661;0.137024203976171;72.72727272727273;-1.8139871174919373;3995.0929693058606;0.8240760309361168;2441.4689999375114;1595.6628254693314;1442.5496218717517;1227.5739883844115;1436.79767030642;2436.0434032641383;1325.0553818700141;1887.9696145939754;1583.7491897183313;2331.695721885606;2499.9976115070226;1756.2632461652838;[-724.5849999375114, -129.58482546933146, -68.67562187175167, 79.0240116155885, 268.30832969357994, -180.07840326413816, 3.623618129985971, -294.57361459397544, 371.25781028166875, -8.995721885606144, -319.22161150702277, 612.1607538347162];-1.993415572471871;0.28946758307060716;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;844.4701787231364;0.4250534733024789;63.63636363636363;34.562087201443006;13459.077457067619;inf;2062.566965436546;1523.0091217802008;1813.8492024646127;1332.7298164104984;872.2035126638862;899.591309344795;463.0220271951561;785.1205971087957;919.8776226982684;1119.0569588059266;1000.5144525950874;831.0345187043788;[422.72903456345375, 82.95187821979926, -560.2372024646127, -317.03481641049837, 434.7454873361139, 1159.497690655205, 865.6569728048439, 995.6944028912044, 652.5473773017316, 1042.3250411940735, 1563.2625474049128, 852.8444812956211];-2.1741204526169082;0.21577193819222745;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;782.9364394522316;0.37305192947061133;72.72727272727273;37.038940304157805;9376.91694003089;1.9618728609019682;1806.0607359544165;554.5206561108729;1041.2860987637478;839.0105322852952;1074.937415087524;1250.411675848317;667.2253837014754;639.342858041352;697.0518623360255;914.7375151914389;683.0549281684267;625.2301890029644;[-404.03873595441655, 254.63134388912715, -64.51709876374775, 74.07946771470483, -48.74241508752402, 709.804324151683, 310.9146162985246, 928.064141958648, 698.3441376639745, 1290.7724848085613, 1545.2460718315733, 1054.7068109970355];-2.0014538026391837;0.2859360214146526;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 7};12;12;504.0633223676722;0.39996591378645774;63.63636363636363;-25.65731401393055;8030.535669117816;0.6334934454039094;1026.6287075215184;985.7522921009029;1230.441987438561;1023.1753812210724;1359.2553851036112;1602.2261502045765;1738.6085440864933;1917.704882554743;1839.7473783448213;1776.417935872687;1473.7194071280192;1205.3731478664881;[-2.9777075215184823, -283.1822921009028, -240.04898743856097, -120.24538122107242, -482.3603851036112, 504.0008497954234, -1061.7445440864933, -647.937882554743, -860.9693783448213, -347.7839358726869, 15.864592871980904, 19.68385213351189];-1.7576251338143485;0.401693160399728;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;775.1720485264248;0.5678163174030472;72.72727272727273;-43.3186385723228;9351.6441659971;1.336722256967644;1493.499814349622;1444.6960704420064;1707.095325947445;1670.931417327995;2150.0830906347;2204.91960660848;2082.567145361857;2369.079977519743;2142.211721016303;2214.313996001603;1980.1836475193966;1882.9899910264232;[160.37218565037801, 257.93992955799354, 259.17967405255513, -583.8684173279948, -1035.7520906347002, -949.60560660848, -938.892145361857, -1133.709977519743, -1005.6747210163028, -932.6469960016029, -684.5726475193965, -468.1559910264232];-1.6628164402439345;0.4503651473703466;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;776.3140117316143;0.3823759132581946;81.81818181818181;-30.414875358537653;6243.435333494836;1.2248531561329024;2057.3673752502914;2160.5486372398286;2374.3804393400965;2368.8746222943087;2404.74906335002;2643.650026474974;2386.3701099855252;2668.1289452842443;2706.5735714610723;3129.88415162018;2855.6824397287073;2526.22118323096;[97.05962474970875, 274.6603627601712, 30.447560659903502, -700.3936222943087, -339.9190633500202, -570.702026474974, -610.4301099855252, -766.5249452842443, -694.6515714610723, -1291.39715162018, -1208.9454397287072, -1281.5601832309599];-1.8885758524545968;0.3374543278015758;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;524.5352055425307;0.18269674772453914;45.45454545454545;1.1269788999976735;12434.742346698045;0.46024784055159107;1885.1949836245124;2157.9062308309926;2091.8491762772487;2364.752840800796;2462.47127581125;2800.8034788204304;3030.1875595852284;3047.8248931299804;2960.7371730941236;2930.086924463556;2655.5405707355703;2446.0511795210195;[985.7590163754878, 386.51376916900745, 749.6618237227513, 475.8201591992038, 221.3967241887499, -85.96147882043033, -336.58055958522846, -284.04889312998057, -382.6331730941238, 31.425075536444183, -719.8835707355704, -690.0221795210196];-1.832201691003089;0.3645956592995274;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;812.7457541924028;0.3290713605421173;63.63636363636363;-32.11014942094851;12918.418088648465;1.02875504861208;3757.8634595432504;3554.6999726841523;3629.5474565844097;3526.639823686344;3082.18195423007;3385.0257171642425;3148.905648977265;3265.0039661014434;3263.254627408399;3039.1191067004997;2844.8213739661137;2658.3189785860036;[-853.8434595432504, -825.4299726841523, -787.9824565844096, -539.1858236863436, -747.9279542300701, -913.9257171642425, -712.288648977265, -948.5129661014435, -1199.9366274083986, -791.9081067005, -496.07337396611365, -699.9309785860037];-1.9890562635837026;0.29139206520456834;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;421.16248360160114;0.11411346078805741;18.181818181818183;0.823410194464177;14945.929431712459;0.23883589616203033;3456.783289774134;3441.4727508399055;3563.3218274632586;3712.7912503394914;3714.684684316113;3609.5510209666018;3167.821104148921;2966.022893189649;2892.696415819474;2973.248337733088;2925.5375464011413;2833.0442039731524;[-123.11328977413405, 100.8292491600946, -231.54182746325841, -532.5162503394913, -678.0616843161129, -230.78902096660158, 198.99189585107888, 413.88610681035107, 593.8965841805257, 481.12966226691196, 615.1504535988588, -281.93220397315235];-1.651775623244459;0.45611454973932103;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;416.37952492926206;0.09625239398489922;45.45454545454545;5.279689502109472;9854.04325665709;0.20465595564406663;2774.694889348558;2552.937523061493;2883.9717418370847;2914.5513388734303;3107.9663078512394;3212.233027243759;3386.569941841601;3584.7682216094454;3696.134210933775;3558.5686995744445;3240.0265137421143;3001.33215205689;[370.0461106514422, 871.1824769385071, 452.46225816291553, 57.84966112656957, 354.34969214876037, 685.819972756241, -110.09294184160126, -264.55922160944556, -512.4232109337754, -21.941699574444556, 181.7384862578856, 48.87284794310972];-2.320517052437548;0.1654361677413665;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
