train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;530.2201717077425;0.19075202013234485;36.36363636363637;16.689445172281538;14659.455790777289;1.1523724901262464;752.3868947761654;1292.1300971973942;1223.6309593239537;1251.2983853525845;1095.886998175654;960.7901121329919;1200.1605110177416;1732.4959201831703;2106.687200447528;1797.1490285930197;2143.3935685282436;2416.9820396572686;[964.4971052238346, 173.94790280260577, 150.24304067604635, 55.29961464741541, 609.2190018243459, 1295.1748878670082, 128.51848898225853, -139.0999201831703, -151.68020044752802, 525.5509714069801, 37.38243147175626, -48.55803965726864];-2.087543358519266;0.2495528899621247;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;684.7318299700592;0.24672817728602225;54.54545454545455;21.22443015773813;13555.173225681005;inf;852.4380698321866;596.6480360170253;1092.8930318734456;1112.7373212574723;1314.424043412273;1575.5547959121348;1714.1389122032624;1936.5159028983846;1628.7045078681733;1592.911099039178;1499.5392513741715;1482.6457578113634;[1632.8579301678133, 1009.3129639829747, 160.7189681265545, -97.04232125747228, -7.475043412272953, 483.5342040878652, -385.4599122032623, -155.70090289838458, -56.27950786817337, 568.4709009608221, 1064.2377486258285, 201.2332421886365];-2.3678475956540495;0.15101753962655584;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 7};12;12;454.4459179309569;0.23026687513520594;45.45454545454545;19.468250719081936;10784.251927187295;1.1504866593863938;758.3832539226963;893.6780467129034;941.962860114412;1104.5088892597182;824.3886768370927;1057.0431486446266;1198.5899689253217;1056.109115723131;1300.0502141146626;1501.1543389736046;1666.2404122693158;1502.7522540990185;[643.6387460773036, -84.5260467129034, 34.80613988558798, -191.41888925971818, 201.80632316290723, 903.1728513553733, -220.44996892532174, 511.2978842768689, 95.34578588533736, 704.3556610263956, 562.0605877306841, 177.1847459009814];-1.948586719770859;0.3095606203585589;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 7};12;12;458.44305049290256;0.3847245907567331;45.45454545454545;-20.595530073309906;10913.368023704043;0.6118223240930264;1002.4165244630974;1196.8636140435647;1162.709188442187;1426.0491398235513;1184.0260236479096;1320.3597957452805;1609.181665856788;1403.5885672990341;1467.877597628989;1538.4403294240162;1626.770907548825;1548.753646754211;[21.23447553690255, -494.2936140435646, -172.316188442187, -523.1191398235513, -307.1310236479096, 785.8672042547194, -932.3176658567879, -133.8215672990341, -489.09959762898893, -109.80632942401621, -137.18690754882505, -323.6966467542111];-1.4621163132106452;0.5521617529450791;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;802.201034095371;0.5897665960161415;36.36363636363637;-42.28170944814837;22326.04773974277;1.3889967540960795;1147.3899400842183;1584.704203776624;1664.303809896782;2197.8002615273226;1818.5960535334755;2343.2165165137603;2474.4957527142956;1996.332070673124;2085.4300557130523;1854.4130650957668;2062.898173505655;1944.1053359483278;[506.48205991578175, 117.93179622337607, 301.9711901032181, -1110.7372615273225, -704.2650535334756, -1087.9025165137602, -1330.8207527142956, -760.9620706731241, -948.8930557130523, -572.7460650957669, -767.2871735056549, -529.2713359483278];-1.379696108930628;0.5919704288261798;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;914.2114578829166;0.4570861384781548;72.72727272727273;-34.787590298402364;10982.665326663178;1.4912979987638655;2041.5753677143584;2134.9868019256764;2067.7792435914644;2541.223219204234;2168.839757942128;3128.5247436156264;3103.899917285323;3123.703772713344;2857.7694011635176;2779.5934389089953;2724.382113706504;2625.5004323346798;[112.8516322856417, 300.2221980743234, 337.0487564085356, -872.7422192042338, -104.00975794212809, -1055.5767436156266, -1327.9599172853232, -1222.0997727133438, -845.8474011635176, -941.1064389089952, -1077.6451137065037, -1380.8394323346797];-1.77531702487025;0.3927831159195377;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;540.9336453457083;0.18615449721609637;27.272727272727273;2.793049649179553;17084.457476507032;0.4565641980630703;1931.6708435559683;2174.070334399787;2092.203538007945;2493.7191934905427;2342.1679957920496;2639.0468651233477;2953.5989978341577;2685.2397354951727;2782.9324070144585;2774.388540793941;2802.8090466181015;2641.997074560869;[939.2831564440319, 370.34966560021303, 749.3074619920549, 346.8538065094572, 341.7000042079503, 75.79513487665236, -259.9919978341577, 78.53626450482716, -204.82840701445866, 187.12345920605912, -867.1520466181016, -885.9680745608689];-1.7431859523733961;0.40901026145819835;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;981.5721217046896;0.36645437937429265;45.45454545454545;-33.580015629046684;23348.03941746432;1.075847083673704;2973.9838122476704;3010.7515455075486;2892.534983561636;3136.3613768008145;3076.4668212142155;3463.013172024292;3565.1540696108377;3645.52853680801;3583.362669798548;3467.704620004922;3460.778465970899;3315.387367455602;[-69.96381224767038, -281.4815455075486, -50.96998356163613, -148.9073768008143, -742.2128212142156, -991.9131720242922, -1128.5370696108375, -1329.03753680801, -1520.0446697985476, -1220.4936200049224, -1112.030465970899, -1356.9993674556022];-2.2474820267570665;0.18946550211870444;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;488.18099035737765;0.12484793362391017;27.272727272727273;1.2892031901365868;15404.037272521728;0.2533941700602294;2667.4585506222666;2677.2300620408564;2901.9024154758113;2895.068722652802;3740.5083099796548;3376.2011212366224;3566.9992793914516;3675.4465570184652;3505.000842378579;3573.285937624706;3156.9494531857517;3336.5496743842996;[666.2114493777335, 865.0719379591437, 429.87758452418893, 285.206277347198, -703.8853099796547, 2.5608787633777865, -200.18627939145154, -295.5375570184651, -18.407842378579062, -118.90793762470594, 383.73854681424837, -785.4376743842995];-1.7638714278938346;0.39854022630874203;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MS;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;584.8588523740001;0.13929227117996115;36.36363636363637;4.942401461697474;16155.106773169235;0.2959120248370447;2338.3367758953586;2751.231032434952;2841.8898343995875;2942.656332526667;2922.7875229819256;2619.7744837560444;3858.7247499225755;3310.2880229066036;3636.100017578211;3762.0194620184716;3544.0111673637102;3520.9416491253814;[806.4042241046413, 672.888967565048, 494.5441656004127, 29.74466747333281, 539.5284770180742, 1278.2785162439554, -582.2477499225756, 9.920977093396232, -452.3890175782112, -225.39246201847163, -122.24616736371036, -470.7366491253815];-2.397673364785911;0.14239416139442207;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
