train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;etanolhidratado;ARIMA;{'n_estimators': 200};12;12;5079.254622914683;0.19713577373110883;45.45454545454545;20.219265552854644;120404.5111989488;0.547119446437038;14641.960022039693;12141.750668485849;14266.14138550438;13699.553508329169;15519.745809146309;15209.017375473897;15825.729932072922;14620.771354749915;16159.406911602404;16431.220094228007;18977.022832806237;25502.194417677158;[2127.656977960305, 4016.8493315141513, 852.5086144956203, 2257.2464916708304, -811.5488091463085, 4366.482624526103, 4747.970067927079, 6172.278645250084, 5492.893088397595, 9607.879905771992, 8877.127167193765, 1204.3055823228424];-2.6016695280750937;0.09265270065720904;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;PE;etanolhidratado;ARIMA;{'n_estimators': 200};12;12;3754.0805956850995;0.19287428087763747;63.63636363636363;3.884295234022512;59428.005922373275;inf;21517.517923439475;22023.0626640916;22440.367196433242;19431.8560820628;13448.472221280495;10535.654804707756;10398.236848842955;10972.917128463381;13651.678247592246;15639.432066655076;17735.550109558077;18592.40070381053;[6272.182076560526, 3160.137335908399, -3047.298196433243, -402.84508206280225, -454.42522128049495, -2005.0548047077555, 698.8131511570446, 5833.738871536618, 3657.769752407754, 3675.5679333449243, -4593.550109558077, -4858.5007038105305];-2.4923874259244228;0.11733755047658873;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;PE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;4459.642967385963;0.21280800041708167;63.63636363636363;-1.0769553119434097;70635.46604985654;1.031821504533521;27864.276052649533;27085.364406331886;23472.071975309016;18051.221319855737;10768.847368902383;11845.800581222802;11566.93833436258;14766.421646506304;16180.12621340202;19640.272484480356;21597.544360794054;24093.929279372678;[-463.32205264953154, -7888.764406331888, -5726.871975309015, -3559.010319855737, 5132.752631097617, 1689.164418777198, 1220.96166563742, 3520.0783534936963, 6315.455786597979, 4289.179515519645, -1853.0163607940558, -5094.532279372677];-2.4338382256775466;0.13241265383634077;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PE;etanolhidratado;ARIMA;{'n_estimators': 100};12;12;10589.830296321663;0.533545956537509;36.36363636363637;-22.004425588130463;294267.813626164;0.7558312966129174;30763.457654545775;31628.02749798231;33714.338319852606;29224.79420504389;23535.788524001342;19784.19618841334;19038.985190192456;19526.14252788591;22713.45065936657;24660.44171326586;27906.842674086027;28210.431546307722;[-9361.057654545773, -21287.852497982312, -22945.788319852607, -13731.79420504389, -4392.187524001343, 1242.3538115866577, 3723.875809807545, 5102.65747211409, 253.00934063343084, 5327.725286734141, -564.4606740860254, 595.1684536922767];-2.291133375272271;0.17484358294935115;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;PE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;5829.224530405428;0.1606031232097523;63.63636363636363;4.436433763794371;92194.3940476312;0.4249768615499684;39535.84667229882;39511.38755744767;31436.053828701024;21264.20144483736;19139.803741891417;19537.689983826152;18535.350635752875;23598.93272345567;26030.784186009834;27590.700150189055;28840.195390601777;30100.746631053848;[-5869.745672298821, -9411.73055744767, -5649.092828701025, 1571.7985551626407, 3534.7982581085816, 1552.6100161738468, 3425.1213642471266, 3463.967276544332, 3656.8158139901643, 12209.299849810945, 7007.6546093982215, -398.07863105384604];-1.863085899864091;0.3496208511546476;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;18470.854762344294;0.4380384023015509;27.272727272727273;46.2071427471935;585198.3470759297;0.9533421368082406;25189.98250631833;25067.059339714342;22975.539014395108;18638.316244019596;11749.558606591065;12647.0683059513;12533.496029143664;12994.452038421263;16041.749822863061;15904.963467846757;16309.998297791451;17945.29971622124;[-1531.774506318332, -2159.8653397143426, 2761.644985604893, 9638.383755980405, 13003.741393408935, 11984.631694048701, 18720.793970856335, 31064.889961578734, 27522.213177136942, 28647.563532153246, 22597.80170220855, 16416.25028377876];-2.2311549318739976;0.19513290849270576;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;PE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;5157.246098412346;0.18377194288840001;54.54545454545455;15.770636698797178;101920.96555896988;0.4887390699347955;13012.421917334575;13144.368978067245;13792.838155334133;14885.259403585407;15492.2183958987;15852.602007517231;17264.122471952578;18277.787190960105;19111.93875159656;20527.994897055385;20593.917569861653;20367.02465468688;[1327.0780826654245, 2725.631021932755, 1672.761844665867, -1355.499403585407, -2854.5823958987003, 5161.0609924827695, 777.038528047422, -1574.392190960105, 5222.936248403439, 8830.169102944616, 9726.098430138347, 8223.43634531312];-2.5252203064220096;0.10945791197398508;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PE;etanolhidratado;ARIMA;{'n_estimators': 150};12;12;7198.630022921837;0.39299594208046607;45.45454545454545;-35.25094288918379;171257.8292332839;1.6679288752052153;21020.18876433816;17874.79093346401;18381.547663896155;17967.0658354022;19573.35679277784;20219.262869338323;21237.00432268153;21667.79552449595;24594.63501649109;25493.932038326126;26129.93493148224;27186.76814575215;[-4038.988764338159, -2045.6909334640095, -272.0566638961536, 1079.7431645977995, -2587.456792777837, -4650.262869338323, -6740.389322681529, -5916.395524495949, -8623.65801649109, -7737.620038326124, -11915.48393148224, -14667.36814575215];-2.654018672580416;0.08233856479018342;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PE;etanolhidratado;ARIMA;{'n_estimators': 100};12;12;12148.578409138923;0.4554027020641131;36.36363636363637;47.266197393143344;337166.5652843092;1.3132866612925542;15208.119880929931;15639.49679574527;15211.449915242863;14834.267154166935;13725.312321711517;11062.326713172071;10285.452383412245;9690.945820245344;9374.236777295131;10548.115865084616;11400.262695972957;12375.187420389999;[6703.69011907007, 3904.740204254731, 6934.250084757137, 11040.653845833063, 11002.306678288482, 13251.611286827927, 14904.526616587755, 20837.91917975466, 13865.363222704867, 15976.859134915383, 10967.759304027044, 4479.883579610001];-2.8056471580252094;0.057471628526053344;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;2249.554488382864;0.08727967585022484;36.36363636363637;7.064073680468691;62074.69262615256;0.22514096136968678;12930.04496953059;12010.188216560613;13072.67896361338;12055.10694182517;10524.18618781201;10674.646682279636;11173.334479182518;11457.429045059183;11770.62034482739;12090.701946374198;12468.817968767176;14288.299265612613;[-576.8609695305913, 1077.686783439387, -1029.7289636133792, -700.5349418251699, 1053.26381218799, 731.5033177203641, 514.4915208174807, 97.80595494081717, -233.92034482738927, 2128.3980536258023, 815.3820312328244, 7107.200734387387];-2.659508093105926;0.08131102345341484;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;PE;etanolhidratado;ARIMA;{'n_estimators': 200};12;12;1635.8590718420965;0.10073487815093647;36.36363636363637;1.971045175806326;45150.80653099684;0.2457547741254749;14775.472522376513;14429.693486899016;14066.0696678961;13367.33960115508;11187.841856702918;10699.824250645463;10795.0343596647;10552.83828497347;11629.498172366646;12174.925668076636;12656.037890977861;13076.4661919235;[-720.8945223765131, 124.72651310098445, -1714.6646678960988, -3068.676601155079, -117.61585670291788, 897.2817493545372, 599.8886403353008, 2638.2297150265294, 218.8458276333531, 2503.0743319233643, 2129.0171090221393, -485.0395019235002];-2.6785889047153355;0.07781717009840756;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;PE;etanolhidratado;ARIMA;{'n_estimators': 150};12;12;3446.6773943754256;0.2144051315232729;27.272727272727273;-7.57477324295084;108868.93048352578;0.6759740730637608;10595.33680758687;10162.747742405501;11245.13201280076;12228.379180465949;13189.396950004055;14012.77505438769;17343.82334585986;16411.432931129;16285.900099824255;19078.432613291377;20037.27097967609;18925.498410730703;[3478.70419241313, 4745.616257594498, 3213.56098719924, 430.26881953405064, -1205.665950004055, -902.1330543876902, -4632.280345859859, -2086.144931128998, -1655.1095298242562, -3928.7768332913784, -5348.16397967609, -4750.329410730703];-3.0118297251463435;0.03380432425487964;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;True
