train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AC;oleodiesel;ARIMA;{'n_estimators': 100};12;12;1321.8507979237445;0.08881916806233552;72.72727272727273;-4.556104782984748;15662.20120885258;1.277790336030946;13037.130864656594;12295.412082084631;12792.951608167199;13705.654999594792;14857.405062591233;15200.81557736244;15839.26168695978;16002.461281332935;14478.402266185569;14098.765439874764;14525.909817270858;12041.085739623983;[1540.0691353434067, -635.2120820846303, 1413.1483918328013, -631.6549995947917, -972.105062591234, 393.28442263756006, -2259.2616869597805, -1090.961281332935, -324.9022661855688, -1275.6654398747633, -2252.5098172708585, -1263.0857396239826];-2.6223191656827303;0.08847152732936281;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;AC;oleodiesel;ARIMA;{'n_estimators': 100};12;12;1121.0169599138596;0.06884847461243024;81.81818181818181;3.667481477569811;8859.681779814198;inf;12327.886300437634;11712.597260931727;12169.955145791284;13013.661547270316;14277.34276275308;14365.02403119404;15037.305348071543;15480.65864862845;13814.804534501327;13295.60833241802;14220.062313600982;11774.423179921983;[885.213699562366, 408.40273906827315, 1391.9448542087157, 1040.5384527296846, 434.5572372469196, 1475.87596880596, 1007.1946519284575, 169.34135137154954, 1218.695465498673, 718.3916675819801, -2376.362313600981, -225.7231799219826];-2.576913195645998;0.09786333380802131;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;AC;oleodiesel;ARIMA;{'n_estimators': 150};12;12;795.9375912107517;0.04276677652411121;81.81818181818181;-0.18344993915107594;6281.459715379966;0.7487679211234801;12045.527325567744;11570.495946358336;11973.68942303802;12697.861269797953;14049.713992552452;14065.606822375481;14839.49528776694;15526.115734662435;13913.394936932475;13518.281455623612;14609.016702576575;12059.063439345615;[-117.32732556774317, 356.40405364166327, 767.41057696198, 386.5387302020463, 309.2860074475484, 966.393177624519, 228.50471223305976, -509.71573466243535, 224.89506306752628, -622.4814556236124, -2222.516702576575, -61.96343934561446];-2.5242092346610434;0.10969451506985833;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;AC;oleodiesel;ARIMA;{'n_estimators': 100};12;12;1389.4432371132978;0.08096396909079816;81.81818181818181;-0.20349577755513934;10988.37766986669;1.239279107783735;12000.334530475697;11242.405933817183;11571.912955381758;12240.40312799917;13505.059986059121;13487.140996342614;14302.741691083835;15052.962912705663;14076.668003395225;14036.994429198558;15109.356981755636;12438.95151549634;[69.26546952430363, 604.4940661828168, 621.687044618242, 67.39687200082881, 922.940013940879, 1238.859003657386, 1358.2583089161653, 903.837087294336, 54.13199660477403, -310.1944291985583, -3176.756981755636, -2676.951515496339];-2.480531473229472;0.12028336925849126;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;AC;oleodiesel;ARIMA;{'n_estimators': 50};12;12;1367.4335018927152;0.0893946880876559;54.54545454545455;1.2127098598857433;26969.05859313368;1.1391969866014278;11592.608240022108;10793.741132863694;11273.969187922838;11802.549713260676;13066.333876296374;13284.917428702662;14331.024937383825;15340.912410952293;13859.018731065977;13845.71420980128;14603.075819091431;11938.765130279126;[-774.9082400221068, 1375.658867136306, 2292.630812077163, 894.6502867393247, 2246.666123703626, 1196.8825712973376, -138.42493738382473, -468.4124109522927, -994.5187310659767, -1001.1142098012788, -2220.975819091431, -496.3651302791259];-2.4129568692374073;0.1381127730276024;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;AC;oleodiesel;ARIMA;{'n_estimators': 50};12;12;1470.3539189958954;0.0925012103700404;72.72727272727273;-1.0419847798997655;17424.03868673302;0.8874232014349014;11464.086560424084;10817.632745962039;11004.259498344134;11906.207255903428;13025.73812877889;13388.053850690565;14095.29196130097;14947.519550527397;13343.354860554078;13141.512450596878;14755.841341082883;12193.312482278137;[617.1224395759164, 753.1642540379617, 1981.5025016558666, -97.34725590342714, 1302.86187122111, 1203.7461493094343, -559.908961300971, -244.354550527396, 66.49113944592136, -1248.0864505968784, -3573.8413410828834, -1790.3124822781374];-2.3817543769216396;0.14695245704563964;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;AC;oleodiesel;ARIMA;{'n_estimators': 100};12;12;1537.1570875674709;0.10312625225185686;90.9090909090909;-4.524660389519444;6120.034430012417;0.9571627809977368;11553.453431421525;10827.07648162609;10991.804809393198;12016.942223259908;13483.090444091747;14256.017965514371;15394.79279045895;16575.26769384742;14546.930123837503;13837.321127234572;14189.330857388348;10888.890461119205;[327.4785985784747, 445.0288783739088, 1780.2842206068017, 1430.917726740092, 213.1131259082522, -85.31439551437143, -995.9746804589504, -2027.0226638474214, -1937.286903837503, -1924.260907234573, -3008.5848573883486, -1082.1584611192047];-2.2369423790337626;0.19311166426130794;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AC;oleodiesel;ARIMA;{'n_estimators': 50};12;12;2417.9663962987715;0.1687863862615895;63.63636363636363;-5.793419721982462;38252.47557059359;1.6480388814225948;11992.858576379433;10979.335195065805;11139.784968980492;12091.14684500383;13514.008012430222;14295.215064480797;15470.217655714043;16706.70792802552;15228.207933646376;14664.913271100319;15732.72029121132;12138.035041433015;[927.6414236205674, 2290.1318049341953, 2368.415031019509, 1381.3031549961706, 441.8919875697775, 428.3849355192033, -2156.317655714043, -2557.60792802552, -2082.7079336463757, -2566.1132711003193, -5496.902181211321, -1956.4605514330142];-2.324561994926414;0.16416855337335579;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;AC;oleodiesel;ARIMA;{'n_estimators': 50};12;12;2017.4428230218373;0.12049219769683721;72.72727272727273;-1.635698512563146;23931.546896344866;2.385712805443082;12008.506199421963;10885.22339517201;10643.72890773067;11510.856065209811;12971.661186509233;13784.463497516472;14877.738575289153;16846.577731804722;15878.51719462732;15433.81654107395;16674.644843194645;12817.926865556961;[448.37502057803613, 827.77660482799, 1068.2710922693295, 2366.1439347901887, 1183.6740334907681, 1275.8571324835284, 796.9985747108476, -775.3274418047222, -2195.8006346273196, -1442.815831073949, -5426.968843194645, -770.9268655569613];-2.290795810774748;0.17495369174611275;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;AC;oleodiesel;ARIMA;{'n_estimators': 100};12;12;2021.8849946265314;0.13805885489079972;54.54545454545455;0.03595063638424504;39919.12831836333;1.7090938934662359;11946.939446603097;10655.423449941689;10340.45956170155;11211.541561019762;13213.711933224378;14279.90456385683;15852.34790038255;17827.872451528892;15691.85572875954;15330.293675778405;15337.29187288092;12783.305487317397;[-1484.9394466030972, 1220.5775500583113, 2574.5404382984507, 2661.5384389802384, 2626.2880667756217, 536.0954361431704, 850.1520996174495, -963.8724515288923, -2069.8557287595395, 162.86232422159628, -3322.9316228809203, -2731.305487317397];-2.263693139065911;0.18394507606696808;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;AC;oleodiesel;ARIMA;{'n_estimators': 50};12;12;4479.229039894724;0.2860042721518082;72.72727272727273;-27.218719929647968;53455.275481326746;4.370621669982374;14949.080932100233;13084.281269440704;12056.569752018595;14050.694095060117;15343.330972246747;16500.09122437842;19845.839997197123;22056.42387268515;20312.35475885064;19409.405637916934;19282.092710227174;16252.405608168989;[-4593.0809321002325, -1002.7812694407039, 777.430247981405, -1128.6940950601165, -831.8309722467475, -1283.0912243784187, -4991.839997197123, -6369.257872685152, -6358.92375885064, -6672.675637916935, -6809.467710227174, -4198.578608168989];-2.322762327869078;0.16473171938868753;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
1990-01_2012-02;2012-03_2013-02;AC;oleodiesel;ARIMA;{'n_estimators': 50};12;12;6493.632928597544;0.35380733306241186;27.272727272727273;24.18890981241195;205502.38940990085;1.7091635615985448;12808.665687119224;11830.74256123211;10878.408951483858;10133.429502832128;11500.644595603646;11663.84878502731;12752.43880094266;13837.581490443976;13387.523946440568;15114.281943695374;18171.36158855789;15138.398339578709;[2364.958462880775, 4975.903578767891, 8108.111308516143, 9213.476847167873, 7411.6891343963525, 7780.866274972688, 6353.8302590573385, 7584.237969556023, 6337.536773559434, 1131.9061763046266, -7625.00058855789, -3474.4633395787096];-2.119444811078464;0.23676796673217182;16;248;-3.4569962781990573;-2.8732659015936024;-2.573018897632674;False
