train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 200};12;12;3224.381142440228;0.5143709581031516;72.72727272727273;-51.89888564240407;38802.36514103428;0.8633426251143881;6615.828424841151;6470.823246854936;7012.3316710482395;7540.113334482867;8276.76094125462;8654.433249631911;9225.40465349572;9514.541406530592;10139.317333614841;10521.408959004279;10690.963667499629;10311.104873664985;[-753.3834248411513, -1417.2512468549357, -1629.9806710482399, -2174.9293344828666, -2867.667941254621, -2734.5112496319116, -3995.2826534957194, -3368.972406530592, -4105.421333614841, -4154.890959004279, -4070.378667499629, -4593.1848736649845];-1.5721750424020846;0.49755406459322066;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 50};12;12;3911.826414357905;0.42331718179301436;36.36363636363637;18.864592386066878;108520.46983440593;inf;7651.0689737004695;6590.393315299251;4843.123848949198;4323.451500312644;5051.955240806648;5726.522960706556;6999.094367621102;7341.130514032002;8382.042700455158;9335.532285484993;10908.296213780843;11024.269161398302;[1435.7360262995307, 1759.781684700748, 4497.308151050803, 5428.611499687356, 6008.860759193352, 4215.098039293443, 2598.887632378898, 2848.5104859679977, 810.4402995448418, 1478.3747145150064, -4507.461213780843, -6072.360161398303];-1.9962798204524768;0.28820664680172503;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 100};12;12;3799.2669092589567;0.3890399961250924;45.45454545454545;39.53075721470391;90383.61926508391;1.300169052627852;6581.726647650314;5116.920454314307;3697.153065580609;3009.6106236929772;3118.602764292001;3375.0640574124736;4150.40047578236;4856.984062972302;5439.4432799638025;5960.622727159612;6684.422935033633;7074.45710109595;[-785.9996476503138, 15.79854568569317, 1827.6319344193907, 3753.181376307023, 5273.530235707998, 4844.888942587526, 3806.7145242176393, 3723.4399370276988, 5155.569720036198, 5657.747272840389, 3827.7920649663674, 1512.7288989040499];-1.8983580529297903;0.3328339282823545;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 100};12;12;2534.501453680548;0.7295512407214256;81.81818181818181;-35.336437701332166;20760.429335135024;0.46791132833401256;6647.272029104208;6105.559419536845;6243.886877929971;6272.91776580757;6662.743220859038;6963.372743901187;7203.238043526102;7421.327682335758;7619.889048884742;7895.707843587653;8156.131648481036;8273.686855496428;[-1601.8100291042074, -4465.037419536845, -4232.6348779299715, -3590.2917658075694, -3548.242220859038, -2171.1517439011877, -1312.305043526102, -200.01368233575795, -10.680048884742064, 896.5521564123474, -105.86464848103606, -1973.6828554964277];-1.9067356414628784;0.3288991172573835;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 50};12;12;699.3816640083766;0.07048684448516697;63.63636363636363;0.46478400811826626;11034.861432442474;0.21940250600449251;6432.556533367071;6145.540836975005;6354.8766225170375;6575.438353521903;6907.991655556976;7082.059158068043;7317.320812687741;7468.167131627743;7704.928700389615;8290.720404331616;8410.33245202679;8385.945748041677;[310.8154666329292, 542.6421630249952, 473.85337748296206, 137.80864647809722, 1254.8473444430238, 65.7338419319567, 311.54418731225906, 148.41286837225653, -344.9927003896155, -318.9824043316157, -398.075452026791, -1777.0027480416766];-1.8493651140926566;0.35624305401391126;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 100};12;12;2086.2177607223393;0.24763601979730063;63.63636363636363;-23.63040203096933;33077.01395132114;0.8068310466457642;7972.453117512293;7683.5677916193345;7884.669254265463;8134.622394613967;8690.200436527957;8917.940196448013;9254.060172293784;9534.424789463017;9719.757427317894;10467.180629299928;10585.440619010107;10547.97978101753;[-1186.5081175122932, -1048.1307916193346, -345.072254265463, -921.7083946139674, 186.50356347204252, -1392.1031964480126, -2156.410172293785, -1783.6587894630175, -2943.6454273178942, -2628.505629299928, -2638.443619010107, -4051.2837810175297];-1.8263150829722468;0.36747744753720135;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 50};12;12;2000.9418841309978;0.16267288933677623;45.45454545454545;-13.392041895581553;47404.782891590075;1.544051626575927;10271.37194641733;9758.662082215595;9614.26508500785;9686.98453471192;9695.308115152431;10127.363744361512;10323.090472837255;10787.35702639229;11058.158015371757;11423.372179463873;11730.818239133438;11724.741528894665;[71.45305358267069, -730.4240822155953, -295.627085007849, -729.3305347119203, -94.3591151524306, -772.2167443615108, -1101.264472837256, -965.0960263922898, -1279.3930153717574, 65.19082053612692, -3721.5412391334376, -5352.2795288946645];-1.7441919226089189;0.40849922131998373;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 200};12;12;3208.501641300498;0.3032076416799692;81.81818181818181;-29.75335103975314;25684.039536191358;2.1242397553671357;12830.265151368632;12546.93792103909;12551.782620721397;12554.082270766634;12748.677253425634;13264.466526878145;13541.268149042771;14151.371318946203;14129.028595548658;14498.257983496605;14804.731253427162;14760.207746208116;[-2233.785151368633, -3659.8959210390913, -3033.685620721397, -2724.5062707666348, -2218.555253425635, -2696.2155268781444, -3340.382149042771, -2892.342318946203, -3136.564595548658, -2606.612983496605, -3252.039253427163, -5440.531746208117];-1.5821636668109125;0.4925467973415172;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 100};12;12;1475.141777729609;0.08911543827858087;54.54545454545455;2.0615273064084985;29093.00089605905;0.2586658084779577;12476.720416545631;12142.945306366677;12392.49268878202;12209.137212483203;12451.285459485736;13032.008936308517;13393.417756574836;13768.312579032176;13936.914497401327;14373.560006576372;14814.97735998332;14973.176268674117;[1457.2315834543679, 1376.3516936333235, 1070.49031121798, 1060.524787516797, 2182.805540514264, 171.24206369148305, 413.0572434251644, 1020.3494209678247, -135.1394974013274, -859.8580065763726, -886.3383599833214, -3503.5812686741174];-1.471489470960006;0.5475650102310187;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PA;querosenedeaviacao;ARIMA;{'n_estimators': 50};12;12;909.0322388747833;0.047329611656828606;36.36363636363637;0.8616562404476524;25068.639103044432;0.14506428171065577;12787.9845634823;12282.606777907225;12364.361246753357;12372.4458846461;12456.32135437396;12783.450407926197;12943.218640232943;13655.596743012833;13677.231989097345;14446.925126961129;14696.50012281532;14772.139771626104;[378.07743651770033, 452.7582220927743, 234.80175324664378, -311.3508846461009, 1232.4266456260393, 306.10859207380236, 35.98735976705757, 804.4342569871678, -170.14198909734478, 1015.0328730388719, -128.4871228153188, -2465.6307716261035];-1.5763366007262751;0.49546855430021974;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
