train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PE;gasolinac;svr;{'C': 1, 'epsilon': 0.5, 'gamma': 0.1, 'kernel': 'rbf'};12;12;12609.673279415347;0.0788886262412931;63.63636363636363;5.458122152552851;198982.8475015724;0.9497040195300726;93599.66554164774;101257.61474293291;106409.951636665;106904.39259071172;110363.38359099398;117160.90893146746;124612.68076109274;128575.10689374093;123667.4570320571;127409.57162994205;124880.18268566963;113730.50643580133;[27094.48445835225, 11359.985257067092, 25207.098363334982, 13262.107409288277, 7201.967409006014, 5682.441068532542, -5797.630761092732, -5083.556893740926, -1708.4570320570929, 7590.079370057967, 203.76731433036912, -5424.1564358013275];-0.5673966004173544;0.8781802025634524;9;387;-3.447360865754795;-2.8690374364690445;-2.5707639493486636;False
1990-01_2022-02;2022-03_2023-02;PE;gasolinac;svr;{'C': 0.1, 'epsilon': 0.3, 'gamma': 1, 'kernel': 'rbf'};12;12;10840.09928822613;0.08310251231202608;72.72727272727273;2.9365443871562005;128406.52946694865;inf;112595.28881725488;110198.9863893812;110058.85065388317;109928.70165714185;110866.35931870948;112176.87255402998;112131.83882017422;115590.32993050794;112580.37318095852;120712.63553605527;114323.99924757682;107940.02093650748;[-11572.238817254882, -9371.144389381196, -4957.076653883167, -11301.615657141854, -802.6003187094757, 12807.677445970025, 15388.761179825786, 8873.380069492065, 5266.076819041482, 19422.014463944724, 6900.450752423174, 10161.929063492513];-0.8798711157571691;0.7945288593280476;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;PE;gasolinac;svr;{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'};12;12;11544.813788630116;0.0856535115360648;72.72727272727273;3.3135331720738654;136766.952651181;1.0302629708813495;70231.83887564286;99121.02651096518;98573.20495024773;99569.787054534;104133.09011284237;108250.98044513288;109749.27661926356;115274.73453083106;114254.17496403682;123126.32992540275;117356.56211524938;108514.64414422784;[29011.04012435714, -2590.5615109651844, 6376.369049752262, 8462.592945466007, 10306.661887157621, 11287.655554867117, 6407.723380736439, 4413.263469168945, -8136.924964036822, -38.92992540275736, -15234.748115249386, -6803.294144227839];-0.8831397651191469;0.7934740180329014;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;False
1990-01_2020-02;2020-03_2021-02;PE;gasolinac;svr;{'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.3, 'C': 0.1};12;12;15706.456710139566;0.13107016799674545;81.81818181818181;-9.253084059982926;124548.73001171167;1.1254904316841083;115122.74026113613;112633.86128058817;111884.46113476786;111014.03881357251;111529.42292079721;113001.8305614268;113584.6561759195;117334.47258885409;115564.82476749222;124683.92486307088;119535.12673113575;113768.38104222009;[-20217.89726113614, -31603.791280588164, -27681.975134767854, -16017.988813572505, -6482.661920797211, -5584.820561426808, -229.629175919501, 8571.448411145917, 2097.4702325077815, 4060.942136929123, -5555.826731135749, -18204.045042220096];-0.7477573793183016;0.8339885956313627;9;351;-3.44911857009962;-2.8698097654570507;-2.5711757061225153;False
1990-01_2019-02;2019-03_2020-02;PE;gasolinac;svr;{'C': 0.1, 'epsilon': 0.5, 'gamma': 5, 'kernel': 'rbf'};12;12;5414.768917487524;0.04085369633031614;72.72727272727273;2.8494605053372455;64041.64479555914;0.569342879590508;112559.21287570185;110253.92670097545;109637.6131634364;109248.69175992387;109397.50776470373;110489.98722735111;110888.01062021448;113836.87695069786;111014.88228470695;118867.07675887614;113140.198858551;107148.18791259585;[-6131.012875701854, 2916.6082990245486, 4782.286836563595, -1700.3197599238629, 6884.760235296271, 8181.222772648893, 4361.573379785521, 8119.625049302136, 7550.541715293046, 4713.923241123863, -1061.0148585510033, 581.3120874041488];-0.7275809700252628;0.8394755258568518;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;False
1990-01_2018-02;2018-03_2019-02;PE;gasolinac;svr;{'C': 1000, 'epsilon': 0.5, 'gamma': 1, 'kernel': 'rbf'};12;12;16314.875281642155;0.14304618424763502;81.81818181818181;-13.86361659119446;129458.01425914453;1.0666205861389213;125021.28550149339;123025.7707472805;122832.27035348276;121729.5991597175;121375.22034446122;122511.1379775092;123366.78852675937;125301.20904679332;122895.02574988372;130529.27940845654;124820.38442788238;119699.8144370163;[-2445.5625014933903, -13784.675747280504, -26379.30835348276, -12113.880159717504, -19751.226344461218, -6234.687977509209, -20661.447526759366, -17973.140046793313, -18431.77274988372, -10275.417408456546, -15197.384427882382, -17329.264437016303];-0.6251743327553674;0.8651916000140312;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;False
1990-01_2017-02;2017-03_2018-02;PE;gasolinac;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.005, 'kernel': 'rbf'};12;12;6576.55674395998;0.040623259185457984;72.72727272727273;-0.8541010035467631;77781.5985952475;0.36696731148508005;124193.61841345248;122663.05167567026;122110.06925599757;121128.44635779828;121603.30582207757;122058.74598627846;122795.3730462232;125726.084959392;122876.68262384304;130603.14440712056;124959.19450406503;119426.91263639176;[9155.023586547512, -2653.03867567025, 4729.406744002423, 4914.217642201722, 575.5521779224218, 2355.0940137215366, -4833.873046223205, 414.829040608005, -3216.0486238430312, -191.12340712056903, -6461.676504065035, -17323.232636391767];0.29529726292683983;0.9771276959401933;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;False
1990-01_2016-02;2016-03_2017-02;PE;gasolinac;svr;{'C': 10, 'epsilon': 0.5, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;9021.354334122605;0.0652546401907554;81.81818181818181;6.553053849162917;71280.16765582317;1.0550060831750516;114404.24085087958;113210.38341242222;112631.97643813275;111717.32658118283;112340.66976373909;112531.39572428374;113581.97218449795;116491.81083748718;113845.61249014002;121259.82938403984;115762.86545949889;110119.46634591035;[5943.209149120419, -670.1064124222175, 4442.010561867239, 4493.937418817164, 3962.827236260913, 12820.222275716267, 13446.52781550205, 8539.045162512819, 10635.022509859977, 10221.270615960166, 12710.934540501112, 9380.184654089651];-0.00047411304598748614;0.9584928596761613;9;303;-3.4521175397304784;-2.8711265007266666;-2.571877823851692;False
1990-01_2015-02;2015-03_2016-02;PE;gasolinac;svr;{'C': 10, 'epsilon': 0.5, 'gamma': 1, 'kernel': 'rbf'};12;12;12986.169929636755;0.11101631590623758;63.63636363636363;-11.004712103081157;205105.1588850953;1.053930974152991;126316.79586041842;124752.21674182882;125327.52550042595;124823.93944553476;124362.18523383244;124937.58975355542;126733.97373227628;128833.80284855637;126231.73398726818;133155.94083999825;125190.89047682773;122426.50344154377;[-10866.273860418427, -4045.84674182882, -12284.269500425959, -14191.723445534764, -10802.372233832444, -14822.661753555425, -15526.978732276286, -14628.187848556365, -19120.36898726817, -11398.553839998247, -11838.698476827733, -10478.092441543777];0.977137013752016;0.9940187631716213;9;291;-3.4530232710482367;-2.871523926671883;-2.5720897694878424;False
1990-01_2014-02;2014-03_2015-02;PE;gasolinac;svr;{'C': 1000, 'epsilon': 0.5, 'gamma': 5, 'kernel': 'rbf'};12;12;10079.348917116253;0.06397610506479535;90.9090909090909;4.801310371949784;39956.62109798504;0.6927043239703354;119484.55050293119;117789.00381088948;117538.3514215952;116851.18190769608;117149.91596978335;117416.22289266111;118356.96689732495;120838.14086302515;118552.28619972311;125226.84202317384;119898.59537554011;115577.06922034813;[2183.322497068817, 7069.277189110522, 3612.7375784048054, -947.1919076960767, 3414.914030216649, 4749.602107338884, 9309.148102675055, 13844.593136974843, 4367.5138002768945, 19789.407976826158, 16673.504624459893, -12213.669220348136];1.730906572633154;0.99820166904996;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
