train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;GO;glp;svr;{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'};12;12;1497.5191763130335;0.02714500492823441;90.9090909090909;1.1658303809363217;5912.661845258143;0.9448582677688476;49094.120457003286;47367.94444245959;48152.90784444619;47978.46072837152;49132.114560314636;49260.63039140605;46621.53101865846;47968.29767578181;47403.58675193185;49253.970918041196;47685.69367734243;45437.61121089826;[2784.810702996714, -1396.5060324595906, 1606.450855553805, 1069.8925316284804, 445.22057968536683, 2006.6123585939495, -848.0328286584627, -529.8791957818103, -349.2805919318489, -1462.5832380411957, 1666.561752657566, 1793.5409591017378];-1.1941365339718768;0.6761129271824888;5;391;-3.4471856790801514;-2.868960436182993;-2.5707229006220524;False
1990-01_2022-02;2022-03_2023-02;GO;glp;svr;{'C': 1000, 'epsilon': 0.5, 'gamma': 1, 'kernel': 'rbf'};12;12;1777.929172559792;0.028431037294765;54.54545454545455;0.06490342134642814;35016.35289487108;inf;47795.20617749714;46978.8692879218;46873.43573806418;47812.68675551263;48111.19795347408;49294.73519027018;46619.18956969467;47974.24466775152;47558.604256502345;49341.72148825662;47848.78241308646;45464.5500398508;[2889.6380225028624, -3819.0232779217986, 2088.4573819358193, 906.6574444873695, -669.73418347408, 1260.3010397298203, 118.57492030533467, -2616.80263775152, -34.441216502345924, 411.3328617433799, 522.8733869135394, -686.5572898508035];-1.2537495271051877;0.650057618885905;5;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2021-02;2021-03_2022-02;GO;glp;svr;{'C': 0.1, 'epsilon': 0.3, 'gamma': 1, 'kernel': 'rbf'};12;12;2288.840531317806;0.04193195849865586;72.72727272727273;-3.1018976722226896;27071.972632049612;1.1877583008165682;50281.58763808442;48869.59356650738;49497.34319950995;49240.89681553176;50475.0208533357;50543.372808297536;48014.13507618577;49386.69297190143;48835.496876912264;50577.92299099156;49091.05673268453;46687.245219398545;[1790.7638119155818, -1882.0482765073757, -1927.5569695099548, 329.1484744682384, 736.2182766643018, -587.5358482975353, -3110.6676861857704, -4400.702031901426, -2769.031296912268, -1647.2291509915594, -3308.1708626845284, -1018.9191293985423];-1.0685012561723048;0.7274684343892188;5;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2020-02;2020-03_2021-02;GO;glp;svr;{'C': 0.1, 'epsilon': 0.3, 'gamma': 5, 'kernel': 'rbf'};12;12;2348.615739839965;0.03864470580885036;72.72727272727273;3.258518340236937;27775.587661009773;0.8678792453818401;48252.208921056765;46943.41114329687;47636.908953676975;47311.66455756842;48472.197682872626;48628.37833344713;46150.351742717925;47423.87577131531;46967.88115735932;48682.20010958496;47216.59114963356;44748.04058565392;[5049.878038943236, 1951.2102367031257, -452.12091367697576, 2376.128922431577, 4193.251597127375, 1440.6270965528674, 1882.1790572820755, 1804.5191586846922, -920.0097773593225, 1016.9701804150391, -687.0893396335596, 1490.8615843460793];-1.0257497315003017;0.7437572196231562;5;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2019-02;2019-03_2020-02;GO;glp;svr;{'C': 1, 'epsilon': 0.3, 'gamma': 5, 'kernel': 'rbf'};12;12;2055.8571605016155;0.037406415805373065;81.81818181818181;2.685037537643943;16219.271672392777;0.6981737152880504;46708.65782240751;45279.49708876543;45993.476077870546;45775.443382309415;46780.17252650161;46975.42375271958;44509.83925841232;45764.565806315615;45281.53468328241;47079.80079335904;45592.73588312545;43094.29381661535;[-1511.4241224075158, 1034.263781234571, 1496.5438521294564, -1479.910772309413, 3214.139063498391, 2143.5816772804174, -123.69613841232058, 3355.6461536843854, 678.6917667175949, 1589.7644266409552, 1257.8492568745496, 3487.584803384656];-1.192465727995372;0.6768283388999905;5;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2018-02;2018-03_2019-02;GO;glp;svr;{'C': 0.1, 'epsilon': 0.3, 'gamma': 5, 'kernel': 'rbf'};12;12;3302.3640739792636;0.04762272006918159;63.63636363636363;-3.60491224957335;52067.597452770104;0.6383710928826599;47647.04494537999;46244.25256800546;47250.79549352542;46855.98856827225;47729.41064670375;47859.580216074;45456.569196863195;46812.83575038376;46250.913032737204;48038.37651970312;46470.86291720162;44016.964337599995;[-1275.1500153799861, -888.5840880054602, -9887.29006352542, -4952.3979932722505, -1285.7349267037498, 632.1353639259978, -1069.1054268631924, -673.906400383763, 654.2010972627977, -1217.6772397031164, -272.9408172016192, 729.3164624000055];-1.5698468090717135;0.4987203875869001;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;GO;glp;svr;{'C': 1, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;2254.556515310885;0.041154731749223274;54.54545454545455;2.9656414490199086;44416.06049965163;1.4404095228224458;45735.74038322274;44600.65060093355;45447.02000834617;45038.350410542414;45964.94489439841;46040.04090103654;43697.55739502661;45145.197749944266;44484.64554272245;46279.99586143927;44746.34448281883;42235.37763353283;[4884.27591677726, -2101.983930933551, 2154.9872416538346, 2577.448069457583, 1391.8051056015902, 2881.096338963456, 1671.1306749733849, -1280.947419944263, 716.4310472775469, 315.7506985607324, 2264.1283471811694, 1011.9357764671731];-1.7549151136200152;0.4030634595635263;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;GO;glp;svr;{'C': 0.1, 'epsilon': 0.5, 'gamma': 5, 'kernel': 'rbf'};12;12;1396.1141858284916;0.023850946896820314;54.54545454545455;-1.3712769373675102;27493.759805401918;0.3309297416977352;45878.170863212894;44831.4029362884;45637.18861556805;45178.82687445209;46197.49913680692;46161.39665652205;43893.88394731367;45366.50306243575;44756.4101587856;46447.23122832425;44982.87328212583;42319.49138691589;[-28.223403212890844, -2459.419236288406, -1174.328105568049, 249.84884554790915, -2230.69659680692, 994.64320347795, -577.4111173136698, -2772.8490724357544, -26.440958785598923, 111.0694916757493, -635.6087921258295, 1222.356443084107];-1.3341502440532649;0.613407379924536;5;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2015-02;2015-03_2016-02;GO;glp;svr;{'C': 1, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'};12;12;1815.2700887290405;0.03513406598584461;72.72727272727273;0.8536647211511551;21465.349858893096;0.4991272588305147;44526.73117234996;43550.05982753184;44561.84952238513;44009.03362186557;45242.41728466333;45334.10446791564;43267.50841635006;44894.675214184426;44546.179529625115;46104.856757116795;44902.47243987851;42115.26979156147;[2910.7108576500395, 1270.6358224681608, 456.12692761487415, 2028.1167381344276, 1959.3345253366715, 1499.9679920843628, -218.8562463500566, -1284.2114441844242, -2981.0110496251145, -203.48356711679662, -2431.4742498785126, 1583.828038438529];-1.3197224517932316;0.6201016644850004;5;295;-3.452713099849546;-2.871387839457783;-2.5720171933352485;False
1990-01_2014-02;2014-03_2015-02;GO;glp;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;1463.765089857749;0.027748588789563655;72.72727272727273;-0.2199254190830285;17304.15763829907;0.355837350056974;45332.009956734546;44256.290309315045;45087.60434738186;44608.02890594865;45501.67016688066;45515.56456725557;43381.698260876394;44704.17397398393;44341.24271605459;45896.92756517703;44570.93923854321;41781.573754078236;[-2007.0063367345429, 198.24773068495415, -14.377897381855291, -996.5289059486531, 2008.9312831193383, 1138.136522744433, 829.0354391236033, 811.3060960160656, -2400.7409060545906, 1286.9727948229702, -2513.611338543211, 485.6653759217661];-1.326914164039489;0.616770885209359;5;283;-3.453670163592738;-2.8718077069772248;-2.5722411158835796;False
