train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;oleodiesel;svr;{'C': 0.1, 'epsilon': 0.5, 'gamma': 0.1, 'kernel': 'rbf'};12;12;13303.319714128256;0.033773622910495175;45.45454545454545;2.1456303899918865;314404.79160547996;0.7771378406342059;246483.00591262002;246444.13456755714;246599.9740996185;246933.46810341635;247937.41781043794;248166.9993026237;248757.75271041575;249297.01111119165;249974.87664023042;250610.87057754287;251134.02976735865;250785.84411822926;[30222.633087380003, -7823.481567557144, 14601.335900381499, -4003.013103416364, -6072.014810437948, 28806.11169737627, 4518.000289584248, -1995.5361111916427, 2756.46235976959, 4401.742422457144, -968.6687673586421, 966.7368817707465];-1.6514426011518402;0.4562881743697291;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SC;oleodiesel;svr;{'C': 1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'};12;12;16079.697071724711;0.04922373091098802;36.36363636363637;0.861246340384507;443425.82820531;inf;221326.53519224474;243871.19263531954;244766.24921382737;248868.1571152462;250835.67212906625;245930.43258181843;247520.46306869658;251862.97007253073;251840.84311913358;248385.29125784314;248977.04963458053;243994.59282246328;[38643.00180775527, 754.310364680452, 11219.635786172643, -19162.10711524621, 6478.098870933754, 17370.54741818155, 2149.7549313034106, -2545.0240725307376, 8978.205880866415, -1450.3072578431456, -18751.97363458053, -18072.475822463282];-1.4220880295170726;0.5716422350583668;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;SC;oleodiesel;svr;{'C': 1, 'epsilon': 0.3, 'gamma': 0.005, 'kernel': 'rbf'};12;12;33245.31657120429;0.12193689388311714;27.272727272727273;12.385546561872816;1048715.153174905;3.922127910274865;210570.05494001912;211269.12526337252;212453.40900202128;213734.6498846647;216020.9346641938;216458.7087171808;217649.03693715605;218704.61652768156;219772.28729187814;220602.49178904342;221559.98843142323;220653.66780974437;[56731.04905998087, 44428.23573662748, 27845.745997978724, 21075.453115335316, 47000.88833580617, 40339.4602828192, 24011.55706284396, 26022.706472318445, 26938.20770812186, 24948.6482109566, 11112.838568576757, 17014.217190255644];-2.0420319902575383;0.26845288428140535;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;SC;oleodiesel;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'};12;12;14355.114151779297;0.050972040288085545;54.54545454545455;-0.5832406730079059;282860.877505929;0.3490187246534935;216872.07990641327;216811.877912015;216840.91133545586;217197.23843230662;218020.22481715423;218164.90703190854;218343.12624922462;218762.1271827341;219018.0427537846;219355.5007185702;219923.3402527664;219603.55089498384;[-4249.59290641328, -31377.527912015008, -14969.62833545587, -16438.30643230662, 1895.5591828457837, 3758.2859680914553, 12616.681750775373, 26176.776817265898, 8930.311246215395, 1051.0702814297983, -5137.606252766389, 2557.9821050161554];-1.9087579613251309;0.3279523723420561;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;SC;oleodiesel;svr;{'C': 1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'};12;12;13993.298615614203;0.052815631994486495;45.45454545454545;4.320424962167754;330827.23786292574;0.38979907616313897;207790.7808294701;207573.42999651478;207408.9742884675;207782.62114526294;208047.12306633402;208151.67205104057;208224.5705219078;208406.8331219323;208568.720342587;208723.3072360709;208980.92654577715;208985.59203399188;[12837.880170529883, 14530.716003485228, 7505.181711532496, -6619.650145262945, 15945.879933665972, 23057.668948959414, 3286.2804780922015, 29256.567878067726, 8624.900657413004, -7583.0062360708835, 8930.914454222831, 3053.31996600813];-2.0692886875289425;0.2570416919606196;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SC;oleodiesel;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'};12;12;17734.324510100443;0.06922134027490319;54.54545454545455;0.12548075810466097;349586.9157639877;0.31751916120525764;204471.5972878347;204225.47504788134;204344.37297091333;204610.37372942353;205362.09052621532;205649.26479304527;205794.16060858688;206082.3878970863;206438.130259192;206732.58465940395;207175.64617751632;206999.39795948908;[11770.744712165295, 9383.105952118669, -47997.09897091333, 23213.176270576456, 9463.796473784663, 16829.751206954737, -10022.349608586897, 3624.4331029136956, 7090.412740808009, -11328.712659403944, -4643.3861775163095, -4283.260959489096];-1.9466077424312302;0.31046276507086895;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SC;oleodiesel;svr;{'C': 10, 'epsilon': 0.5, 'gamma': 0.001, 'kernel': 'rbf'};12;12;12922.455633127965;0.04563985449732208;45.45454545454545;2.434056784874141;305470.31950988295;0.22629517082731304;193754.00394809665;195357.85682913367;197042.24019609406;198646.29462608186;200971.15309362594;200904.8726506073;201708.23236544136;202298.2187177666;202886.60707666303;203311.57763886452;203457.33059841767;202287.57609948236;[34785.311551903345, -5073.058429133671, 9400.31930390594, -861.6036260818655, 6944.049106374063, 17004.1815493927, 5830.467634558649, 6716.685782233399, 7132.977323336963, -10357.087238864508, -10111.067598417663, -1470.9150994823722];-1.9310772980928121;0.3175855218985222;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;SC;oleodiesel;svr;{'C': 100, 'epsilon': 0.5, 'gamma': 5, 'kernel': 'rbf'};12;12;9831.993895282458;0.03933473748647102;63.63636363636363;-0.9364547796316545;154981.83645642316;0.16428051756835868;202412.20553422003;202412.20553419163;202412.20553420062;202412.20553420743;202412.20553421212;202412.205534215;202412.20553421823;202412.20553420024;202412.20553420816;202412.20553420958;202412.20553420996;202412.2055341999;[17739.433465779963, 4101.075465808361, 1817.3244657993782, 2186.718465792568, -662.3765342121187, 5926.157465785014, 3566.5204657817667, -8563.251534200244, -3529.9065342081594, -14752.558534209587, -13215.854534209968, -17148.23773419988];-1.4777544607785105;0.5444857902016891;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;SC;oleodiesel;svr;{'C': 1, 'epsilon': 0.5, 'gamma': 0.1, 'kernel': 'rbf'};12;12;20268.248124754515;0.08853016475110248;54.54545454545455;-5.229275439319642;399706.39591560484;0.38621183817732535;197039.90639855084;202639.41491055855;208497.53792896227;210927.75638024686;219232.47276075103;214912.42634393205;213899.1360638187;219886.2538960205;217517.3177722982;218485.00459742782;216448.23997659958;208680.22019388046;[35326.938501449156, 8002.212089441455, -10813.60092896226, -6224.438380246866, -21667.54326075103, -2119.7234439320455, -16143.157363818696, -21490.662496020494, -26211.49697229822, -26115.52159742781, -27623.696976599575, -11548.141193880467];-0.41854770005883857;0.9069556123373534;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;SC;oleodiesel;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'};12;12;15994.943090993755;0.061211622342689946;63.63636363636363;0.6792623861413033;252279.95360977933;0.34677677219991115;209477.6412804616;209582.53574470992;209434.37292054028;209475.6710419344;209905.65654021918;209994.3731288405;210185.1476155912;210483.40423035622;210544.53192873934;210556.96052169357;210802.11484670764;210699.0130517477;[5769.46671953841, 6927.0272552900715, 9047.853079459717, -18320.12604193439, 10957.502459780837, 11019.439871159499, 11281.777384408779, 29112.663769643783, -1021.5159287393326, -12144.850521693588, -659.4272467076371, -34727.52505174768];-0.0039844333017979155;0.9582013332101877;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
