train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SP;querosenedeaviacao;svr;{'C': 1000, 'epsilon': 0.3, 'gamma': 3, 'kernel': 'rbf'};12;12;50414.305052626376;0.1474149161156453;54.54545454545455;14.980958904536596;995495.2671231919;1.007854777502061;248095.5702367338;244496.0057350553;273855.44050564204;274838.81685507233;274842.68766758253;274848.2443443752;274844.2122238464;274839.9042725471;274833.88402494305;274838.916888336;274736.6564945983;274708.0903317086;[72661.95576326622, 21317.510264944693, 45154.34849435795, 42105.72814492765, 69414.65033241746, 20387.709655624814, 51993.23977615358, 52987.908727452916, 43359.841975056974, 56003.147111664, 65532.63350540167, 29953.296668291383];-2.9174038519155623;0.04336127519923846;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;SP;querosenedeaviacao;svr;{'C': 1000, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;76377.01111830867;0.2616110095248812;54.54545454545455;26.60322987037032;1511939.747968383;inf;166988.4889129581;173627.97544211283;203553.14022093234;205179.1485806204;205217.91249530198;205215.35855449428;205208.14959133047;205190.4337112114;205179.94885458337;205195.5508538918;205036.3741885896;204898.54794429266;[85300.4900870419, 72787.71755788717, 59475.102779067674, 44530.08741937962, 72785.49850469804, 57977.053445505735, 48995.41140866952, 49198.70328878859, 67968.91114541661, 84826.09214610819, 141590.6808114104, 81016.30705570732];-3.0373669281962514;0.03154910592874473;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;SP;querosenedeaviacao;svr;{'C': 1, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'};12;12;68667.56918757145;0.32053736250675235;63.63636363636363;31.90433052367193;1090769.6885933047;0.9506157721259599;115708.37114056172;109934.3613678987;103910.49215288146;104437.52518593956;108504.42174591389;116376.2230142782;128672.74896212517;141324.8455306117;158766.84159717342;175106.04598201576;191907.68690177953;205883.612765624;[45091.02185943829, 30013.488632101304, 60245.54084711854, 69243.84481406043, 98579.38825408611, 85471.28098572178, 77796.48503787482, 75716.39046938831, 75829.71440282659, 82963.66201798426, 58708.70409822048, 18337.07823437598];-2.895738848077558;0.04584576005308042;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;SP;querosenedeaviacao;svr;{'C': 100, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;210747.1795226296;2.0657853837682656;63.63636363636363;-146.2356208386096;3506955.7405712386;1.510679264507522;340525.80768373626;340525.39656943467;340525.0585074866;340524.22794251627;340524.0712074747;340524.170728245;340523.1629912826;340523.43562847393;340523.6890466966;340523.90579665627;340524.5048845036;340524.36593629204;[-83745.44768373627, -290432.11956943467, -276854.77850748657, -259199.94794251627, -239138.38920747468, -230817.256728245, -215430.85499128257, -187009.60562847395, -171245.76304669658, -142875.24079665626, -135629.2598845036, -194408.39393629204];-1.9833308010841877;0.29392944762890116;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;SP;querosenedeaviacao;svr;{'C': 10, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;17923.64060206795;0.04165762751307139;81.81818181818181;0.6726728421090927;141435.71319227308;0.21353887759507714;334976.91739229235;334976.3170111376;334975.92349729646;334975.41229227063;334975.46934113017;334975.91859135684;334974.49942120607;334974.8725797251;334975.00136492774;334975.0703420173;334975.8574863091;334975.4364071423;[6387.088607707643, -14133.984011137625, -16040.018497296434, -32590.766292270622, 8013.556658869842, 211.13840864313534, -1706.1174212060869, 12023.418420274917, 8988.603635072242, 27961.335657982738, 34372.53951369092, -6264.2004071423435];-2.114785188965209;0.23861111290992065;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SP;querosenedeaviacao;svr;{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'};12;12;85532.38432145253;0.24480185078992123;27.272727272727273;24.46802195832588;2702645.8912352007;1.3254525918755724;184239.1930869689;223016.94508188014;212329.47106773814;245409.27765837396;248715.81126067668;277497.4434621819;278446.8567219721;273123.9665001788;284412.00673731655;267046.35853674944;268888.8332750904;253843.83853692585;[134183.93291303108, 86035.74891811988, 111404.61393226188, 63840.07734162602, 101011.9627393233, 60750.81453781808, 48971.75127802789, 61411.85549982119, 47769.78926268342, 92944.63646325056, 102256.5107249096, 66743.27746307413];-2.454563699149678;0.12692435906546407;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SP;querosenedeaviacao;svr;{'C': 1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;38272.735498239985;0.07608953101337983;45.45454545454545;6.221556789837168;905221.7392296547;1.0601512220212632;236163.8018053578;236172.92845956841;236195.74928172445;236201.0609539654;236211.99479449753;236216.46772648918;236204.1121905463;236197.28877857098;236183.53449005133;236161.36183497583;236147.14292482688;236116.3204767271;[-2355.0508053578087, -13886.25945956842, -6755.149281724443, -8476.106953965413, 11904.01620550247, 5002.650273510808, -7297.331190546305, 10448.939221429027, 4947.680509948666, 26337.862165024155, 116297.2990751731, 51859.31652327289];-3.024577245465639;0.03266207211184715;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;True
1990-01_2016-02;2016-03_2017-02;SP;querosenedeaviacao;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'};12;12;19687.683485747366;0.07108554401060585;45.45454545454545;-6.874360309898753;465608.61280562007;0.4165585437094296;248218.45820278188;247722.2631658435;247002.81858372575;246575.86214573585;246317.91827574198;246462.76048524713;246978.04661878044;247856.97329973406;249305.70852014725;251244.50924565643;253703.5007674398;256383.7213612994;[-10729.205202781886, -23312.2631658435, -9468.411583725741, -20036.425145735848, -1327.0822757419664, -16375.366485247127, -20470.76061878045, -7065.640299734048, -24478.04652014724, -11064.085245656432, -2757.645767439797, -45094.229361299396];-3.3877271159262707;0.011384436621010595;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2015-02;2015-03_2016-02;SP;querosenedeaviacao;svr;{'C': 10, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;11617.261313236431;0.03788854142594055;63.63636363636363;-2.2527997383941627;183115.61774323945;0.3934735232527122;254407.15443041618;254407.1252796174;254407.1948914912;254407.4722597127;254407.47409820143;254407.72662060024;254407.38077595335;254407.57131584187;254407.57728949335;254407.3849629665;254407.4679702993;254407.1040026683;[1971.442569583829, -7571.086279617419, -4832.1008914911945, -15423.820259712695, 10487.183901798562, -6943.601620600239, -8517.54677595335, -1223.7533158418664, -13630.790289493336, -2523.226962966495, 9063.382029700675, -28116.311002668284];-3.2352072550540116;0.018035078236807375;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
1990-01_2014-02;2014-03_2015-02;SP;querosenedeaviacao;svr;{'C': 100, 'epsilon': 0.5, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;15567.931307615874;0.05339673004608944;54.54545454545455;4.596657533968307;306775.18605784135;0.7012450604044062;231081.4693353753;231884.22630434038;232367.6263339964;235013.84732280803;237451.39740574535;240424.84756000972;243566.5606541858;245655.12965389685;248242.53317665693;249670.3367862798;251332.97098396698;252151.98817259583;[25607.204664624704, 17417.107695659623, 25453.210666003608, 7683.838677191961, 22364.176594254648, 13674.57043999029, 666.2943458142108, 7589.955346103146, 5916.218823343079, 10996.615213720186, 14161.151016032993, -11860.308172595833];-3.173170601143926;0.021591148140386533;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;True
