train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;etanolhidratado;svr;{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1405.2426399148446;0.28713869717777846;36.36363636363637;17.5325314782213;38904.59069173262;0.61441891978183;1442.4709506570957;2976.161582934713;3055.0745396276498;3827.4073778577963;4038.782324501488;4072.051267703597;3750.8485138175542;3531.1291570377907;2981.1988287711188;2910.367188614597;3583.9567777865154;3284.7845729734163;[2044.5270493429043, -47.631582934712696, -313.04453962764956, -1209.4073778577963, -1216.282324501488, -32.051267703597205, 608.6814861824455, 892.900842962209, 1281.331171228881, 2138.1628113854026, 1897.0432222134846, 2343.7154270265837];-3.2411006335778065;0.017725517292846958;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1903.8054536916732;0.6093692617365211;72.72727272727273;-24.68348839196332;22992.414413733375;inf;3543.6204962485367;3235.5126664432846;3063.2198615664406;3209.5381407850705;3597.717444298926;4085.0354866454477;4466.181268599397;4799.180246825714;5075.01317658715;5198.08549989838;5159.240011635984;4922.922815848719;[1794.5095037514634, 1455.347333556715, 1234.6101384335593, 1098.691859214929, 50.482555701074034, -1528.6194866454475, -2277.9312685993973, -2498.750246825714, -2400.4131765871502, -2146.9554998983795, -2391.340011635984, -2358.4228158487194];-3.111279114209237;0.025729665812376335;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;MA;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1468.251259644623;0.22135707424933995;45.45454545454545;23.054351999169537;34824.40316623779;0.7492141494001566;1842.9451572548808;2521.8010042316478;2761.5006485677177;3527.685901990111;3890.8365484410524;4513.233624307399;4138.979939597535;3880.7618159210488;3455.7570266752628;3108.4638452370828;3214.1671690730695;3326.1773916232764;[3207.8148427451197, 1255.9289957683523, 894.0293514322825, -71.62590199011083, 187.39345155894762, 1771.3263756926017, -361.349939597535, 2834.468184078951, 606.2029733247373, 1155.7661547629168, 275.1628309269304, 284.2526083767234];-3.149401098236266;0.023106803005948837;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;True
1990-01_2020-02;2020-03_2021-02;MA;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1078.0896908501504;0.3601432334703689;54.54545454545455;-18.223697279577646;21394.60062103432;0.5879817238487081;2309.527187413144;3121.2991187536268;3389.8541285236433;4187.641764031784;4432.289093446096;4918.5777563495785;4573.4772175149665;4383.580453328561;4151.920586303925;3777.0526043692184;3875.711125820403;3878.710659725498;[411.1728125868558, -1249.7691187536268, -1660.2941285236434, -1863.6117640317839, -1035.3890934460956, -1476.7477563495786, -689.3572175149666, -635.7204533285608, -847.060586303925, 769.3773956307818, 438.9488741795967, 593.6493402745018];-3.218030956688415;0.01896441430473894;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;True
1990-01_2019-02;2019-03_2020-02;MA;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1431.8737222961836;0.278511793660739;45.45454545454545;24.188005157254956;33998.50684040436;0.8588212851574744;1313.9955138996015;2079.384829253114;2393.0716933620733;3290.2296462200165;3746.0560887017973;4402.15809098776;4089.0057078110503;3825.041155386345;3124.4557764395904;2844.3822663224546;3011.16091391129;2998.5275995185543;[1886.1244861003984, 1614.2451707468863, 1830.6283066379265, 296.6003537799834, 331.00391129820264, -531.5280909877602, -604.6057078110503, 460.65884461365476, 1620.14422356041, 2735.5777336775454, 1966.2990860887098, 237.27240048144586];-3.1165987368266244;0.025348945873863816;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;True
1990-01_2018-02;2018-03_2019-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1281.2002498430413;0.32698860057559415;45.45454545454545;34.66836842445581;30449.63662558947;0.7856886479095343;1756.993739635925;1565.0613765893725;1502.1969316097275;1626.3012787126133;1853.1806654763927;2107.4305814930876;2288.847498037459;2454.027636876429;2574.534711052419;2631.7083801725116;2644.4178493767004;2590.176615819897;[201.446260364075, 415.9306234106275, 1098.0520683902723, 1643.9987212873868, 1371.9193345236072, 1483.2494185069122, 1575.549501962541, 2188.998363123571, 1650.1072889475809, 931.8586198274884, 741.8421506232999, 279.02338418010277];-3.2134026489927123;0.019221871265999307;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;True
1990-01_2017-02;2017-03_2018-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;837.0538303574929;0.29284837784468315;63.63636363636363;-28.36791078997513;13290.935169780842;0.5173614371652302;1942.7295960687497;1731.3288334764854;1714.2008384862322;1951.76805133828;2318.5095432072985;2735.2615473171118;3039.2629445254097;3380.2088660755485;3652.686662191398;3784.5975445923737;3755.843513216695;3606.7382161803002;[-162.72959606874974, -73.42883347648535, 255.94916151376788, -41.268051338279975, -538.0095432072985, -400.4615473171116, -408.22694452540964, -949.7168660755483, -1044.558662191398, -1080.9325445923737, -1296.809513216695, -1687.9442161803001];-2.802540405165647;0.05791180455931818;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;MA;etanolhidratado;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1};12;12;1989.664802946398;0.7502437002247122;45.45454545454545;-60.54585029828624;47657.73604466485;1.654959927635607;3988.6872959254074;3770.889149013241;3660.6536005302496;3753.0463034627774;3995.014675223302;4297.073345836067;4526.469781059626;4747.884943890994;4924.1863099215325;5047.242796139496;5109.70267453659;5067.86491573533;[-961.9872959254076, -1202.789149013241, -901.8536005302494, -912.0463034627774, 380.47232477669786, -525.4503458360673, -1972.669781059626, -2221.284943890994, -2709.9363099215325, -2551.442796139496, -2937.70267453659, -3428.96491573533];-3.066646271359952;0.02912201601181197;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;MA;etanolhidratado;svr;{'C': 100, 'gamma': 'auto', 'kernel': 'linear'};12;12;1358.2073608477479;0.2588844724920299;36.36363636363637;20.739908213170647;37585.2733613967;0.9431943669713109;1876.0047949918514;3578.3148771606316;3891.635532903538;3762.92588303441;3734.457840648315;3788.632113968804;3689.253574123617;3685.02931368523;3735.76674553058;3767.881323681616;3921.6967548297557;3899.5906517506355;[3026.9952050081483, 1214.4851228393686, 1020.2124670964618, 733.87411696559, 1006.5421593516849, 852.1678860311963, 1379.746425876383, 1867.4706863147699, 717.23325446942, 996.7886763183842, -430.0967548297558, -1046.9906517506356];-2.7279882107360436;0.069319038820963;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1458.7132315958245;0.3902149739177969;72.72727272727273;38.373867537250625;17477.666617904015;1.2053868872337945;2004.2369333256415;1719.420355237945;1491.1105495571287;1445.4327420225868;1626.3549359143822;1947.6224991306578;2223.9949499759136;2509.692322119216;2766.461395859644;2971.1206825192276;3188.483823161331;3299.6714388080118;[1707.7630666743585, 1906.579644762055, 1794.8894504428713, 1588.506257977413, 1845.1450640856178, 1248.8775008693422, 693.0050500240864, 940.307677880784, 1297.338604140356, 1511.8793174807724, 1376.7161768386686, 1022.1285611919884];-2.260545053233453;0.1850087741315774;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
