train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;etanolhidratado;svr;{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1566.8816117484785;0.36921304489949125;27.272727272727273;14.804968185703382;49606.10456563043;0.7483501174763423;1523.893468340078;3776.538436394945;3917.9372706975537;4211.265096080883;4186.706879627964;4058.0547708874087;3812.589849572963;2964.7852217413188;2523.5774635988337;2695.981868563394;3596.6189694223385;3491.209472824736;[1963.104531659922, -848.008436394945, -1175.9072706975535, -1593.2650960808833, -1364.2068796279636, -18.054770887408722, 546.9401504270368, 1459.244778258681, 1738.952536401166, 2352.5481314366057, 1884.3810305776615, 2137.290527175264];-3.2357953221210547;0.018003977985832084;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1800.3229458710339;0.5702969992006839;54.54545454545455;-23.481571717664824;35890.4754027352;inf;3763.6518121340105;3512.3195847647303;3290.022966443246;3179.7708483410643;3313.5759148037278;3712.343684643947;3955.3424998764417;4442.653216515519;4803.524261828069;5171.3846278422225;5402.121595997706;5323.144312986808;[1574.4781878659896, 1178.5404152352694, 1007.807033556754, 1128.4591516589353, 334.62408519627206, -1155.927684643947, -1767.0924998764417, -2142.2232165155187, -2128.924261828069, -2120.2546278422224, -2634.221595997706, -2758.6443129868076];-3.3304046821147417;0.013572895519911038;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;True
1990-01_2021-02;2021-03_2022-02;MA;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1488.0064305416922;0.2383455233352608;45.45454545454545;23.492287305566208;35304.238954983695;0.7969414051274737;2459.7290385289793;2103.8077829079384;2491.0223101831207;3000.184916061078;3470.085274789123;3847.571231123631;3900.5520073808298;3858.15931596693;3624.270049286618;3491.7112990143405;3667.3162618928973;4039.2034114711064;[2591.030961471021, 1673.9222170920616, 1164.5076898168795, 455.87508393892176, 608.1447252108769, 2436.9887688763692, -122.92200738082965, 2857.0706840330695, 437.68995071338213, 772.518700985659, -177.98626189289735, -428.77341147110656];-3.436056076064776;0.00978943951489302;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;True
1990-01_2020-02;2020-03_2021-02;MA;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;931.2455728052407;0.297746842604118;54.54545454545455;-19.065060065761838;18455.06786314701;0.4660755274339344;2391.938843270534;2755.9590465793485;3335.891258515301;4030.091764867168;4343.134613358269;4680.554693683027;4396.3114703402;4241.570591992691;4227.978998690759;4071.7131722028403;4282.114667020484;4576.8650045268905;[328.7611567294657, -884.4290465793486, -1606.3312585153012, -1706.0617648671678, -946.2346133582691, -1238.724693683027, -512.1914703401999, -493.7105919926912, -923.1189986907589, 474.71682779716, 32.54533297951548, -104.50500452689084];-3.4070068386704544;0.010722315548933315;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;True
1990-01_2019-02;2019-03_2020-02;MA;etanolhidratado;svr;{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1284.007572336186;0.2570637741946694;36.36363636363637;23.340191088251856;35531.29166141044;0.7724555850561758;1611.3151780318753;1546.6255382426482;2152.722933399358;2881.402502150771;3327.4317270774313;3715.3938113779195;3817.638886180501;3985.623466344192;3913.974606437655;3574.5303108925855;3469.367981025941;3536.531176241211;[1588.8048219681245, 2147.004461757352, 2070.9770666006416, 705.427497849229, 749.6282729225686, 155.2361886220806, -333.2388861805007, 300.0765336558079, 830.6253935623454, 2005.4296891074146, 1508.092018974059, -300.73117624121096];-3.2737548723950787;0.016093175506091347;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;True
1990-01_2018-02;2018-03_2019-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1288.391541850053;0.3253173266303004;45.45454545454545;34.558835160996175;30619.533206195436;0.7832062974102242;1764.0128422336134;1550.420282667064;1481.7200027189765;1646.1453735689884;1877.8416164592466;2084.329669706101;2265.5919526894386;2412.534069176687;2529.6161642214865;2658.710713341845;2712.715787664003;2654.150476016766;[194.4271577663867, 430.57171733293603, 1118.5289972810233, 1624.1546264310118, 1347.2583835407534, 1506.3503302938989, 1598.8050473105613, 2230.491930823313, 1695.0258357785133, 904.8562866581551, 673.5442123359971, 215.04952398323394];-3.17577499320384;0.021430441145917717;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;True
1990-01_2017-02;2017-03_2018-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;869.0116757130921;0.34396534815236207;54.54545454545455;-34.86795885583923;17240.433377754278;0.5995988285642977;1744.0138625741483;1905.2090361553942;2145.7753968937736;2436.639707690115;2805.278290994823;3134.6015726069836;3433.09323899721;3675.812570505518;3711.545618198204;3624.716300158872;3462.0718139828396;3236.416268964035;[35.986137425851666, -247.3090361553941, -175.62539689377354, -526.1397076901148, -1024.7782909948228, -799.8015726069834, -802.0572389972099, -1245.320570505518, -1103.4176181982039, -921.051300158872, -1003.0378139828395, -1317.6222689640351];-3.0917920213393892;0.027166608890540858;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;True
1990-01_2016-02;2016-03_2017-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2014.0565767245748;0.7603961384201904;45.45454545454545;-62.94172973662159;48250.860179997406;1.6804942885403478;3865.3038911346757;3760.2524675762847;3760.194722072458;3966.3307903480936;4229.911705532637;4476.344942649586;4647.904747546946;4837.07274832815;4966.611519430608;5080.7127800597045;5100.621140046756;4986.730337447195;[-838.6038911346759, -1192.1524675762848, -1001.3947220724576, -1125.3307903480936, 145.57529446736316, -704.7219426495863, -2094.104747546946, -2310.47274832815, -2752.3615194306076, -2584.9127800597043, -2928.6211400467564, -3347.830337447195];-3.2209581333511705;0.018803143086270326;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;True
1990-01_2015-02;2015-03_2016-02;MA;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1587.7317998591645;0.3084390573614823;45.45454545454545;26.99123423988078;37719.77767072583;1.1358066816603998;4104.199332520664;3947.5339098724307;3589.2554829108453;3185.9012966394166;2903.5901745709425;2745.5003231813967;2705.368715742882;2809.4448215522757;3048.430616098817;3302.5233799532853;3612.059385256555;3959.805909272465;[798.800667479336, 845.2660901275694, 1322.5925170891546, 1310.8987033605836, 1837.4098254290575, 1895.2996768186035, 2363.631284257118, 2743.0551784477243, 1404.5693839011828, 1462.1466200467148, -120.45938525655492, -1107.2059092724653];-3.0665075039549454;0.029133132041355935;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;True
1990-01_2014-02;2014-03_2015-02;MA;etanolhidratado;svr;{'kernel': 'rbf', 'gamma': 'auto', 'C': 0.1};12;12;1732.0501933280777;0.43644635152680283;72.72727272727273;43.997358992797736;20787.027034102706;1.3820300899135272;3189.311533667948;2814.5730178314066;2326.623661575456;1850.7978242956942;1553.2558482137392;1446.7303304644197;1472.4861135041513;1599.617432553351;1793.7791823307366;1918.0664984407576;2183.588783750397;2563.3090037270576;[522.688466332052, 811.4269821685934, 959.376338424544, 1183.1411757043056, 1918.2441517862608, 1749.7696695355803, 1444.5138864958487, 1850.382567446649, 2270.0208176692636, 2564.9335015592424, 2381.611216249603, 1758.4909962729425];-2.9264625039481396;0.04235617372909403;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;True
