train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RN;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1607.3934883673355;0.2672284439552071;54.54545454545455;-3.9952845111902273;31828.610945171306;0.7992029659008586;2934.0908072324173;4640.054209420087;5865.503666039743;7647.363747643727;6768.652695928325;5435.952465248393;4308.100525050558;3723.502847789324;3643.5049534413456;4108.658740944177;5242.493296169932;5807.006184765052;[2157.969192767583, -773.0542094200873, -912.0536660397429, -3377.863747643727, -2677.1526959283246, -864.9524652483933, 527.3994749494423, 291.9971522106762, -108.5049534413456, 1665.8412590558228, 1548.5067038300676, 211.99381523494776];-2.3569472789139727;0.1542580954593903;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1902.2716125832944;0.3550850638187604;81.81818181818181;-7.101395842502507;15271.786817970651;inf;5397.774241547235;5234.588714416436;4882.131568246822;4739.724350893899;4631.253929174882;4528.515382635476;4919.7042338210895;5239.400290176696;5882.010785991637;6470.8879160074;7023.5513390148635;7510.586573740228;[2243.225758452765, 2867.747285583564, 1949.868431753178, 945.7756491061009, -101.85392917488207, -1767.0153826354763, -1719.2042338210895, -1110.9002901766962, -1399.7797859916373, -714.8879160074002, -2789.0513390148635, -2810.5865737402282];-2.1542910764817567;0.22325118710050706;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'};12;12;2719.348591778649;0.3725459425680999;36.36363636363637;-11.471099207595412;75381.55556685568;1.9439891480399047;2730.5613027263876;6375.986268160778;5616.967983591022;5312.227591786999;5334.104538294385;5878.537553848257;5902.182342349881;6353.856590129601;7471.184073727452;7743.178123626656;9150.164641232037;8996.070296755071;[6067.938697273612, 2.9137318392213274, 769.532016408978, 186.9244082130008, -670.5445382943844, -2277.5375538482567, 1534.3176576501191, -1626.3565901296006, -1248.1840737274524, -2619.678123626656, -4027.164641232037, -4002.0702967550715];-1.9575038562278926;0.30551120134023424;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2016.2429795445084;0.3745060875501989;81.81818181818181;-25.354928063163058;16203.711045454907;0.5347736333703424;8024.831209992467;7378.516213553894;6890.244528476692;6771.41008095381;6860.214093241246;7059.442214780755;7445.90270374372;7981.532381012008;8258.36328379323;8827.957366267434;9390.6310428585;9778.22687536868;[-1381.331209992467, -3482.016213553894, -3984.744528476692, -3125.9100809538104, -1593.2140932412458, -1571.4422147807554, -1648.67970374372, -630.532381012008, -528.3632837932291, -144.681366267434, -772.0440428585007, -284.92687536868107];-2.0841492824924486;0.25093583396590635;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RN;etanolhidratado;svr;{'kernel': 'linear', 'gamma': 'auto', 'C': 10};12;12;2120.7691615289705;0.21363017525193742;72.72727272727273;-3.3666102996598015;25243.79420389419;0.574236144198587;3425.3281466092203;7524.686662016135;7120.676553697815;7525.992113756459;8288.23888362751;7698.261990586231;8345.274683741196;9281.758835225399;9961.975133230775;10155.61100205442;11171.82665850214;10738.788271473177;[5442.67185339078, 1354.8133379838646, 1549.5144463021861, -870.4921137564588, -1073.7638836275091, -1253.7619905862311, -1707.274683741196, -1443.2588352253988, -2445.975133230775, 308.34699794558037, -1046.3276585021395, -2111.788271473177];-1.8117014907883917;0.37466789831207664;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RN;etanolhidratado;svr;{'kernel': 'linear', 'gamma': 'auto', 'C': 1000};12;12;4154.301569160681;0.4110238697694614;54.54545454545455;42.823786481184506;82514.07320944437;0.9076615736263917;2083.9838185280973;4692.742187228716;4363.404995125331;4484.2360080390035;4459.104689980815;4537.71405077385;5009.875967065152;5061.180579013239;5368.978179786466;5894.0828519889565;6759.895947689586;7034.478449539387;[5042.313181471902, 1043.0578127712843, 1921.617004874669, 3911.713991960997, 1888.588310019185, 2897.2859492261496, 4728.177032934848, 6459.954420986761, 5488.214820213533, 6310.521148011043, 3713.104052310414, 1346.7095504606132];-2.0442934127693535;0.26749581191627547;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1331.7268747724725;0.15792747141138955;72.72727272727273;10.703105317128566;15819.879706435071;0.4107784708450599;4198.8134604527495;4025.4352121103802;3971.4418075078993;4034.6495340877436;4217.865179082663;4363.101681083782;4497.861284773852;4701.422121152265;4804.972908335833;4977.378471400023;5124.941879601294;5222.81924179173;[227.6865395472505, -396.43521211038023, -289.9418075078993, -689.1495340877436, -795.8651790826634, 80.0463189162183, 43.25471522614771, -159.8691211522655, 1081.6230916641662, 2413.982528599977, 2976.554120398706, 1997.4057582082705];-1.9757530365696085;0.2973046815638537;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;RN;etanolhidratado;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 100};12;12;1502.6308531337638;0.33176790249939425;54.54545454545455;-28.72027797979268;29797.772311312878;1.1092117453614283;3885.466598387547;5122.045898014458;5583.184175665828;6082.385100696396;6105.4130343914;5816.44326839557;5493.024219870022;5893.997485699467;5629.49361084291;5857.797720740531;6602.318225657591;6263.2729143642255;[1059.2004016124533, -939.0578980144574, -1116.6841756658278, -1808.385100696396, -2049.4130343914003, -1562.9432683955702, -1268.0242198700216, -1566.9974856994668, -1320.9936108429101, -838.2977207405311, -1737.818225657591, -2097.5669143642253];-2.3379021055989067;0.16003492814791548;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RN;etanolhidratado;svr;{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;2313.491245689629;0.3601651100407491;36.36363636363637;36.918203806390245;64119.79716190617;1.35953339513463;3076.4260411997006;3014.1224997930426;3166.83727351388;3514.177346286123;3862.114279767861;4052.4050626800217;4003.638593897236;3995.138612665971;3803.456293023265;3514.7325363882906;3880.5881628355255;4344.41859497993;[2866.6239588002995, 2805.5385002069575, 2330.66272648612, 1996.3226537138771, 1522.9357202321394, 1304.5949373199783, 1312.3614061027638, 3506.861387334029, 2278.011706976735, 3442.520463611709, 1743.4118371644745, 774.3314050200697];-2.2160290061020964;0.20047937204896726;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;462.18689417569834;0.09178214027986596;54.54545454545455;-2.642698484634861;9117.120373556596;0.2074018178219202;3899.117660720121;3782.946056115703;3682.7852410752157;3564.580997305072;3531.090802994254;3550.542156684143;3606.745300595644;3684.0964685219556;3743.0975883414535;3898.833848218388;4042.0093013072974;4219.8588764504875;[-389.11766072012097, -203.44605611570296, -176.7852410752157, -380.8259973050717, -207.7628029942539, -457.8741566841427, -374.7723005956441, -169.35846852195573, -327.7475883414536, 256.1661517816119, 2.9906986927026082, 1264.6411235495125];-2.08897097429674;0.24897249190967635;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'};12;12;585.8684865046664;0.11260659798333982;63.63636363636363;1.2017813408340188;9255.376321501986;0.29181308099353054;2631.1768591916702;3729.0906085823844;3696.9536153852805;3863.00108046502;3983.10158097011;3998.7834770721165;3971.640826826798;3884.5486680120202;3895.8941337704455;4030.699279022479;4391.5585894006035;4350.872890965911;[1534.8231408083298, 478.10439141761526, 199.5463846147195, -253.0010804650201, -225.6585809701096, -175.63947707211673, -460.6408268267978, -118.54866801202024, -480.2441337704454, 663.800720977521, 70.4544105993964, -668.2544309659111];-2.025990882575943;0.2752945424639568;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
1990-01_2012-02;2012-03_2013-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;575.1007931620735;0.1337599114396859;54.54545454545455;-3.5216343461530166;11355.303690979299;0.37013532500343516;3427.359968481344;3223.5465329693475;3236.5439506222165;3517.887789752903;3852.999579204153;4104.478194203453;4390.270900709937;4543.770180540207;4611.394374078901;4837.052663940023;5036.912670796071;5085.362626075667;[733.4260315186561, 645.4534670306525, 754.3160493777837, 206.2962102470974, -172.449579204153, -380.9781942034533, -837.7209007099373, -570.2891805402064, -801.7136630789009, -320.0273079400231, -445.36267079607114, -507.3626260756673];-2.0213587482862336;0.2772872608940422;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2974.656165395755;0.7557910836919418;36.36363636363637;-70.21670234328306;82962.0362463357;1.9157018165192128;6470.258272046206;6236.188388277164;6016.886891901118;6063.9507477079405;6306.307191534546;6456.430400968196;6684.281006776741;6910.496089255579;7002.882456444672;7261.212747530833;7590.188076381123;7831.445399698479;[-533.2882720462057, -2436.1076142771644, -2042.4198919011183, -1651.9709817079402, -2062.6709195345466, -2501.0104009681963, -3258.2810067767414, -3760.496089255579, -3589.3314564446723, -3135.8697475308336, -4059.949076381123, -4312.29539969848];-1.8288829361566092;0.36621930370567063;15;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;False
1990-01_2010-02;2010-03_2011-02;RN;etanolhidratado;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1416.9530291987994;0.1558251601994259;54.54545454545455;-13.496587576426327;27987.7048719454;0.427578674367514;4979.517406154373;6619.615002876919;6737.179889733319;7673.623680674238;8667.159887906471;9488.392129359434;9333.070055767848;8988.47596676372;8036.947694455117;7798.01921365314;7895.212889753175;7677.3428862583;[356.97245684562677, -483.0158258769188, -52.799889733319105, -646.2636806742385, -920.1418879064713, -2777.110129359434, -2453.1700557678487, -2548.6259667637205, -1235.1983804551173, 332.6301003468607, 36.791127246825454, -775.6556142582995];-2.0095009668900348;0.28242285709221415;15;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;False
1990-01_2009-02;2009-03_2010-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1576.073999613495;0.18255285672997157;27.272727272727273;3.6317107484796884;49763.79293630935;0.41258572809974653;7538.721301746221;7414.392882426221;7256.603037908732;7196.560793216773;7281.759446641947;7348.670668706098;7431.320224704051;7591.773683393495;7677.309147489054;7843.740336486954;8102.003165409742;8298.217129395693;[533.3196982537793, 1083.947117573779, 397.3469620912674, 691.8504717832266, 1843.0805533580533, 1603.1483312939017, 1233.9797752959485, 1147.1063166065042, 126.11085251094573, -91.74033648695422, -885.2031654097418, -4254.257129395693];-1.7659313534634442;0.3975021322971952;15;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;False
1990-01_2008-02;2008-03_2009-02;RN;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;2719.912285367746;0.3239359052178626;45.45454545454545;32.660542048220506;64630.43596485918;0.9445658502833782;6685.1850384369445;6217.489332292011;5573.560437548434;4939.585933757162;4506.059405777589;4364.12436376247;4356.205614326205;4618.490642795732;4981.889945919701;5365.677748450681;5912.451487404976;6350.798473308184;[2182.530698563056, 1933.0629917079896, 2803.633740451566, 3290.445074242838, 3993.618000222412, 2513.2273882375293, 2984.3079626737945, 3099.918713204268, 2077.8052310802987, 3138.5449335493186, 2542.278512595023, 419.1715266918163];-1.6262957282001713;0.4694302646127677;15;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;False
