train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;gasolinac;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;925.8309509889081;0.048570588448193654;45.45454545454545;-0.2138556707397684;21887.704141805847;1.1939000846751184;16782.322165069243;16816.59687281523;16854.490290747966;16867.234150758068;16836.455853838812;16766.228557924074;16658.5324980942;16565.672806572577;16489.748095509436;16483.503525231703;16462.765311252522;16464.60624600556;[-191.30616506924343, -1005.1968728152297, 664.2007092520325, 350.97984924193224, -982.4588538388125, 1701.4064420759241, 380.73050190580034, 815.5811934274243, -362.33509550943563, 676.4724747682958, -817.4903112525226, -1657.485246005559];-1.5853507970140375;0.4909479964753866;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AP;gasolinac;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1238.0323653965327;0.06089335862042638;54.54545454545455;2.4454039497986226;24401.2851743184;inf;16181.511580246819;16207.861736311532;16226.27574399674;16245.303063088437;16224.51085208459;16158.467125348763;16049.669018746423;15970.049392176523;15892.27474553927;15895.08486730763;15857.828455230998;15850.554063079991;[-576.5525802468183, -927.9137363115315, 65.22425600325914, -649.3500630884373, 214.08914791540883, 1976.2908746512385, 2246.0879812535786, 1827.4036078234785, 860.9082544607318, 1389.646132692369, -299.5284552309986, -1294.400063079991];-1.6804628404733797;0.4412056755674199;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AP;gasolinac;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 10};12;12;1859.0315416059839;0.09134172099266241;45.45454545454545;8.655483792101009;43983.91898642814;1.7392284243553315;10590.389180486414;12983.235883071475;14324.990145316451;15197.941281771244;15413.618562832418;15994.614395634742;16129.220524974779;15816.365792912342;14260.974238967565;14202.156623805051;14296.84162785704;14601.273265652106;[4263.220819513586, 1183.4721169285258, 1350.2668546835484, 947.463718228757, 1704.3454371675816, 961.6726043652579, 333.70347502522054, 1263.2322070876598, 1744.9257610324348, 3221.735376194949, -460.94562785703965, -43.31726565210556];-1.3314994987939646;0.6146409144492666;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AP;gasolinac;svr;{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2095.9387065230594;0.12053822209133007;63.63636363636363;2.39496376270227;33113.770348278274;0.809077291940352;12294.137263685046;13406.567447461626;13911.113094377946;14382.4143512241;14605.068402594405;15017.91031740302;15185.610429579921;14922.258415229793;14129.417466366694;14146.347863529041;14236.500385052968;14210.707076178704;[426.0967363149539, -1914.4074474616264, -3892.269094377947, -1460.3923512241, 27.58759740559617, 1209.62868259698, 1282.5185704200794, 3042.246584770208, 1445.5205336333056, 3993.880136470958, 779.5846149470308, -757.6600761787031];-1.25245030302056;0.6506361355160966;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AP;gasolinac;svr;{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1389.8861580490975;0.07926408227395879;54.54545454545455;8.093000974681425;27405.553391416506;0.548196212267763;11506.941463918185;12542.057733037256;12915.519252465923;13276.516587886186;13570.603642035972;13760.445247552103;14117.739682220637;13836.174155715846;13138.541078653167;13167.109625922378;13187.768143198882;13219.987528181326;[2085.862536081815, 1079.3292669627444, 1167.2937475340768, 90.48741211381457, 945.0913579640273, 1657.1547524478974, 243.016317779362, 1536.3258442841543, 1696.9589213468334, 2653.9143740776217, 460.49385680111845, 318.0664718186745];-1.4205343282233795;0.5723930793677396;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AP;gasolinac;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;651.8121839955637;0.03894706492631238;45.45454545454545;2.711309899802954;15406.982688799391;0.16580098014184044;12328.474376711007;12351.647937822449;12526.53246169769;12714.924522372012;13035.8938762201;13466.03618049395;13645.208756268945;13626.732706069271;13254.82660662297;12835.384750429586;12648.761894236806;12604.798423687693;[868.9726232889934, 420.8550621775521, 406.3045383023091, -72.2465223720119, -549.6868762200993, 939.2398195060505, 141.29624373105435, 1017.1332939307285, 69.80839337703037, 1246.5962495704134, 219.56110576319406, -387.09142368769244];-1.435868274622498;0.5649648104744746;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AP;gasolinac;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;694.396875118261;0.0458700953815798;63.63636363636363;0.980321097267872;10948.429775869825;0.1691240359450071;12915.452815046954;12946.491509113364;12968.230556103561;12979.582151387945;12945.929695735007;12890.140007245911;12826.487791889436;12757.517158131795;12707.950929130066;12705.911015017738;12681.59568833024;12665.26730891791;[-288.95281504695413, -869.7915091133636, 330.76944389643904, 74.41784861205451, -26.429695735007044, 802.859992754089, 564.0562081105636, 623.1168418682046, 590.7590708699336, 1334.3419849822621, -642.4056883302401, -968.1943089179094];-1.4532956572147684;0.5564759678871795;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AP;gasolinac;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;730.5886495211934;0.05192754259104807;72.72727272727273;-1.988107091205053;8644.881595831577;0.16859506835083204;13023.54349250405;13065.529854657982;13091.027323699811;13095.029905765685;13050.741401910242;12974.352102561352;12886.538060836685;12816.097980488821;12757.50742806335;12764.6278807157;12746.55549914967;12738.531029045042;[-367.4434925040496, -759.5298546579816, -563.9273236998106, -567.2299057656855, -561.341401910242, 462.637897438648, 672.2619391633143, 228.70201951117815, 257.8925719366489, 711.8721192843004, -927.0554991496701, -1608.5310290450416];-1.5603178102534576;0.5034903768064681;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;AP;gasolinac;svr;{'kernel': 'rbf', 'gamma': 'auto', 'C': 1};12;12;778.4895790201963;0.04600005506584818;63.63636363636363;-2.3335181944784633;12274.262596662511;0.14760694716896466;12397.477965537899;12404.625206741108;12514.994705626124;12667.872833185798;12964.347121445071;13397.070684085287;13676.271457908879;13773.588141823595;13446.39596400585;13012.679142494635;12706.053300852293;12530.537189150915;[45.42203446210078, 133.87479325889217, -116.29470562612369, 331.52716681420134, 5.873878554928524, -194.97068408528685, -327.37145790887917, -398.0881418235949, -1367.09596400585, 1079.2208575053646, -1517.2533008522933, -1220.5371891509149];-0.9728663880158214;0.7630315931243531;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;AP;gasolinac;svr;{'C': 100, 'gamma': 'auto', 'kernel': 'linear'};12;12;1655.7112288834512;0.10398005829132097;54.54545454545455;10.457507233769704;32664.95776261886;0.39590662738226273;9134.724735457521;11590.655670069178;11775.732977477768;11917.09530715106;11878.567401754586;11776.049097158884;11857.45247606054;11851.755837930086;11815.974719289068;11882.541396824012;11896.18283932442;11875.09608192039;[2164.575264542478, 703.6443299308212, 1177.9670225222326, 34.80469284894025, 1041.6325982454146, 2277.550902841116, 2419.54752393946, 2716.2441620699137, 837.4252807109315, 2355.0586031759885, 732.2171606755801, -197.6960819203905];-0.898278599226918;0.7885387710513373;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;AP;gasolinac;svr;{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1144.0770477622216;0.08153190531981722;63.63636363636363;8.403038954849015;18056.216278131753;0.20927567025318805;10359.280977603974;10334.655298055774;10404.288558371181;10522.720100361621;10732.829494805588;11072.964137335757;11288.649030839935;11389.644830819469;11171.842884454632;10842.07288687629;10584.998248418224;10431.830754498584;[72.71902239602605, 840.8447019442265, 1064.6114416288183, 267.57989963837827, 901.9705051944111, 1434.1358626642432, 492.7509691600644, 1455.4551691805318, 812.1571155453676, 2313.0271131237096, 1366.901751581776, 824.6692455014163];-0.8527341261677628;0.8031391976499838;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
1990-01_2012-02;2012-03_2013-02;AP;gasolinac;svr;{'C': 1, 'gamma': 'auto', 'kernel': 'linear'};12;12;1683.662608154344;0.13285249356601916;54.54545454545455;13.632377692411652;33237.98401693643;0.2576680428336697;7429.540497207423;9264.999470693236;9456.316115554779;9478.941933700857;9539.658963905971;9451.10084906423;9482.508366646402;9520.771958551117;9449.032703542158;9502.566441534558;9499.155222254996;9532.58552236839;[2531.7595027925763, 517.0005293067643, 853.6838844452213, 1187.5580662991433, 929.5410360940296, 2422.299150935769, 1642.891633353598, 2647.128041448883, 1269.8672964578418, 2520.6335584654425, 861.644777745003, 232.21447763160904];-0.8780377480987743;0.7951188451510716;16;248;-3.4569962781990573;-2.8732659015936024;-2.573018897632674;False
1990-01_2011-02;2011-03_2012-02;AP;gasolinac;svr;{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'};12;12;1212.3445963318275;0.11684601339204098;45.45454545454545;11.721895227182936;28698.314377475606;0.15656153334229247;7001.539391793508;7504.926790073668;7889.279764109362;8334.829125577025;8584.486486318254;9048.023580371102;9164.102795406781;9086.758233706694;8284.370584526296;8094.322704975718;8335.293791645701;8419.880843130759;[1881.6606082064927, 1032.8732099263316, 1033.0202358906372, 628.1708744229745, 578.1135136817466, 1131.1764196288987, 676.197204593218, 492.9417662933065, 1478.529415473704, 2180.677295024282, 1209.006208354298, 922.5191568692408];-1.1173905883185138;0.7080871494241582;16;236;-3.4583663275730476;-2.8738660999177132;-2.5733390785693766;False
1990-01_2010-02;2010-03_2011-02;AP;gasolinac;svr;{'kernel': 'rbf', 'gamma': 'auto', 'C': 0.1};12;12;1193.8333827374681;0.11425596525248728;45.45454545454545;11.908154087427809;28258.763667681338;0.12510655941607648;7494.952686938753;7517.119236134043;7522.120587849494;7530.018670347053;7510.62419533243;7463.261382347474;7420.608849782437;7381.297463977104;7341.900526197064;7347.738798394852;7327.923557173579;7320.71669373766;[967.3473130612465, 362.98076386595767, 474.37941215050614, 345.98132965294735, 686.3758046675703, 1486.1386176525257, 1926.3911502175633, 1687.7025360228963, 1164.899473802935, 2191.8612016051484, 360.6764428264214, 400.2833062623404];-1.8413239951650997;0.36014692748514654;15;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;False
1990-01_2009-02;2009-03_2010-02;AP;gasolinac;svr;{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;509.09354938282814;0.045519603635672805;54.54545454545455;4.689951517764827;10031.111063231761;0.03776075113157559;6593.698619160864;6558.138947861136;6602.633426352641;6696.882108082558;6858.864389573044;7147.737343363947;7364.804278466623;7481.763263468757;7309.038746966147;7026.722609034958;6785.7714636922055;6615.381498277683;[334.4841558391363, 492.66105213886385, 43.916573647358746, 268.11789191744174, 566.8856104269562, 143.56265663605336, 41.495721533377036, 648.736736531243, 7.4612530338526994, 1367.2773909650423, -42.47146369220536, 214.11850172231698];-1.6213766054198078;0.47200767013931444;15;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;False
1990-01_2008-02;2008-03_2009-02;AP;gasolinac;svr;{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'};12;12;989.4054914795341;0.11819246303883123;63.63636363636363;12.22735208954815;15631.593858415205;0.0887298261494178;5220.129836198348;5537.965800033199;5682.526726487799;6004.728604515941;6249.24437967538;6624.266257291731;6695.70159213838;6715.269375413024;6092.705602315852;5924.04868585028;5988.99510570927;6194.599854094078;[957.5197608016515, 887.8845429668008, 804.7904515122009, 543.3990914840588, 748.4153623246202, 686.4513107082694, 1330.0068218616198, 1116.9094725869754, 699.029425684148, 2119.8161891497202, 262.5032182907298, 2.965694905921737];-1.6211752099480035;0.4721132340011825;15;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;False
1990-01_2007-02;2007-03_2008-02;AP;gasolinac;svr;{'kernel': 'linear', 'gamma': 'auto', 'C': 100};12;12;944.1714677089446;0.12241281583053525;54.54545454545455;12.57617040456675;18636.01270298193;0.0749724474173684;3945.156245948078;5368.051602110447;5463.683330866056;5559.897407128692;5531.736236395491;5469.132901610334;5529.700863615439;5549.445438340971;5478.099039519245;5547.038018781464;5540.891945685859;5534.745389150885;[1883.4861530519224, 96.7904498895532, 493.4799631339438, 150.79581087130828, 359.40670960450916, 1300.7329823896662, 630.8656773845614, 1268.0144796590284, 1089.778686480755, 1214.5077952185356, 583.9673273141407, 209.2139748491154];-1.6813792115209714;0.44073109898730783;15;189;-3.4654311561944873;-2.8769570530458792;-2.574988319755886;False
1990-01_2006-02;2006-03_2007-02;AP;gasolinac;svr;{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'};12;12;684.7861695669498;0.10304138163034539;45.45454545454545;10.701681534292774;16206.86636642434;0.0530571489483435;4277.680348339865;4490.3972361595515;4613.485912346305;4831.6217349928;4959.748328050196;5253.592949183013;5242.813176527079;5352.823899772065;4873.974362025368;4802.202054066358;4891.474723900297;4893.812392473812;[652.6196516601349, 256.5647638404489, 606.9640876536951, 173.3592650071996, 211.70567194980413, 1107.5570508169867, 1052.736823472921, 376.12610022793524, 824.8016379746323, 1121.3479459336422, 515.8813060997027, 109.12559352618791];-1.973373338806438;0.29836858637911867;15;177;-3.467845319799907;-2.878011745497439;-2.575551186759871;False
1990-01_2005-02;2005-03_2006-02;AP;gasolinac;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;307.77704044197594;0.05235131038985521;63.63636363636363;1.6670056570956413;4854.032808727957;0.022579910831522852;4872.464874421878;4896.744489414293;4902.606310515775;4911.987849194126;4904.041529417298;4874.56483027413;4852.5121384090835;4820.057072275324;4792.525355562408;4791.6134925872375;4777.282149010496;4759.948205674136;[-2.4148744218782667, -398.44448941429255, 117.29368948422507, 10.36215080587408, -281.7415294172979, 378.6351697258697, 333.8378615909169, -191.2160722753233, 572.7026444375924, 421.4865074127629, 221.71785098950386, -196.31420567413625];-2.028960778461668;0.2740209165852954;14;166;-3.4703698981001665;-2.8791138497902193;-2.576139407751488;False
