train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;oleodiesel;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;24851.18178840273;0.05001262018538898;72.72727272727273;1.718337368169453;294017.2440594954;0.785215446906093;330783.409609849;342443.70724068466;320753.88491105475;302290.8304843417;305801.43114991375;328704.7018302814;325600.7457784353;353826.90992298024;352575.41547396284;322190.7262447261;298604.7844671238;288482.38282754784;[64759.908390151046, 7152.5577593153575, -224.99591105472064, -3898.0594843417057, -13012.967149913777, 30499.917169718596, -33950.43377843534, -1015.7079229802475, -16818.53547396284, 22283.16675527388, 10808.972532876185, 1114.4981724521494];-0.5506133965967841;0.8817555394376326;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RS;oleodiesel;svr;{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'};12;12;20833.90789043618;0.055288295755940485;81.81818181818181;-2.0187724530690256;164523.6964715114;inf;316862.89095301577;352546.393722325;329511.11522398115;308226.3319483057;314684.5933056114;333740.1012918092;329790.9929793116;356176.96232778864;350156.0744268675;325064.7203780037;302856.6786663013;287933.67561593314;[35655.91504698421, -26133.024722324975, -15549.34522398113, -31186.31594830571, -31851.629305611423, -8507.299291809148, -7377.014979311614, 3373.269672211376, 24214.06457313255, 2209.906621996255, -16099.41466630128, -6072.678615933168];-0.24113605769716598;0.9334373641381096;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;RS;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;37433.347499408635;0.08895671468532201;72.72727272727273;9.42445938483807;443509.73127616034;1.5513654264230043;327872.3829921821;323121.4416120513;292669.91247573524;279093.8744710868;278685.6099668609;302029.36660757207;294940.8697453074;325461.8388911839;321600.84977108054;290450.59943447757;274853.6921131;268472.56458329794;[49980.98300781788, 79585.4243879487, 18084.67552426475, 3222.5315289132413, 40740.290033139114, 32100.59739242791, 10431.595254692598, 48787.97010881611, 37457.05622891948, 15618.322565522452, 9364.225886899978, 27050.542416702083];-1.4311810372978226;0.5672396516527295;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;RS;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;20392.619896722885;0.06416204247443236;100.0;-4.488028946426543;566.5677379067545;0.751700544309735;337253.9912863899;336583.683807182;301641.57835387986;290148.66933269176;290478.5216440272;312294.37629419204;305687.172668354;333697.9170455339;331374.6641452048;299268.519758884;283398.8486582662;279130.83679334633;[19517.18071361014, -39968.31980718201, -13246.395353879838, -17099.385332691774, -16734.73664402723, -6603.007294192037, -24066.467668353987, 12529.261954466114, -16962.63614520483, -15780.946758884005, -12359.732658266206, -28190.49079334634];-0.5430795930051506;0.8833321453201787;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RS;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;11062.220721745403;0.02904544822162836;90.9090909090909;1.55982924620374;43685.44517840247;0.5164983107324916;329560.6454145791;327873.3724782516;293682.66899313504;284804.42927574523;284295.4484216018;304798.6236043295;299076.04367758485;326359.9592186043;324448.06299755943;292556.3606521755;275393.511558129;271854.06871722813;[25551.371585420915, 15576.742521748412, -8710.258993135067, -4977.904275745212, 3761.984578398231, 13989.2643956705, -3077.2056775848614, 7213.856781395676, 6940.10600244056, -9740.01365217549, 5094.865441870992, 5653.806282771868];-1.063726808757764;0.7293184259403477;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;RS;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;24026.32917613433;0.06355518025739403;72.72727272727273;-0.19468431403896783;284399.38848221727;0.5817875306320182;324676.36071431916;322834.57410921465;297783.53346581187;282328.87837730016;281524.89587077306;303186.16425160173;298390.578806703;323076.2061788799;320280.49423063954;289099.28027453186;271099.25339968974;264513.1276197696;[23949.682285680843, 26430.862890785327, -65849.44546581188, 21112.54062269983, 5072.819129226962, 5396.641748398251, -17858.20280670299, 6568.289821120095, 4116.074769360479, -10733.62927453185, -15044.260399689752, 9884.81538023043];-0.9397808182955598;0.7745899937823202;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;RS;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;21987.69600778828;0.043879572858509304;72.72727272727273;-0.04708100471795659;260080.6113954369;0.461492049562636;318348.38674894907;321333.1359798909;296691.26432721835;279556.74656452815;278031.14600485016;301523.6967100468;297174.66664126626;322370.27952265623;318255.5975986323;288702.5952039776;269628.62043885613;261788.8416396269;[67200.37875105091, -3105.699779890885, -10238.227827218361, 1988.3000354718533, 9110.428495149827, -11635.768210046808, -13127.539241266262, -13238.858022656234, 4436.71050136775, -22897.119103977573, -6752.685438856133, -3412.111639626877];-0.7606574925104529;0.8304064284238396;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RS;oleodiesel;svr;{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'};12;12;21992.877747918003;0.05717548673606374;72.72727272727273;-0.19179208365175554;260268.67988928128;0.5768578863668177;277469.72505447397;316934.0813401046;303105.69293963513;276740.7605082951;291438.0534510573;306675.91154200886;297611.35263443086;327534.263373066;311977.44514398865;293390.1776967919;272007.2730884783;258558.27249160118;[54616.00794552604, 7003.3206598954275, 7425.442060364876, 23944.00849170488, -25235.868451057293, -5742.3495420088875, -1589.0986344308476, -27443.65937306598, 4820.92185601138, -17593.50869679189, -16792.874688478303, -10176.232991601166];-0.873248477719577;0.7966543949362166;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RS;oleodiesel;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;23357.209021639064;0.06059008074982036;63.63636363636363;-1.756376070807328;368394.42154537066;0.6191364177947789;317863.15645474615;327686.7461583313;301270.7446732829;281830.44674002466;284427.1540803787;306141.38923460053;300313.961299006;329175.0426109064;324099.69978855766;293209.2600085945;276151.77909488935;264226.3918130866;[57969.46014525386, 8547.407841668697, -20782.49167328287, -5788.032740024675, -17848.047380378703, -9368.863534600532, 5107.212300993968, -13634.520510906412, -29441.16818855767, -12087.591008594492, -31249.591094889358, 6327.672186913434];-0.5407955670620296;0.88380668306087;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RS;oleodiesel;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1};12;12;18927.489780616736;0.05440871682699792;90.9090909090909;-0.9072300614952875;74953.80759676361;0.5996691537901631;319018.1059183558;326700.40835081204;301756.31123596244;283484.4040873411;283624.9720568572;305203.8161808493;299683.2696515817;326188.3109962833;323187.1660444856;293241.2229262282;274257.8961685342;267629.0953662441;[18057.910081644193, 16954.91064918798, 3614.6617640375625, -22993.256087341113, 260.7389431428164, 3466.7708191507263, -6879.715651581704, 16242.579003716703, -12967.554044485558, -18078.91692622821, 15562.230531465844, -45642.73936624409];0.42861914860983247;0.9825342168293456;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
