train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;oleodiesel;svr;{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'};12;12;30973.302188386053;0.10111877852344031;54.54545454545455;9.044136703562412;610986.9633264916;1.3385941628848044;160856.08885485271;199117.8311856593;203625.289513282;217173.4354344088;220744.7867090072;221860.58913568113;214824.09099577635;210523.99279296078;212926.18779979763;204914.33961363442;217785.28771407797;223937.35754081;[79779.23214514728, 7537.089814340696, 29157.687486718, 3818.6945655911986, 10228.827290992806, 21638.21386431888, 14418.768004223646, 17538.282207039214, 25321.395200202387, 44698.884386365564, 13244.039285922016, -17971.012540809985];-1.5867035131976632;0.4902692672061109;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;25749.007042718684;0.11096194727085949;63.63636363636363;10.473059968303794;406680.6468653942;inf;186179.17385125748;180295.07696101925;179434.63497722909;177152.92334309078;180845.08556222497;184083.41812460285;188467.61382113167;194627.26527743807;197479.91247829425;203439.67563041596;203814.81425978738;202217.0156078761;[18475.59314874251, 16589.714038980746, 31980.425022770913, 24392.558656909212, 29412.565437775047, 43662.60387539715, 19700.802178868325, 32898.10272256192, 25628.425521705736, 25932.95436958404, 7515.504740212607, -9699.475607876084];-1.6363121163230487;0.46418846185651763;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;23598.67917305626;0.10518494280582684;54.54545454545455;10.231332500007502;465555.4432757486;1.022294526317587;169847.60079068464;162171.2103087575;160201.4430743664;158173.45969907657;161830.69454962353;165520.54757898717;169185.15814143818;177558.88141893645;180436.10203951437;187156.69776176565;189665.95597746398;187225.0453184759;[25621.734209315357, 16307.443691242515, 27737.849925633607, 25730.556300923432, 41328.61645037646, 37358.147421012836, 23688.769858561835, 17165.00258106354, 8966.249960485642, 16544.908238234348, -811.9799774639832, -3827.3083184759016];-1.5262332931470854;0.5204965052908193;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;RJ;oleodiesel;svr;{'kernel': 'rbf', 'gamma': 'auto', 'C': 1000};12;12;35757.86021875785;0.19097486732302904;36.36363636363637;-16.71056916960568;988282.7302132321;0.6682026405158945;170646.03750578023;189567.25772538208;194665.70529147552;201231.07298703943;205819.44187862266;205577.90308969308;200469.13471827284;198902.95632257315;199268.43228954173;192911.64149063398;201049.18583887318;205053.51842010237;[869.2684942197811, -67634.54272538208, -58496.49929147551, -47774.17598703943, -27125.514878622664, -27783.49708969309, -20867.901718272828, -7553.358322573156, -25640.83528954172, 2876.0995093660313, -12045.879838873167, -47466.08342010237];-1.725365124698432;0.41809325426791843;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;11345.298714137396;0.043895647880844664;45.45454545454545;2.69067278095396;268179.86927217274;0.6440511310633376;190858.99623260583;188784.6705060201;187559.38042947688;187222.22947163886;188028.50054909897;189995.40897568062;191453.73558840013;195239.3908789002;197009.93332210783;199405.39277982587;200668.74320639746;199339.79726539977;[-3652.087232605816, 4590.788493979897, 17268.403570523136, 598.7335283611319, 19408.40145090103, 13854.053024319379, 3016.200411599857, 18111.68712109982, -2117.553322107822, 8147.004220174131, 130.94879360255436, -15329.512265399768];-1.6730696251629296;0.44503848486291087;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;10590.267262820038;0.043332493443529824;45.45454545454545;-2.9186518271906707;250329.9291334411;0.41132291864895737;193209.85307591493;190860.52633620513;192036.34947925914;191988.58731760492;193872.618296655;196820.45417220023;199830.53409365285;203309.29500104848;203704.831249808;206006.2750540247;204272.61885669405;200706.59237017436;[-4142.636075914925, -844.9153362051293, -24679.09547925915, -569.3023176049173, 3474.065703344997, 1547.4068277997721, -15067.513093652844, 9672.84099895152, -11177.987249807979, -9189.350054024719, -3777.73885669405, -12643.87937017437];-1.818373566219243;0.371378633323487;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;27092.46538173807;0.12718291845309296;81.81818181818181;-12.138862602797449;214790.88058460903;1.393611095633242;214735.1205639203;213871.6913251958;215092.8635225599;215927.0652355419;219219.29534200684;221370.00979134307;224603.47715187055;226931.84180174457;225833.97917447178;226845.36207456188;223260.09376409234;218997.09530909036;[1915.1687360797077, -26997.6502251958, -8621.01222255989, -22855.2141355419, -24962.882942006836, -13251.811391343072, -23985.896651870542, -22555.404501744575, -35567.63807447179, -26924.238974561886, -31679.710764092335, -51013.67830909038];-1.9020782087676433;0.3310840882045078;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;34412.052116106046;0.15059977030281388;63.63636363636363;-14.692302331305191;544095.7336609049;2.389506634430587;245642.21301525278;243924.76450984005;245934.39262669822;246119.83808379076;249296.64575475786;250682.73662536044;252684.12782646823;255869.01904997375;253859.33769506682;255057.1431809543;251253.76283815404;247975.9565258656;[-21770.274515252793, -20432.02850984005, -20228.777626698226, -24809.62808379077, -19991.153754757863, -24035.077625360427, -28231.426826468232, -38103.81904997374, -45668.060695066815, -35995.06818095429, -42593.330338154046, -62229.2863258656];-0.9705205775661851;0.7638638522480772;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RJ;oleodiesel;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;15610.647611370221;0.0477300916274215;54.54545454545455;-2.7070602086595477;307578.51711639774;0.30818371749118806;251299.7670468247;249933.3916137297;252664.13123568776;251155.0240055489;253575.48202875725;256058.61376265183;256558.85400880332;260855.34847895478;258373.9399793467;259629.946529477;258682.5364607621;254605.46426514373;[7927.718153175287, -9894.27161372971, -12646.71723568777, 3427.619994451088, 5494.260071242752, 1807.132437348162, 409.269591196673, 8074.266821045225, -13896.59107934669, -4199.831429476995, -36890.673460762075, -30354.32326514373];-0.26208304592721327;0.9307054769187925;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RJ;oleodiesel;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;12545.65632106837;0.038496582581410733;54.54545454545455;-0.0870958711174947;247138.45766603312;0.2356566413792184;240367.57194271515;243057.60272346373;248180.1936943835;251686.11842820919;258389.21666034817;263540.4435237316;262859.456892513;261161.01280611064;257313.74083895324;250961.8222228238;248459.4711985446;250022.92873792848;[-567.1979427151382, -2051.6877234637213, 12788.239305616502, -14450.369428209175, -199.45166034816066, -5108.923523731617, 2630.0831074870075, 21131.58519388936, -9117.787838953227, 10972.5227771762, 8754.772201455402, -27423.713737928483];0.5289265217882669;0.98572627633857;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
