train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;querosenedeaviacao;svr;{'kernel': 'linear', 'gamma': 'auto', 'C': 1};12;12;3028.756294694001;0.39654730031220836;45.45454545454545;-35.34103785552398;72065.24906440204;0.7318933128231758;6193.638481880899;10203.937470099283;10329.868399115998;10534.521510176792;10499.886142411331;10541.642799168358;10501.74356221435;10491.265374858647;10645.936405407007;10497.683392453175;10539.821229911873;10629.513193938878;[429.48051811910045, -4173.977470099283, -4025.6833991159974, -4868.392510176792, -4399.719142411331, -2119.147799168357, -3014.049562214349, -2488.3593748586472, -2108.988405407006, -1436.5163924531753, -1214.2012299118724, -2335.813193938877];-1.7474402484722171;0.40685031987632986;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PR;querosenedeaviacao;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;5048.065186644306;0.4183201881438208;54.54545454545455;41.39847663834195;100280.64546567951;inf;2479.3415833857944;3927.9294908316842;4569.020886138995;6078.346380295631;6747.769236645952;7711.065740656847;7712.290025641497;6492.564649334953;6905.80471189476;7414.044454825873;7626.339975992209;7531.292772756713;[7695.901416614206, 6579.823509168316, 6824.717113861005, 4991.125619704369, 5507.8597633540485, 3844.7972593431523, 3984.2929743585037, 5336.414350665046, 5064.304288105241, 3879.6855451741267, 555.8660240077916, -1143.4387727567128];-1.6872604761309316;0.43768792666776674;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PR;querosenedeaviacao;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2694.0795306834393;0.3312485324533068;63.63636363636363;33.87298957253501;42812.39178224358;0.49826261559766843;4240.421047359998;3791.303889447571;3453.6270394152466;3212.824180750072;3111.0078676295784;3131.35231251168;3346.695253383775;3736.708878588916;4402.375965323483;5330.46860161551;6441.906221372385;7520.902724613777;[571.9299526400018, -354.5208894475709, 1459.5699605847535, 1304.3068192499281, 2445.2651323704217, 2842.4216874883205, 3070.4527466162253, 3485.372121411084, 4123.833034676518, 4430.473398384489, 3244.394778627615, -130.5837246137762];-1.2612497968692973;0.6467089653214979;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PR;querosenedeaviacao;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;6411.234911649107;2.2991216746253818;63.63636363636363;-148.62453442287776;107369.6687143301;0.9149193291693879;8491.546900999258;9449.10801505138;9634.145740089098;10176.508250141731;10485.145257667773;10522.333071646148;10493.520640007699;10221.260288751624;10481.736472365026;10579.150274460097;10571.989335581033;10453.243560439423;[-1641.3669009992573, -7978.326015051381, -7681.554740089097, -8161.520250141731, -8340.882257667774, -8196.864071646149, -7447.254640007699, -5368.504288751624, -4844.6484723650265, -4642.278274460096, -3831.7823355810324, -4531.828560439423];-1.882744524984041;0.34022166028490103;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PR;querosenedeaviacao;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1};12;12;1508.4395660049427;0.1275077669034146;54.54545454545455;-7.9593782703936595;29775.498538816064;0.6262540877967487;10711.020244665115;10561.742870209107;10431.109714201897;10373.110522055758;10396.634866569195;10493.556172331806;10700.036807556024;10915.609727496298;11220.083901761132;11567.949401470043;11917.301106719267;12196.756854450203;[870.4927553348862, 57.866129790892955, 331.4992857981033, -383.9525220557589, 1042.8861334308058, -210.78217233180658, -2472.8478075560233, -2771.874727496298, -2207.9149017611326, -1040.5664014700433, -690.0281067192682, -2218.591854450202];-1.8104596587487072;0.37528126754005925;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PR;querosenedeaviacao;svr;{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'};12;12;4641.303028785439;0.41598504551923643;18.181818181818183;-40.13734822550393;165284.29241489718;2.6050862419332383;10060.55449201784;15286.818512045444;14610.323025188161;15684.525526948506;15339.590298491936;15317.136420167386;15666.012129628367;15302.669834611754;16464.02912032811;15825.747078758473;15535.42677484711;15705.700126989597;[575.6495079821598, -4067.591512045443, -4164.562025188161, -5925.958526948507, -4746.078298491935, -4438.993420167386, -5179.604129628367, -4745.358834611754, -6553.528120328108, -5202.662078758474, -3087.7437748471093, -4246.864126989598];-1.800836974181069;0.38004623840359997;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PR;querosenedeaviacao;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2683.0637434213727;0.14559129787726746;45.45454545454545;0.3356807870891237;63543.533001870994;0.40562703868969957;12855.71779575181;13867.0030270035;14161.486470782935;14945.425986985456;15581.625781514416;16214.916225833687;16169.719613116378;15611.232970467896;15806.14858284342;15891.330214699054;16181.59039315463;16017.663641579466;[4129.861204248191, 997.7279729964994, 1247.4195292170662, 112.60601301454335, 1717.460218485583, 450.1337741663119, 269.942386883622, 925.7590295321024, 1178.238417156579, 556.8067853009452, -4839.759393154631, -6128.807641579466];-1.6262619617185883;0.46944795002229106;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PR;querosenedeaviacao;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;2402.9831688482313;0.14942809229757514;81.81818181818181;-14.40486767125932;19075.245776255455;0.4906067540713898;17093.01606266899;16957.627631061423;16834.0812549446;16753.055081888542;16721.449703504728;16757.134113337277;16909.031795673276;17108.71270596692;17462.751065625875;17903.591244117146;18418.750326031146;18900.509687092002;[-714.5910626689911, -2300.180631061423, -2886.4142549445987, -3578.9570818885422, -2622.002703504728, -2330.3191133372766, -2238.6817956732757, -2127.7487059669184, -1126.8120656258743, -1062.5782441171468, -1056.5923260311465, -4121.975687092003];-1.797500937491099;0.3817031127591598;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PR;querosenedeaviacao;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 1};12;12;4038.2020715681565;0.22922899017760368;54.54545454545455;-18.790737036539163;79886.8303803857;0.6018186383812917;18089.909447789978;18706.43061348588;18933.455378657836;19742.249539454748;20440.473872253788;21191.05919044242;21522.258920108874;20990.75800078999;21077.314510230906;21042.49319247432;21328.325553163733;21093.806457765764;[3925.144552210022, -1350.9116134858814, -1961.7403786578361, -3927.1815394547484, -4064.0218722537884, -5151.115190442419, -5076.859920108873, -3846.2660007899904, -3483.192510230907, -4593.812192474321, -3840.1115531637333, -5251.788457765764];-1.1392969839924436;0.6991491256860562;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PR;querosenedeaviacao;svr;{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'};12;12;1754.9072525194001;0.07812302969269262;36.36363636363637;5.978297887064329;48418.60832735366;0.16586401130680264;16086.019291025175;18929.81218014989;18781.54403300935;19360.02109617328;19318.46990896793;19339.89106077067;19510.07336783687;19315.60613213364;20022.897554024967;19793.55652207431;19583.828588884262;19376.799505277773;[2923.839708974825, 779.4838198501093, 1077.3379669906499, -1243.2250961732825, 1713.1910910320694, 2028.2459392293276, 901.6706321631282, 3011.6488678663627, 1977.9564459750327, 1050.7574779256902, 1423.8694111157383, -1057.3755052777742];-1.281357794992632;0.6376574071193915;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
