train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;1984.4598990322438;0.327651817150968;54.54545454545455;-24.1143170847577;39346.923647937256;0.919167902277677;4896.840349521346;4245.8403552296795;4639.39176238593;5402.818529896346;7729.287174062303;8432.112889630484;6725.191289083846;7540.361933396346;4056.838272880721;6491.137438469263;6313.510640917179;5283.37419851093;[195.21965047865433, -378.8403552296795, 314.0582376140701, -1133.3185298963463, -3637.787174062303, -3861.1128896304836, -1889.6912890838457, -3524.861933396346, -521.838272880721, -716.6374384692626, 477.48935908282056, 735.62580148907];-2.505027402306625;0.11425589053726648;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.8};12;12;3458.623247868314;0.6714658536906399;36.36363636363637;-21.750015142183763;96327.6955130436;inf;4123.339790782272;4279.836397691211;3311.321353263791;5719.248337064866;8188.678915687095;10052.630296520427;5129.803899682138;7903.763507025215;7800.691807225484;7742.536625333011;6387.262094266143;4910.9924442083475;[3517.660209217728, 3822.4996023087897, 3520.678646736209, -33.748337064866064, -3659.278915687095, -7291.130296520427, -1929.3038996821379, -3775.2635070252154, -3318.460807225484, -1986.5366253330112, -2152.7620942661433, -210.99244420834748];-2.513351318474117;0.11225950844100452;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.9};12;12;1788.045185073606;0.2781484235390848;81.81818181818181;-2.7209922364285695;14294.750263011641;1.3944765255917873;7246.942634374761;6600.75694671365;5703.205493687261;4546.308035455317;2872.9779779492796;2472.124694131235;5503.299164699761;5059.217850490733;6859.408552364344;8558.251491839344;7796.547966464344;7612.334435970594;[1551.557365625239, -221.85694671365036, 683.294506312739, 952.8439645446833, 1790.5820220507208, 1128.8753058687648, 1933.2008353002393, -331.7178504907333, -636.4085523643444, -3434.7514918393445, -2673.5479664643444, -2618.3344359705943];-2.3391046539508147;0.1596658372778471;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.4, 'n_estimators': 200, 'subsample': 0.9};12;12;2387.8168568655237;0.4254582576438761;63.63636363636363;-24.3243669051497;38044.968619398605;0.7088659487474624;7200.230242726453;5915.59790244664;6065.639609400303;6831.40595787983;7547.924236676764;8574.306050798292;9788.767125210648;9245.772716115102;9366.52905408062;8746.814489582775;7505.380383411798;7100.630766827027;[-556.7302427264531, -2019.0979024466396, -3160.139609400303, -3185.9059578798297, -2280.924236676764, -3086.306050798292, -3991.5441252106484, -1894.7727161151015, -1636.52905408062, -63.53848958277558, 1113.2066165882015, 2392.669233172972];-1.4896819997291333;0.5386091913469089;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.7};12;12;2423.8696576788384;0.23925121019593687;36.36363636363637;4.59701699592775;67048.28854869374;0.6354234822072983;7610.532303862821;5153.559572105381;3842.0473343018098;6285.593910675321;9647.974258363694;9718.575315716424;9596.468412432761;7848.649596892584;7990.552053327107;8203.718223783952;9266.516660510142;8274.5652877155;[1257.4676961371788, 3725.9404278946186, 4828.143665698191, 369.90608932467876, -2433.499258363694, -3274.0753157164236, -2958.4684124327614, -10.149596892583759, -474.5520533271074, 2260.239776216049, 858.9823394898576, 352.43471228449926];-1.653896281335112;0.45500919885049534;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;False
1990-01_2018-02;2018-03_2019-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;4557.737855993309;0.47729477599421455;63.63636363636363;48.59729870666049;72715.24395169842;1.0300327047786828;5672.283050378215;4438.22885985391;2261.066473558192;2279.2508180236628;2775.5766228474063;3553.2635028399654;4958.252797951903;5575.09424777945;5023.387141932999;5689.7317980144035;5730.1910888303755;5759.977064786394;[1454.0139496217844, 1297.5711401460903, 4023.955526441808, 6116.699181976338, 3572.116377152594, 3881.7364971600346, 4779.800202048097, 5946.0407522205505, 5833.805858067, 6514.872201985596, 4742.8089111696245, 2621.210935213606];-1.9396890285423107;0.31362653639289434;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;False
1990-01_2017-02;2017-03_2018-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.7};12;12;1598.4088577927587;0.1744282773842071;63.63636363636363;12.909267616708323;25291.886109815794;0.47221500564951147;4246.574999834807;3678.9028099954644;3657.0207844181405;4013.3579052282366;4297.026548134992;4613.373070287769;4630.213118459006;5185.845879307564;4720.6245670663775;5126.973245627275;4528.546386620865;4104.647374472628;[179.9250001651926, -49.902809995464395, 24.479215581859535, -667.8579052282366, -875.0265481349916, -170.22507028776909, -89.0971184590062, -644.2928793075644, 1165.971432933622, 2264.387754372725, 3572.9496133791354, 3115.577625527372];-1.8745424312984786;0.34413027263794616;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;False
1990-01_2016-02;2016-03_2017-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.8};12;12;1580.275254027478;0.3244308942080489;54.54545454545455;-31.825125989607116;31331.98952129811;1.0833753420756869;4911.85757139266;4549.892353178493;4927.992484494744;5373.3557035747435;6136.419645564423;6327.811288461057;6401.172570699327;6074.347983544327;6077.440867771827;6667.357360402244;6648.92132177516;5886.570497578494;[32.809428607340124, -366.9043531784928, -461.4924844947436, -1099.3557035747435, -2080.4196455644233, -2074.3112884610573, -2176.1725706993266, -1747.3479835443268, -1768.9408677718266, -1647.857360402244, -1784.4213217751603, -1720.8644975784937];-1.6307241523569243;0.4671116856475355;6;306;-3.4519023023726696;-2.8710320399170537;-2.57182745012602;False
1990-01_2015-02;2015-03_2016-02;RN;etanolhidratado;ARIMA;{'subsample': 0.9, 'n_estimators': 50, 'learning_rate': 0.2};12;12;2249.581020697261;0.3757756800232017;72.72727272727273;37.16009711958144;26936.76579044125;1.3684412509736585;3363.0430345721065;2965.8764254297453;2419.134615223148;2616.516189568634;3118.6278522950233;3607.3628575221064;3777.353864579051;5173.989262724885;4574.214645926273;4965.789525131135;4500.136700009607;2976.413523112037;[2580.0069654278936, 2853.784574570255, 3078.365384776852, 2893.983810431366, 2266.422147704977, 1749.6371424778936, 1538.6461354209491, 2328.0107372751154, 1507.2533540737268, 1991.463474868865, 1123.863299990393, 2142.336476887963];-1.7286506195555487;0.4164145356139276;9;291;-3.4530232710482367;-2.871523926671883;-2.5720897694878424;False
1990-01_2014-02;2014-03_2015-02;RN;etanolhidratado;ARIMA;{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.7};12;12;959.3356254663414;0.2152361933867737;63.63636363636363;-8.581697701195285;15198.417766081424;0.4755752080398408;3823.432177961101;3288.0950728200232;2936.0849339937095;3583.081653357161;3768.178764236992;4152.89158154602;4256.8116045738725;4875.595914108746;4449.400598674416;4998.193357024959;4282.494039110557;3407.087470561192;[-313.43217796110093, 291.40492717997677, 569.9150660062905, -399.3266533571609, -444.85076423699184, -1060.2235815460194, -1024.8386045738725, -1360.8579141087462, -1034.050598674416, -843.1933570249594, -237.49403911055742, 2077.412529438808];-1.4432914547897502;0.5613548363646605;6;282;-3.4537536300652;-2.8718443180148836;-2.572260641818822;False
