train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;7754.612040542836;0.09086473731655424;63.63636363636363;6.581185802959459;122410.01365535405;1.1480233186347282;57771.773;49429.42;49367.926;54030.465;57541.48;58774.992;61395.195;64206.938;63373.043;66099.766;62152.17;61643.95;[5109.916562500002, 9360.323125000003, 19014.114218749994, 11351.185156250001, 5970.629531250001, 5868.537812499999, -262.6273125000007, -1622.7074999999968, -2159.512968750001, 338.484375, 2539.2081249999974, -5786.130218749997];0.04829611223626114;0.9623485070284683;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;PB;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.8};12;12;6415.6884748171;0.09096139309452411;54.54545454545455;9.182877794605256;126530.60610027632;inf;50230.996;44255.49;48017.277;48074.33;53099.316;54413.09;59152.223;59746.652;57420.285;60851.9;58299.684;60072.29;[1582.4819062500028, 7811.731718750001, 7095.752656249999, 5337.001875000002, 8141.2575937500005, 11055.110156249997, 4113.267343749998, 2869.0076562500035, 1411.5068437500013, 9992.1015625, 5964.63640625, 717.6109375000015];-0.4234880005734354;0.9061026423050826;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;PB;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.8};12;12;8384.92279151126;0.137621421675852;45.45454545454545;7.970568955702571;198545.36365476978;1.4948883030045876;42696.965;41370.68;40254.625;43189.855;48622.02;50590.445;52358.508;59541.527;57662.418;56119.312;62319.1;56720.875;[5680.78515625, 7142.675312500003, 12959.144999999997, 12992.294531250001, 11450.32346875, 8613.159687500003, 7364.452187499999, -926.8263437499991, -3199.877968749999, 5767.657500000001, -9558.551562499997, -5328.5350000000035];-0.6940470005390256;0.8482854789443361;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;PB;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.7};12;12;6086.537070650769;0.10314764180534086;81.81818181818181;-5.920376323527472;48191.71466263862;0.5708232364829676;53497.44;52908.74;51798.535;51926.348;53535.496;53998.293;53025.605;59049.664;56130.74;57306.223;57093.062;55341.47;[-6809.331406249999, -11450.907281250002, -9682.96315625, -6966.929656250002, -1343.2260937500032, -1220.3769687500026, 1982.39453125, 1673.022937499998, 1785.7817187499968, 4993.882343750003, -304.89250000000175, -9301.598749999997];-0.3913647283144708;0.9115306054298917;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;PB;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;4711.387153125885;0.07243205961688663;45.45454545454545;4.791843826266303;111427.14131008639;0.698854604938072;48671.434;48407.555;48245.906;49467.4;48814.695;50662.574;53512.61;54431.65;58933.863;58489.945;55193.273;54657.38;[3533.546406250003, 7708.675312500003, 7515.813750000001, 2921.091562499998, 7490.844687500001, 5659.3877812499995, 1191.3956249999974, 3837.5115625000035, -3823.2732812500035, -21.39531249999709, -1407.1494374999966, -2924.1889062499977];-1.0228216537143675;0.7448498960432228;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;PB;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;8178.613494197251;0.13783766898302743;45.45454545454545;-12.63453243568589;193661.0468105395;0.716167889911358;56768.742;57811.445;56477.09;57380.65;57890.746;58565.445;59244.242;59255.44;60379.066;59252.434;61872.26;60546.992;[1644.645812499999, -1507.1393125000031, -2616.191843749999, -5214.319437500002, -4357.666093749998, -1620.9613125000033, -10080.180187500002, -9524.101406250003, -13498.04940625, -7380.047593750001, -11738.357718749998, -13239.332187499997];0.08590711993876683;0.9650856313103975;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;PB;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.8};12;12;4304.874127309303;0.05371528184393032;72.72727272727273;1.0407551291135753;50938.90432922456;0.5393694013101042;56460.4;55507.19;56901.49;57586.363;57175.312;57603.902;57280.047;59716.617;60388.805;60221.617;58992.992;62554.89;[4646.551562499997, 1628.0165937499987, 3512.541718749999, 4335.256718750003, 567.1575000000012, 3283.067656250001, 530.2631249999977, -330.005187499999, -1779.3816874999975, 3603.6208124999976, -856.8211874999979, -11774.264625000003];0.9109598703645607;0.9932317016054836;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;PB;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.8};12;12;4305.2029990804085;0.06634060328296253;90.9090909090909;6.395081052639026;17071.27546614543;0.9323856935322764;53824.812;52411.992;53520.72;53535.547;53413.695;53855.113;54513.785;54214.258;57238.156;57755.707;56394.484;55714.062;[4270.317499999997, 2972.807812500003, 2969.373249999997, 4901.743125000001, 4386.032687500003, 5982.266718749997, 5712.2918437499975, 4705.802187499998, 462.2137500000026, 6407.352968749998, 3191.3756250000006, -1116.9024999999965];0.40211061664736036;0.9815736996067933;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PB;gasolinac;ARIMA;{'subsample': 0.9, 'n_estimators': 50, 'learning_rate': 0.3};12;12;4149.168501579314;0.05045032326774209;90.9090909090909;-4.124789252949201;16423.95492231202;0.4591935426463095;52336.66;53954.215;53411.418;53552.984;55726.992;55022.723;57576.56;61681.215;58077.336;58833.06;64725.26;61105.176;[359.17884374999994, 675.5771562500013, -916.1379687500012, 1860.5956250000017, -51.57018750000134, -1202.6196562499972, -1967.633593749997, -3352.257843749998, -4116.295937499999, -169.38859375000175, -9788.211718749997, -8506.515781249997];1.9672283523234664;0.9986288243049651;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PB;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;6587.855404998012;0.10720592646030418;45.45454545454545;7.521525613545575;155906.0814108493;1.3119570983424231;50146.023;49947.984;50513.004;50148.34;50373.812;50940.44;52183.832;54102.523;55286.8;54853.926;57791.805;59262.18;[4379.446562500001, 7904.935624999998, 6279.473093749999, 4702.743156249999, 6218.551500000001, 5461.428593750003, 7091.407968749998, 8074.6265625000015, -15.473781250002503, 7543.768218750003, 4738.335312499999, -10688.1796875];2.73942490414136;0.9990880797485131;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
1990-01_2013-02;2013-03_2014-02;PB;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 150, 'subsample': 0.7};12;12;4376.882702909081;0.07110547100985427;45.45454545454545;6.976714492871147;103513.48568878054;0.5533546673426761;46824.094;44429.953;46304.043;46524.586;47738.34;46900.004;50115.65;53631.395;52149.12;51279.74;54896.94;52084.93;[3214.4052500000034, 6391.8868749999965, 4346.221031250003, 4485.474062499998, 4637.180156249997, 5607.850093749999, 488.26956249999785, 2195.35546875, 1965.138906250002, 7983.44171875, 3710.4455937500024, -559.9626875000031];2.329560406698546;0.9989732048013729;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;PB;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;7274.644883995443;0.1384239240686352;54.54545454545455;12.423083462921705;143621.19978673957;0.6674987184351574;39162.426;38590.25;40371.152;39331.28;40003.598;42471.38;42548.7;45752.363;48108.77;46660.336;49530.316;49582.703;[8460.07421875, 8530.120000000003, 7631.307656249999, 7840.248749999999, 7682.292343749999, 9291.08109375, 5896.170781250003, 9332.58371875, 2015.48046875, 8527.654062499998, 3058.883593749997, -4202.3531250000015];2.388741031206446;0.9990049122720027;13;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;False
1990-01_2011-02;2011-03_2012-02;PB;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;7368.682995148357;0.1547742747700191;54.54545454545455;15.759722697350531;145530.2230895878;0.4308667734976676;36709.695;37154.938;36389.426;37339.055;35952.824;37014.71;35988.547;37408.848;37316.875;37884.176;38075.887;36689.89;[5605.824687499997, 3448.582499999997, 4140.9742187500015, 6061.711312500003, 5260.579781250002, 7327.589062500003, 8664.064124999997, 6539.225343749997, 6977.879999999997, 13647.136218749998, 8692.250281250002, 6683.919374999998];1.233980077358034;0.996212446973021;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
1990-01_2010-02;2010-03_2011-02;PB;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.8};12;12;7886.960860847693;0.20218897754138676;63.63636363636363;20.350655893663763;124881.11681394016;0.3445968989131551;28704.38;27661.682;28173.97;30219.033;30616.162;28945.389;29155.35;30658.357;31454.432;31549.107;32385.676;30887.107;[9298.089140625001, 8910.658359374997, 7024.8792968749985, 6832.646796875, 5641.9018906249985, 7015.2013281249965, 9260.280390624997, 7380.932578125001, 7329.440359375003, 11808.132578124998, 7024.94921875, 4558.932578125001];0.46908161103834417;0.9839024348476785;13;227;-3.4594900381360034;-2.8743581895178485;-2.573601605503697;False
1990-01_2009-02;2009-03_2010-02;PB;gasolinac;ARIMA;{'subsample': 0.9, 'n_estimators': 50, 'learning_rate': 0.2};12;12;2530.664705965924;0.05905432139141964;54.54545454545455;6.183063060193756;49875.41836753148;0.06509702573743831;26760.082;27018.19;27028.117;27389.29;27364.404;28631.012;28362.883;29890.248;29830.8;29903.762;32247.436;31873.959;[1226.3435487499992, 1938.7605468750007, 251.7028124999997, 2070.580937499999, 2486.6457031249993, 18.05828124999971, 1787.9101875000015, 2878.6119531250006, 574.2892187500001, 6526.008281249997, 2521.4844531249983, 542.7310156249987];-0.08987551619167967;0.9504376805014202;13;215;-3.461136478222043;-2.875078880098608;-2.5739861168199027;False
1990-01_2008-02;2008-03_2009-02;PB;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 200, 'subsample': 0.7};12;12;4759.061045294858;0.1327803178716633;45.45454545454545;12.615684529998394;112680.4272957148;0.12757059073164764;25283.457;24462.443;23337.031;23377.658;23238.395;23674.508;24713.697;24979.162;25882.002;25002.623;28591.322;29096.01;[372.94214875000034, 1625.4038806249991, 2508.3335100000004, 3406.606296875001, 5489.17184875, 5440.971857500001, 6872.367254375, 7429.532550625001, 2146.2984268750006, 8796.286593124998, 1575.954484375001, -2116.3085956249997];-0.6916672801429513;0.848896109854745;13;203;-3.462980134086401;-2.875885461947131;-2.5744164898444515;False
1990-01_2007-02;2007-03_2008-02;PB;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 200, 'subsample': 0.9};12;12;2408.016012207828;0.076834131319222;36.36363636363637;7.723636638697238;66435.96532552788;0.05883649895101081;22184.957;22558.496;22300.5;22853.223;23710.084;22716.605;22865.223;23664.7;24137.723;24436.115;26725.854;25291.295;[2051.91048875, 402.7997562499986, 1724.5178000000014, 1941.5672237500003, 902.6921156249991, 3073.878331250002, 1415.6912437499996, 3573.9002712500005, 2294.3312137499997, 5068.046815624999, 1549.6525043750007, -274.3376218750018];-1.1614772502729942;0.6899439407037393;13;191;-3.465058702600837;-2.8767942675230356;-2.5749014492475535;False
