train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SE;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.9};12;12;3730.0809870384996;0.08630783961919707;72.72727272727273;6.830100690900739;44190.57892260851;1.0394918977703191;28577.023;27883.424;29207.164;30253.889;31079.967;31461.512;34305.24;36586.98;35293.723;37099.266;36332.926;33991.67;[5412.9765625, 4931.076171875, 7153.8359375, 5179.7113281249985, 2501.1332031249985, 4278.288281250003, -832.5382812500029, -1310.6304687500015, -293.12265625000146, 2492.534375000003, 555.9862187499966, -1327.171875];-0.42905656338494697;0.9051331672695093;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;SE;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;3288.858110791783;0.08012121628793976;36.36363636363637;7.332120188159551;90741.95848032573;inf;30128.438;28225.902;25784.793;27117.434;28723.602;31921.77;31227.77;32635.234;32816.7;30919.625;31700.504;31271.36;[-1552.4375, 70.35265625000102, 4791.284031250001, 2881.06640625, 1963.2184374999997, 2669.23046875, 4658.73046875, 1858.265625, -243.19921875, 6930.875, 3058.49609375, 1593.9206249999988];-0.760930911469931;0.8303298767335003;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;SE;gasolinac;ARIMA;{'learning_rate': 0.4, 'n_estimators': 150, 'subsample': 0.9};12;12;4026.9679308805826;0.11314416789573695;72.72727272727273;3.3052087177020377;47754.85423928095;1.3631385805175342;29038.844;22701.941;22139.402;22506.422;27135.012;29235.02;31480.156;34711.023;33491.633;35303.777;34010.855;31253.195;[-1161.84375, 4032.1135937500003, 5786.09765625, 7503.578125, 5273.5702812499985, 3202.48046875, 372.84375, -1920.5234375, -3688.6328125, -254.27734375, -5354.262468749999, -1724.6953125];-0.8525549116021578;0.8031951882954322;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;SE;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 150, 'subsample': 0.7};12;12;4242.707353683001;0.12894825385386063;45.45454545454545;-6.4354905399493445;100447.9155615417;1.143106003806418;31507.934;31300.557;31250.684;31184.889;30562.58;31225.873;31354.244;31550.965;31704.16;31762.768;32489.062;32379.818;[-4917.43359375, -7075.056640625, -6664.18359375, -4046.048671875, -1943.7420781250003, -2632.373046875, -56.745140625000204, 3866.585156250003, 977.3388437499998, 5333.625421874996, -666.0625, -5047.746359375];-0.6246108211170732;0.8653234610050549;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;SE;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;1911.7701342186606;0.046628821347118404;54.54545454545455;3.782110262988071;37667.73403713359;0.61086390874658;30658.883;30636.967;30926.156;29686.467;29037.025;29367.438;30053.727;30347.61;30964.156;31310.506;30889.389;31271.375;[751.2171874999985, 1230.6332031249985, 1157.9437499999985, -314.966796875, 2717.5746093749985, 4044.5625, 1288.4894375000003, 3390.190625000003, -401.15625, 1371.994140625, 268.611328125, -1151.875];-0.6311147134209355;0.8637952585309865;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;SE;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;2734.5913526918944;0.0838730499158506;81.81818181818181;-7.274027823737196;21629.29893836167;0.7404649035079074;33040.992;33946.145;33086.824;31565.59;32466.842;33149.99;32528.049;33196.734;32530.04;33599.453;33903.836;33215.727;[1732.7868125000023, -2260.3155312499985, -2787.919218750001, -1821.9768437499988, -2313.8387968749994, -414.08828124999854, -4260.437828124999, -3941.068374999999, -3702.7340624999997, -1833.3891250000015, -2188.3359375, -3076.2265625];-0.3751711248660132;0.9141625025285461;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;SE;gasolinac;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.7};12;12;1912.472856889761;0.04324322079411319;63.63636363636363;-0.6336116648163743;30150.12948195425;0.4545560979161697;34009.855;33210.797;32092.43;33014.598;31771.121;32942.863;32817.445;32587.928;33696.688;34690.918;34397.79;34997.59;[1580.14453125, 80.91512499999953, 1666.1703124999985, 1270.40234375, 1023.37890625, 886.2367187499985, -879.3453125000015, 554.6072656250035, -1868.4644999999982, -46.97296875000029, -1449.4750625000015, -5337.53484375];0.47805460647773174;0.9841905978569587;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SE;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.7};12;12;1789.1276656684106;0.0414733080169922;72.72727272727273;3.698684207419701;21161.210803382135;0.8402199375309337;33029.105;32784.574;31115.178;32032.76;32191.229;32094.047;32541.057;31162.408;31219.117;33034.543;32169.979;32887.285;[1014.9945312499985, -466.17421874999854, 1071.0962656250013, 200.740234375, 137.42048437500125, 1134.0231249999997, 2388.943359375, 2601.1917968749985, 1508.6828124999993, 3975.45703125, 1921.521484375, -652.6011562499989];0.24875179861172497;0.9748671398620058;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SE;gasolinac;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;2242.6252777756777;0.05858190375420138;63.63636363636363;-4.379520782513335;35370.000660435515;0.8173205325638186;33404.4;31402.008;31792.846;32684.371;31331.197;31608.639;35088.355;35112.934;34409.16;37241.34;34141.543;36704.42;[-991.3984375, 1513.692187499997, -1246.6457031249993, -873.1710937499993, 1246.9027343749985, -511.638671875, -2549.0554687500007, -1874.5405937500036, -3599.9881562500013, -739.33984375, -2607.4429687500015, -4756.921875];1.5385358207017708;0.9976609449098724;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SE;gasolinac;ARIMA;{'subsample': 0.8, 'n_estimators': 100, 'learning_rate': 0.4};12;12;3432.9776330894388;0.08790892902128795;72.72727272727273;7.524856453129636;40673.250986696614;1.4787888461439371;31489.242;31870.072;28984.973;28944.965;30312.9;30037.174;31635.205;31068.697;30369.195;32215.049;33722.58;32913.062;[379.2578125, 1890.6177343750023, 3814.74134375, 2210.541156250001, 2138.599609375, 3125.9261718749985, 3014.850921874997, 5570.7027343750015, 1898.7046875000015, 6692.251171875003, 2601.121874999997, -2939.8624999999993];2.2487017633194806;0.9989202433516461;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
