train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;1517.6649162877688;0.037308908430603215;45.45454545454545;3.0249754633335684;35870.93683858508;0.9778369038908866;33087.445;33038.555;32925.316;32956.805;33047.57;33076.02;33008.973;32740.77;32871.902;32711.643;33010.42;32895.523;[2348.6090374999985, -730.1307774999987, 2043.7488137499968, 1434.6645124999995, -106.47611250000045, 1599.7232187499976, -684.3041762499997, 843.4985887500006, -52.239303750000545, 2421.9443818750005, 2141.791895000002, 1072.1124324999982];-1.4260462486663668;0.5697275002022442;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;1291.5327295859795;0.029644591569569667;27.272727272727273;-0.7882894668419729;40690.245162290776;inf;33314.85;32884.668;32805.582;33354.855;32990.02;32910.273;33397.043;32586.312;33101.02;32437.223;32629.455;33365.133;[241.7535074999978, -784.6752187499987, 401.2512987500013, -463.22865874999843, -1774.1535912500003, 1369.4330824999997, -1303.7712287499999, -142.92120000000068, 122.23046875, 2054.543643750003, 10.29673187500157, -2826.2215824999985];-1.4670677258697304;0.5497350449359238;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.9};12;12;1902.4288401947435;0.04797997259151785;36.36363636363637;-0.3476570837510864;52462.9465365928;1.207423477069488;32322.744;32901.832;32582.703;32932.2;32026.615;32443.256;32779.867;32430.877;33311.93;33170.37;34108.086;34014.863;[3609.3989793750006, 1144.9324587500014, -351.73392500000045, 892.7246912499977, 1741.5405656250005, 568.2187806250004, -1519.2295075000002, -161.2066631250018, -2382.9858475, 773.9857862499994, -2685.9391975, -2998.2817612500003];-1.1265219106154776;0.7043802368733026;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;PA;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;2804.5875803146528;0.06814609691569415;9.090909090909092;6.568253580552949;110487.4448470653;1.7919885688670025;30288.498;30886.05;30376.611;30970.523;30924.705;31036.271;31548.947;30630.36;31971.453;30861.428;30824.943;32140.96;[4507.489273125, 2528.3876287500025, 3781.1332418750026, 2917.654102499997, 3301.209781874997, 776.4386556249992, 46.53643437500068, 3942.560915000002, 74.90738499999861, 3969.8403856250006, 1168.8084506250016, -830.9681874999987];-1.4111199988969245;0.5769335935841057;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.7};12;12;1213.6045671592726;0.03476482636642877;36.36363636363637;-0.9960176452397921;33460.530257545644;0.617824946957702;31590.6;31359.129;31419.469;31556.264;31409.998;31572.643;31377.713;31391.814;31389.87;31255.97;31347.223;31373.85;[-597.4148293750004, 732.8493537499999, 901.3537099999994, -2001.5426618749989, 532.2084731249997, -489.2313481249985, -1672.6639806249987, 541.4590968750017, -1142.1807306250012, 1860.630746875002, -583.6755562500002, -1800.1865693750005];-1.380811520999971;0.5914399657089394;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.8};12;12;1239.6828991659459;0.03175887368337476;54.54545454545455;-1.4778502837790382;24417.60237086242;0.6259946623862517;31933.932;31927.504;31840.146;31904.363;31340.973;31386.81;31384.207;31383.04;31895.936;31674.068;31398.252;31720.967;[550.3582193750008, 143.38377374999982, -1283.2207643750007, 1041.1820087500018, -604.4001962500006, 935.7492331249996, -1560.2921712499992, 268.93919749999986, -1536.0206868749992, -595.0756093749987, 94.60855687499861, -2986.2023068749986];-1.167011731383908;0.687623078548749;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;1443.5672360403262;0.03780116561288473;27.272727272727273;-0.12184640210757558;45485.39741868688;0.8662114492955644;31819.71;32127.258;31886.201;31775.908;31734.133;31328.451;32109.857;31435.715;32047.916;31158.408;31412.574;30884.758;[2945.5102524999966, -1585.6146924999994, 1767.4582481250036, -651.6202531249983, -681.0132425000011, 1687.184458124997, -1225.115631875, 168.21098625000013, -1793.3522856249983, 447.77210687499974, -129.06334875000175, -1412.4697725000005];-1.0898939360811246;0.7190852138923491;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.7};12;12;2235.019318357323;0.057335262505311645;63.63636363636363;-0.263895919619008;35248.81880226109;1.2896640920486062;30196.924;30039.127;30672.992;30693.424;30535.188;30712.582;30838.475;31360.805;33506.98;33175.34;32942.28;32532.111;[3111.2392118749995, 2082.7462368749984, 740.3320925000007, 815.9076918749997, -377.56793000000107, 2483.3436887499993, 24.650390625, -413.3463574999987, -3917.453298749999, 892.4010962500033, -2385.83741, -4049.2272681249997];-1.1230957447845502;0.7057742673961964;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PA;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 150, 'subsample': 0.9};12;12;1791.7759297383402;0.04715341566876471;54.54545454545455;-0.7115909644872951;35303.955192298425;0.9811841165135236;30905.916;31100.916;31169.201;31220.506;31418.809;31702.21;31847.986;31905.64;33254.332;32576.428;31996.686;33682.99;[1647.3031843749995, 1587.8466643749998, 223.99810812500073, 1331.7676906250017, 1241.2113362499986, -45.62941750000027, -1108.6040781250013, 707.5133649999989, -3711.520441249999, 698.9436456249969, -2588.1475068750005, -2689.2763212499995];-0.3967885847842659;0.9106335894737438;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;PA;glp;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.8};12;12;2700.4720386729978;0.07192643064414801;45.45454545454545;6.531920373956184;63867.91575345848;1.6816260283762128;29792.178;29994.195;29234.346;29025.645;29276.936;29805.766;28810.928;29107.336;30123.121;30686.574;30484.893;31454.047;[1874.5613956250018, 1564.9188175000018, 3607.5383568749967, 1085.3717687499993, 3955.8217031250024, 1340.1619150000006, 3039.3820456249996, 4739.9140625, -226.51783375000014, 3688.4602012500036, 1666.3048818749994, -1331.7153550000003];-0.49590358234697723;0.8928134091050661;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
1990-01_2013-02;2013-03_2014-02;PA;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.9};12;12;2350.9278323073404;0.06626026577447057;36.36363636363637;6.664024011831528;64849.92563315231;0.8142853560770043;27480.525;27862.17;28141.033;27966.883;28286.436;27911.549;28196.42;27739.0;28683.674;28221.744;28534.406;29420.176;[950.7789593749985, 2704.2217581250006, 1909.268166875001, -161.70710250000047, 1862.1296731250004, 3638.8352318750003, 1196.3626881249984, 4209.663219999999, 1555.4518118749984, 2833.535389375, 2762.1480999999985, 703.6176987500003];-1.2638453432073729;0.6455466018944453;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;PA;glp;ARIMA;{'subsample': 0.9, 'n_estimators': 150, 'learning_rate': 0.4};12;12;2069.3108898923306;0.06028518701065023;45.45454545454545;4.27959901466408;48930.23619810189;0.37873538431176995;25800.162;26356.904;26385.611;26352.479;26409.56;26439.08;26293.137;26181.5;28358.363;28274.834;27710.541;28883.25;[4010.8976706249996, 444.6426031250012, 2585.9858518750007, 1662.2490943750017, 929.8572931249983, 2761.807601875, 139.871241249999, 3180.028989999999, -1181.5106212499995, 986.2855856249989, 901.4173143750013, -1960.4909399999997];-1.0562596360462526;0.7321963171418574;13;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;False
1990-01_2011-02;2011-03_2012-02;PA;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.7};12;12;2127.9070493328495;0.058296110288910484;18.181818181818183;6.00930891815548;75443.93479059104;0.32200070266243586;25300.271;25717.516;25595.373;25868.383;25745.182;25737.62;25830.406;25967.242;26587.281;25873.1;26697.672;26116.586;[2524.2242156249995, 1040.4421350000011, 2145.1814531249984, 678.9714075000011, 591.2169093750017, 2588.7160493750016, 1304.1788899999992, 1613.7922325, 426.7171500000004, 5345.206550625, 375.078125, 1252.4484825];-1.586860499291711;0.4901904933821469;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
1990-01_2010-02;2010-03_2011-02;PA;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 150, 'subsample': 0.9};12;12;1690.4660157832366;0.058156908216705494;18.181818181818183;5.143015154606276;59934.98825266989;0.23435499767493426;24533.002;24544.938;24559.111;24457.725;24374.584;24595.293;24300.885;24645.629;25397.855;25200.201;25704.172;25384.846;[2284.260726875, 1475.6784399999997, 908.4353518749995, 1293.7464006250011, 1579.263545624999, 1763.7559412500013, 2073.1224843749987, 1945.2008037500018, 988.5358312499993, 2996.896658124999, -771.4227050000009, -396.6846531250012];-2.1925215928523256;0.20897087512459078;14;226;-3.4596204846395824;-2.8744153028455948;-2.5736320761218576;False
1990-01_2009-02;2009-03_2010-02;PA;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.9};12;12;1233.4659964677778;0.045045677875776506;72.72727272727273;2.2220401043532787;14591.130527911902;0.146487508372754;24171.537;24187.498;23903.035;24225.676;24019.168;24458.05;23943.002;24724.902;24431.58;25154.107;24902.266;25178.766;[1008.4248506250005, 1089.3986931250001, 921.4791337499992, 1748.818128750001, 1298.8168512500015, 26.345638750000944, 882.2625368750014, 1399.7643262499987, -612.3047181250004, 1748.2314781249988, -1076.5935250000002, -1769.3023749999993];-2.207511591071101;0.20353048751329733;14;214;-3.4612821203214907;-2.875142613826617;-2.574020122281422;False
1990-01_2008-02;2008-03_2009-02;PA;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 150, 'subsample': 0.7};12;12;1463.261003895404;0.05443998286349688;36.36363636363637;2.8316988923842734;40356.6684640752;0.16315820423052219;23226.402;23452.463;23315.654;23488.176;23590.902;23605.965;23776.076;23673.312;24463.3;24362.379;24336.615;24730.068;[1321.9128762500004, 1366.5860193750013, 1724.4091131249988, 724.6613087500009, 987.6773662500018, 948.0710462499992, 905.5578881250003, 1954.8034000000007, -1515.657021250001, 2255.1808337500006, -181.9757443749986, -2155.9342993749997];-1.951351809868532;0.30830221200410246;13;203;-3.462980134086401;-2.875885461947131;-2.5744164898444515;False
